https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1647043200000,2022-03-12 00:00:00,DOG/USD,116340,119490,109390,115720,2275.0644576,0.01966008
1646956800000,2022-03-11 00:00:00,DOG/USD,117910,120560,111590,115240,2234.3503308,0.01938867
1646870400000,2022-03-10 00:00:00,DOG/USD,122390,123780,109440,117640,2913.6886976,0.02476784
1646784000000,2022-03-09 00:00:00,DOG/USD,117820,124720,99978,119880,21414.5647992,0.17863334
1646697600000,2022-03-08 00:00:00,DOG/USD,117860,123850,111440,115560,3458.2670496,0.02992616
1646611200000,2022-03-07 00:00:00,DOG/USD,121460,123720,110150,118010,4688.0239565,0.03972565
1646524800000,2022-03-06 00:00:00,DOG/USD,126040,127400,118320,121460,2691.9495596,0.02216326
1646438400000,2022-03-05 00:00:00,DOG/USD,122120,126820,119540,125960,2821.8856588000003,0.02240303
1646352000000,2022-03-04 00:00:00,DOG/USD,130710,131040,118540,122130,2672.1152451,0.02187927
1646265600000,2022-03-03 00:00:00,DOG/USD,132620,135140,123950,128630,2903.835113,0.0225751
1646179200000,2022-03-02 00:00:00,DOG/USD,135050,137670,127470,132610,5041.0935623000005,0.03801443
1646092800000,2022-03-01 00:00:00,DOG/USD,134740,137890,124900,135050,4052.118529,0.03000458
1646006400000,2022-02-28 00:00:00,DOG/USD,124100,136620,119800,134320,16060.9285016,0.11957213
1645920000000,2022-02-27 00:00:00,DOG/USD,128220,140240,117830,121320,69263.52790680001,0.57091599
1645833600000,2022-02-26 00:00:00,DOG/USD,130170,137900,125440,128230,37279.7770278,0.29072586
1645747200000,2022-02-25 00:00:00,DOG/USD,121550,130480,121120,130170,5091.1387482,0.03911146
1645660800000,2022-02-24 00:00:00,DOG/USD,129580,129580,108790,122550,78844.611144,0.64336688
1645574400000,2022-02-23 00:00:00,DOG/USD,129900,138320,127310,129580,3025.4221778,0.02334791
1645488000000,2022-02-22 00:00:00,DOG/USD,129390,132120,123290,129870,4641.8057478,0.03574194
1645401600000,2022-02-21 00:00:00,DOG/USD,135120,143230,126270,129040,5980.7239832,0.04634783
1645315200000,2022-02-20 00:00:00,DOG/USD,141500,142920,134220,135120,4182.1910016,0.03095168
1645228800000,2022-02-19 00:00:00,DOG/USD,139940,146710,137300,141510,25947.3273738,0.18336038
1645142400000,2022-02-18 00:00:00,DOG/USD,139730,143770,136590,139850,2815.4154479999997,0.02013168
1645056000000,2022-02-17 00:00:00,DOG/USD,148350,150640,137040,139740,18309.7786578,0.13102747
1644969600000,2022-02-16 00:00:00,DOG/USD,149030,152750,144140,148340,3003.3821274,0.02024661
1644883200000,2022-02-15 00:00:00,DOG/USD,147110,153010,144380,148850,3764.6278669999997,0.02529142
1644796800000,2022-02-14 00:00:00,DOG/USD,154790,156190,141340,147110,11376.0133578,0.07732998
1644710400000,2022-02-13 00:00:00,DOG/USD,144790,158780,142480,152130,6428.2014258,0.04225466
1644624000000,2022-02-12 00:00:00,DOG/USD,143430,147840,140050,144810,5651.5664826,0.03902746
1644537600000,2022-02-11 00:00:00,DOG/USD,151710,156180,142170,143510,4750.6416671,0.03310321
1644451200000,2022-02-10 00:00:00,DOG/USD,160490,162380,147960,149920,10759.178209599999,0.07176613
1644364800000,2022-02-09 00:00:00,DOG/USD,155820,161590,151580,160490,10957.0808083,0.06827267
1644278400000,2022-02-08 00:00:00,DOG/USD,166840,171620,150980,155830,8257.4488413,0.05299011
1644192000000,2022-02-07 00:00:00,DOG/USD,155470,174120,152960,166830,16572.028020600002,0.09933482
1644105600000,2022-02-06 00:00:00,DOG/USD,144500,156980,141410,155220,12003.569276400001,0.07733262
1644019200000,2022-02-05 00:00:00,DOG/USD,147320,151330,141870,143400,5220.359412,0.03640418
1643932800000,2022-02-04 00:00:00,DOG/USD,137460,147320,135170,147320,21719.3124668,0.14742949
1643846400000,2022-02-03 00:00:00,DOG/USD,134980,142490,133420,137460,6963.9971454,0.05066199
1643760000000,2022-02-02 00:00:00,DOG/USD,144200,147310,134830,134910,3905.4623715,0.02894865
1643673600000,2022-02-01 00:00:00,DOG/USD,143190,146480,139330,141910,4482.6899766,0.03158826
1643587200000,2022-01-31 00:00:00,DOG/USD,137900,145180,132810,143280,18393.7691592,0.12837639
1643500800000,2022-01-30 00:00:00,DOG/USD,145210,146630,136300,137830,4906.7176774,0.03559978
1643414400000,2022-01-29 00:00:00,DOG/USD,140880,148310,138880,145210,5787.1732022,0.03985382
1643328000000,2022-01-28 00:00:00,DOG/USD,139800,144540,136720,140870,6965.301654299999,0.04944489
1643241600000,2022-01-27 00:00:00,DOG/USD,143370,146800,134810,139990,16635.210485800002,0.11883142000000001
1643155200000,2022-01-26 00:00:00,DOG/USD,141140,154040,139690,143380,11001.6233914,0.07673053
1643068800000,2022-01-25 00:00:00,DOG/USD,139220,148110,132760,140820,30931.2791676,0.21965118
1642982400000,2022-01-24 00:00:00,DOG/USD,143720,147720,125810,139280,35615.118878400004,0.25570878
1642896000000,2022-01-23 00:00:00,DOG/USD,134850,145750,129880,143970,54073.103462700004,0.37558591
1642809600000,2022-01-22 00:00:00,DOG/USD,140000,158100,118540,134670,74830.79818829999,0.55566049
1642723200000,2022-01-21 00:00:00,DOG/USD,155880,159970,140000,140010,38405.4234486,0.27430486
1642636800000,2022-01-20 00:00:00,DOG/USD,165100,174100,151770,152620,83780.6848996,0.54894958
1642550400000,2022-01-19 00:00:00,DOG/USD,168840,184970,157790,165280,125945.69044800001,0.7620141
1642464000000,2022-01-18 00:00:00,DOG/USD,171040,176400,160190,167750,178386.78258499998,1.06340854
1642377600000,2022-01-17 00:00:00,DOG/USD,178790,179040,165070,171040,10147.3909936,0.05932759
1642291200000,2022-01-16 00:00:00,DOG/USD,185910,186720,161260,179010,64623.8129472,0.36100672
1642204800000,2022-01-15 00:00:00,DOG/USD,181590,193880,181430,183260,73280.2751604,0.39987054
1642118400000,2022-01-14 00:00:00,DOG/USD,170970,205860,170970,184650,206956.9331505,1.12080657
1642032000000,2022-01-13 00:00:00,DOG/USD,162530,176250,159270,172030,133517.95871489999,0.77613183
1641945600000,2022-01-12 00:00:00,DOG/USD,155210,162920,151180,161620,32944.0244222,0.20383631
1641859200000,2022-01-11 00:00:00,DOG/USD,143810,167790,139710,154840,27169.279312000002,0.1754668
1641772800000,2022-01-10 00:00:00,DOG/USD,152340,153850,138200,144180,40240.1751822,0.27909679
1641686400000,2022-01-09 00:00:00,DOG/USD,151660,155390,148940,153940,18004.896291200002,0.11696048
1641600000000,2022-01-08 00:00:00,DOG/USD,154280,157090,145690,153190,922.433585,0.0060215
1641513600000,2022-01-07 00:00:00,DOG/USD,161600,162390,149610,154450,6708.857006,0.04343708
1641427200000,2022-01-06 00:00:00,DOG/USD,159430,163680,151680,161300,18078.066877,0.11207729
1641340800000,2022-01-05 00:00:00,DOG/USD,168890,177640,149860,160160,19602.9898064,0.12239629
1641254400000,2022-01-04 00:00:00,DOG/USD,170300,177120,165240,168890,13215.301342199999,0.07824798
1641168000000,2022-01-03 00:00:00,DOG/USD,175510,176970,165560,170310,5533.136872200001,0.03248862
1641081600000,2022-01-02 00:00:00,DOG/USD,177410,180420,170050,176090,10377.3200319,0.058931910000000004
1640995200000,2022-01-01 00:00:00,DOG/USD,172210,174710,168150,171530,6747.5630903,0.03933751
1640908800000,2021-12-31 00:00:00,DOG/USD,169820,178330,165580,171990,10819.254536999999,0.0629063
1640822400000,2021-12-30 00:00:00,DOG/USD,172850,177800,164300,172400,32367.227656,0.18774494
1640736000000,2021-12-29 00:00:00,DOG/USD,173680,178130,166790,170190,39031.2741879,0.22933941
1640649600000,2021-12-28 00:00:00,DOG/USD,189970,190680,165010,175600,109304.90843600001,0.62246531
1640563200000,2021-12-27 00:00:00,DOG/USD,192020,197700,184580,189050,15008.910141,0.07939122
1640476800000,2021-12-26 00:00:00,DOG/USD,190390,193480,185920,192100,17704.879211,0.09216491
1640390400000,2021-12-25 00:00:00,DOG/USD,187710,194720,184390,192730,3879.9150855,0.02013135
