https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UST
1644710400000,2022-02-13 00:00:00,UST/USD,1.0009,1.001,1.0007,1.0009,17289370.49987896,17273824.05822656
1644624000000,2022-02-12 00:00:00,UST/USD,1.001,1.001,1.0008,1.0009,14695187.574533492,14681973.79811519
1644537600000,2022-02-11 00:00:00,UST/USD,1.0011,1.0013,1.0009,1.001,28949496.714724224,28920576.138585642
1644451200000,2022-02-10 00:00:00,UST/USD,1.0011,1.0013,1.0009,1.0011,26648864.955230966,26619583.41347614
1644364800000,2022-02-09 00:00:00,UST/USD,1.0009,1.0013,1.0008,1.0011,24761285.86535219,24734078.37913514
1644278400000,2022-02-08 00:00:00,UST/USD,1.001,1.0012,1.0007,1.0009,34368822.00241473,34337917.87632604
1644192000000,2022-02-07 00:00:00,UST/USD,1.001,1.0014,1.0007,1.0009,37236560.88976702,37203078.11945951
1644105600000,2022-02-06 00:00:00,UST/USD,1.0009,1.001,1.0008,1.0009,8474105.95178219,8466486.11427934
1644019200000,2022-02-05 00:00:00,UST/USD,1.0008,1.001,1.0006,1.001,18490777.13170971,18472304.826882828
1643932800000,2022-02-04 00:00:00,UST/USD,1.0008,1.0009,1.0006,1.0007,12897383.530164262,12888361.67699037
1643846400000,2022-02-03 00:00:00,UST/USD,1.0007,1.0009,1.0006,1.0008,30145780.46851306,30121683.12201545
1643760000000,2022-02-02 00:00:00,UST/USD,1.0007,1.0008,1.0005,1.0007,23883388.437054966,23866681.75982309
1643673600000,2022-02-01 00:00:00,UST/USD,1.0007,1.001,1.0006,1.0007,33658524.366719514,33634979.88080295
1643587200000,2022-01-31 00:00:00,UST/USD,1.0007,1.001,1.0006,1.0007,36172530.20620501,36147227.14720197
1643500800000,2022-01-30 00:00:00,UST/USD,1.0007,1.0008,1.0006,1.0007,13552418.073523166,13542938.01691133
1643414400000,2022-01-29 00:00:00,UST/USD,1.0007,1.0008,1.0004,1.0006,18478886.7448095,18467806.0611728
1643328000000,2022-01-28 00:00:00,UST/USD,1.0007,1.0009,1.0004,1.0007,57311121.83279747,57271032.11032025
1643241600000,2022-01-27 00:00:00,UST/USD,1.0008,1.001,1.0004,1.0006,46272360.18470998,46244613.41665999
1643155200000,2022-01-26 00:00:00,UST/USD,1.0009,1.001,1.0004,1.0009,62791524.30284757,62735062.74637584
1643068800000,2022-01-25 00:00:00,UST/USD,1.0007,1.001,1.0004,1.001,35635357.07905438,35599757.32173265
1642982400000,2022-01-24 00:00:00,UST/USD,1.001,1.0011,1.0004,1.0007,64018686.57384569,63973904.84045738
1642896000000,2022-01-23 00:00:00,UST/USD,1.001,1.0012,1.0006,1.001,33430158.919844292,33396762.15768661
1642809600000,2022-01-22 00:00:00,UST/USD,1.0008,1.0012,1.0003,1.0008,88504746.82366012,88433999.62396096
1642723200000,2022-01-21 00:00:00,UST/USD,1.0004,1.0009,1.0002,1.0008,101915589.23506443,101834121.93751442
1642636800000,2022-01-20 00:00:00,UST/USD,1.0004,1.0007,1.0003,1.0003,30600802.85287989,30591625.36527031
1642550400000,2022-01-19 00:00:00,UST/USD,1.0004,1.001,1.0002,1.0004,58893778.68485367,58870230.59261663
1642464000000,2022-01-18 00:00:00,UST/USD,1.0004,1.0005,1.0,1.0004,34373839.249534994,34360095.21145041
1642377600000,2022-01-17 00:00:00,UST/USD,1.0005,1.0005,1.0002,1.0004,28784643.603296604,28773134.34955678
1642291200000,2022-01-16 00:00:00,UST/USD,1.0003,1.0005,1.0,1.0004,29005278.68494195,28993681.21245697
1642204800000,2022-01-15 00:00:00,UST/USD,1.0003,1.0005,1.0,1.0003,28595023.460711047,28586447.52645311
1642118400000,2022-01-14 00:00:00,UST/USD,1.0002,1.0005,1.0,1.0003,30707079.184619274,30697869.82367217
1642032000000,2022-01-13 00:00:00,UST/USD,1.0004,1.0005,1.0,1.0002,40923251.08515117,40915068.07153687
1641945600000,2022-01-12 00:00:00,UST/USD,1.0003,1.0011,1.0002,1.0004,38912388.20833035,38896829.47653973
1641859200000,2022-01-11 00:00:00,UST/USD,1.0002,1.0004,1.0,1.0004,33329914.219925635,33316587.58489168
1641772800000,2022-01-10 00:00:00,UST/USD,1.0,1.0005,0.9999,1.0003,79896357.86644684,79872396.14760256
1641686400000,2022-01-09 00:00:00,UST/USD,1.0,1.0007,0.99999,1.0001,34136187.28392686,34132774.00652621
1641600000000,2022-01-08 00:00:00,UST/USD,1.0,1.0,0.9999,1.0,31902094.21844211,31902094.21844211
1641513600000,2022-01-07 00:00:00,UST/USD,0.99999,1.0001,0.99971,0.99991,77354479.64101343,77361442.1708088
1641427200000,2022-01-06 00:00:00,UST/USD,1.0001,1.0002,0.99972,0.99999,38846774.79748594,38847163.26911863
1641340800000,2022-01-05 00:00:00,UST/USD,1.0001,1.0001,0.99997,1.0001,56958372.31417664,56952677.046472
1641254400000,2022-01-04 00:00:00,UST/USD,1.0001,1.0003,1.0,1.0001,51575346.4495801,51570189.43063704
1641168000000,2022-01-03 00:00:00,UST/USD,1.0001,1.0002,1.0,1.0001,21982442.01971549,21980243.99531596
1641081600000,2022-01-02 00:00:00,UST/USD,1.0002,1.0003,1.0001,1.0001,17745874.891893484,17744100.4818453
1640995200000,2022-01-01 00:00:00,UST/USD,1.0,1.0002,1.0,1.0001,34552648.48951763,34549193.57016061
1640908800000,2021-12-31 00:00:00,UST/USD,1.0,1.0001,1.0,1.0,50539331.52858047,50539331.52858047
1640822400000,2021-12-30 00:00:00,UST/USD,1.0001,1.0002,1.0,1.0,36638389.51913343,36638389.51913343
1640736000000,2021-12-29 00:00:00,UST/USD,1.0002,1.0003,1.0,1.0,72876545.499738,72876545.499738
1640649600000,2021-12-28 00:00:00,UST/USD,1.0003,1.0005,1.0001,1.0003,58316811.202160664,58299321.40573894
1640563200000,2021-12-27 00:00:00,UST/USD,1.0005,1.0007,1.0003,1.0004,35231146.59123733,35217059.7673304
1640476800000,2021-12-26 00:00:00,UST/USD,1.0005,1.0007,1.0004,1.0006,20685766.271682154,20673362.25432956
1640390400000,2021-12-25 00:00:00,UST/USD,1.0004,1.0009,1.0004,1.0007,13005289.899190247,12996192.56439517
1640304000000,2021-12-24 00:00:00,UST/USD,1.0003,1.0006,1.0002,1.0005,47841066.14647581,47817157.56769197
1640217600000,2021-12-23 00:00:00,UST/USD,1.0003,1.0006,1.0002,1.0004,78031185.14380915,77999985.14974926
1640131200000,2021-12-22 00:00:00,UST/USD,1.0003,1.0004,1.0002,1.0003,36275331.6045213,36264452.26884065
1640044800000,2021-12-21 00:00:00,UST/USD,1.0004,1.0005,1.0002,1.0004,63025215.889833115,63000015.88347973
1639958400000,2021-12-20 00:00:00,UST/USD,1.0005,1.0007,1.0003,1.0004,78580098.2957504,78548678.82422072
1639872000000,2021-12-19 00:00:00,UST/USD,1.0007,1.0007,1.0004,1.0004,29882656.600235995,29870708.31690923
