https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZRX
1644019200000,2022-02-05 00:00:00,ZRX/USD,0.64489,0.67488,0.63431,0.65369,408296.9950052069,624603.39764293
1643932800000,2022-02-04 00:00:00,ZRX/USD,0.61165,0.64815,0.59456,0.64554,219082.6078052701,339378.82672688
1643846400000,2022-02-03 00:00:00,ZRX/USD,0.57203,0.61871,0.56986,0.61171,308091.9071173443,503656.80979115
1643760000000,2022-02-02 00:00:00,ZRX/USD,0.58161,0.59947,0.56316,0.57203,190506.45386136897,333035.77410515
1643673600000,2022-02-01 00:00:00,ZRX/USD,0.56589,0.59769,0.56588,0.58058,225022.7192137092,387582.62291796
1643587200000,2022-01-31 00:00:00,ZRX/USD,0.55449,0.56828,0.52441,0.56717,120459.86191050411,212387.57675918
1643500800000,2022-01-30 00:00:00,ZRX/USD,0.56502,0.57671,0.53943,0.55359,97707.88794869081,176498.65053323001
1643414400000,2022-01-29 00:00:00,ZRX/USD,0.54397,0.57045,0.54258,0.56603,85016.07034301278,150197.11029983
1643328000000,2022-01-28 00:00:00,ZRX/USD,0.52895,0.54807,0.50915,0.54449,72748.73414961433,133608.94442435
1643241600000,2022-01-27 00:00:00,ZRX/USD,0.5307,0.56454,0.5019,0.52844,323002.9329136438,611238.61349187
1643155200000,2022-01-26 00:00:00,ZRX/USD,0.52118,0.57539,0.51622,0.53117,615521.5950551976,1158803.38696688
1643068800000,2022-01-25 00:00:00,ZRX/USD,0.50348,0.52988,0.49034,0.52084,620107.336392642,1190590.84631104
1642982400000,2022-01-24 00:00:00,ZRX/USD,0.54409,0.54474,0.44944,0.50589,293965.50292934035,581085.81495847
1642896000000,2022-01-23 00:00:00,ZRX/USD,0.51912,0.55807,0.51213,0.54419,156435.1145384629,287464.14770294
1642809600000,2022-01-22 00:00:00,ZRX/USD,0.55826,0.58154,0.46552,0.519,754117.388857389,1453020.01706626
1642723200000,2022-01-21 00:00:00,ZRX/USD,0.6549,0.6643,0.54271,0.55881,455229.4750112115,814640.88869421
1642636800000,2022-01-20 00:00:00,ZRX/USD,0.68521,0.72289,0.65211,0.65671,166114.71006261205,252949.87142363
1642550400000,2022-01-19 00:00:00,ZRX/USD,0.72094,0.72141,0.67889,0.68507,107819.62628893311,157384.83116898
1642464000000,2022-01-18 00:00:00,ZRX/USD,0.72815,0.73261,0.69202,0.71945,147700.9796921635,205297.07372599
1642377600000,2022-01-17 00:00:00,ZRX/USD,0.76677,0.7689,0.71349,0.72781,120605.0976290601,165709.5912794
1642291200000,2022-01-16 00:00:00,ZRX/USD,0.75757,0.77793,0.73898,0.76581,166723.0051300089,217708.05438687
1642204800000,2022-01-15 00:00:00,ZRX/USD,0.7491,0.76826,0.7372,0.75757,307312.3506949827,405655.38589831
1642118400000,2022-01-14 00:00:00,ZRX/USD,0.737,0.75029,0.71351,0.74925,261256.4485351933,348690.62200226
1642032000000,2022-01-13 00:00:00,ZRX/USD,0.75277,0.8085,0.7355,0.73607,390362.43388490024,530333.30238279
1641945600000,2022-01-12 00:00:00,ZRX/USD,0.72009,0.7588,0.7198,0.75229,227114.21908664037,301897.16610169
1641859200000,2022-01-11 00:00:00,ZRX/USD,0.68993,0.72142,0.67985,0.71884,284947.16603931744,396398.59501324
1641772800000,2022-01-10 00:00:00,ZRX/USD,0.72379,0.73518,0.654,0.68883,455863.5871808611,661794.03797869
1641686400000,2022-01-09 00:00:00,ZRX/USD,0.70969,0.74872,0.70601,0.7242,290520.94280660624,401161.20243939
1641600000000,2022-01-08 00:00:00,ZRX/USD,0.75381,0.76292,0.68338,0.70969,350981.8316870048,494556.54114755
1641513600000,2022-01-07 00:00:00,ZRX/USD,0.79829,0.8002,0.7077,0.75261,747050.9653072193,992613.65821238
1641427200000,2022-01-06 00:00:00,ZRX/USD,0.82361,0.83185,0.7664,0.79744,447546.1312262932,561228.59553859
1641340800000,2022-01-05 00:00:00,ZRX/USD,0.88927,0.96488,0.79,0.8261,852918.1165172795,1032463.52320213
1641254400000,2022-01-04 00:00:00,ZRX/USD,0.94334,0.95051,0.886,0.8875,223412.91615578148,251732.86327412
1641168000000,2022-01-03 00:00:00,ZRX/USD,0.88798,0.98857,0.88732,0.94038,775304.9347123242,824459.19172284
1641081600000,2022-01-02 00:00:00,ZRX/USD,0.87248,0.925,0.84663,0.88772,516463.4553842758,581786.43647127
1640995200000,2022-01-01 00:00:00,ZRX/USD,0.80361,0.87471,0.80361,0.87213,417357.8305762477,478550.02187317
1640908800000,2021-12-31 00:00:00,ZRX/USD,0.79365,0.83439,0.77411,0.80303,285046.14586028334,354963.25898196
1640822400000,2021-12-30 00:00:00,ZRX/USD,0.76091,0.80537,0.74881,0.79504,180421.08973594673,226933.34893332
1640736000000,2021-12-29 00:00:00,ZRX/USD,0.79907,0.82593,0.75221,0.75955,347544.93120605254,457566.88987697
1640649600000,2021-12-28 00:00:00,ZRX/USD,0.8746,0.87654,0.79601,0.7986,276250.10714572243,345917.99041538
1640563200000,2021-12-27 00:00:00,ZRX/USD,0.88022,0.9083,0.8753,0.87736,164419.38853881237,187402.42151319
1640476800000,2021-12-26 00:00:00,ZRX/USD,0.86231,0.88858,0.84601,0.87995,217602.71030511375,247289.857725
1640390400000,2021-12-25 00:00:00,ZRX/USD,0.85047,0.86794,0.8436,0.86225,134282.830364247,155735.37879298
