https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ENJ
1653091200000,2022-05-21 00:00:00,ENJ/USD,0.68,0.69312,0.65239,0.68967,7913.896535386356,11474.90326589
1653004800000,2022-05-20 00:00:00,ENJ/USD,0.69564,0.70721,0.64663,0.66282,31341.117288418416,47284.50754114
1652918400000,2022-05-19 00:00:00,ENJ/USD,0.64652,0.71163,0.63226,0.6944,13338.762056832351,19209.04674083
1652832000000,2022-05-18 00:00:00,ENJ/USD,0.74723,0.74968,0.64676,0.64676,17401.924397825678,26906.30898297
1652745600000,2022-05-17 00:00:00,ENJ/USD,0.7159,0.75228,0.69953,0.73548,14024.842926904854,19068.96574605
1652659200000,2022-05-16 00:00:00,ENJ/USD,0.75608,0.75706,0.68,0.69827,13427.7898276358,19230.08267237
1652572800000,2022-05-15 00:00:00,ENJ/USD,0.74584,0.76,0.69835,0.75235,47375.730851467924,62970.33408848
1652486400000,2022-05-14 00:00:00,ENJ/USD,0.7,0.76349,0.64624,0.74834,45117.618312466715,60290.26687397
1652400000000,2022-05-13 00:00:00,ENJ/USD,0.58659,0.78,0.576,0.66514,30363.971314822873,45650.49660947
1652313600000,2022-05-12 00:00:00,ENJ/USD,0.6182,0.72284,0.48792,0.59294,56832.6407380593,95848.88983381
1652227200000,2022-05-11 00:00:00,ENJ/USD,0.82403,0.82403,0.56686,0.62042,58092.78050430277,93634.60317898
1652140800000,2022-05-10 00:00:00,ENJ/USD,0.77653,0.9,0.74527,0.81781,28197.185633289337,34478.895627699996
1652054400000,2022-05-09 00:00:00,ENJ/USD,1.0446,1.0499,0.7673,0.7673,31707.08574582101,41322.93202896
1651968000000,2022-05-08 00:00:00,ENJ/USD,1.0044,1.05,0.9535,0.97912,4573.179107280148,4670.70339415
1651881600000,2022-05-07 00:00:00,ENJ/USD,1.0536,1.0941,1.0,1.0005,2717.118281490645,2715.76040129
1651795200000,2022-05-06 00:00:00,ENJ/USD,1.073,1.1099,1.0319,1.0615,13527.27574844228,12743.54757272
1651708800000,2022-05-05 00:00:00,ENJ/USD,1.1943,1.3599,1.0347,1.0815,46224.33582508298,42740.94852065
1651622400000,2022-05-04 00:00:00,ENJ/USD,1.0717,1.1851,1.0671,1.171,13899.20118033292,11869.51424452
1651536000000,2022-05-03 00:00:00,ENJ/USD,1.0634,1.1876,1.05,1.0661,14340.492521219607,13451.35777246
1651449600000,2022-05-02 00:00:00,ENJ/USD,1.232,1.2389,1.05,1.15,11550.126737556,10043.58846744
1651363200000,2022-05-01 00:00:00,ENJ/USD,1.0666,1.324,1.0358,1.232,21029.576506621757,17069.46145018
1651276800000,2022-04-30 00:00:00,ENJ/USD,1.2195,1.3298,1.05,1.2351,15528.01831682221,12572.27618559
1651190400000,2022-04-29 00:00:00,ENJ/USD,1.3012,1.3798,1.1981,1.2094,5199.392811928953,4299.15066308
1651104000000,2022-04-28 00:00:00,ENJ/USD,1.35,1.39,1.282,1.3721,1451.9150161388623,1058.16997022
1651017600000,2022-04-27 00:00:00,ENJ/USD,1.3599,1.3899,1.2798,1.3342,12158.754232928002,9113.14213231
1650931200000,2022-04-26 00:00:00,ENJ/USD,1.3986,1.4274,1.3,1.3,16784.474723978,12911.134403060001
1650844800000,2022-04-25 00:00:00,ENJ/USD,1.3983,1.3993,1.3,1.3785,9787.492466996266,7100.103349290001
1650758400000,2022-04-24 00:00:00,ENJ/USD,1.4301,1.4511,1.3668,1.4006,2266.54899645476,1618.2700246
1650672000000,2022-04-23 00:00:00,ENJ/USD,1.4316,1.4492,1.4,1.4301,119222.93535601793,83366.85221734
1650585600000,2022-04-22 00:00:00,ENJ/USD,1.4321,1.4849,1.4236,1.4437,10692.920202093448,7406.60816104
1650499200000,2022-04-21 00:00:00,ENJ/USD,1.5167,1.5555,1.4195,1.4332,8700.791884450287,6070.88465284
1650412800000,2022-04-20 00:00:00,ENJ/USD,1.5128,1.581,1.48,1.5153,18583.327067868595,12263.79401298
1650326400000,2022-04-19 00:00:00,ENJ/USD,1.4617,1.5205,1.4383,1.5202,14100.160584401583,9275.20101592
1650240000000,2022-04-18 00:00:00,ENJ/USD,1.42,1.4501,1.3488,1.4501,12182.275186417548,8400.98971548
1650153600000,2022-04-17 00:00:00,ENJ/USD,1.5043,1.5204,1.4285,1.4286,13601.787642912252,9521.06092882
1650067200000,2022-04-16 00:00:00,ENJ/USD,1.5204,1.5287,1.4839,1.5044,4882.7178237733915,3245.62471668
1649980800000,2022-04-15 00:00:00,ENJ/USD,1.5248,1.5289,1.4864,1.5279,12760.732407087356,8351.81124883
