https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTG
1643846400000,2022-02-03 00:00:00,BTG/USD,29.377,30.143,28.81,29.142,1820.36636886078,62.46538909
1643760000000,2022-02-02 00:00:00,BTG/USD,30.193,31.688,29.378,29.378,19853.49939467552,675.79479184
1643673600000,2022-02-01 00:00:00,BTG/USD,29.7,30.042,29.566,30.005,2367.2902116215,78.8965243
1643587200000,2022-01-31 00:00:00,BTG/USD,29.274,29.867,28.71,29.735,3937.980630132,132.4358712
1643500800000,2022-01-30 00:00:00,BTG/USD,30.305,30.305,29.355,29.707,2494.42032210251,83.96742593
1643414400000,2022-01-29 00:00:00,BTG/USD,30.493,30.794,29.807,30.51,3804.9526605618003,124.71165718
1643328000000,2022-01-28 00:00:00,BTG/USD,28.726,31.41,28.37,29.877,15129.39583072422,506.38939086
1643241600000,2022-01-27 00:00:00,BTG/USD,28.911,29.605,27.733,28.16,22855.8057226752,811.64082822
1643155200000,2022-01-26 00:00:00,BTG/USD,28.826,31.797,28.6,28.6,37708.423391782,1318.47634237
1643068800000,2022-01-25 00:00:00,BTG/USD,28.439,29.588,27.604,28.669,13474.510169991601,470.0027964
1642982400000,2022-01-24 00:00:00,BTG/USD,29.126,30.273,25.931,28.359,58271.966165477075,2054.79622573
1642896000000,2022-01-23 00:00:00,BTG/USD,28.787,30.047,28.524,29.587,7285.67243984243,246.24573089
1642809600000,2022-01-22 00:00:00,BTG/USD,29.845,32.714,26.88,28.613,58935.114727232125,2059.7321052400002
1642723200000,2022-01-21 00:00:00,BTG/USD,34.114,35.305,29.77,29.792,23886.561217843522,801.77769931
1642636800000,2022-01-20 00:00:00,BTG/USD,35.859,36.648,34.238,34.255,10502.742202167801,306.60464756
1642550400000,2022-01-19 00:00:00,BTG/USD,36.966,37.199,35.328,35.913,34640.53431500157,964.56810389
1642464000000,2022-01-18 00:00:00,BTG/USD,36.3,37.816,35.379,37.025,48605.63477268925,1312.77879197
1642377600000,2022-01-17 00:00:00,BTG/USD,37.56,37.561,35.88,36.247,52471.49482014421,1447.60931443
1642291200000,2022-01-16 00:00:00,BTG/USD,38.237,38.237,37.22,37.741,15629.91754086543,414.13628523
1642204800000,2022-01-15 00:00:00,BTG/USD,37.31,38.741,37.31,38.193,25479.55843555326,667.12639582
1642118400000,2022-01-14 00:00:00,BTG/USD,36.274,38.894,36.274,37.041,9635.25601097982,260.12407902
1642032000000,2022-01-13 00:00:00,BTG/USD,37.32,37.488,36.05,36.05,4981.226103028,138.17548136
1641945600000,2022-01-12 00:00:00,BTG/USD,35.704,37.286,35.64,37.213,37363.85883159512,1004.05392824
1641859200000,2022-01-11 00:00:00,BTG/USD,34.144,36.838,34.109,35.68,46557.7462533184,1304.86956988
1641772800000,2022-01-10 00:00:00,BTG/USD,36.113,36.389,33.174,34.182,173570.68643825036,5077.83881687
1641686400000,2022-01-09 00:00:00,BTG/USD,35.861,36.541,35.568,36.453,12395.100612002941,340.02964398
1641600000000,2022-01-08 00:00:00,BTG/USD,36.792,37.706,35.122,35.986,6502.17878274106,180.68634421000002
1641513600000,2022-01-07 00:00:00,BTG/USD,38.141,40.08,35.419,36.497,43925.72975093371,1203.5435721000001
1641427200000,2022-01-06 00:00:00,BTG/USD,39.575,39.67,37.781,38.117,17394.374936438468,456.34165691
1641340800000,2022-01-05 00:00:00,BTG/USD,41.104,43.728,37.99,38.828,155793.57684949544,4012.40282398
1641254400000,2022-01-04 00:00:00,BTG/USD,40.892,42.619,40.559,41.077,23455.30431241167,571.0082117100001
1641168000000,2022-01-03 00:00:00,BTG/USD,41.996,43.145,40.908,41.194,15232.586156244302,369.77681595
1641081600000,2022-01-02 00:00:00,BTG/USD,41.161,42.657,40.77,41.912,37989.39473392856,906.40854013
1640995200000,2022-01-01 00:00:00,BTG/USD,40.433,41.366,40.433,40.978,25557.214768031103,623.68135995
1640908800000,2021-12-31 00:00:00,BTG/USD,40.583,41.543,39.763,40.02,3304.5325925760003,82.5720288
1640822400000,2021-12-30 00:00:00,BTG/USD,40.071,41.089,39.767,40.832,6251.477434850561,153.10240583
1640736000000,2021-12-29 00:00:00,BTG/USD,42.059,42.15,40.427,40.427,39963.10949018934,988.52523042
1640649600000,2021-12-28 00:00:00,BTG/USD,44.616,44.918,41.531,41.807,13248.62629344767,316.89971281
1640563200000,2021-12-27 00:00:00,BTG/USD,44.716,47.729,44.614,45.325,51624.12556036051,1138.97684634
1640476800000,2021-12-26 00:00:00,BTG/USD,45.229,45.229,43.952,44.853,4172.22444215229,93.01996393
1640390400000,2021-12-25 00:00:00,BTG/USD,45.261,45.872,44.903,45.243,36012.943144794335,795.98928331
1640304000000,2021-12-24 00:00:00,BTG/USD,44.62,47.052,44.08,45.544,94537.99728898704,2075.75086266
1640217600000,2021-12-23 00:00:00,BTG/USD,42.542,44.962,42.045,44.578,13973.585473005041,313.46371468
1640131200000,2021-12-22 00:00:00,BTG/USD,42.737,43.019,42.223,42.769,6988.12382712014,163.39226606
1640044800000,2021-12-21 00:00:00,BTG/USD,40.518,43.22,40.513,42.737,19361.01713243562,453.02705226
1639958400000,2021-12-20 00:00:00,BTG/USD,40.554,43.299,39.162,40.953,46790.74593239607,1142.54745519
1639872000000,2021-12-19 00:00:00,BTG/USD,40.546,41.803,40.546,40.909,8743.43225483464,213.72881896
1639785600000,2021-12-18 00:00:00,BTG/USD,40.036,41.295,39.954,40.755,7965.305320379551,195.44363441000002
1639699200000,2021-12-17 00:00:00,BTG/USD,41.0,41.798,39.42,40.26,24117.944865069,599.05476565
1639612800000,2021-12-16 00:00:00,BTG/USD,42.14,42.484,41.129,41.129,9165.41888156763,222.84565347
1639526400000,2021-12-15 00:00:00,BTG/USD,41.923,42.562,39.39,41.96,29248.686572774805,697.0611671300001
1639440000000,2021-12-14 00:00:00,BTG/USD,40.203,43.213,39.944,41.803,48109.54001850482,1150.86333561
1639353600000,2021-12-13 00:00:00,BTG/USD,44.369,44.694,39.628,40.214,30119.73881373196,748.98639314
1639267200000,2021-12-12 00:00:00,BTG/USD,44.684,44.684,43.373,44.219,12617.03719830358,285.33067682
1639180800000,2021-12-11 00:00:00,BTG/USD,44.0,45.184,42.347,44.491,21338.75888212084,479.61967324
1639094400000,2021-12-10 00:00:00,BTG/USD,42.553,49.514,41.687,44.056,50363.08752296888,1143.16069373
1639008000000,2021-12-09 00:00:00,BTG/USD,45.783,45.783,42.622,42.622,7969.07844618592,186.97101136
1638921600000,2021-12-08 00:00:00,BTG/USD,45.706,46.878,44.326,46.053,12087.032727988259,262.45918242
