https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ESS
1648598400000,2022-03-30 00:00:00,ESS/USD,0.0012899,0.0013379,0.00123,0.0012897,16152.136102640508,12523948.28459371
1648512000000,2022-03-29 00:00:00,ESS/USD,0.0013483,0.0013799,0.0012422,0.0012899,54352.24740173866,42136791.53557536
1648425600000,2022-03-28 00:00:00,ESS/USD,0.00127,0.0014735,0.0012222,0.0013487,40558.98729835226,30072653.14625362
1648339200000,2022-03-27 00:00:00,ESS/USD,0.0011925,0.0015,0.0011622,0.0012701,27200.129386898512,21415738.43547635
1648252800000,2022-03-26 00:00:00,ESS/USD,0.0011998,0.0012546,0.0011422,0.0011907,31895.77404997389,26787414.16811446
1648166400000,2022-03-25 00:00:00,ESS/USD,0.001147,0.001288,0.0011456,0.00119,16624.380892037545,13970067.97650214
1648080000000,2022-03-24 00:00:00,ESS/USD,0.0011406,0.0012723,0.001135,0.0011881,33070.555061324434,27834824.56133695
1647993600000,2022-03-23 00:00:00,ESS/USD,0.0012229,0.0013109,0.0011099,0.0011929,36821.769733714034,30867440.4675279
1647907200000,2022-03-22 00:00:00,ESS/USD,0.0014002,0.0015446,0.001118,0.001228,8514.38903937348,6933541.56300772
1647820800000,2022-03-21 00:00:00,ESS/USD,0.00095881,0.001575,0.00092,0.0013787,165227.05872666315,119842647.948548
1647734400000,2022-03-20 00:00:00,ESS/USD,0.00095538,0.001031,0.00089111,0.0009581,100081.11517619272,104457901.23806775
1647648000000,2022-03-19 00:00:00,ESS/USD,0.0009124,0.000968,0.00087111,0.00095538,43072.48178389062,45084135.92904458
1647561600000,2022-03-18 00:00:00,ESS/USD,0.00088881,0.000935,0.00088111,0.00091241,2599.4122590673514,2848951.96136315
1647475200000,2022-03-17 00:00:00,ESS/USD,0.00094562,0.00094639,0.00085581,0.00091423,5556.844890761628,6078169.4877236895
1647388800000,2022-03-16 00:00:00,ESS/USD,0.00091025,0.00096969,0.0009011,0.0009464,3499.8694618213276,3698086.92077486
1647302400000,2022-03-15 00:00:00,ESS/USD,0.00097969,0.0010745,0.00091022,0.00091024,63111.30430660267,69334795.55568056
1647216000000,2022-03-14 00:00:00,ESS/USD,0.0009677,0.00099,0.00091111,0.0009797,123441.43670732144,125999220.8914172
1647129600000,2022-03-13 00:00:00,ESS/USD,0.00097999,0.001018,0.00091,0.00096775,74677.2706311269,77165869.93658166
1647043200000,2022-03-12 00:00:00,ESS/USD,0.00099,0.0010387,0.00091522,0.00097,64473.34829805903,66467369.37944229
1646956800000,2022-03-11 00:00:00,ESS/USD,0.00099389,0.00103,0.00091019,0.00097072,47648.406675314676,49085634.04000606
1646870400000,2022-03-10 00:00:00,ESS/USD,0.00098992,0.001059,0.000904,0.0009939,55312.60108807911,55652078.76856737
1646784000000,2022-03-09 00:00:00,ESS/USD,0.00098881,0.0010322,0.00096003,0.00098993,2370.788586140817,2394905.28233392
1646697600000,2022-03-08 00:00:00,ESS/USD,0.00097975,0.001028,0.00095517,0.00096003,4438.071129732937,4622846.29619172
1646611200000,2022-03-07 00:00:00,ESS/USD,0.00094886,0.0011309,0.000907,0.00097976,102499.024217662,104616461.39632358
