https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MIM
1650067200000,2022-04-16 00:00:00,MIM/USD,0.99911,0.99911,0.9991,0.99911,1183.90669852046,1184.96131409
1649980800000,2022-04-15 00:00:00,MIM/USD,0.99901,1.0002,0.999,1.0002,0.373957386522,0.37388261
1649894400000,2022-04-14 00:00:00,MIM/USD,0.99914,0.99951,0.9987,0.99901,459.2898057862429,459.74495329
1649808000000,2022-04-13 00:00:00,MIM/USD,0.9991,0.99947,0.9987,0.99907,27309.830585655567,27335.25237036
1649721600000,2022-04-12 00:00:00,MIM/USD,1.0,1.0,0.9988,0.999,203.41953817866,203.62316134
1649635200000,2022-04-11 00:00:00,MIM/USD,0.9988,1.0009,0.9988,0.99978,52381.64168159071,52393.16817859
1649548800000,2022-04-10 00:00:00,MIM/USD,0.99905,1.0003,0.9988,0.9988,11523.079965240757,11536.92427437
1649462400000,2022-04-09 00:00:00,MIM/USD,0.99879,0.99977,0.9987,0.9988,33094.40946520627,33134.17046977
1649376000000,2022-04-08 00:00:00,MIM/USD,0.9989,0.99985,0.9987,0.9987,150074.68118097028,150270.03222286
1649289600000,2022-04-07 00:00:00,MIM/USD,0.9988,0.99985,0.9987,0.99897,11700.149910215187,11712.21349011
1649203200000,2022-04-06 00:00:00,MIM/USD,0.99801,0.999,0.998,0.9988,213037.86999666947,213293.82258377
1649116800000,2022-04-05 00:00:00,MIM/USD,0.99723,0.99877,0.997,0.99801,129233.05918981992,129490.74577391
1649030400000,2022-04-04 00:00:00,MIM/USD,0.997,0.99863,0.997,0.997,40951.74371725064,41074.96862312
1648944000000,2022-04-03 00:00:00,MIM/USD,0.99704,0.99872,0.997,0.997,23148.8129907123,23218.4683959
1648857600000,2022-04-02 00:00:00,MIM/USD,0.99885,0.99886,0.9969,0.99701,4493.913218755758,4507.3903158
1648771200000,2022-04-01 00:00:00,MIM/USD,0.99652,0.99884,0.9965,0.9969,12485.43091666711,12524.25611061
1648684800000,2022-03-31 00:00:00,MIM/USD,0.9918,0.9987,0.9915,0.99656,1556633.5039076325,1562006.80732483
1648598400000,2022-03-30 00:00:00,MIM/USD,0.99273,0.99527,0.9914,0.9928,131760.21851330996,132715.77207223
1648512000000,2022-03-29 00:00:00,MIM/USD,0.9926,0.99553,0.9912,0.99273,166493.2437467844,167712.51372154
1648425600000,2022-03-28 00:00:00,MIM/USD,0.99262,0.99846,0.98686,0.9926,302735.0581189196,304991.99891086
1648339200000,2022-03-27 00:00:00,MIM/USD,0.99251,0.99615,0.98599,0.98765,617.7858891057746,625.51094933
1648252800000,2022-03-26 00:00:00,MIM/USD,0.9919,0.99636,0.98516,0.98915,104.096682750405,105.2385207
1648166400000,2022-03-25 00:00:00,MIM/USD,0.99858,0.99969,0.98792,0.9899,975.120874795437,985.07008263
1648080000000,2022-03-24 00:00:00,MIM/USD,0.99869,1.0003,0.9932,0.99855,299.13989590601545,299.57427860999996
1647993600000,2022-03-23 00:00:00,MIM/USD,0.99834,0.99869,0.99412,0.99828,0.988734995694,0.99043855
1647907200000,2022-03-22 00:00:00,MIM/USD,0.99833,0.99864,0.99329,0.99534,110.4045659366796,110.92145994
1647820800000,2022-03-21 00:00:00,MIM/USD,0.99567,0.99866,0.99376,0.99832,107.6723232711376,107.85351718
1647734400000,2022-03-20 00:00:00,MIM/USD,0.99848,0.9986,0.99368,0.9986,200.467424408822,200.74847227
1647648000000,2022-03-19 00:00:00,MIM/USD,0.99831,0.99881,0.99338,0.99858,38.376328581346804,38.430900460000004
1647561600000,2022-03-18 00:00:00,MIM/USD,0.99769,0.99901,0.9931,0.99531,23.6140626712419,23.725334489999998
1647475200000,2022-03-17 00:00:00,MIM/USD,0.99649,0.99912,0.99164,0.9977,61.714838996195,61.85711035
1647388800000,2022-03-16 00:00:00,MIM/USD,0.9982,0.99927,0.9917,0.99213,277.7786346424235,279.98209371999997
1647302400000,2022-03-15 00:00:00,MIM/USD,0.9983,0.99936,0.99432,0.99495,148.54370008118852,149.29765323
1647216000000,2022-03-14 00:00:00,MIM/USD,0.99892,0.9991,0.99287,0.9982,849.2307620190519,850.76213386
1647129600000,2022-03-13 00:00:00,MIM/USD,0.99766,0.99971,0.9929,0.99892,5.7042077650324,5.71037497
1647043200000,2022-03-12 00:00:00,MIM/USD,0.9969,0.99964,0.99362,0.99483,1508.7904744962464,1516.63145914
1646956800000,2022-03-11 00:00:00,MIM/USD,0.999,0.99999,0.99181,0.99368,125.6835686439544,126.48294083
1646870400000,2022-03-10 00:00:00,MIM/USD,0.99404,0.99997,0.99357,0.997,3.31587345697,3.32585101
1646784000000,2022-03-09 00:00:00,MIM/USD,0.99908,0.99981,0.99311,0.9971,200.039190634621,200.62099151
1646697600000,2022-03-08 00:00:00,MIM/USD,0.9973,0.99979,0.99147,0.9969,187.06736490117598,187.64907703999998
1646611200000,2022-03-07 00:00:00,MIM/USD,0.99779,0.99995,0.99246,0.99382,170.6209320550952,171.68192636
1646524800000,2022-03-06 00:00:00,MIM/USD,0.99719,0.99989,0.99,0.9947,176.346913997114,177.28653262
1646438400000,2022-03-05 00:00:00,MIM/USD,0.99709,0.99948,0.99214,0.9971,128.26953825478,128.6426018
1646352000000,2022-03-04 00:00:00,MIM/USD,0.99727,0.99988,0.99201,0.9937,266.29563866393903,267.98393747
1646265600000,2022-03-03 00:00:00,MIM/USD,0.9967,0.99918,0.9927,0.99719,217.1457537058849,217.75765271
1646179200000,2022-03-02 00:00:00,MIM/USD,0.99634,0.99886,0.9912,0.99669,1296.4953364506466,1300.80098772
1646092800000,2022-03-01 00:00:00,MIM/USD,0.99157,0.9997,0.99,0.99238,377.0759159351836,379.97129722
1646006400000,2022-02-28 00:00:00,MIM/USD,0.99837,0.99869,0.99083,0.99157,16372.695561448412,16511.8908009
1645920000000,2022-02-27 00:00:00,MIM/USD,0.9977,1.0001,0.9923,0.9931,111290.12161567975,112063.35879134
