https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1652140800000,2022-05-10 00:00:00,REQ/USD,0.1491,0.16736,0.14325,0.1567,32628.73074210594,208224.19107917
1652054400000,2022-05-09 00:00:00,REQ/USD,0.16987,0.17221,0.14752,0.14899,20885.15952595329,140178.26381605
1651968000000,2022-05-08 00:00:00,REQ/USD,0.17071,0.19154,0.16374,0.17051,7363.133897194694,43183.00332646
1651881600000,2022-05-07 00:00:00,REQ/USD,0.1749,0.1749,0.16778,0.17373,249.98460595019938,1438.9259537799999
1651795200000,2022-05-06 00:00:00,REQ/USD,0.18185,0.18185,0.173,0.17629,1516.782212024136,8603.90386309
1651708800000,2022-05-05 00:00:00,REQ/USD,0.19658,0.20821,0.179,0.18331,30270.160484643326,165130.98295043
1651622400000,2022-05-04 00:00:00,REQ/USD,0.18643,0.19858,0.18558,0.19373,47225.752300402135,243770.98178084
1651536000000,2022-05-03 00:00:00,REQ/USD,0.18766,0.18876,0.18177,0.18598,7173.969500453826,38573.87622569
1651449600000,2022-05-02 00:00:00,REQ/USD,0.1893,0.19545,0.1837,0.19114,33269.620473284325,174058.91217581
1651363200000,2022-05-01 00:00:00,REQ/USD,0.18552,0.19189,0.17229,0.18927,20300.378244512725,107256.18557887
1651276800000,2022-04-30 00:00:00,REQ/USD,0.19647,0.20635,0.18624,0.18654,23096.73124858679,123816.50717587
1651190400000,2022-04-29 00:00:00,REQ/USD,0.20299,0.20612,0.19511,0.19858,39511.9011865423,198972.20861387
1651104000000,2022-04-28 00:00:00,REQ/USD,0.20467,0.21164,0.20094,0.20094,10539.642277052577,52451.68844955
1651017600000,2022-04-27 00:00:00,REQ/USD,0.20267,0.21278,0.20267,0.2045,10190.526539627424,49831.42562165
1650931200000,2022-04-26 00:00:00,REQ/USD,0.21182,0.21671,0.20112,0.20356,19489.225526805807,95741.92143253
1650844800000,2022-04-25 00:00:00,REQ/USD,0.20962,0.22135,0.201,0.21343,11494.23555873023,53854.82621342
1650758400000,2022-04-24 00:00:00,REQ/USD,0.21617,0.21669,0.21112,0.21247,7414.514994574142,34896.76187026
1650672000000,2022-04-23 00:00:00,REQ/USD,0.21734,0.22091,0.21484,0.21961,6807.339873619423,30997.4039143
1650585600000,2022-04-22 00:00:00,REQ/USD,0.22131,0.22831,0.21625,0.21734,4630.528464219652,21305.45902374
1650499200000,2022-04-21 00:00:00,REQ/USD,0.22279,0.25106,0.22098,0.22139,31732.38068231999,143332.49325769
1650412800000,2022-04-20 00:00:00,REQ/USD,0.2243,0.22682,0.21762,0.22231,31231.64312950085,140486.90175656
1650326400000,2022-04-19 00:00:00,REQ/USD,0.2249,0.23099,0.22304,0.22715,3412.543566182096,15023.30427551
1650240000000,2022-04-18 00:00:00,REQ/USD,0.21872,0.22748,0.21387,0.22727,6720.493786799978,29570.52750825
1650153600000,2022-04-17 00:00:00,REQ/USD,0.2214,0.22427,0.21608,0.21608,1034.09693548208,4785.713326
1650067200000,2022-04-16 00:00:00,REQ/USD,0.22178,0.22238,0.2214,0.2214,324.81295907040004,1467.086536
1649980800000,2022-04-15 00:00:00,REQ/USD,0.22602,0.22602,0.22509,0.22509,393.8659213752,1749.81528
1649894400000,2022-04-14 00:00:00,REQ/USD,0.22623,0.23402,0.21928,0.22242,8195.28566205908,36845.9925459
1649808000000,2022-04-13 00:00:00,REQ/USD,0.22147,0.22743,0.22147,0.22705,2264.709183460346,9974.495412729999
1649721600000,2022-04-12 00:00:00,REQ/USD,0.21699,0.22564,0.21684,0.21716,4796.361644893084,22086.76388328
1649635200000,2022-04-11 00:00:00,REQ/USD,0.23952,0.23952,0.20905,0.20905,21311.747176364657,101945.69326173
1649548800000,2022-04-10 00:00:00,REQ/USD,0.24195,0.24805,0.24015,0.24015,14968.361371024032,62329.21661888
