https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1654646400000,2022-06-08 00:00:00,OMG/USD,2.6343,2.749,2.5662,2.6519,1887501.9023630142,711754.55423018
1654560000000,2022-06-07 00:00:00,OMG/USD,2.5763,2.7282,2.404,2.6327,1381929.982759425,524909.7818815
1654473600000,2022-06-06 00:00:00,OMG/USD,2.4848,2.7202,2.4738,2.5761,1332629.5208052788,517305.04281871
1654387200000,2022-06-05 00:00:00,OMG/USD,2.4406,2.5143,2.3851,2.4803,840152.9765831867,338730.38607555
1654300800000,2022-06-04 00:00:00,OMG/USD,2.4255,2.4527,2.3502,2.4316,882559.1588038587,362954.08735148
1654214400000,2022-06-03 00:00:00,OMG/USD,2.5492,2.5523,2.3737,2.4212,738971.9275423087,305208.95735268
1654128000000,2022-06-02 00:00:00,OMG/USD,2.4875,2.5719,2.4112,2.5563,1045859.368681594,409130.13679208
1654041600000,2022-06-01 00:00:00,OMG/USD,2.7554,2.8623,2.4467,2.4859,1896467.5464647918,762889.71658747
1653955200000,2022-05-31 00:00:00,OMG/USD,2.7482,2.8431,2.6121,2.756,1402868.0240830912,509023.23079938
1653868800000,2022-05-30 00:00:00,OMG/USD,2.578,2.7878,2.5519,2.7552,1955201.4828267014,709640.49173443
1653782400000,2022-05-29 00:00:00,OMG/USD,2.3998,2.578,2.35,2.5772,3057099.35586527,1186209.59020071
1653696000000,2022-05-28 00:00:00,OMG/USD,2.3579,2.4668,2.3381,2.4028,1376676.705951165,572946.85614748
1653609600000,2022-05-27 00:00:00,OMG/USD,2.3551,2.45,2.236,2.3482,1624531.540175695,691819.92171693
1653523200000,2022-05-26 00:00:00,OMG/USD,2.5395,2.5956,2.2845,2.3535,1856760.9082269697,788936.01369321
1653436800000,2022-05-25 00:00:00,OMG/USD,2.5908,2.6299,2.45,2.536,2161846.8034246233,852463.25056176
1653350400000,2022-05-24 00:00:00,OMG/USD,2.5384,2.6165,2.4026,2.5908,2044624.8289384898,789186.67166068
1653264000000,2022-05-23 00:00:00,OMG/USD,2.5897,2.7947,2.4881,2.5371,2406119.0822357372,948373.76620383
1653177600000,2022-05-22 00:00:00,OMG/USD,2.5171,2.6499,2.4682,2.6035,3207209.105939667,1231883.65889751
1653091200000,2022-05-21 00:00:00,OMG/USD,2.3994,2.5391,2.3492,2.514,3582248.8441719296,1424919.98574858
1653004800000,2022-05-20 00:00:00,OMG/USD,2.5081,2.5608,2.3449,2.4033,1772682.3849652312,737603.45565066
1652918400000,2022-05-19 00:00:00,OMG/USD,2.3371,2.5382,2.2344,2.5016,2296505.239158545,918014.56634096
1652832000000,2022-05-18 00:00:00,OMG/USD,2.5708,2.6168,2.3161,2.3331,1248622.7016148362,535177.53273106
1652745600000,2022-05-17 00:00:00,OMG/USD,2.4477,2.6208,2.393,2.567,1239179.5045745682,482734.51678012003
1652659200000,2022-05-16 00:00:00,OMG/USD,2.6645,2.6645,2.3871,2.4385,1139371.1716704057,467242.63755194
1652572800000,2022-05-15 00:00:00,OMG/USD,2.5874,2.6699,2.3523,2.6602,1880350.9183695237,706845.69519943
1652486400000,2022-05-14 00:00:00,OMG/USD,2.4764,2.6159,2.2822,2.5906,2099603.657818624,810470.02926682
1652400000000,2022-05-13 00:00:00,OMG/USD,2.3608,2.7222,2.3072,2.4766,1062919.6152845551,429185.01788119
1652313600000,2022-05-12 00:00:00,OMG/USD,2.5258,2.6441,1.9061,2.3492,9128605.853288384,3885835.96683483
1652227200000,2022-05-11 00:00:00,OMG/USD,3.1028,3.2101,2.2556,2.5305,2817457.90632611,1113399.68635689
1652140800000,2022-05-10 00:00:00,OMG/USD,2.9174,3.3973,2.8018,3.0997,2566909.205071662,828115.36763934
1652054400000,2022-05-09 00:00:00,OMG/USD,3.5787,3.6708,2.892,2.9097,2148015.152411023,738225.64264736
1651968000000,2022-05-08 00:00:00,OMG/USD,3.6191,3.74,3.5103,3.5653,1127829.2054292317,316335.00839459
1651881600000,2022-05-07 00:00:00,OMG/USD,3.6747,3.7203,3.4931,3.6146,770698.7103705192,213218.25661775
1651795200000,2022-05-06 00:00:00,OMG/USD,3.7571,3.7661,3.5398,3.6709,1010914.6451164185,275386.04841222
1651708800000,2022-05-05 00:00:00,OMG/USD,4.2502,4.2874,3.653,3.7594,863245.0873790622,229623.10139359
1651622400000,2022-05-04 00:00:00,OMG/USD,3.7343,4.2776,3.7138,4.2509,1350470.954138218,317690.59590633
1651536000000,2022-05-03 00:00:00,OMG/USD,3.839,3.9487,3.6339,3.7409,923257.4270904968,246800.88403606
1651449600000,2022-05-02 00:00:00,OMG/USD,3.8499,3.9104,3.6454,3.8381,718958.7018449253,187321.51372943
1651363200000,2022-05-01 00:00:00,OMG/USD,3.6123,3.8753,3.5377,3.8588,984665.892531618,255174.11955313
1651276800000,2022-04-30 00:00:00,OMG/USD,3.9703,4.0621,3.4632,3.6145,1267195.2748246968,350586.60252447
1651190400000,2022-04-29 00:00:00,OMG/USD,4.1649,4.1871,3.84,3.9672,878362.1951016211,221406.07862009
1651104000000,2022-04-28 00:00:00,OMG/USD,4.204,4.3665,4.1163,4.1648,850841.9229572663,204293.58503584
1651017600000,2022-04-27 00:00:00,OMG/USD,4.0975,4.2754,4.0794,4.201,481979.50471680536,114729.70833535
1650931200000,2022-04-26 00:00:00,OMG/USD,4.526,4.621,4.03,4.0985,1134055.6591125925,276700.17301759
1650844800000,2022-04-25 00:00:00,OMG/USD,4.5429,4.5634,4.2011,4.5238,724167.8866521494,160079.55405901
1650758400000,2022-04-24 00:00:00,OMG/USD,4.5873,4.92,4.4819,4.5446,767626.7286201459,168909.63530787
1650672000000,2022-04-23 00:00:00,OMG/USD,4.6311,4.6837,4.541,4.5955,460103.38866057934,100120.4196846
1650585600000,2022-04-22 00:00:00,OMG/USD,4.5974,4.7836,4.531,4.639,543751.9001444429,117213.17097315
1650499200000,2022-04-21 00:00:00,OMG/USD,4.7681,5.0522,4.5542,4.6013,941465.9953995328,204608.69654218
1650412800000,2022-04-20 00:00:00,OMG/USD,4.8117,4.9732,4.6295,4.7674,1255406.739485973,263331.53070562
1650326400000,2022-04-19 00:00:00,OMG/USD,4.7079,4.8127,4.635,4.8123,648121.7115537624,134680.23846264
1650240000000,2022-04-18 00:00:00,OMG/USD,4.5048,4.7249,4.2997,4.7018,1284937.6274770133,273286.32172296
1650153600000,2022-04-17 00:00:00,OMG/USD,4.7803,4.7849,4.4789,4.5035,760103.894767658,168780.70273513
1650067200000,2022-04-16 00:00:00,OMG/USD,4.6362,4.88,4.6362,4.7794,1236100.6682312281,258630.93029067
1649980800000,2022-04-15 00:00:00,OMG/USD,4.5189,4.8604,4.5097,4.6371,1398007.1679820048,301483.07519398
1649894400000,2022-04-14 00:00:00,OMG/USD,4.6292,4.7704,4.4531,4.5173,661626.9708546788,146465.13865687
1649808000000,2022-04-13 00:00:00,OMG/USD,4.4347,4.6689,4.3943,4.6399,671702.6887776076,144766.6304829
1649721600000,2022-04-12 00:00:00,OMG/USD,4.24,4.5815,4.1886,4.4288,976754.9702182822,220546.19089105
1649635200000,2022-04-11 00:00:00,OMG/USD,4.6991,4.7208,4.1668,4.2356,1204151.6887424914,284293.06089869
1649548800000,2022-04-10 00:00:00,OMG/USD,4.8835,4.9392,4.6877,4.7015,802773.2230320609,170748.31926663
1649462400000,2022-04-09 00:00:00,OMG/USD,4.6952,4.8951,4.6881,4.8811,826952.5296210232,169419.29680216
1649376000000,2022-04-08 00:00:00,OMG/USD,4.9859,5.0825,4.6443,4.6963,871880.7815310943,185652.70138856
1649289600000,2022-04-07 00:00:00,OMG/USD,4.7894,5.0686,4.6947,4.9871,796258.3922466667,159663.61056459
1649203200000,2022-04-06 00:00:00,OMG/USD,5.4678,5.4678,4.7786,4.7907,1576285.4415571438,329030.29652392
1649116800000,2022-04-05 00:00:00,OMG/USD,5.8018,5.8875,5.45,5.4647,564371.1943673613,103275.78721016
1649030400000,2022-04-04 00:00:00,OMG/USD,6.0227,6.072,5.5614,5.7991,856687.8857624171,147727.7311587
1648944000000,2022-04-03 00:00:00,OMG/USD,6.0365,6.2646,5.802,6.011,962361.5883077327,160100.08123569
