https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1654992000000,2022-06-12 00:00:00,MOB/USD,1.6207,1.6509,1.5743,1.5953,3799.2884659534207,2381.55109757
1654905600000,2022-06-11 00:00:00,MOB/USD,1.6716,1.7246,1.6064,1.6213,6490.683546689838,4003.38219126
1654819200000,2022-06-10 00:00:00,MOB/USD,1.9105,1.9365,1.6657,1.6734,3629.9480925260164,2169.20526624
1654732800000,2022-06-09 00:00:00,MOB/USD,1.9284,1.9486,1.9094,1.9102,2048.388223389714,1072.34228007
1654646400000,2022-06-08 00:00:00,MOB/USD,1.9909,2.0076,1.9272,1.9272,2099.543758590696,1089.42702293
1654560000000,2022-06-07 00:00:00,MOB/USD,2.005,2.0439,1.9253,1.9872,2929.738035880224,1474.30456717
1654473600000,2022-06-06 00:00:00,MOB/USD,1.9849,2.0937,1.9824,2.0085,5470.392797600835,2723.62100951
1654387200000,2022-06-05 00:00:00,MOB/USD,2.0232,2.0644,1.9631,1.982,1787.3811409447198,901.80683196
1654300800000,2022-06-04 00:00:00,MOB/USD,1.9913,2.0462,1.9782,2.026,1291.0589705874397,637.24529644
1654214400000,2022-06-03 00:00:00,MOB/USD,2.0607,2.1354,1.9639,1.9905,3453.3194583872996,1734.9005066
1654128000000,2022-06-02 00:00:00,MOB/USD,2.0689,2.0803,1.9925,2.0605,27026.038015679176,13116.252373540001
1654041600000,2022-06-01 00:00:00,MOB/USD,2.2912,2.4176,2.052,2.0715,18370.305110432113,8868.11735961
1653955200000,2022-05-31 00:00:00,MOB/USD,2.0639,2.4209,2.0232,2.2903,100176.76288016717,43739.58122524
1653868800000,2022-05-30 00:00:00,MOB/USD,1.9873,2.0715,1.9522,2.0613,33494.10523527746,16249.02015004
1653782400000,2022-05-29 00:00:00,MOB/USD,1.9684,1.9972,1.9183,1.9845,412.73565965950496,207.97967229
1653696000000,2022-05-28 00:00:00,MOB/USD,1.9138,1.9883,1.883,1.9735,4252.57658468555,2154.8399213000002
1653609600000,2022-05-27 00:00:00,MOB/USD,1.9214,1.9563,1.8504,1.907,19985.94091299073,10480.30462139
1653523200000,2022-05-26 00:00:00,MOB/USD,1.9475,2.0011,1.8647,1.9206,4112.242510944745,2141.12387324
1653436800000,2022-05-25 00:00:00,MOB/USD,2.0087,2.098,1.9412,1.9451,5654.441259598513,2907.01828163
1653350400000,2022-05-24 00:00:00,MOB/USD,1.9094,2.0195,1.872,2.0051,10970.847779809874,5471.47163723
1653264000000,2022-05-23 00:00:00,MOB/USD,2.0609,2.0828,1.8936,1.906,4029.93744078442,2114.34283357
1653177600000,2022-05-22 00:00:00,MOB/USD,1.9775,2.0878,1.9134,2.0711,8989.845584941178,4340.61396598
1653091200000,2022-05-21 00:00:00,MOB/USD,1.8645,2.0341,1.8469,1.9709,4141.0900911717135,2101.11628757
1653004800000,2022-05-20 00:00:00,MOB/USD,2.022,2.1404,1.8523,1.8645,7217.682151591395,3871.10868951
1652918400000,2022-05-19 00:00:00,MOB/USD,1.8107,2.2447,1.7723,2.0243,82186.78136477286,40600.09947378
1652832000000,2022-05-18 00:00:00,MOB/USD,1.9261,1.9469,1.8033,1.8058,16229.349615514364,8987.34611558
1652745600000,2022-05-17 00:00:00,MOB/USD,1.8166,2.0551,1.8144,1.9217,24152.117741270584,12568.09998505
