https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1651622400000,2022-05-04 00:00:00,UDC/USD,1.0002,1.0003,0.99976,1.0,794263.19292253,794263.19292253
1651536000000,2022-05-03 00:00:00,UDC/USD,1.0001,1.0005,0.99999,1.0002,133683.22031520348,133656.4890174
1651449600000,2022-05-02 00:00:00,UDC/USD,1.0002,1.0004,1.0001,1.0001,129881.88282709375,129868.8959375
1651363200000,2022-05-01 00:00:00,UDC/USD,1.0002,1.0003,0.99991,1.0002,579387.9550723503,579272.10065222
1651276800000,2022-04-30 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0002,205442.8503265545,205401.76997256
1651190400000,2022-04-29 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0001,397149.47323199554,397109.76225577
1651104000000,2022-04-28 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0001,77072.86329345779,77065.15677778001
1651017600000,2022-04-27 00:00:00,UDC/USD,1.0003,1.0004,1.0,1.0001,107748.6735349045,107737.89974493001
1650931200000,2022-04-26 00:00:00,UDC/USD,1.0002,1.0004,1.0001,1.0001,160520.79735028755,160504.7468756
1650844800000,2022-04-25 00:00:00,UDC/USD,1.0002,1.0005,1.0,1.0002,321650.4634775096,321586.14624826
1650758400000,2022-04-24 00:00:00,UDC/USD,1.0001,1.0005,1.0,1.0002,44915.83913848338,44906.85776693
1650672000000,2022-04-23 00:00:00,UDC/USD,1.0002,1.0006,1.0,1.0001,202839.05252495478,202818.77064789
1650585600000,2022-04-22 00:00:00,UDC/USD,1.0001,1.0003,1.0,1.0002,100561.19657953238,100541.08836186
1650499200000,2022-04-21 00:00:00,UDC/USD,1.0,1.0003,1.0,1.0,162118.49122787,162118.49122787
1650412800000,2022-04-20 00:00:00,UDC/USD,1.0001,1.0003,1.0,1.0001,108111.91387702667,108101.10376665
1650326400000,2022-04-19 00:00:00,UDC/USD,1.0001,1.0004,1.0,1.0001,127638.01545781325,127625.25293252
1650240000000,2022-04-18 00:00:00,UDC/USD,1.0003,1.0003,1.0,1.0001,130421.92532202335,130408.88443358
1650153600000,2022-04-17 00:00:00,UDC/USD,1.0003,1.0004,1.0,1.0001,136722.15147375254,136708.48062569
1650067200000,2022-04-16 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0002,131182.24189274813,131156.01069061
1649980800000,2022-04-15 00:00:00,UDC/USD,1.0,1.0003,1.0,1.0001,434370.94093376823,434327.50818294997
1649894400000,2022-04-14 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0001,13230.735294785356,13229.41235355
1649808000000,2022-04-13 00:00:00,UDC/USD,1.0002,1.0004,0.9999,1.0001,108122.9284736962,108112.11726197001
1649721600000,2022-04-12 00:00:00,UDC/USD,1.0005,1.0005,0.99968,1.0002,863579.2651698507,863406.58385308
1649635200000,2022-04-11 00:00:00,UDC/USD,1.0003,1.0006,0.99996,1.0003,710231.4460283689,710018.44049622
1649548800000,2022-04-10 00:00:00,UDC/USD,0.99995,1.0004,0.99995,1.0003,103355.6908066896,103324.69339867
1649462400000,2022-04-09 00:00:00,UDC/USD,1.0,1.0003,0.99975,1.0,441256.64309467,441256.64309467
1649376000000,2022-04-08 00:00:00,UDC/USD,1.0,1.0003,0.99993,1.0,12688.7685309,12688.7685309
1649289600000,2022-04-07 00:00:00,UDC/USD,1.0002,1.0006,0.99978,1.0001,630145.9315551963,630082.92326287
1649203200000,2022-04-06 00:00:00,UDC/USD,0.99991,1.0005,0.9995,1.0001,1032806.401203379,1032703.13089029
1649116800000,2022-04-05 00:00:00,UDC/USD,0.99995,0.99995,0.99951,0.99991,1042209.4837613748,1042303.29105757
1649030400000,2022-04-04 00:00:00,UDC/USD,0.99995,0.99995,0.9997,0.99991,200640.63415571058,200658.69343812
1648944000000,2022-04-03 00:00:00,UDC/USD,0.99999,0.99999,0.99974,0.99995,262626.4829416839,262639.61492243
1648857600000,2022-04-02 00:00:00,UDC/USD,1.0003,1.0003,0.99981,0.99993,236989.48996529263,237006.08039092
