https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FET
1650067200000,2022-04-16 00:00:00,FET/USD,0.33457,0.34058,0.32931,0.33571,2171.9753225838426,6469.79631999
1649980800000,2022-04-15 00:00:00,FET/USD,0.33238,0.3404,0.32811,0.33434,11377.842042658172,34030.753253150004
1649894400000,2022-04-14 00:00:00,FET/USD,0.35148,0.35742,0.32777,0.33245,5077.905351682045,15274.19266561
1649808000000,2022-04-13 00:00:00,FET/USD,0.34634,0.363,0.33751,0.35148,13479.12842404047,38349.63134187
1649721600000,2022-04-12 00:00:00,FET/USD,0.33764,0.37177,0.33105,0.34705,6855.071502212956,19752.40311832
1649635200000,2022-04-11 00:00:00,FET/USD,0.37568,0.37819,0.33442,0.33684,4331.598148546577,12859.51237545
1649548800000,2022-04-10 00:00:00,FET/USD,0.4016,0.41353,0.37551,0.37551,3569.3951146216436,9505.45954734
1649462400000,2022-04-09 00:00:00,FET/USD,0.40143,0.41772,0.39159,0.40199,3601.1428225720215,8958.28956584
1649376000000,2022-04-08 00:00:00,FET/USD,0.44846,0.46634,0.39882,0.402,8264.33258301456,20558.04125128
1649289600000,2022-04-07 00:00:00,FET/USD,0.44916,0.46621,0.43459,0.44988,4138.930602826118,9200.07691568
1649203200000,2022-04-06 00:00:00,FET/USD,0.50459,0.50767,0.43714,0.44801,36896.25174388213,82355.86648486
1649116800000,2022-04-05 00:00:00,FET/USD,0.4804,0.53905,0.48009,0.50562,75101.14499596487,148532.78152756
1649030400000,2022-04-04 00:00:00,FET/USD,0.4717,0.4845,0.4482,0.48031,9771.214479575361,20343.55828439
1648944000000,2022-04-03 00:00:00,FET/USD,0.46047,0.47615,0.45603,0.47126,3585.9802086152995,7609.34560246
1648857600000,2022-04-02 00:00:00,FET/USD,0.47606,0.49094,0.45949,0.45949,7987.805593301955,17384.06840911
1648771200000,2022-04-01 00:00:00,FET/USD,0.45683,0.48915,0.43001,0.47662,26665.192351864443,55946.44024981
1648684800000,2022-03-31 00:00:00,FET/USD,0.47012,0.48313,0.44202,0.45357,17963.2539377669,39604.1491672
1648598400000,2022-03-30 00:00:00,FET/USD,0.4687,0.47909,0.45101,0.46904,9806.121336779195,20906.79118365
1648512000000,2022-03-29 00:00:00,FET/USD,0.43094,0.49192,0.43094,0.46998,16982.95623712758,36135.487121
1648425600000,2022-03-28 00:00:00,FET/USD,0.44521,0.46348,0.42995,0.43029,35354.76527025671,82164.9707645
1648339200000,2022-03-27 00:00:00,FET/USD,0.43224,0.44784,0.41551,0.44651,11023.700524367016,24688.5859765
1648252800000,2022-03-26 00:00:00,FET/USD,0.40528,0.43385,0.39974,0.43211,13665.814059054845,31625.77598078
1648166400000,2022-03-25 00:00:00,FET/USD,0.4398,0.44447,0.40351,0.40582,18454.315943787075,45474.14110637
1648080000000,2022-03-24 00:00:00,FET/USD,0.39788,0.4527,0.39641,0.43892,61426.96630976107,139950.25587752
1647993600000,2022-03-23 00:00:00,FET/USD,0.37468,0.45608,0.35869,0.39818,57011.70340238712,143180.73083125
1647907200000,2022-03-22 00:00:00,FET/USD,0.33964,0.42187,0.33902,0.37402,69074.00520611973,184679.97755767
1647820800000,2022-03-21 00:00:00,FET/USD,0.32765,0.345,0.3226,0.34017,7965.070848147497,23414.9714794
1647734400000,2022-03-20 00:00:00,FET/USD,0.34324,0.34593,0.32194,0.32715,3081.0327332090083,9417.79835919
1647648000000,2022-03-19 00:00:00,FET/USD,0.33133,0.34699,0.32998,0.34376,3186.1301358333503,9268.47258504
1647561600000,2022-03-18 00:00:00,FET/USD,0.32913,0.33713,0.31964,0.33113,11737.100057825846,35445.59556013
1647475200000,2022-03-17 00:00:00,FET/USD,0.3298,0.34031,0.32351,0.32975,6647.556327066758,20159.38234137
1647388800000,2022-03-16 00:00:00,FET/USD,0.32721,0.33579,0.31528,0.32891,11902.027174097097,36186.27336991
1647302400000,2022-03-15 00:00:00,FET/USD,0.32431,0.33296,0.31584,0.32676,22147.969214678596,67780.53989068
1647216000000,2022-03-14 00:00:00,FET/USD,0.31494,0.33878,0.31285,0.32458,31897.201032013774,98272.23190589
1647129600000,2022-03-13 00:00:00,FET/USD,0.33733,0.34461,0.31414,0.31592,8257.61825765977,26138.32064339
1647043200000,2022-03-12 00:00:00,FET/USD,0.34027,0.3548,0.3325,0.33805,8459.889947082802,25025.55819282
1646956800000,2022-03-11 00:00:00,FET/USD,0.35644,0.36769,0.33687,0.33966,14633.700706155789,43083.37957415
1646870400000,2022-03-10 00:00:00,FET/USD,0.35598,0.3601,0.31912,0.35724,11592.606777827228,32450.47244941
1646784000000,2022-03-09 00:00:00,FET/USD,0.32116,0.37165,0.31845,0.35637,15266.598126928771,42839.17873819
1646697600000,2022-03-08 00:00:00,FET/USD,0.32517,0.3349,0.31608,0.32044,11004.124238126982,34340.66982314
1646611200000,2022-03-07 00:00:00,FET/USD,0.31582,0.33912,0.30644,0.32457,73596.97392918225,226752.23812793
1646524800000,2022-03-06 00:00:00,FET/USD,0.34366,0.37112,0.31452,0.31567,41671.53356127442,132009.79998503
1646438400000,2022-03-05 00:00:00,FET/USD,0.30902,0.35696,0.30226,0.34278,60053.79074379129,175196.30883888
1646352000000,2022-03-04 00:00:00,FET/USD,0.32176,0.36296,0.30787,0.30947,33002.94201276826,106643.4291297
1646265600000,2022-03-03 00:00:00,FET/USD,0.34079,0.34948,0.31469,0.3214,5365.825619100188,16695.16371842
1646179200000,2022-03-02 00:00:00,FET/USD,0.36467,0.42941,0.33407,0.34023,31545.120487723147,92717.04578586
1646092800000,2022-03-01 00:00:00,FET/USD,0.28379,0.4071,0.28182,0.36115,45366.762156201505,125617.50562426
1646006400000,2022-02-28 00:00:00,FET/USD,0.26275,0.28399,0.26004,0.28356,16779.79293685856,59175.45823409
1645920000000,2022-02-27 00:00:00,FET/USD,0.2756,0.28509,0.25173,0.26247,8889.498007351087,33868.62501372
1645833600000,2022-02-26 00:00:00,FET/USD,0.27839,0.2896,0.27297,0.27595,3806.295311247449,13793.42384942
1645747200000,2022-02-25 00:00:00,FET/USD,0.26102,0.28507,0.25785,0.27915,9323.47770225347,33399.52606933
1645660800000,2022-02-24 00:00:00,FET/USD,0.27242,0.27488,0.22681,0.26128,18255.182002257992,69868.27159468
1645574400000,2022-02-23 00:00:00,FET/USD,0.29284,0.30286,0.27244,0.27324,3609.9409382778454,13211.61227594
1645488000000,2022-02-22 00:00:00,FET/USD,0.2774,0.2968,0.26051,0.2931,11412.042126115814,38935.66061452
1645401600000,2022-02-21 00:00:00,FET/USD,0.30731,0.33402,0.27556,0.27586,9876.194103859025,35801.47213753
1645315200000,2022-02-20 00:00:00,FET/USD,0.33567,0.3405,0.29717,0.30717,14256.921486222192,46413.78222555
1645228800000,2022-02-19 00:00:00,FET/USD,0.32755,0.34978,0.31813,0.3341,21118.166508149698,63209.11855178
1645142400000,2022-02-18 00:00:00,FET/USD,0.33235,0.34816,0.32588,0.32844,3059.3653524335496,9314.83787734
1645056000000,2022-02-17 00:00:00,FET/USD,0.37482,0.37695,0.33015,0.3343,19034.401664757443,56938.08454908
1644969600000,2022-02-16 00:00:00,FET/USD,0.36003,0.38581,0.35466,0.37131,23267.839852435023,62664.18855521
1644883200000,2022-02-15 00:00:00,FET/USD,0.3446,0.36683,0.34248,0.3597,5236.874556574353,14559.00627349
1644796800000,2022-02-14 00:00:00,FET/USD,0.33647,0.3506,0.32152,0.34413,6712.665424552563,19506.1907551
1644710400000,2022-02-13 00:00:00,FET/USD,0.3465,0.3659,0.33725,0.33725,3766.7740698167872,11169.08545535
1644624000000,2022-02-12 00:00:00,FET/USD,0.36297,0.36922,0.34238,0.34559,7303.034202270146,21132.07616618
1644537600000,2022-02-11 00:00:00,FET/USD,0.3937,0.40493,0.35085,0.36346,28263.776170112007,77763.0995711
1644451200000,2022-02-10 00:00:00,FET/USD,0.41901,0.42806,0.38005,0.3962,32374.367453776784,81712.18438611
1644364800000,2022-02-09 00:00:00,FET/USD,0.38745,0.4295,0.37861,0.41862,11113.117774152537,26547.03018048
1644278400000,2022-02-08 00:00:00,FET/USD,0.39013,0.42269,0.36648,0.38681,62075.66758869726,160481.03096791
1644192000000,2022-02-07 00:00:00,FET/USD,0.34982,0.42403,0.34229,0.38966,91945.1429385017,235962.48765206
1644105600000,2022-02-06 00:00:00,FET/USD,0.34481,0.35476,0.33774,0.34905,7629.111976750837,21856.78835912
1644019200000,2022-02-05 00:00:00,FET/USD,0.33702,0.35426,0.33466,0.34365,18713.244949862117,54454.3720351
1643932800000,2022-02-04 00:00:00,FET/USD,0.31405,0.33742,0.30999,0.33683,17446.41350654632,51795.90151277
1643846400000,2022-02-03 00:00:00,FET/USD,0.30325,0.31592,0.29874,0.31592,24581.18609856658,77808.26189721
1643760000000,2022-02-02 00:00:00,FET/USD,0.32643,0.3293,0.30127,0.30461,18154.729466690078,59599.91289416
1643673600000,2022-02-01 00:00:00,FET/USD,0.32043,0.33298,0.31834,0.32565,14594.665342429262,44817.02853502
1643587200000,2022-01-31 00:00:00,FET/USD,0.31128,0.33195,0.29391,0.32147,6216.714660347065,19338.39754984
1643500800000,2022-01-30 00:00:00,FET/USD,0.31598,0.32911,0.30378,0.31143,7842.451062863768,25182.06679788
1643414400000,2022-01-29 00:00:00,FET/USD,0.31482,0.33118,0.31314,0.31616,17478.724534804416,55284.42729885
1643328000000,2022-01-28 00:00:00,FET/USD,0.31371,0.32098,0.30075,0.31513,17742.793357411374,56303.0919221
1643241600000,2022-01-27 00:00:00,FET/USD,0.31667,0.3263,0.29835,0.31336,47413.26827084628,151306.06417809
1643155200000,2022-01-26 00:00:00,FET/USD,0.32483,0.35268,0.30911,0.31713,16913.293625196504,53332.36724749
1643068800000,2022-01-25 00:00:00,FET/USD,0.32669,0.338,0.31372,0.32435,21718.046786172454,66958.67669546
1642982400000,2022-01-24 00:00:00,FET/USD,0.35482,0.35482,0.28468,0.32756,63833.74696388388,194876.50190464
1642896000000,2022-01-23 00:00:00,FET/USD,0.3348,0.36908,0.32647,0.3553,44873.24837100625,126296.78685901
1642809600000,2022-01-22 00:00:00,FET/USD,0.37747,0.39156,0.31199,0.3354,152675.04031414737,455202.86319066
1642723200000,2022-01-21 00:00:00,FET/USD,0.46036,0.47479,0.36776,0.37719,116796.47896371747,309648.92749998
1642636800000,2022-01-20 00:00:00,FET/USD,0.46364,0.54048,0.45758,0.46123,85321.34921718756,184986.55598549
1642550400000,2022-01-19 00:00:00,FET/USD,0.47316,0.48699,0.44168,0.46341,24725.317882544714,53355.16687716
1642464000000,2022-01-18 00:00:00,FET/USD,0.46492,0.475,0.43906,0.47282,13321.428149575548,28174.41764218
1642377600000,2022-01-17 00:00:00,FET/USD,0.4828,0.48294,0.45116,0.46356,291793.78559509024,629462.82163062
1642291200000,2022-01-16 00:00:00,FET/USD,0.49527,0.50736,0.48045,0.48404,24726.894191332474,51084.40251081
1642204800000,2022-01-15 00:00:00,FET/USD,0.50745,0.50935,0.48453,0.49755,16464.48073001771,33091.10788869
1642118400000,2022-01-14 00:00:00,FET/USD,0.48491,0.50856,0.46944,0.50559,107396.05338171097,212417.28155563
1642032000000,2022-01-13 00:00:00,FET/USD,0.51237,0.54354,0.48363,0.48439,55019.76506537289,113585.67490116
1641945600000,2022-01-12 00:00:00,FET/USD,0.46986,0.51767,0.45671,0.51256,31344.948948455876,61153.71653749
1641859200000,2022-01-11 00:00:00,FET/USD,0.45133,0.47531,0.43542,0.46972,104569.66797288883,222621.28070529
1641772800000,2022-01-10 00:00:00,FET/USD,0.46496,0.47639,0.41796,0.45097,162368.04401233763,360041.78551198
1641686400000,2022-01-09 00:00:00,FET/USD,0.47361,0.48819,0.451,0.46504,20807.62932601953,44743.74102447
1641600000000,2022-01-08 00:00:00,FET/USD,0.49601,0.52766,0.45759,0.47722,38918.75688821318,81553.07172418
1641513600000,2022-01-07 00:00:00,FET/USD,0.54566,0.54566,0.495,0.49527,55560.443718052244,112182.13038959
1641427200000,2022-01-06 00:00:00,FET/USD,0.56588,0.62951,0.53404,0.54543,329556.3507006077,604213.83257358
1641340800000,2022-01-05 00:00:00,FET/USD,0.54082,0.64602,0.52354,0.56838,247307.05192034369,435108.64548426
1641254400000,2022-01-04 00:00:00,FET/USD,0.53523,0.56344,0.522,0.54152,22963.163932969324,42405.01538811
1641168000000,2022-01-03 00:00:00,FET/USD,0.56678,0.56759,0.52452,0.53468,36464.10194689443,68197.99122259
1641081600000,2022-01-02 00:00:00,FET/USD,0.52334,0.56941,0.51975,0.56725,37417.589594852,65963.137232
1640995200000,2022-01-01 00:00:00,FET/USD,0.5051,0.52709,0.50079,0.52309,9088.730495699616,17375.07980596
1640908800000,2021-12-31 00:00:00,FET/USD,0.49658,0.53811,0.48772,0.50322,157917.0942099793,313813.23121096
1640822400000,2021-12-30 00:00:00,FET/USD,0.501,0.51566,0.48949,0.49475,16868.486797630165,34094.97078854
1640736000000,2021-12-29 00:00:00,FET/USD,0.51895,0.53058,0.4964,0.49921,17859.302315415207,35775.12933518
1640649600000,2021-12-28 00:00:00,FET/USD,0.56798,0.5781,0.51412,0.5207,106935.94423467631,205369.58754499
1640563200000,2021-12-27 00:00:00,FET/USD,0.55907,0.59635,0.55543,0.56774,104138.07769334505,183425.64852458
1640476800000,2021-12-26 00:00:00,FET/USD,0.56599,0.56969,0.54634,0.55858,48502.29491485469,86831.42059303
1640390400000,2021-12-25 00:00:00,FET/USD,0.57396,0.58735,0.555,0.5693,29015.662085855547,50967.26170008
1640304000000,2021-12-24 00:00:00,FET/USD,0.57446,0.61155,0.57063,0.57366,48406.21479576049,84381.36665579
1640217600000,2021-12-23 00:00:00,FET/USD,0.55655,0.58822,0.53923,0.57315,32061.380161162913,55938.89934775
1640131200000,2021-12-22 00:00:00,FET/USD,0.55978,0.58381,0.54926,0.55611,38324.92110614666,68916.07974348
1640044800000,2021-12-21 00:00:00,FET/USD,0.47377,0.59304,0.47377,0.56468,216874.54818904056,384066.28212269
1639958400000,2021-12-20 00:00:00,FET/USD,0.46492,0.47136,0.43222,0.47051,28686.30977765198,60968.544298
1639872000000,2021-12-19 00:00:00,FET/USD,0.47692,0.4863,0.46228,0.4665,17818.618317060962,38196.39510624
1639785600000,2021-12-18 00:00:00,FET/USD,0.47341,0.49151,0.46244,0.47743,15401.361673553942,32258.88962477
