https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICP
1644624000000,2022-02-12 00:00:00,ICP/USD,19.79,20.569,19.067,20.057,164605.79640983784,8206.90015505
1644537600000,2022-02-11 00:00:00,ICP/USD,21.548,22.035,19.439,19.825,155288.0772772225,7832.9421073
1644451200000,2022-02-10 00:00:00,ICP/USD,23.011,23.234,21.507,21.612,228877.2002774262,10590.28318885
1644364800000,2022-02-09 00:00:00,ICP/USD,23.089,23.427,22.487,23.102,110748.99583992054,4793.91376677
1644278400000,2022-02-08 00:00:00,ICP/USD,24.076,24.639,22.313,23.033,331503.95584548364,14392.5652692
1644192000000,2022-02-07 00:00:00,ICP/USD,23.46,24.407,22.822,23.958,333957.55309916864,13939.29180646
1644105600000,2022-02-06 00:00:00,ICP/USD,22.252,24.263,22.252,23.41,368249.2216919821,15730.42382281
1644019200000,2022-02-05 00:00:00,ICP/USD,22.204,23.14,21.9,22.338,130471.75979626986,5840.79862997
1643932800000,2022-02-04 00:00:00,ICP/USD,20.717,22.395,20.461,22.256,247693.41575472208,11129.28719243
1643846400000,2022-02-03 00:00:00,ICP/USD,21.667,22.033,20.097,20.778,367971.7694493797,17709.68184856
1643760000000,2022-02-02 00:00:00,ICP/USD,20.198,22.311,19.958,21.595,810878.3354859061,37549.35566038
1643673600000,2022-02-01 00:00:00,ICP/USD,19.75,20.511,19.707,20.151,141591.7868572151,7026.53897361
1643587200000,2022-01-31 00:00:00,ICP/USD,19.257,20.041,18.543,19.823,268463.3159929704,13543.02154028
1643500800000,2022-01-30 00:00:00,ICP/USD,20.178,20.47,18.923,19.283,261692.83063652564,13571.16790108
1643414400000,2022-01-29 00:00:00,ICP/USD,20.299,21.307,20.056,20.166,178898.34351742422,8871.28550617
1643328000000,2022-01-28 00:00:00,ICP/USD,19.574,20.713,18.966,20.338,180392.33816951766,8869.71866307
1643241600000,2022-01-27 00:00:00,ICP/USD,19.808,20.059,18.532,19.619,240620.6802273671,12264.6760909
1643155200000,2022-01-26 00:00:00,ICP/USD,20.089,21.733,19.709,19.801,233231.53577876222,11778.77560622
1643068800000,2022-01-25 00:00:00,ICP/USD,20.704,21.326,19.715,20.03,219565.16873639752,10961.81571325
