https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XTZ
1649721600000,2022-04-12 00:00:00,XTZ/USD,2.9677,3.2007,2.9457,3.0644,779660.4848106197,254425.1679972
1649635200000,2022-04-11 00:00:00,XTZ/USD,3.1245,3.1445,2.9432,2.96,1065571.4687090951,359990.36105037
1649548800000,2022-04-10 00:00:00,XTZ/USD,3.2056,3.3019,3.1131,3.1232,668746.1606527274,214122.10574178
1649462400000,2022-04-09 00:00:00,XTZ/USD,3.1696,3.21,3.0723,3.2083,481391.35749051854,150045.61839308
1649376000000,2022-04-08 00:00:00,XTZ/USD,3.3822,3.4208,3.13,3.1709,747528.3191961424,235746.41874425
1649289600000,2022-04-07 00:00:00,XTZ/USD,3.2906,3.4278,3.2437,3.3798,684781.5859976253,202610.09112895
1649203200000,2022-04-06 00:00:00,XTZ/USD,3.6734,3.6743,3.2355,3.2894,1532856.7105153766,465998.87837155
1649116800000,2022-04-05 00:00:00,XTZ/USD,3.9022,3.9292,3.6524,3.6749,894206.4751408737,243328.11100734
1649030400000,2022-04-04 00:00:00,XTZ/USD,4.0433,4.0434,3.7198,3.9007,764310.0882047897,195941.7766567
1648944000000,2022-04-03 00:00:00,XTZ/USD,3.9154,4.0657,3.8904,4.0416,1030993.4815530985,255095.37845237
1648857600000,2022-04-02 00:00:00,XTZ/USD,3.9003,4.1321,3.8843,3.9142,1007199.758693568,257319.44169781
1648771200000,2022-04-01 00:00:00,XTZ/USD,3.7258,3.9762,3.5407,3.9092,804139.2241926929,205704.29351087
1648684800000,2022-03-31 00:00:00,XTZ/USD,3.8332,4.0248,3.6674,3.722,1136963.0134279744,305470.98695002
1648598400000,2022-03-30 00:00:00,XTZ/USD,3.7937,3.8844,3.6511,3.8291,855921.4435752819,223530.71049993
1648512000000,2022-03-29 00:00:00,XTZ/USD,3.7111,3.926,3.705,3.7968,1135996.1731306412,299198.31782834
1648425600000,2022-03-28 00:00:00,XTZ/USD,3.862,3.9792,3.6789,3.7166,1188187.2489250256,319697.37096406
1648339200000,2022-03-27 00:00:00,XTZ/USD,3.6582,3.8648,3.6423,3.8616,698170.3607427196,180798.20818902
1648252800000,2022-03-26 00:00:00,XTZ/USD,3.5207,3.7885,3.4804,3.6574,1117205.1524413053,305464.30591166
1648166400000,2022-03-25 00:00:00,XTZ/USD,3.5346,3.5857,3.4335,3.5154,596810.0086640678,169770.15664336
1648080000000,2022-03-24 00:00:00,XTZ/USD,3.4604,3.5674,3.4147,3.531,475920.66492180544,134783.5358034
1647993600000,2022-03-23 00:00:00,XTZ/USD,3.3003,3.5677,3.2968,3.4582,1246730.6889222541,360514.33951832
