https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1652832000000,2022-05-18 00:00:00,ATO/USD,11.5,11.776,9.9801,10.061,415725.704513788,41320.515308
1652745600000,2022-05-17 00:00:00,ATO/USD,11.068,11.915,10.785,11.467,489505.13249910506,42688.16015515
1652659200000,2022-05-16 00:00:00,ATO/USD,12.315,12.439,10.948,11.065,1385896.4120372715,125250.46651941
1652572800000,2022-05-15 00:00:00,ATO/USD,10.798,12.443,10.329,12.335,1388332.5941436824,112552.29786329
1652486400000,2022-05-14 00:00:00,ATO/USD,10.333,11.055,9.5688,10.798,1387532.8893052258,128499.06365116
1652400000000,2022-05-13 00:00:00,ATO/USD,9.7164,11.627,9.0724,10.325,2003082.4795418605,194003.14571834
1652313600000,2022-05-12 00:00:00,ATO/USD,10.871,11.543,8.4678,9.6755,2495513.140220558,257920.84545714
1652227200000,2022-05-11 00:00:00,ATO/USD,13.565,14.005,9.2179,10.786,3005002.0806121007,278602.08423995
1652140800000,2022-05-10 00:00:00,ATO/USD,12.514,15.299,12.011,13.586,3104047.4838045095,228473.97937616
1652054400000,2022-05-09 00:00:00,ATO/USD,15.742,15.978,12.436,12.511,2810618.3657828253,224651.77570001
1651968000000,2022-05-08 00:00:00,ATO/USD,16.44,16.536,15.584,15.712,381930.7389341082,24308.21912768
1651881600000,2022-05-07 00:00:00,ATO/USD,17.696,17.696,16.05,16.406,658254.6834315317,40122.80162328
1651795200000,2022-05-06 00:00:00,ATO/USD,17.857,17.987,17.083,17.655,884565.3398510214,50102.82298788
1651708800000,2022-05-05 00:00:00,ATO/USD,19.954,20.311,17.209,17.859,1408258.517965907,78854.27616137
1651622400000,2022-05-04 00:00:00,ATO/USD,17.582,20.05,17.515,19.912,700294.8573791386,35169.48861888
1651536000000,2022-05-03 00:00:00,ATO/USD,17.821,18.966,17.47,17.551,586816.8361416727,33434.95163476
1651449600000,2022-05-02 00:00:00,ATO/USD,18.013,18.35,17.239,17.797,776398.8030699444,43625.26285722
