https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AXS
1653004800000,2022-05-20 00:00:00,AXS/USD,21.803,21.982,20.219,20.695,70609.48495090276,3411.91036245
1652918400000,2022-05-19 00:00:00,AXS/USD,21.636,22.115,19.81,21.819,279211.2196937125,12796.70102634
1652832000000,2022-05-18 00:00:00,AXS/USD,22.214,22.481,20.74,21.575,431935.04056408047,20020.16410494
1652745600000,2022-05-17 00:00:00,AXS/USD,20.888,22.927,20.785,22.214,1508314.907389304,67899.29357114
1652659200000,2022-05-16 00:00:00,AXS/USD,23.617,23.874,20.628,20.888,97325.99846163655,4659.42160387
1652572800000,2022-05-15 00:00:00,AXS/USD,21.654,23.897,21.059,23.42,215343.091016869,9194.83736195
1652486400000,2022-05-14 00:00:00,AXS/USD,20.307,21.99,19.374,21.781,1249702.8374012557,57375.82468212
1652400000000,2022-05-13 00:00:00,AXS/USD,19.15,24.92,19.05,20.285,136949.4562084428,6751.26725208
1652313600000,2022-05-12 00:00:00,AXS/USD,18.955,24.571,17.38,19.376,826157.4965500069,42638.18623813
1652227200000,2022-05-11 00:00:00,AXS/USD,24.261,25.208,16.61,19.061,729419.6684673033,38267.64957071
1652140800000,2022-05-10 00:00:00,AXS/USD,24.966,28.337,23.471,24.355,82572.6704834624,3390.37858688
1652054400000,2022-05-09 00:00:00,AXS/USD,30.662,31.539,24.561,24.966,454505.39557724,18204.97458853
1651968000000,2022-05-08 00:00:00,AXS/USD,28.685,31.519,27.812,30.63,231267.48091166548,7550.35850185
1651881600000,2022-05-07 00:00:00,AXS/USD,28.528,29.483,27.423,28.636,17099.228157695838,597.12348644
1651795200000,2022-05-06 00:00:00,AXS/USD,28.877,29.097,27.416,28.477,55549.38532245467,1950.67546871
1651708800000,2022-05-05 00:00:00,AXS/USD,33.404,35.242,28.03,28.943,329137.52343529195,11371.92148137
1651622400000,2022-05-04 00:00:00,AXS/USD,29.111,33.843,28.127,33.432,339833.76232534344,10164.92469267
1651536000000,2022-05-03 00:00:00,AXS/USD,30.202,30.921,28.668,29.157,152771.44560904926,5239.61469318
1651449600000,2022-05-02 00:00:00,AXS/USD,31.779,32.196,29.852,30.226,109964.0109466843,3638.06031055
1651363200000,2022-05-01 00:00:00,AXS/USD,29.11,32.484,27.864,31.708,189754.0344059702,5984.42142065
1651276800000,2022-04-30 00:00:00,AXS/USD,34.401,34.863,26.628,29.059,289592.24245749577,9965.66442264
1651190400000,2022-04-29 00:00:00,AXS/USD,38.098,38.584,33.431,34.318,171421.67699775723,4995.09519779
1651104000000,2022-04-28 00:00:00,AXS/USD,38.783,40.167,37.615,38.036,66479.6790553786,1747.80941885
1651017600000,2022-04-27 00:00:00,AXS/USD,38.755,40.066,37.151,38.842,268575.2706974139,6914.55822814
1650931200000,2022-04-26 00:00:00,AXS/USD,42.884,47.16,38.0,38.702,538973.9193779366,13926.25495783
1650844800000,2022-04-25 00:00:00,AXS/USD,44.466,44.466,39.839,42.905,439891.99013928074,10252.69759094
1650758400000,2022-04-24 00:00:00,AXS/USD,45.15,45.623,44.236,44.416,32921.7068431424,741.2127801500001
1650672000000,2022-04-23 00:00:00,AXS/USD,46.029,46.088,44.984,45.137,27452.99649467962,608.21491226
1650585600000,2022-04-22 00:00:00,AXS/USD,44.881,46.714,44.794,45.996,118790.35617592692,2582.62362327
1650499200000,2022-04-21 00:00:00,AXS/USD,46.184,48.084,44.489,44.953,94720.81706601135,2107.10780295
1650412800000,2022-04-20 00:00:00,AXS/USD,47.528,48.463,45.367,46.172,149214.9315361191,3231.71904046
1650326400000,2022-04-19 00:00:00,AXS/USD,46.356,48.065,45.542,47.518,70036.34224179976,1473.89078332
1650240000000,2022-04-18 00:00:00,AXS/USD,45.487,46.387,43.057,46.291,166327.40233110063,3593.08293904
1650153600000,2022-04-17 00:00:00,AXS/USD,47.545,47.932,45.258,45.512,51868.11744876808,1139.65805609
1650067200000,2022-04-16 00:00:00,AXS/USD,47.956,48.635,46.833,47.545,66322.6102159071,1394.94395238
1649980800000,2022-04-15 00:00:00,AXS/USD,46.906,50.145,46.899,47.957,255742.79877995304,5332.75223179
1649894400000,2022-04-14 00:00:00,AXS/USD,48.455,49.542,45.764,46.845,109199.6499191058,2331.08442564
1649808000000,2022-04-13 00:00:00,AXS/USD,47.423,48.847,46.702,48.406,160401.92027101526,3313.67847521
1649721600000,2022-04-12 00:00:00,AXS/USD,45.252,48.923,44.921,47.245,275395.18316477747,5829.0863195
1649635200000,2022-04-11 00:00:00,AXS/USD,49.029,49.029,44.175,45.016,342623.3010003255,7611.14494847
1649548800000,2022-04-10 00:00:00,AXS/USD,51.765,52.146,48.814,48.814,325825.01677669457,6674.82723761
1649462400000,2022-04-09 00:00:00,AXS/USD,50.808,52.525,50.667,51.744,83244.82397423808,1608.78215782
1649376000000,2022-04-08 00:00:00,AXS/USD,54.783,55.244,50.156,50.676,193278.92574545136,3814.01305836
1649289600000,2022-04-07 00:00:00,AXS/USD,53.316,55.817,52.241,54.772,225060.20948936578,4109.03763765
1649203200000,2022-04-06 00:00:00,AXS/USD,61.575,62.692,53.159,53.419,1106794.720411057,20719.12091973
1649116800000,2022-04-05 00:00:00,AXS/USD,63.765,65.256,61.465,61.658,535515.2276624606,8685.25134877
1649030400000,2022-04-04 00:00:00,AXS/USD,66.388,67.018,61.565,63.867,223450.75043010927,3498.6886879
1648944000000,2022-04-03 00:00:00,AXS/USD,65.259,68.456,64.216,66.479,407962.6780612171,6136.71502371
1648857600000,2022-04-02 00:00:00,AXS/USD,66.119,75.504,64.25,65.234,999860.2231638907,15327.28673949
1648771200000,2022-04-01 00:00:00,AXS/USD,63.194,67.24,60.336,66.187,584259.9922978715,8827.41312188
1648684800000,2022-03-31 00:00:00,AXS/USD,64.348,68.671,62.083,63.377,422657.8549018416,6668.94701393
1648598400000,2022-03-30 00:00:00,AXS/USD,64.158,66.556,61.946,64.433,633646.0873562959,9834.1857023
1648512000000,2022-03-29 00:00:00,AXS/USD,66.352,70.735,63.041,64.145,1345575.8428248349,20977.09631031
1648425600000,2022-03-28 00:00:00,AXS/USD,68.272,72.165,65.608,66.349,781453.711840814,11777.92750216
1648339200000,2022-03-27 00:00:00,AXS/USD,66.873,68.455,64.55,68.332,425506.99341318075,6227.0531144
1648252800000,2022-03-26 00:00:00,AXS/USD,71.566,72.956,66.412,66.915,463333.823893602,6924.2146588
1648166400000,2022-03-25 00:00:00,AXS/USD,70.334,74.415,69.678,71.486,1698224.0619477758,23756.03701351
1648080000000,2022-03-24 00:00:00,AXS/USD,58.528,71.657,58.508,70.174,1411159.3682953366,20109.43324159
1647993600000,2022-03-23 00:00:00,AXS/USD,52.461,58.585,50.938,58.364,303639.463420876,5202.512909
1647907200000,2022-03-22 00:00:00,AXS/USD,50.105,53.354,49.789,52.447,88173.29141284114,1681.18846479
1647820800000,2022-03-21 00:00:00,AXS/USD,49.828,51.986,49.348,50.182,160310.33112753407,3194.57835733
