https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ALG
1646265600000,2022-03-03 00:00:00,ALG/USD,0.81971,0.85147,0.78827,0.79792,709225.4178603141,888842.76351052
1646179200000,2022-03-02 00:00:00,ALG/USD,0.85503,0.85966,0.81,0.8198,409029.8771156578,498938.61565706
1646092800000,2022-03-01 00:00:00,ALG/USD,0.86859,0.89511,0.83757,0.85647,654862.6086526153,764606.59293684
1646006400000,2022-02-28 00:00:00,ALG/USD,0.79869,0.86992,0.78576,0.86992,562328.5078340851,646414.04707799
1645920000000,2022-02-27 00:00:00,ALG/USD,0.8604,0.86295,0.78399,0.79742,544337.9233210277,682623.86611952
1645833600000,2022-02-26 00:00:00,ALG/USD,0.82977,0.8825,0.81934,0.85936,603804.2671759499,702620.86573258
1645747200000,2022-02-25 00:00:00,ALG/USD,0.77839,0.84112,0.7689,0.8304,473296.8605705429,569962.50068707
1645660800000,2022-02-24 00:00:00,ALG/USD,0.7844,0.79701,0.69006,0.77839,1166526.4971682283,1498640.13819323
1645574400000,2022-02-23 00:00:00,ALG/USD,0.81175,0.8499,0.7831,0.7851,338263.0465914598,430853.45381666
1645488000000,2022-02-22 00:00:00,ALG/USD,0.78691,0.82043,0.75991,0.81238,1134346.0349826224,1396324.42327805
1645401600000,2022-02-21 00:00:00,ALG/USD,0.84535,0.87899,0.78093,0.78548,774197.4102976811,985636.05731232
1645315200000,2022-02-20 00:00:00,ALG/USD,0.90062,0.90062,0.83358,0.84539,466495.3356317716,551810.8040452
1645228800000,2022-02-19 00:00:00,ALG/USD,0.89564,0.91775,0.87209,0.90041,732069.8592069057,813040.569526
1645142400000,2022-02-18 00:00:00,ALG/USD,0.89749,0.9271,0.87511,0.89564,528360.7633695946,589925.37556339
1645056000000,2022-02-17 00:00:00,ALG/USD,0.9794,0.98869,0.88936,0.89891,659410.0933740359,733566.31183771
1644969600000,2022-02-16 00:00:00,ALG/USD,0.96995,1.0078,0.9538,0.97815,1587746.7272750596,1623213.95212908
1644883200000,2022-02-15 00:00:00,ALG/USD,0.90185,0.9755,0.8993,0.97065,1188998.3381838608,1224950.63945177
1644796800000,2022-02-14 00:00:00,ALG/USD,0.8977,0.90986,0.87227,0.9006,922601.3507659838,1024429.6588563
1644710400000,2022-02-13 00:00:00,ALG/USD,0.91777,0.93448,0.88373,0.8969,792329.9689767342,883409.48709637
1644624000000,2022-02-12 00:00:00,ALG/USD,0.91681,0.94021,0.89096,0.91918,983855.0730724137,1070361.70616464
1644537600000,2022-02-11 00:00:00,ALG/USD,0.97851,0.99554,0.89824,0.91748,1551917.0308950988,1691499.57589822
1644451200000,2022-02-10 00:00:00,ALG/USD,1.039,1.0489,0.97587,0.98221,1613337.786653986,1642558.90965678
1644364800000,2022-02-09 00:00:00,ALG/USD,1.0243,1.0468,0.9977,1.038,1401259.3611826554,1349960.84892356
1644278400000,2022-02-08 00:00:00,ALG/USD,1.0722,1.1019,0.98869,1.0245,1884896.1149425819,1839820.51238905
1644192000000,2022-02-07 00:00:00,ALG/USD,1.0279,1.0991,1.0005,1.0711,2222820.0319329984,2075268.44546074
