https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1646524800000,2022-03-06 00:00:00,ZEC/USD,116.37,119.57,107.25,107.25,600116.3707571174,5595.4906364299995
1646438400000,2022-03-05 00:00:00,ZEC/USD,117.14,119.24,112.45,116.5,406878.276096935,3492.51739139
1646352000000,2022-03-04 00:00:00,ZEC/USD,129.04,129.57,116.28,117.15,596895.7088697571,5095.14049398
1646265600000,2022-03-03 00:00:00,ZEC/USD,126.12,130.97,121.38,128.97,699935.8685024384,5427.12156705
1646179200000,2022-03-02 00:00:00,ZEC/USD,119.27,128.74,115.14,125.8,453384.821720508,3604.01289126
1646092800000,2022-03-01 00:00:00,ZEC/USD,118.79,121.93,115.4,119.18,638264.963290989,5355.47040855
1646006400000,2022-02-28 00:00:00,ZEC/USD,102.55,119.57,100.06,119.07,1505764.6169287174,12646.04532568
1645920000000,2022-02-27 00:00:00,ZEC/USD,108.21,110.64,99.112,102.74,246920.47419359538,2403.35287321
1645833600000,2022-02-26 00:00:00,ZEC/USD,106.86,110.79,105.67,107.88,187276.3824633252,1735.96943329
1645747200000,2022-02-25 00:00:00,ZEC/USD,102.87,109.94,98.265,106.88,934597.593073632,8744.36370765
1645660800000,2022-02-24 00:00:00,ZEC/USD,97.834,105.12,85.03,102.84,1677683.0293575276,16313.52615089
1645574400000,2022-02-23 00:00:00,ZEC/USD,103.31,106.28,97.012,97.603,211508.34186291555,2167.02705719
1645488000000,2022-02-22 00:00:00,ZEC/USD,100.7,103.54,95.102,103.17,501644.801496291,4862.3127023
1645401600000,2022-02-21 00:00:00,ZEC/USD,108.25,115.2,100.0,100.74,778841.3880087569,7731.20297805
1645315200000,2022-02-20 00:00:00,ZEC/USD,112.03,112.09,103.61,107.83,530109.2026083654,4916.15693785
1645228800000,2022-02-19 00:00:00,ZEC/USD,109.25,115.98,107.1,112.27,517878.3385385649,4612.7936095
1645142400000,2022-02-18 00:00:00,ZEC/USD,113.28,118.06,107.9,109.23,581494.3524910179,5323.57733673
1645056000000,2022-02-17 00:00:00,ZEC/USD,125.61,127.32,111.72,113.7,1221947.8067163571,10747.12231061
1644969600000,2022-02-16 00:00:00,ZEC/USD,125.83,126.66,119.79,125.67,707767.4768604774,5631.95254922
1644883200000,2022-02-15 00:00:00,ZEC/USD,120.91,129.98,120.35,125.86,932776.4223300446,7411.22217011
1644796800000,2022-02-14 00:00:00,ZEC/USD,117.17,122.1,112.69,120.62,1823980.407578297,15121.70790564
1644710400000,2022-02-13 00:00:00,ZEC/USD,117.28,118.92,115.03,117.2,702227.351120836,5991.70094813
1644624000000,2022-02-12 00:00:00,ZEC/USD,116.34,123.5,113.61,117.7,1187253.614386345,10087.11651985
1644537600000,2022-02-11 00:00:00,ZEC/USD,124.95,130.88,115.26,116.71,1514288.281817004,12974.79463471
1644451200000,2022-02-10 00:00:00,ZEC/USD,125.99,128.97,120.19,124.97,1225934.604101731,9809.8311923
1644364800000,2022-02-09 00:00:00,ZEC/USD,133.53,134.47,125.99,126.02,1338749.9378355085,10623.31326643
1644278400000,2022-02-08 00:00:00,ZEC/USD,128.97,134.9,121.8,133.14,2265770.4918361967,17017.95472312
1644192000000,2022-02-07 00:00:00,ZEC/USD,124.63,130.79,121.45,128.9,2961564.6593996272,22975.67617843
1644105600000,2022-02-06 00:00:00,ZEC/USD,116.05,126.18,115.96,124.62,2108224.490926335,16917.22428925
1644019200000,2022-02-05 00:00:00,ZEC/USD,107.24,123.05,106.2,116.18,2806091.694524488,24152.96690071
1643932800000,2022-02-04 00:00:00,ZEC/USD,100.74,107.79,99.611,107.1,1557788.941408896,14545.18152576
1643846400000,2022-02-03 00:00:00,ZEC/USD,98.278,102.25,95.126,101.03,882721.4615448114,8737.22123671
