https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMN
1656201600000,2022-06-26 00:00:00,OMN/USD,2.13,2.13,2.13,2.13,2.12574,0.998
1656115200000,2022-06-25 00:00:00,OMN/USD,1.8813,1.8813,1.8813,1.8813,1.8813,1.0
1656028800000,2022-06-24 00:00:00,OMN/USD,2.0013,2.0013,1.8813,1.8813,7.633963596899999,4.0578129999999994
1655942400000,2022-06-23 00:00:00,OMN/USD,2.0,2.0,2.0,2.0,1.2,0.6
1655683200000,2022-06-20 00:00:00,OMN/USD,1.8883,2.88,1.8013,2.88,170.27421407999998,59.122991
1655596800000,2022-06-19 00:00:00,OMN/USD,2.6001,2.9447,1.8,2.9447,1714.8037689727453,582.33564335
1655510400000,2022-06-18 00:00:00,OMN/USD,3.13,3.1999,2.6001,2.6001,255.52565433179998,98.275318
1655337600000,2022-06-16 00:00:00,OMN/USD,3.0,3.1999,2.6001,2.6001,6.28600176,2.4176
1655251200000,2022-06-15 00:00:00,OMN/USD,3.0,3.0,3.0,3.0,29.94,9.98
1655164800000,2022-06-14 00:00:00,OMN/USD,2.66,3.2925,2.6,3.2925,562.6741137171,170.89570652
1655078400000,2022-06-13 00:00:00,OMN/USD,3.0977,3.48,2.6,2.66,1433.1971838548002,538.79593378
1654992000000,2022-06-12 00:00:00,OMN/USD,3.0,3.0977,3.0,3.0977,117.6754276,37.988
1654905600000,2022-06-11 00:00:00,OMN/USD,3.6098,3.6098,3.6098,3.6098,2.70735,0.75
1654560000000,2022-06-07 00:00:00,OMN/USD,3.7308,3.7308,2.6829,2.6829,43.625393536824,16.26053656
1654473600000,2022-06-06 00:00:00,OMN/USD,3.6098,3.7408,3.6098,3.7408,248.08883517308803,66.31972711
1654387200000,2022-06-05 00:00:00,OMN/USD,2.6829,2.6829,2.6829,2.6829,66.822451895628,24.90679932
1654128000000,2022-06-02 00:00:00,OMN/USD,2.6829,2.6829,2.6829,2.6829,364.67018570069996,135.923883
1654041600000,2022-06-01 00:00:00,OMN/USD,2.7303,2.7303,2.6829,2.6829,32.8416847506,12.241114
1653955200000,2022-05-31 00:00:00,OMN/USD,2.9103,2.9103,2.65,2.65,138.07111884999998,52.102309
1653868800000,2022-05-30 00:00:00,OMN/USD,2.9,2.9,2.9,2.9,6.6718009,2.300621
1653782400000,2022-05-29 00:00:00,OMN/USD,3.59,3.8,3.59,3.8,73.316313004,19.29376658
1653696000000,2022-05-28 00:00:00,OMN/USD,3.4103,3.59,2.9,2.9,68.460910392,23.60721048
1653609600000,2022-05-27 00:00:00,OMN/USD,3.25,3.58,2.5389,2.9,309.017305321,106.55769149
1653523200000,2022-05-26 00:00:00,OMN/USD,2.5389,2.5389,2.5389,2.5389,25.389,10.0
1653436800000,2022-05-25 00:00:00,OMN/USD,3.1998,3.4,2.5389,2.5389,265.027326694767,104.38667403
1653350400000,2022-05-24 00:00:00,OMN/USD,2.5101,2.5101,2.5101,2.5101,72.04512614939999,28.702094
1653264000000,2022-05-23 00:00:00,OMN/USD,2.5001,2.5001,2.5001,2.5001,32.5013,13.0
1653177600000,2022-05-22 00:00:00,OMN/USD,2.8629,3.3,2.8629,3.3,609.767964564,184.77817108
1653091200000,2022-05-21 00:00:00,OMN/USD,2.8,3.0,2.5,2.5,852.2477025000001,340.899081
1652918400000,2022-05-19 00:00:00,OMN/USD,2.2001,2.2001,2.2001,2.2001,5.401456709600001,2.455096
1652572800000,2022-05-15 00:00:00,OMN/USD,2.8626,2.8626,2.4659,2.4659,121.42074831880001,49.239932
1652486400000,2022-05-14 00:00:00,OMN/USD,2.1351,3.0,2.1002,2.1002,836.1515678562341,398.12949617000004
1652313600000,2022-05-12 00:00:00,OMN/USD,2.2,2.2,1.8,1.8,775.431334908,430.79518606
1652227200000,2022-05-11 00:00:00,OMN/USD,2.9,2.9,2.2,2.2,414.8887776,188.585808
1652140800000,2022-05-10 00:00:00,OMN/USD,3.0001,3.0001,2.9,2.9,733.9643829949999,253.09116655
1652054400000,2022-05-09 00:00:00,OMN/USD,3.0003,3.0003,3.0001,3.0001,120.004,40.0
1651795200000,2022-05-06 00:00:00,OMN/USD,3.0001,3.0001,3.0001,3.0001,3.5401213301110004,1.18000111
1651708800000,2022-05-05 00:00:00,OMN/USD,3.539,3.539,3.0001,3.539,50.315359170890005,14.21739451
1651622400000,2022-05-04 00:00:00,OMN/USD,3.5187,3.5523,3.4454,3.4454,610.5041475466779,177.19398257
1651536000000,2022-05-03 00:00:00,OMN/USD,3.1887,3.1887,3.0052,3.0052,20.122102790372,6.69576161
1651449600000,2022-05-02 00:00:00,OMN/USD,3.0345,3.1603,3.0156,3.0156,37.530183919955995,12.44534551
1651363200000,2022-05-01 00:00:00,OMN/USD,3.0029,3.6889,3.0,3.0319,265.29901242197496,87.50256025
1651276800000,2022-04-30 00:00:00,OMN/USD,3.2153,3.2678,3.0196,3.0196,22.944705896932,7.59859117
1651190400000,2022-04-29 00:00:00,OMN/USD,3.0001,3.2153,3.0001,3.2153,19.973446525923002,6.21200091
1651104000000,2022-04-28 00:00:00,OMN/USD,3.0656,3.0687,3.0,3.0001,445.627887977807,148.53767807
1650931200000,2022-04-26 00:00:00,OMN/USD,3.1649,3.1649,3.1,3.1,50.327774073,16.23476583
1650844800000,2022-04-25 00:00:00,OMN/USD,3.1782,3.1782,3.1649,3.1649,20.466344070726,6.4666637399999995
1650672000000,2022-04-23 00:00:00,OMN/USD,3.7234,3.7234,3.7234,3.7234,13.432609552684,3.60761926
1650585600000,2022-04-22 00:00:00,OMN/USD,3.4611,3.7306,3.1649,3.1649,10.918930509094,3.45000806
1650499200000,2022-04-21 00:00:00,OMN/USD,3.1808,3.1913,3.166,3.1781,257.0061426879,80.86785900000001
1650412800000,2022-04-20 00:00:00,OMN/USD,3.3158,3.7777,3.165,3.7777,781.488632045792,206.86889696
1650326400000,2022-04-19 00:00:00,OMN/USD,3.3234,3.8889,3.3234,3.8778,17.716503231323998,4.56869958
1650240000000,2022-04-18 00:00:00,OMN/USD,3.3234,3.3234,3.3234,3.3234,2.608619977638,0.78492507
1650153600000,2022-04-17 00:00:00,OMN/USD,3.3234,3.3234,3.3234,3.3234,19.9404,6.0
1650067200000,2022-04-16 00:00:00,OMN/USD,3.2898,3.9,3.1232,3.9,953.7719559029999,244.55691177
1649980800000,2022-04-15 00:00:00,OMN/USD,3.0129,3.6576,2.9526,3.6576,21.101293441727996,5.7691637799999995
1649894400000,2022-04-14 00:00:00,OMN/USD,2.9123,3.749,2.9123,3.749,92.31207253116001,24.623118840000004
1649808000000,2022-04-13 00:00:00,OMN/USD,4.3821,4.5318,2.9,2.9,930.2545638199999,320.7774358
1649721600000,2022-04-12 00:00:00,OMN/USD,4.5318,4.5318,4.5318,4.5318,5.307370484598,1.17113961
1649635200000,2022-04-11 00:00:00,OMN/USD,4.5318,4.5318,4.5318,4.5318,121.96075037764798,26.91220936
1649289600000,2022-04-07 00:00:00,OMN/USD,4.0503,4.0504,3.6003,3.7808,1049.582103640656,277.60847007
1649116800000,2022-04-05 00:00:00,OMN/USD,4.6758,5.02,4.0345,4.0345,518.0438803243102,128.40348998000002
1649030400000,2022-04-04 00:00:00,OMN/USD,4.2403,4.9876,4.0213,4.0213,180.563096508936,44.90167272
1648944000000,2022-04-03 00:00:00,OMN/USD,5.3,5.3,4.223,5.2126,623.490455670994,119.61218119
1648857600000,2022-04-02 00:00:00,OMN/USD,5.3,5.3,4.5248,5.3,765.138478339,144.36575063
1648771200000,2022-04-01 00:00:00,OMN/USD,7.0,7.3737,3.64,5.4,5567.863228902001,1031.08578313
1648684800000,2022-03-31 00:00:00,OMN/USD,3.0,7.5,3.0,3.3571,11415.631448678558,3400.44426698
1648598400000,2022-03-30 00:00:00,OMN/USD,3.335,3.335,3.335,3.335,2.668,0.8
1648425600000,2022-03-28 00:00:00,OMN/USD,3.4258,3.5,3.3069,3.3069,22.126850574468,6.69111572
1648339200000,2022-03-27 00:00:00,OMN/USD,3.1802,3.2711,2.9,2.9,735.106788144,253.48509936
1648166400000,2022-03-25 00:00:00,OMN/USD,3.2452,3.2452,3.2452,3.2452,2.5961600000000002,0.8
1648080000000,2022-03-24 00:00:00,OMN/USD,3.4203,3.7857,3.4001,3.4001,345.29891899586596,101.55551865999999
1647993600000,2022-03-23 00:00:00,OMN/USD,3.82,3.82,3.4002,3.4002,532.9586267354159,156.74331708
1647907200000,2022-03-22 00:00:00,OMN/USD,3.3789,3.8228,3.3789,3.8228,557.981445089676,145.96145367
1647820800000,2022-03-21 00:00:00,OMN/USD,3.25,3.3881,3.25,3.3881,37.80418337838201,11.15793022
1647734400000,2022-03-20 00:00:00,OMN/USD,2.8177,3.03,2.8177,3.0,347.46587768999996,115.82195922999999
1647648000000,2022-03-19 00:00:00,OMN/USD,3.3003,3.5978,2.8,2.8,95.38458221599998,34.06592222
1647561600000,2022-03-18 00:00:00,OMN/USD,3.5,3.6,3.1903,3.5989,68.951398445582,19.15902038
1647475200000,2022-03-17 00:00:00,OMN/USD,3.1611,3.5,3.1611,3.5,405.32334717000003,115.80667062
1647388800000,2022-03-16 00:00:00,OMN/USD,3.35,3.35,2.69,3.01,2266.7453067447996,753.07153048
