https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PLU
1652313600000,2022-05-12 00:00:00,PLU/USD,7.992,8.5029,7.1001,7.7482,5656.517530446492,730.04278806
1652227200000,2022-05-11 00:00:00,PLU/USD,10.053,10.566,7.71,7.992,16250.19037932384,2033.30710452
1652140800000,2022-05-10 00:00:00,PLU/USD,11.712,11.765,10.055,10.055,59960.265227650794,5963.22876456
1652054400000,2022-05-09 00:00:00,PLU/USD,13.297,13.897,11.52,11.52,61486.898010048,5337.40434115
1651968000000,2022-05-08 00:00:00,PLU/USD,11.592,14.113,11.437,13.269,131493.37024897183,9909.81763878
1651881600000,2022-05-07 00:00:00,PLU/USD,13.808,13.873,10.923,11.593,64090.20206973767,5528.35349519
1651795200000,2022-05-06 00:00:00,PLU/USD,11.955,15.096,11.224,13.858,245720.60833316727,17731.31825178
1651708800000,2022-05-05 00:00:00,PLU/USD,9.81,14.026,8.8832,11.952,89606.34169886017,7497.1838770800005
1651622400000,2022-05-04 00:00:00,PLU/USD,9.9114,11.195,8.8915,9.81,55915.619290667106,5699.85925491
1651536000000,2022-05-03 00:00:00,PLU/USD,13.827,14.409,9.7587,9.9114,71773.48752619722,7241.50851809
1651449600000,2022-05-02 00:00:00,PLU/USD,8.566,16.349,7.6627,13.826,216988.43320290983,15694.23066707
1651363200000,2022-05-01 00:00:00,PLU/USD,6.5642,10.77,5.9779,8.566,41047.64338177719,4791.92661473
1651276800000,2022-04-30 00:00:00,PLU/USD,6.8435,6.8442,6.5633,6.5642,6245.199771757828,951.40303034
1651190400000,2022-04-29 00:00:00,PLU/USD,6.917,6.9592,6.5,6.8436,5029.574139049572,734.93105077
1651104000000,2022-04-28 00:00:00,PLU/USD,7.115,7.3552,6.8354,6.9116,16927.758581473907,2449.18088163
1651017600000,2022-04-27 00:00:00,PLU/USD,7.071,7.2784,7.0,7.1149,5023.6661663332425,706.07684807
1650931200000,2022-04-26 00:00:00,PLU/USD,7.4793,7.6928,7.0459,7.0691,37886.01715200991,5359.38339421
1650844800000,2022-04-25 00:00:00,PLU/USD,7.7325,7.7631,7.25,7.4377,23804.633255834407,3200.53689391
1650758400000,2022-04-24 00:00:00,PLU/USD,7.6164,7.7707,7.6164,7.7325,4520.3548476396,584.59163888
1650672000000,2022-04-23 00:00:00,PLU/USD,7.6141,7.8139,7.6141,7.7718,4171.704850657829,536.77460185
1650585600000,2022-04-22 00:00:00,PLU/USD,7.7363,7.9925,7.7281,7.8007,32911.63625413015,4219.06191164
1650499200000,2022-04-21 00:00:00,PLU/USD,7.6031,7.8732,7.5478,7.7386,59232.53579234016,7654.16687674
1650412800000,2022-04-20 00:00:00,PLU/USD,7.6519,7.7095,7.5213,7.603,4397.206558965219,578.35151374
1650326400000,2022-04-19 00:00:00,PLU/USD,7.6161,7.7483,7.4987,7.6761,4445.1567252198,579.090518
1650240000000,2022-04-18 00:00:00,PLU/USD,7.7553,7.7747,7.1285,7.6162,20570.516621947714,2700.88976418
1650153600000,2022-04-17 00:00:00,PLU/USD,7.5101,7.9753,7.3751,7.7552,33746.40011956148,4351.45452336
1650067200000,2022-04-16 00:00:00,PLU/USD,7.5514,7.629,7.375,7.5103,2924.138380542953,389.35040951
1649980800000,2022-04-15 00:00:00,PLU/USD,7.6379,7.6989,7.2883,7.5344,12609.558512851903,1673.59823116
1649894400000,2022-04-14 00:00:00,PLU/USD,7.8385,7.8614,7.497,7.6381,10778.953192322011,1411.20870273
1649808000000,2022-04-13 00:00:00,PLU/USD,7.7233,7.9436,7.5801,7.8367,10911.09990979841,1392.30797527
1649721600000,2022-04-12 00:00:00,PLU/USD,7.7478,8.0324,7.578,7.7238,23619.171879644542,3057.97300288
1649635200000,2022-04-11 00:00:00,PLU/USD,8.2268,8.2597,7.4969,7.7991,21864.07059937986,2803.4094446
1649548800000,2022-04-10 00:00:00,PLU/USD,8.7867,8.7867,8.0652,8.1596,18563.24190645724,2275.0186169
1649462400000,2022-04-09 00:00:00,PLU/USD,7.8847,8.9091,7.8576,8.8863,89003.41812295148,10015.80164106
1649376000000,2022-04-08 00:00:00,PLU/USD,7.8984,8.179,7.7584,7.9034,7962.942390230737,1007.53376904
1649289600000,2022-04-07 00:00:00,PLU/USD,8.25,8.3546,7.7583,7.8683,20716.149848036133,2632.86222539
1649203200000,2022-04-06 00:00:00,PLU/USD,8.5248,8.5252,8.105,8.3542,10162.235040982785,1216.42228352
1649116800000,2022-04-05 00:00:00,PLU/USD,8.6067,8.9894,8.5013,8.5249,21225.307339276973,2489.80132779
1649030400000,2022-04-04 00:00:00,PLU/USD,9.0011,9.0483,8.5313,8.6302,23299.44391393919,2699.75712196
1648944000000,2022-04-03 00:00:00,PLU/USD,9.2887,9.3122,8.9205,9.0101,45709.525532112144,5073.14297645
1648857600000,2022-04-02 00:00:00,PLU/USD,9.4293,9.4345,9.1952,9.3047,86734.76784152263,9321.60820247
1648771200000,2022-04-01 00:00:00,PLU/USD,9.5434,9.7778,9.1682,9.429,49768.671077818566,5278.25549664
1648684800000,2022-03-31 00:00:00,PLU/USD,9.1787,9.8774,9.1434,9.5433,87494.73770151235,9168.18476853
1648598400000,2022-03-30 00:00:00,PLU/USD,9.0445,9.9602,8.9293,9.1416,109458.33179556693,11973.65141721
1648512000000,2022-03-29 00:00:00,PLU/USD,9.1179,9.1898,8.9362,9.0455,41328.44634403992,4568.95100813
1648425600000,2022-03-28 00:00:00,PLU/USD,8.9976,9.5882,8.9873,9.0971,44380.87914895006,4878.57439722
1648339200000,2022-03-27 00:00:00,PLU/USD,8.8257,9.2568,8.6892,8.9966,35349.44007143511,3929.19992791
1648252800000,2022-03-26 00:00:00,PLU/USD,8.8815,9.9,8.809,8.8838,29507.784557773175,3321.52733715
1648166400000,2022-03-25 00:00:00,PLU/USD,8.3218,10.304,8.2459,8.8631,73550.66643450421,8298.52607265
1648080000000,2022-03-24 00:00:00,PLU/USD,8.0107,9.1,7.96,8.2713,70068.79328241244,8471.31566772
1647993600000,2022-03-23 00:00:00,PLU/USD,8.1775,8.3159,7.96,8.0617,74802.64140940315,9278.76768044
1647907200000,2022-03-22 00:00:00,PLU/USD,8.9097,9.0483,8.0875,8.2132,33118.513493050974,4032.35200568
1647820800000,2022-03-21 00:00:00,PLU/USD,9.0067,10.472,8.5,8.9097,84519.1897252833,9486.19928003
1647734400000,2022-03-20 00:00:00,PLU/USD,7.4413,10.899,7.4411,9.0911,129876.9330731382,14286.16262863
1647648000000,2022-03-19 00:00:00,PLU/USD,7.3245,7.6178,7.3161,7.456,27824.41855208608,3731.81579293
1647561600000,2022-03-18 00:00:00,PLU/USD,7.3836,7.7339,7.0944,7.3154,26015.223514900783,3556.2270709599998
1647475200000,2022-03-17 00:00:00,PLU/USD,7.6999,7.8054,7.3759,7.3989,11424.691712845331,1544.10678788
1647388800000,2022-03-16 00:00:00,PLU/USD,8.2497,8.3407,7.157,7.6444,28373.330090164352,3711.64906208
1647302400000,2022-03-15 00:00:00,PLU/USD,6.9946,9.0619,6.8307,8.196,19355.660443452958,2361.59839476
