https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1654560000000,2022-06-07 00:00:00,GRT/USD,0.15272,0.15835,0.14581,0.15501,13718.996497102831,88503.94488809
1654473600000,2022-06-06 00:00:00,GRT/USD,0.15773,0.16915,0.15517,0.15838,20190.069973239955,127478.65875262
1654387200000,2022-06-05 00:00:00,GRT/USD,0.16373,0.17255,0.15595,0.15662,40038.486044504214,255640.95290834
1654300800000,2022-06-04 00:00:00,GRT/USD,0.14835,0.17338,0.14574,0.16491,51565.87628715044,312691.02108514
1654214400000,2022-06-03 00:00:00,GRT/USD,0.15196,0.15278,0.14231,0.14796,11662.609312762213,78822.71771263999
1654128000000,2022-06-02 00:00:00,GRT/USD,0.14611,0.15308,0.14288,0.15308,7878.468310996174,51466.34642668
1654041600000,2022-06-01 00:00:00,GRT/USD,0.16407,0.16559,0.14356,0.14784,21352.28747719415,144428.35144206
1653955200000,2022-05-31 00:00:00,GRT/USD,0.15744,0.16566,0.14839,0.16397,28941.102209549546,176502.42245258
1653868800000,2022-05-30 00:00:00,GRT/USD,0.14149,0.15744,0.14149,0.15621,19358.783118910414,123927.93751303
1653782400000,2022-05-29 00:00:00,GRT/USD,0.13849,0.14264,0.13341,0.14264,23664.250460736028,165901.92414986
1653696000000,2022-05-28 00:00:00,GRT/USD,0.13699,0.1418,0.13184,0.13919,16354.706300727797,117499.14721408
1653609600000,2022-05-27 00:00:00,GRT/USD,0.13809,0.14208,0.13211,0.13599,12266.2396904689,90199.57122191999
1653523200000,2022-05-26 00:00:00,GRT/USD,0.15224,0.15311,0.13302,0.13831,30945.39153057956,223739.36469221
1653436800000,2022-05-25 00:00:00,GRT/USD,0.15458,0.15838,0.14835,0.15063,25295.60576135409,167932.05710253
1653350400000,2022-05-24 00:00:00,GRT/USD,0.15692,0.16094,0.14492,0.1562,51229.97535257096,327976.7948308
1653264000000,2022-05-23 00:00:00,GRT/USD,0.16361,0.17313,0.15362,0.15496,31330.052411352,202181.54627873
1653177600000,2022-05-22 00:00:00,GRT/USD,0.15694,0.16726,0.15511,0.16317,98778.25340298186,605370.18693989
1653091200000,2022-05-21 00:00:00,GRT/USD,0.15128,0.16172,0.14793,0.15858,45061.85249164379,284158.48462381
1653004800000,2022-05-20 00:00:00,GRT/USD,0.16061,0.16402,0.14603,0.15076,62210.11063867869,412643.34464499
1652918400000,2022-05-19 00:00:00,GRT/USD,0.15711,0.16544,0.14835,0.16089,104783.61501743518,651274.87735369
1652832000000,2022-05-18 00:00:00,GRT/USD,0.18194,0.18405,0.15661,0.15714,189236.67541606954,1204255.28456198
1652745600000,2022-05-17 00:00:00,GRT/USD,0.17699,0.19097,0.16916,0.1798,206434.00218878465,1148131.26912561
1652659200000,2022-05-16 00:00:00,GRT/USD,0.19845,0.20303,0.17139,0.17349,277325.3977935795,1598509.41145645
1652572800000,2022-05-15 00:00:00,GRT/USD,0.19052,0.20915,0.18704,0.19882,313335.6483935975,1575976.50333768
1652486400000,2022-05-14 00:00:00,GRT/USD,0.14908,0.19513,0.14427,0.19272,335725.95334637084,1742040.02359055
1652400000000,2022-05-13 00:00:00,GRT/USD,0.13494,0.16686,0.13494,0.14963,46072.048058988206,307906.4897346
1652313600000,2022-05-12 00:00:00,GRT/USD,0.15146,0.164,0.11654,0.134,192684.28670917748,1437942.43812819
1652227200000,2022-05-11 00:00:00,GRT/USD,0.24814,0.25177,0.14554,0.15317,66450.24012074526,433833.25795355
1652140800000,2022-05-10 00:00:00,GRT/USD,0.23931,0.26941,0.2272,0.24556,77553.67701447815,315823.73763837
1652054400000,2022-05-09 00:00:00,GRT/USD,0.3006,0.30429,0.23385,0.23706,65269.2843344094,275328.12087408
1651968000000,2022-05-08 00:00:00,GRT/USD,0.29232,0.30955,0.28381,0.29844,38326.6862412603,128423.42260173
1651881600000,2022-05-07 00:00:00,GRT/USD,0.29461,0.30359,0.28908,0.29432,60281.007378950046,204814.51270369
1651795200000,2022-05-06 00:00:00,GRT/USD,0.29901,0.30031,0.28123,0.29626,39508.77389640355,133358.44831028
1651708800000,2022-05-05 00:00:00,GRT/USD,0.34331,0.34497,0.28761,0.30312,114333.59842029262,377189.22677584
1651622400000,2022-05-04 00:00:00,GRT/USD,0.31758,0.34645,0.31323,0.34003,62676.26610753923,184325.69510789998
1651536000000,2022-05-03 00:00:00,GRT/USD,0.3066,0.33594,0.30502,0.31955,67302.92933691373,210617.83550904
1651449600000,2022-05-02 00:00:00,GRT/USD,0.31534,0.31937,0.29827,0.30761,64526.09096393122,209765.90801317
1651363200000,2022-05-01 00:00:00,GRT/USD,0.30825,0.32464,0.30299,0.31579,59278.22368804745,187714.06215538
1651276800000,2022-04-30 00:00:00,GRT/USD,0.34834,0.35744,0.29172,0.30714,87047.2239802254,283412.20283983
1651190400000,2022-04-29 00:00:00,GRT/USD,0.35814,0.36147,0.33845,0.34774,141462.35267393733,406804.94816224
1651104000000,2022-04-28 00:00:00,GRT/USD,0.36639,0.40886,0.35897,0.35897,326521.465686412,909606.55677748
