https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1650067200000,2022-04-16 00:00:00,XLM/USD,0.20436,0.20787,0.20222,0.20548,206573.70606216227,1005322.68864202
1649980800000,2022-04-15 00:00:00,XLM/USD,0.19378,0.21192,0.19262,0.20432,532913.545432498,2608229.96002593
1649894400000,2022-04-14 00:00:00,XLM/USD,0.19658,0.19975,0.19168,0.19402,510882.26152683253,2633142.2612454
1649808000000,2022-04-13 00:00:00,XLM/USD,0.19267,0.19731,0.19076,0.19649,302198.72585962364,1537985.27080067
1649721600000,2022-04-12 00:00:00,XLM/USD,0.18685,0.19406,0.18599,0.19258,739784.1795056077,3841438.25685745
1649635200000,2022-04-11 00:00:00,XLM/USD,0.20049,0.20129,0.18574,0.1867,671981.5102131112,3599258.22288758
1649548800000,2022-04-10 00:00:00,XLM/USD,0.20502,0.20815,0.20027,0.20054,292634.70129054494,1459233.57579807
1649462400000,2022-04-09 00:00:00,XLM/USD,0.20218,0.20608,0.20074,0.20519,155901.6783291069,759791.7945762799
1649376000000,2022-04-08 00:00:00,XLM/USD,0.21249,0.21333,0.20034,0.20206,815017.5568614485,4033542.29863134
1649289600000,2022-04-07 00:00:00,XLM/USD,0.20342,0.21456,0.201,0.21262,653867.6737728904,3075287.71410446
1649203200000,2022-04-06 00:00:00,XLM/USD,0.22498,0.2254,0.20251,0.2034,612493.9888775322,3011278.21473713
1649116800000,2022-04-05 00:00:00,XLM/USD,0.23197,0.23408,0.22436,0.22512,441429.04344953626,1960861.06720654
1649030400000,2022-04-04 00:00:00,XLM/USD,0.23691,0.23691,0.22652,0.2323,603139.3747613142,2596381.29471078
1648944000000,2022-04-03 00:00:00,XLM/USD,0.2332,0.23832,0.23044,0.23697,776797.028804353,3278039.53582459
1648857600000,2022-04-02 00:00:00,XLM/USD,0.23253,0.23725,0.23065,0.23321,752948.6778508348,3228629.46636437
1648771200000,2022-04-01 00:00:00,XLM/USD,0.2284,0.2329,0.22126,0.23284,1076732.4998436396,4624345.04313537
1648684800000,2022-03-31 00:00:00,XLM/USD,0.23459,0.24112,0.22587,0.2282,719948.3003919281,3154900.52757199
1648598400000,2022-03-30 00:00:00,XLM/USD,0.23307,0.23753,0.22645,0.23455,1026454.3096476044,4376270.77231978
1648512000000,2022-03-29 00:00:00,XLM/USD,0.22966,0.2396,0.22885,0.23331,904531.3640618451,3876950.68390487
1648425600000,2022-03-28 00:00:00,XLM/USD,0.22982,0.24098,0.22819,0.22953,1020548.743653345,4446254.2746192
1648339200000,2022-03-27 00:00:00,XLM/USD,0.21568,0.23066,0.21459,0.22973,868034.2404019635,3778497.54234085
1648252800000,2022-03-26 00:00:00,XLM/USD,0.21139,0.21584,0.20923,0.21577,578857.6191197446,2682753.01997379
1648166400000,2022-03-25 00:00:00,XLM/USD,0.21505,0.22041,0.21054,0.21129,776977.8078595146,3677305.16285444
1648080000000,2022-03-24 00:00:00,XLM/USD,0.20947,0.21665,0.20636,0.21503,511937.3281398025,2380771.65111753
1647993600000,2022-03-23 00:00:00,XLM/USD,0.20691,0.21162,0.20439,0.20952,316869.74900959403,1512360.39046198
1647907200000,2022-03-22 00:00:00,XLM/USD,0.2038,0.21292,0.20142,0.20689,622562.1412538788,3009145.63900565
1647820800000,2022-03-21 00:00:00,XLM/USD,0.19728,0.20406,0.19259,0.20377,272072.2060919119,1335192.64902543
1647734400000,2022-03-20 00:00:00,XLM/USD,0.20033,0.20192,0.19204,0.19732,420946.8354830225,2133320.67445278
1647648000000,2022-03-19 00:00:00,XLM/USD,0.19288,0.20052,0.19077,0.20049,741330.314800849,3697592.47244675
1647561600000,2022-03-18 00:00:00,XLM/USD,0.18967,0.19374,0.18525,0.19291,754464.0375234359,3910963.85632386
1647475200000,2022-03-17 00:00:00,XLM/USD,0.18944,0.19144,0.18532,0.18971,475005.0819990685,2503848.41072726
1647388800000,2022-03-16 00:00:00,XLM/USD,0.18276,0.18959,0.18074,0.18943,731423.7421397563,3861182.18940905
1647302400000,2022-03-15 00:00:00,XLM/USD,0.1804,0.1839,0.17598,0.18276,606529.6198354585,3318721.92950021
1647216000000,2022-03-14 00:00:00,XLM/USD,0.17634,0.18095,0.17357,0.18038,1115338.2258734673,6183269.90727058
1647129600000,2022-03-13 00:00:00,XLM/USD,0.18523,0.18891,0.17578,0.17653,230600.02487775075,1306293.68876537
1647043200000,2022-03-12 00:00:00,XLM/USD,0.18355,0.19006,0.1822,0.1852,689132.3569857794,3721017.0463595
1646956800000,2022-03-11 00:00:00,XLM/USD,0.17876,0.1854,0.17293,0.18355,1214734.2346563644,6618001.82324361
1646870400000,2022-03-10 00:00:00,XLM/USD,0.1888,0.19188,0.17337,0.17888,946220.0324827969,5289691.5948278
1646784000000,2022-03-09 00:00:00,XLM/USD,0.17326,0.19021,0.1723,0.18869,1320630.906864023,6998944.86652193
1646697600000,2022-03-08 00:00:00,XLM/USD,0.16974,0.17408,0.16811,0.17323,1174485.879837619,6779921.95253489
1646611200000,2022-03-07 00:00:00,XLM/USD,0.17294,0.1785,0.16692,0.16989,970521.7971710996,5712648.16746777
1646524800000,2022-03-06 00:00:00,XLM/USD,0.18037,0.18165,0.17236,0.17294,561816.2637240307,3248619.54275489
1646438400000,2022-03-05 00:00:00,XLM/USD,0.17604,0.18071,0.17191,0.18025,432619.5126969314,2400108.25351973
1646352000000,2022-03-04 00:00:00,XLM/USD,0.188,0.18874,0.17374,0.17603,1084982.1592330264,6163620.74210661
1646265600000,2022-03-03 00:00:00,XLM/USD,0.19369,0.19526,0.18513,0.18796,524222.52820776496,2789011.10985191
1646179200000,2022-03-02 00:00:00,XLM/USD,0.19897,0.19959,0.19149,0.19374,359204.26368655975,1854053.18306266
1646092800000,2022-03-01 00:00:00,XLM/USD,0.19761,0.2027,0.19299,0.1988,641159.9007910715,3225150.40639372
1646006400000,2022-02-28 00:00:00,XLM/USD,0.18109,0.19806,0.17745,0.1979,1001228.338568508,5059263.96446947
1645920000000,2022-02-27 00:00:00,XLM/USD,0.19306,0.19425,0.17883,0.18122,1229924.529169012,6786913.85701916
1645833600000,2022-02-26 00:00:00,XLM/USD,0.19121,0.20422,0.18983,0.1929,1379262.6934040051,7150143.56352517
1645747200000,2022-02-25 00:00:00,XLM/USD,0.18262,0.19211,0.17833,0.19072,625616.6084412456,3280288.42513237
1645660800000,2022-02-24 00:00:00,XLM/USD,0.18171,0.18632,0.16228,0.18266,1777429.7376718493,9730809.90732426
1645574400000,2022-02-23 00:00:00,XLM/USD,0.18605,0.19456,0.18168,0.18196,2924691.319964341,16073265.11301572
1645488000000,2022-02-22 00:00:00,XLM/USD,0.17832,0.18737,0.17347,0.18588,798729.77647898,4297018.38002464
1645401600000,2022-02-21 00:00:00,XLM/USD,0.19477,0.20105,0.17699,0.17813,1840133.4646998243,10330283.8640309
1645315200000,2022-02-20 00:00:00,XLM/USD,0.20437,0.20616,0.19341,0.19474,840854.2986785664,4317830.43380182
1645228800000,2022-02-19 00:00:00,XLM/USD,0.20076,0.21099,0.19669,0.2045,1617884.9942569598,7911418.06482621
1645142400000,2022-02-18 00:00:00,XLM/USD,0.20239,0.2089,0.19561,0.20088,791912.102774344,3942214.76888861
1645056000000,2022-02-17 00:00:00,XLM/USD,0.21901,0.22649,0.2011,0.20244,1247090.1148536985,6160294.97556658
1644969600000,2022-02-16 00:00:00,XLM/USD,0.221,0.22177,0.21378,0.21883,510028.0758297658,2330704.54613063
1644883200000,2022-02-15 00:00:00,XLM/USD,0.2109,0.22261,0.20962,0.221,539903.5084999255,2443002.30090464
1644796800000,2022-02-14 00:00:00,XLM/USD,0.21079,0.21407,0.20556,0.21099,427436.91100111866,2025863.36319787
1644710400000,2022-02-13 00:00:00,XLM/USD,0.21829,0.22192,0.21057,0.21058,503890.83207355044,2392871.27017547
1644624000000,2022-02-12 00:00:00,XLM/USD,0.21554,0.22458,0.21143,0.21815,493153.79025160096,2260617.87876049
1644537600000,2022-02-11 00:00:00,XLM/USD,0.23174,0.23174,0.21303,0.21567,617853.6097417128,2864810.17175181
1644451200000,2022-02-10 00:00:00,XLM/USD,0.23903,0.24307,0.22862,0.23184,728153.0702838849,3140756.85940254
1644364800000,2022-02-09 00:00:00,XLM/USD,0.24267,0.24404,0.23444,0.2389,1198223.5092395986,5015586.05793051
1644278400000,2022-02-08 00:00:00,XLM/USD,0.2398,0.25692,0.23309,0.24233,1619046.0873721985,6681162.4122981
1644192000000,2022-02-07 00:00:00,XLM/USD,0.22431,0.24191,0.21934,0.23952,793673.0956725425,3313598.42882658
1644105600000,2022-02-06 00:00:00,XLM/USD,0.21331,0.22504,0.21296,0.22395,932426.3661083952,4163547.0690261
1644019200000,2022-02-05 00:00:00,XLM/USD,0.20922,0.21644,0.20818,0.21331,452942.1862991454,2123398.74501498
1643932800000,2022-02-04 00:00:00,XLM/USD,0.19518,0.21036,0.19373,0.20907,586736.9971169776,2806414.10588309
1643846400000,2022-02-03 00:00:00,XLM/USD,0.19322,0.19538,0.18907,0.19514,476137.9812169287,2439981.45545213
1643760000000,2022-02-02 00:00:00,XLM/USD,0.20209,0.206,0.1902,0.19321,426776.16206536855,2208872.01524439
1643673600000,2022-02-01 00:00:00,XLM/USD,0.19959,0.20639,0.19894,0.202,383377.8330969933,1897910.0648366
1643587200000,2022-01-31 00:00:00,XLM/USD,0.19555,0.20107,0.18985,0.19987,634184.5198414891,3172985.03948311
1643500800000,2022-01-30 00:00:00,XLM/USD,0.20344,0.2066,0.19288,0.19557,456314.5319695351,2333254.2412923
1643414400000,2022-01-29 00:00:00,XLM/USD,0.19852,0.20483,0.19769,0.20357,479834.88178992365,2357100.17089907
1643328000000,2022-01-28 00:00:00,XLM/USD,0.19408,0.19956,0.18907,0.19863,568592.0700657606,2862568.94762
1643241600000,2022-01-27 00:00:00,XLM/USD,0.19689,0.2007,0.18736,0.19425,739206.4309843897,3805438.51214615
1643155200000,2022-01-26 00:00:00,XLM/USD,0.19716,0.20817,0.19163,0.19679,1240250.8216338726,6302407.75259857
1643068800000,2022-01-25 00:00:00,XLM/USD,0.19806,0.19927,0.18796,0.19695,837311.8367182732,4251392.92570842
