https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1652054400000,2022-05-09 00:00:00,UTK/USD,0.18719,0.19947,0.15139,0.15386,3711.7981753667696,24124.51693336
1651968000000,2022-05-08 00:00:00,UTK/USD,0.20447,0.20585,0.18619,0.18818,4393.165364781762,23345.54875535
1651881600000,2022-05-07 00:00:00,UTK/USD,0.2106,0.21485,0.20105,0.20421,4408.476621014875,21587.95661826
1651795200000,2022-05-06 00:00:00,UTK/USD,0.21424,0.21786,0.2026,0.2107,4711.159432222957,22359.56066551
1651708800000,2022-05-05 00:00:00,UTK/USD,0.2359,0.23667,0.2106,0.21402,10314.52833155976,48194.226388
1651622400000,2022-05-04 00:00:00,UTK/USD,0.22675,0.23917,0.22572,0.23576,23869.14104998566,101243.38755508
1651536000000,2022-05-03 00:00:00,UTK/USD,0.22492,0.24962,0.22252,0.22731,58573.21170643399,257679.87200930002
1651449600000,2022-05-02 00:00:00,UTK/USD,0.21204,0.23034,0.20478,0.22536,26292.97587745217,116670.9969713
1651363200000,2022-05-01 00:00:00,UTK/USD,0.19947,0.22363,0.19578,0.2119,15462.032977119821,72968.5369378
1651276800000,2022-04-30 00:00:00,UTK/USD,0.22274,0.22449,0.19834,0.1993,3877.134217490633,19453.75924481
1651190400000,2022-04-29 00:00:00,UTK/USD,0.23561,0.23626,0.21999,0.22255,12168.863568570556,54679.23418814
1651104000000,2022-04-28 00:00:00,UTK/USD,0.23666,0.2387,0.23106,0.23561,14474.296000245888,61433.28381752
1651017600000,2022-04-27 00:00:00,UTK/USD,0.22249,0.24173,0.22008,0.23666,28874.784135885195,122009.56704084
1650931200000,2022-04-26 00:00:00,UTK/USD,0.24133,0.24601,0.22096,0.22229,18586.962954180442,83615.83046552
1650844800000,2022-04-25 00:00:00,UTK/USD,0.25055,0.25368,0.23056,0.24087,12552.408306498412,52112.79240461
1650758400000,2022-04-24 00:00:00,UTK/USD,0.23904,0.26457,0.23748,0.25087,7234.613639459885,28838.09797688
1650672000000,2022-04-23 00:00:00,UTK/USD,0.24355,0.24491,0.23712,0.23877,12152.970066601105,50898.22869959
1650585600000,2022-04-22 00:00:00,UTK/USD,0.24181,0.30233,0.23726,0.24331,8168.031469095856,33570.47169905
1650499200000,2022-04-21 00:00:00,UTK/USD,0.25098,0.26382,0.23811,0.24198,20192.122737589005,83445.42002475
1650412800000,2022-04-20 00:00:00,UTK/USD,0.25258,0.25878,0.24506,0.25065,7192.9710555559195,28697.2713168
1650326400000,2022-04-19 00:00:00,UTK/USD,0.23646,0.26298,0.23608,0.25273,33751.63471959148,133548.19261501
1650240000000,2022-04-18 00:00:00,UTK/USD,0.22982,0.23728,0.22355,0.23658,13019.344602035284,55031.46758828
1650153600000,2022-04-17 00:00:00,UTK/USD,0.23298,0.24364,0.22829,0.2301,8591.955690091176,37340.09426376
1650067200000,2022-04-16 00:00:00,UTK/USD,0.2381,0.2396,0.22937,0.2336,8882.545625574305,38024.59599989
1649980800000,2022-04-15 00:00:00,UTK/USD,0.23484,0.24201,0.23337,0.23814,28335.46486404163,118986.58295138
1649894400000,2022-04-14 00:00:00,UTK/USD,0.24531,0.24943,0.23286,0.23519,17102.561295141895,72718.06324734
1649808000000,2022-04-13 00:00:00,UTK/USD,0.23546,0.24842,0.23145,0.24568,18877.538571194953,76837.91342883
1649721600000,2022-04-12 00:00:00,UTK/USD,0.22988,0.24351,0.2262,0.23581,15317.142018598612,64955.43877952
1649635200000,2022-04-11 00:00:00,UTK/USD,0.25145,0.2517,0.2271,0.22906,40643.39995957583,177435.60621486
1649548800000,2022-04-10 00:00:00,UTK/USD,0.26361,0.26561,0.25029,0.25079,38622.349937833314,154002.75105799
1649462400000,2022-04-09 00:00:00,UTK/USD,0.27002,0.30857,0.25816,0.26284,148543.0001088622,565146.09689873
1649376000000,2022-04-08 00:00:00,UTK/USD,0.25263,0.28159,0.24397,0.27043,149220.1029978771,551788.27422208
1649289600000,2022-04-07 00:00:00,UTK/USD,0.24331,0.26045,0.2406,0.25213,29703.179089802907,117808.98381709
1649203200000,2022-04-06 00:00:00,UTK/USD,0.27084,0.27084,0.24277,0.2431,33971.80701540983,139744.16707285
1649116800000,2022-04-05 00:00:00,UTK/USD,0.27951,0.28541,0.27084,0.27089,53541.42996356823,197650.07923352
1649030400000,2022-04-04 00:00:00,UTK/USD,0.29811,0.30727,0.27043,0.27955,108664.17836007214,388711.06549838
1648944000000,2022-04-03 00:00:00,UTK/USD,0.2633,0.37814,0.26092,0.29811,342165.19784161646,1147781.68408177
1648857600000,2022-04-02 00:00:00,UTK/USD,0.26627,0.27485,0.26286,0.26291,35300.741689291,134269.3001
1648771200000,2022-04-01 00:00:00,UTK/USD,0.263,0.27078,0.25411,0.2667,28317.87007892978,106178.74045343
1648684800000,2022-03-31 00:00:00,UTK/USD,0.26673,0.27981,0.25886,0.26389,49624.08317843975,188048.36552518
1648598400000,2022-03-30 00:00:00,UTK/USD,0.26897,0.2737,0.26397,0.26705,33017.94631083421,123639.56678837
1648512000000,2022-03-29 00:00:00,UTK/USD,0.27084,0.28246,0.26602,0.26964,59819.06567960482,221847.89229938
1648425600000,2022-03-28 00:00:00,UTK/USD,0.26912,0.28801,0.26818,0.27086,57912.783048302925,213810.76219561
1648339200000,2022-03-27 00:00:00,UTK/USD,0.25451,0.27783,0.25368,0.26935,43146.808251133625,160188.63282396
