https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VEE
1653004800000,2022-05-20 00:00:00,VEE/USD,0.0019391,0.00234,0.00187,0.00229,180.9434037327494,79014.58678286
1652918400000,2022-05-19 00:00:00,VEE/USD,0.0019391,0.002285,0.001598,0.0018248,60.29402325472146,33041.44194143
1652832000000,2022-05-18 00:00:00,VEE/USD,0.0023,0.0023,0.0015542,0.002005,1405.0165077741178,700756.36297961
1652745600000,2022-05-17 00:00:00,VEE/USD,0.0023456,0.0023456,0.0019019,0.0023456,2.2799232000000003,972.0
1652659200000,2022-05-16 00:00:00,VEE/USD,0.0023904,0.0023904,0.0018962,0.0019019,86.64922615701953,45559.29657554
1652572800000,2022-05-15 00:00:00,VEE/USD,0.0027,0.0027,0.0018962,0.0018962,747.3091400563729,394108.817665
1652486400000,2022-05-14 00:00:00,VEE/USD,0.0019576,0.0019576,0.0018912,0.0018962,75.9636682,40061.0
1652400000000,2022-05-13 00:00:00,VEE/USD,0.0027357,0.003,0.0018912,0.0028491,2232.744930313048,783666.74750379
1652313600000,2022-05-12 00:00:00,VEE/USD,0.0025642,0.00282,0.0015752,0.0015752,1213.6370222336789,770465.35184972
1652227200000,2022-05-11 00:00:00,VEE/USD,0.002633,0.002633,0.0023,0.0023,618.42532922221,268880.57792270003
1652054400000,2022-05-09 00:00:00,VEE/USD,0.0026425,0.0036477,0.0025,0.0026253,635.4207138805673,242037.37244526998
1651968000000,2022-05-08 00:00:00,VEE/USD,0.0028828,0.0028828,0.00257,0.00257,733.6403043071329,285463.1534269
1651795200000,2022-05-06 00:00:00,VEE/USD,0.0033239,0.0039908,0.0033239,0.0039908,157.39889593697828,39440.436989320006
1651708800000,2022-05-05 00:00:00,VEE/USD,0.003324,0.0039508,0.003324,0.003324,158.05511159206597,47549.67256079
1651622400000,2022-05-04 00:00:00,VEE/USD,0.0028826,0.0037799,0.0028826,0.0037799,835.8435022979276,221128.46961505
1651536000000,2022-05-03 00:00:00,VEE/USD,0.0032702,0.0033849,0.0028,0.0033849,414.05019167804227,122322.72494846
1651449600000,2022-05-02 00:00:00,VEE/USD,0.0034029,0.0034029,0.0034029,0.0034029,10.2087,3000.0
1651363200000,2022-05-01 00:00:00,VEE/USD,0.0033149,0.0035,0.003268,0.0034,479.16553710432,140931.0403248
1651276800000,2022-04-30 00:00:00,VEE/USD,0.00349,0.0036258,0.0032681,0.0032681,138.3642789319129,42337.83511273
1651190400000,2022-04-29 00:00:00,VEE/USD,0.003712,0.003712,0.00344,0.00361,39.116629422589995,10835.631419
1651104000000,2022-04-28 00:00:00,VEE/USD,0.003735,0.003735,0.0035202,0.0035202,54.499736399999996,15482.0
1651017600000,2022-04-27 00:00:00,VEE/USD,0.0034285,0.003735,0.0034285,0.003735,127.9797750807507,34265.00002162
1650931200000,2022-04-26 00:00:00,VEE/USD,0.0034196,0.0037144,0.0031729,0.0037144,296.09242051368597,79714.73737715
1650844800000,2022-04-25 00:00:00,VEE/USD,0.0034474,0.003735,0.0033224,0.0034219,230.34008676897446,67313.50617171
1650758400000,2022-04-24 00:00:00,VEE/USD,0.0029641,0.0037994,0.0026543,0.0037994,401.81121903208657,105756.49287574
1650585600000,2022-04-22 00:00:00,VEE/USD,0.0035946,0.0035946,0.003,0.003,802.09387912083,267364.62637361
1650499200000,2022-04-21 00:00:00,VEE/USD,0.0036303,0.0036303,0.0033586,0.0033625,121.92595193566288,36260.50615187
1650412800000,2022-04-20 00:00:00,VEE/USD,0.0033603,0.0038222,0.00335,0.0036574,1476.5760368258168,403722.87330503005
1650326400000,2022-04-19 00:00:00,VEE/USD,0.0040489,0.0040489,0.0033603,0.0033603,15.841589480715301,4714.337851
1650240000000,2022-04-18 00:00:00,VEE/USD,0.0034346,0.0040694,0.00335,0.0038384,345.5951044485106,90036.24021689
1650153600000,2022-04-17 00:00:00,VEE/USD,0.0037521,0.0037521,0.0037521,0.0037521,6.869802045193659,1830.92189579
1650067200000,2022-04-16 00:00:00,VEE/USD,0.0036169,0.00385,0.0033501,0.0033501,45.26102553735476,13510.350597699999
1649980800000,2022-04-15 00:00:00,VEE/USD,0.0035444,0.0036593,0.00335,0.0035,273.521800097,78149.085742
1649894400000,2022-04-14 00:00:00,VEE/USD,0.0034151,0.0034249,0.0034151,0.0034249,123.97436938019008,36197.95304394
1649808000000,2022-04-13 00:00:00,VEE/USD,0.0037565,0.00408,0.00335,0.0035,2402.164420116965,686332.69146199
1649721600000,2022-04-12 00:00:00,VEE/USD,0.0034584,0.0037557,0.00335,0.0037557,5938.781989367164,1581271.66423494
1649635200000,2022-04-11 00:00:00,VEE/USD,0.00422,0.00422,0.0034768,0.0034768,126.36982383316062,36346.5899198
1649548800000,2022-04-10 00:00:00,VEE/USD,0.00423,0.00423,0.00423,0.00423,655.6500000000001,155000.0
1649462400000,2022-04-09 00:00:00,VEE/USD,0.0034852,0.0034852,0.0034852,0.0034852,20.2429552312392,5808.262146
1649376000000,2022-04-08 00:00:00,VEE/USD,0.0034787,0.0042507,0.0034781,0.0042507,48.82425236189543,11486.16753991
1649289600000,2022-04-07 00:00:00,VEE/USD,0.0038419,0.0043,0.003506,0.004,2396.4460281854804,599111.5070463701
1649203200000,2022-04-06 00:00:00,VEE/USD,0.0041603,0.0045789,0.0033732,0.0035202,1229.2867717752508,349209.35508643
1649116800000,2022-04-05 00:00:00,VEE/USD,0.0043859,0.0046,0.0040222,0.0041303,771.810838460315,186865.56387195
1649030400000,2022-04-04 00:00:00,VEE/USD,0.0041401,0.0042643,0.0040402,0.0042643,101.13905578184325,23717.62206736
1648944000000,2022-04-03 00:00:00,VEE/USD,0.0043438,0.004386,0.0041103,0.004386,414.9973905742755,94618.64810175
1648857600000,2022-04-02 00:00:00,VEE/USD,0.0037021,0.0045475,0.003157,0.00434,1315.6551682552238,303146.35213254
1648771200000,2022-04-01 00:00:00,VEE/USD,0.0035,0.0037021,0.0032754,0.0037021,1719.1196036008168,464363.3623081
1648684800000,2022-03-31 00:00:00,VEE/USD,0.0040002,0.0040002,0.0036423,0.0038116,590.7444918899265,154985.96177194
1648598400000,2022-03-30 00:00:00,VEE/USD,0.0040001,0.0042313,0.004,0.0040002,833.6760786672472,208408.59923685
1648512000000,2022-03-29 00:00:00,VEE/USD,0.0032415,0.0047499,0.0032415,0.0036423,414.38395450000615,113769.858194
1648425600000,2022-03-28 00:00:00,VEE/USD,0.0038755,0.004797,0.0038755,0.004797,280.3934451113137,58451.83346077
1648339200000,2022-03-27 00:00:00,VEE/USD,0.0029549,0.0038763,0.0029549,0.0035541,571.4044444319927,160773.31657297
1648252800000,2022-03-26 00:00:00,VEE/USD,0.0030314,0.0031144,0.00294,0.00294,86.83540448898,29535.851867
1648080000000,2022-03-24 00:00:00,VEE/USD,0.0031866,0.0031866,0.0031866,0.0031866,16.942740472160402,5316.870794
1647993600000,2022-03-23 00:00:00,VEE/USD,0.0028456,0.0035773,0.0028456,0.0035773,69.74854919930227,19497.53982034
1647907200000,2022-03-22 00:00:00,VEE/USD,0.0027308,0.0038995,0.0027308,0.0029201,1873.124812276302,641459.13231612
1647820800000,2022-03-21 00:00:00,VEE/USD,0.0029989,0.0039,0.0025629,0.00299,8935.816630622701,2988567.43499087
1647734400000,2022-03-20 00:00:00,VEE/USD,0.0026125,0.0026125,0.0025722,0.0025722,32.66828172565126,12700.52162571
1647648000000,2022-03-19 00:00:00,VEE/USD,0.0031407,0.0031407,0.0031407,0.0031407,1.0175868000000001,324.0
1647561600000,2022-03-18 00:00:00,VEE/USD,0.0030709,0.0031332,0.003,0.0031332,263.72540252354366,84171.26341233999
1647475200000,2022-03-17 00:00:00,VEE/USD,0.0031332,0.0031332,0.0025512,0.0030709,324.24287634747753,105585.61866146
1647388800000,2022-03-16 00:00:00,VEE/USD,0.0027888,0.0031484,0.0022263,0.0031332,334.1181378347418,106637.98603177001
1647302400000,2022-03-15 00:00:00,VEE/USD,0.00223,0.0026908,0.00223,0.0025041,115.15391089741883,45986.147077760004
1647216000000,2022-03-14 00:00:00,VEE/USD,0.0024003,0.0024003,0.0024,0.0024,77.92121252056799,32467.17188357
1647129600000,2022-03-13 00:00:00,VEE/USD,0.00256,0.00256,0.0024003,0.0024106,247.73754739117052,102770.07690665
1647043200000,2022-03-12 00:00:00,VEE/USD,0.0029316,0.0029316,0.0029316,0.0029316,0.9498384,324.0
1646956800000,2022-03-11 00:00:00,VEE/USD,0.0027129,0.0030014,0.0027127,0.0029319,86.11694887112802,29372.4031758
1646870400000,2022-03-10 00:00:00,VEE/USD,0.0026515,0.0026515,0.0026515,0.0026515,5.502816085460001,2075.35964
1646784000000,2022-03-09 00:00:00,VEE/USD,0.0027796,0.0029262,0.0024135,0.0026014,809.1380099170669,311039.44411358
1646697600000,2022-03-08 00:00:00,VEE/USD,0.0024988,0.0024988,0.0021706,0.0024988,44.363930732365176,17754.09425819
1646611200000,2022-03-07 00:00:00,VEE/USD,0.0021345,0.0024988,0.0021345,0.0024988,301.6206916389831,120706.2156391
1646524800000,2022-03-06 00:00:00,VEE/USD,0.0029257,0.0029257,0.0021611,0.0025027,4926.188440066409,1968349.55850338
1646438400000,2022-03-05 00:00:00,VEE/USD,0.00279,0.00279,0.00279,0.00279,3.6106200799389003,1294.1290609100001
1646352000000,2022-03-04 00:00:00,VEE/USD,0.0031542,0.0031987,0.00279,0.00279,700.1385956544771,250945.73320949
1646265600000,2022-03-03 00:00:00,VEE/USD,0.00332,0.004797,0.0027419,0.0031542,2168.480681477878,687489.91233209
1646179200000,2022-03-02 00:00:00,VEE/USD,0.0031817,0.0035,0.002853,0.00329,2121.4445497922466,644815.97258123
1646092800000,2022-03-01 00:00:00,VEE/USD,0.003135,0.0035589,0.0025726,0.0031987,3124.2508848863326,976725.19613791
1646006400000,2022-02-28 00:00:00,VEE/USD,0.003501,0.003949,0.0029,0.0032791,3606.9404178182695,1099978.78009767
1645920000000,2022-02-27 00:00:00,VEE/USD,0.0035002,0.0038525,0.0035001,0.003501,155.6183507653677,44449.68602267
1645833600000,2022-02-26 00:00:00,VEE/USD,0.0036152,0.0039501,0.0035005,0.0035735,680.365415219322,190391.88896581
1645747200000,2022-02-25 00:00:00,VEE/USD,0.0035188,0.00393,0.0035002,0.00393,45.99980994984541,11704.78624678
1645660800000,2022-02-24 00:00:00,VEE/USD,0.0042659,0.0044724,0.0031306,0.0036122,1521.8128776716915,421298.06701503
1645488000000,2022-02-22 00:00:00,VEE/USD,0.0043375,0.004797,0.004145,0.004797,2759.235956974187,575200.32457248
1645401600000,2022-02-21 00:00:00,VEE/USD,0.0045943,0.0053984,0.0043259,0.0043259,3154.746356467628,729269.36740739
1645315200000,2022-02-20 00:00:00,VEE/USD,0.0053136,0.0053136,0.0045844,0.0045844,3834.4842289355374,836420.08309387
1645228800000,2022-02-19 00:00:00,VEE/USD,0.0053453,0.0053991,0.0053135,0.0053136,15758.55514883783,2965702.18850456
1645142400000,2022-02-18 00:00:00,VEE/USD,0.0055746,0.0055746,0.0053453,0.0053453,7168.82571617052,1341145.626283
1645056000000,2022-02-17 00:00:00,VEE/USD,0.0060958,0.0060967,0.0051514,0.005571,10910.785834818942,1958496.82908256
1644969600000,2022-02-16 00:00:00,VEE/USD,0.0060906,0.0060958,0.0060609,0.0060609,820.9184542824846,135444.97587528
1644883200000,2022-02-15 00:00:00,VEE/USD,0.0060609,0.0060906,0.0060609,0.0060906,6300.856432064302,1034521.46456249
1644796800000,2022-02-14 00:00:00,VEE/USD,0.006084,0.0060845,0.0060609,0.0060609,8864.182639808269,1462519.203387
1644710400000,2022-02-13 00:00:00,VEE/USD,0.00585,0.006084,0.00561,0.006067,7503.788912561889,1236820.3251297
1644624000000,2022-02-12 00:00:00,VEE/USD,0.0053761,0.0053761,0.0053071,0.0053071,98.61096245522982,18580.95051068
