https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LEO
1647302400000,2022-03-15 00:00:00,LEO/USD,5.8949,5.91,5.8283,5.905,150940.8673841313,25561.53554346
1647216000000,2022-03-14 00:00:00,LEO/USD,5.8124,5.8953,5.7616,5.8951,265987.2889997213,45120.06395137
1647129600000,2022-03-13 00:00:00,LEO/USD,5.8489,5.849,5.8022,5.8335,130216.23000299346,22322.14451067
1647043200000,2022-03-12 00:00:00,LEO/USD,5.8435,5.849,5.804,5.8489,102163.52003177792,17467.13399644
1646956800000,2022-03-11 00:00:00,LEO/USD,5.8489,5.849,5.804,5.8362,192684.0356827532,33015.32430053
1646870400000,2022-03-10 00:00:00,LEO/USD,5.8487,5.849,5.8023,5.8363,150516.0119226132,25789.62903254
1646784000000,2022-03-09 00:00:00,LEO/USD,5.6708,5.8954,5.5926,5.8487,209201.9216801072,35768.96091099
1646697600000,2022-03-08 00:00:00,LEO/USD,5.3806,5.6988,5.3806,5.6406,139928.723581981,24807.41828564
1646611200000,2022-03-07 00:00:00,LEO/USD,5.3709,5.5329,5.2962,5.3807,166638.23285134812,30969.61972445
1646524800000,2022-03-06 00:00:00,LEO/USD,5.3562,5.3886,5.3213,5.3709,119480.85402170577,22245.96511231
1646438400000,2022-03-05 00:00:00,LEO/USD,5.537,5.537,5.3214,5.3562,179963.5781340189,33599.11469587
1646352000000,2022-03-04 00:00:00,LEO/USD,5.6204,5.92,5.5001,5.5379,277199.21195527725,50054.93272816
1646265600000,2022-03-03 00:00:00,LEO/USD,5.9315,5.9458,5.5779,5.6206,218213.8158161743,38823.93620186
1646179200000,2022-03-02 00:00:00,LEO/USD,5.9494,5.95,5.732,5.9424,178772.81371240638,30084.27802107
1646092800000,2022-03-01 00:00:00,LEO/USD,5.9526,6.1,5.7,5.9499,702861.0811623209,118129.89817683
1646006400000,2022-02-28 00:00:00,LEO/USD,5.9652,6.1145,5.703,5.9258,252079.74914628363,42539.36162987
1645920000000,2022-02-27 00:00:00,LEO/USD,6.0606,6.1149,5.93,5.951,181862.78672256673,30560.03809823
1645833600000,2022-02-26 00:00:00,LEO/USD,5.9174,6.1,5.8874,6.0612,154615.61180620448,25509.07605857
1645747200000,2022-02-25 00:00:00,LEO/USD,5.7137,5.9177,5.6823,5.9173,173672.8408280104,29350.01450459
1645660800000,2022-02-24 00:00:00,LEO/USD,6.1032,6.2046,5.3285,5.718,718203.5416605916,125603.97720542
1645574400000,2022-02-23 00:00:00,LEO/USD,5.8481,6.35,5.8185,6.0975,878240.3151229874,144032.85200869
1645488000000,2022-02-22 00:00:00,LEO/USD,5.879,5.8922,5.7611,5.8481,185652.8318915179,31745.83743293
1645401600000,2022-02-21 00:00:00,LEO/USD,5.7714,6.0124,5.7307,5.8395,269767.7518116589,46197.06341496
1645315200000,2022-02-20 00:00:00,LEO/USD,5.7961,5.8464,5.6704,5.735,178403.7270907813,31107.88615358
1645228800000,2022-02-19 00:00:00,LEO/USD,5.6781,5.7961,5.5865,5.7961,167375.70445741698,28877.29757206
1645142400000,2022-02-18 00:00:00,LEO/USD,5.5808,5.7188,5.5238,5.708,212882.10257861845,37295.39288343
1645056000000,2022-02-17 00:00:00,LEO/USD,5.8619,5.8796,5.55,5.5502,347113.0218770761,62540.63310819
1644969600000,2022-02-16 00:00:00,LEO/USD,5.9486,5.9951,5.7308,5.8668,321976.4648786013,54881.10467011
1644883200000,2022-02-15 00:00:00,LEO/USD,5.8476,6.245,5.8225,5.9474,442072.01817316783,74330.298647
1644796800000,2022-02-14 00:00:00,LEO/USD,5.8566,5.9459,5.7931,5.8399,185783.45377226497,31812.77997436
1644710400000,2022-02-13 00:00:00,LEO/USD,5.9361,5.955,5.8224,5.8538,173973.53417459165,29719.76052728
1644624000000,2022-02-12 00:00:00,LEO/USD,6.1867,6.2092,5.7407,5.9446,422315.85089799383,71041.9289604
1644537600000,2022-02-11 00:00:00,LEO/USD,6.1328,6.5195,6.0,6.1868,499673.0160581133,80764.37189793
1644451200000,2022-02-10 00:00:00,LEO/USD,6.7966,7.0953,6.1,6.1336,2435422.4899527305,397062.49021011
1644364800000,2022-02-09 00:00:00,LEO/USD,7.5798,7.62,6.6066,6.8052,4399583.078475746,646503.12679653
1644278400000,2022-02-08 00:00:00,LEO/USD,4.8298,8.1443,4.82,7.5798,15165961.153052848,2000839.22439284
1644192000000,2022-02-07 00:00:00,LEO/USD,5.0878,5.3318,4.82,4.8233,579416.3159652571,120128.60820709
1644105600000,2022-02-06 00:00:00,LEO/USD,4.7935,5.2,4.516,5.0878,637009.8242283806,125203.39326003
1644019200000,2022-02-05 00:00:00,LEO/USD,5.1583,5.194,4.7743,4.7941,709099.024555138,147910.77043765
1643932800000,2022-02-04 00:00:00,LEO/USD,4.1115,5.4493,4.0861,5.1583,2491861.0241828207,483077.9567266
1643846400000,2022-02-03 00:00:00,LEO/USD,4.1355,4.1831,3.9602,4.1115,226323.00211740835,55046.33396994
1643760000000,2022-02-02 00:00:00,LEO/USD,4.2589,4.5496,3.9603,4.1355,1337695.1688405315,323466.36896156
1643673600000,2022-02-01 00:00:00,LEO/USD,3.7107,4.2589,3.7,4.2589,1049280.624461252,246373.62334435
