https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MNA
1651881600000,2022-05-07 00:00:00,MNA/USD,1.4485,1.4541,1.3377,1.3681,66894.64646789503,48896.02110072
1651795200000,2022-05-06 00:00:00,MNA/USD,1.4639,1.4786,1.3899,1.4473,166470.97410437476,115021.74677287
1651708800000,2022-05-05 00:00:00,MNA/USD,1.662,1.6778,1.4155,1.4688,180553.24142071634,122925.68179515
1651622400000,2022-05-04 00:00:00,MNA/USD,1.4737,1.6686,1.4717,1.6593,129805.31876751725,78228.9632782
1651536000000,2022-05-03 00:00:00,MNA/USD,1.504,1.5879,1.45,1.4767,136422.09193193453,92383.07843972
1651449600000,2022-05-02 00:00:00,MNA/USD,1.5254,1.5812,1.4349,1.5071,138955.06707324245,92200.29664471
1651363200000,2022-05-01 00:00:00,MNA/USD,1.4366,1.557,1.4089,1.5298,220671.69674669413,144248.72319695
1651276800000,2022-04-30 00:00:00,MNA/USD,1.667,1.6939,1.3398,1.4329,218862.3152330597,152740.81599069
1651190400000,2022-04-29 00:00:00,MNA/USD,1.8058,1.816,1.6203,1.6695,93826.44810942133,56200.32830753
1651104000000,2022-04-28 00:00:00,MNA/USD,1.842,1.8658,1.7861,1.8048,26424.692876294783,14641.34135433
1651017600000,2022-04-27 00:00:00,MNA/USD,1.8085,1.8875,1.79,1.8448,37628.836967751,20397.24467029
1650931200000,2022-04-26 00:00:00,MNA/USD,1.9847,2.0074,1.7805,1.8081,79976.43711149463,44232.3085623
1650844800000,2022-04-25 00:00:00,MNA/USD,2.0019,2.0019,1.848,1.9812,105393.05412255782,53196.57486501
1650758400000,2022-04-24 00:00:00,MNA/USD,2.0129,2.025,1.9605,2.005,34298.901054668946,17106.68381779
1650672000000,2022-04-23 00:00:00,MNA/USD,2.0366,2.0478,1.9961,2.01,23088.8830828488,11487.00650888
1650585600000,2022-04-22 00:00:00,MNA/USD,2.0243,2.0795,2.0142,2.0394,30439.07503178395,14925.50506609
1650499200000,2022-04-21 00:00:00,MNA/USD,2.1013,2.1625,2.0,2.0289,147574.43038088962,72736.17742663
1650412800000,2022-04-20 00:00:00,MNA/USD,2.1634,2.232,2.0742,2.1052,72326.7184880862,34356.2219685
1650326400000,2022-04-19 00:00:00,MNA/USD,2.0897,2.2,2.0668,2.1647,35706.25119309771,16494.78042828
1650240000000,2022-04-18 00:00:00,MNA/USD,2.0525,2.0975,1.9605,2.0888,54414.60514223748,26050.65355335
1650153600000,2022-04-17 00:00:00,MNA/USD,2.1535,2.1584,2.0422,2.0557,47439.30777397854,23076.96053606
1650067200000,2022-04-16 00:00:00,MNA/USD,2.142,2.1883,2.1124,2.1518,23576.226120162733,10956.51367235
1649980800000,2022-04-15 00:00:00,MNA/USD,2.1197,2.1534,2.1034,2.1448,42006.336510407025,19585.19979038
1649894400000,2022-04-14 00:00:00,MNA/USD,2.2004,2.2388,2.0983,2.1187,37860.25140821266,17869.56690811
1649808000000,2022-04-13 00:00:00,MNA/USD,2.1568,2.215,2.1106,2.2018,92979.88847308223,42229.03464124
1649721600000,2022-04-12 00:00:00,MNA/USD,2.064,2.1985,2.0499,2.1532,149805.00672496596,69573.19650983
1649635200000,2022-04-11 00:00:00,MNA/USD,2.2632,2.2807,2.0396,2.0534,147150.49939256647,71661.87756529
1649548800000,2022-04-10 00:00:00,MNA/USD,2.339,2.351,2.2622,2.2727,39243.97508882955,17267.55624976
1649462400000,2022-04-09 00:00:00,MNA/USD,2.2667,2.3423,2.2616,2.3375,42085.052201853374,18004.30040721
1649376000000,2022-04-08 00:00:00,MNA/USD,2.412,2.4416,2.25,2.268,73054.07299137276,32210.79056057
1649289600000,2022-04-07 00:00:00,MNA/USD,2.3339,2.4315,2.2936,2.4154,39457.741545416095,16335.90359585
1649203200000,2022-04-06 00:00:00,MNA/USD,2.5587,2.5587,2.32,2.3258,245337.0218592513,105485.00380912
1649116800000,2022-04-05 00:00:00,MNA/USD,2.6567,2.6828,2.5538,2.5605,66855.96880798982,26110.51310603
1649030400000,2022-04-04 00:00:00,MNA/USD,2.7184,2.7431,2.5595,2.6567,129711.98030010518,48824.47408443
1648944000000,2022-04-03 00:00:00,MNA/USD,2.6442,2.7657,2.6066,2.7264,100760.99313443212,36957.52389027
1648857600000,2022-04-02 00:00:00,MNA/USD,2.6438,2.7636,2.6172,2.6422,172308.94327228703,65214.19395666
1648771200000,2022-04-01 00:00:00,MNA/USD,2.6155,2.6834,2.4609,2.6484,215261.00688371298,81279.64313688
1648684800000,2022-03-31 00:00:00,MNA/USD,2.697,2.8382,2.5788,2.6061,220513.9227282022,84614.52850166999
1648598400000,2022-03-30 00:00:00,MNA/USD,2.6915,2.7463,2.5987,2.702,317890.51594243495,117650.07991948
1648512000000,2022-03-29 00:00:00,MNA/USD,2.6806,2.7853,2.6347,2.6969,133573.84752972025,49528.6616225
1648425600000,2022-03-28 00:00:00,MNA/USD,2.7371,2.8157,2.6544,2.6814,228712.5882041183,85295.96039536
1648339200000,2022-03-27 00:00:00,MNA/USD,2.6127,2.7388,2.5851,2.7363,205272.8781750502,75018.41105692
1648252800000,2022-03-26 00:00:00,MNA/USD,2.5884,2.6289,2.549,2.6164,56096.397159605265,21440.29856276
1648166400000,2022-03-25 00:00:00,MNA/USD,2.6915,2.7215,2.5742,2.5932,136619.51209230418,52683.75447027
1648080000000,2022-03-24 00:00:00,MNA/USD,2.549,2.7064,2.549,2.6941,513940.89242617524,190765.33626301
1647993600000,2022-03-23 00:00:00,MNA/USD,2.4306,2.55,2.4056,2.5377,140010.6589094434,55172.26579558
1647907200000,2022-03-22 00:00:00,MNA/USD,2.4027,2.4922,2.3914,2.434,135201.0432037305,55546.85423325
1647820800000,2022-03-21 00:00:00,MNA/USD,2.4038,2.47,2.3516,2.4065,71852.0450433428,29857.4880712
1647734400000,2022-03-20 00:00:00,MNA/USD,2.5029,2.5061,2.3746,2.4001,59636.34620077135,24847.44227356
1647648000000,2022-03-19 00:00:00,MNA/USD,2.4566,2.5517,2.4278,2.5067,104536.77969565045,41702.94797768
1647561600000,2022-03-18 00:00:00,MNA/USD,2.441,2.4638,2.3519,2.453,81459.22298784314,33207.99958738
1647475200000,2022-03-17 00:00:00,MNA/USD,2.5001,2.5336,2.4186,2.4402,51757.1045936188,21210.18957201
1647388800000,2022-03-16 00:00:00,MNA/USD,2.2729,2.5,2.2481,2.4954,145772.592804285,58416.523525
