https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRA
1646956800000,2022-03-11 00:00:00,XRA/USD,0.011901,0.012624,0.010203,0.011517,2615.8141799352907,227126.35060652
1646870400000,2022-03-10 00:00:00,XRA/USD,0.012062,0.013061,0.011901,0.011901,2291.7429931237375,192567.2626774
1646784000000,2022-03-09 00:00:00,XRA/USD,0.012613,0.013143,0.0119,0.012061,3709.4968983659737,307561.30489727
1646697600000,2022-03-08 00:00:00,XRA/USD,0.012253,0.012644,0.011534,0.012614,2634.3583844125415,208844.01335124
1646611200000,2022-03-07 00:00:00,XRA/USD,0.010944,0.0145,0.010203,0.012254,19223.20564827553,1568729.03935658
1646524800000,2022-03-06 00:00:00,XRA/USD,0.010864,0.01225,0.010245,0.010944,3508.8514487249186,320618.73617735
1646438400000,2022-03-05 00:00:00,XRA/USD,0.012644,0.012644,0.010203,0.010866,4034.187308904095,371267.0079978
1646352000000,2022-03-04 00:00:00,XRA/USD,0.012749,0.0129,0.011963,0.012645,2471.675843123896,195466.65426049
1646265600000,2022-03-03 00:00:00,XRA/USD,0.012787,0.0136,0.01205,0.012748,4598.834894153415,360749.52103494
1646179200000,2022-03-02 00:00:00,XRA/USD,0.013277,0.014649,0.012345,0.012947,13758.674935698491,1062692.12448432
1646092800000,2022-03-01 00:00:00,XRA/USD,0.012959,0.014195,0.012222,0.013786,6955.4524137515455,504530.13301549
1646006400000,2022-02-28 00:00:00,XRA/USD,0.014195,0.014195,0.011962,0.013116,1868.3195628237318,142445.83431105
1645920000000,2022-02-27 00:00:00,XRA/USD,0.012658,0.012658,0.012522,0.012602,244.32703493577645,19387.95706521
1645833600000,2022-02-26 00:00:00,XRA/USD,0.012846,0.013311,0.0126,0.013305,516.6676661416717,38832.594223349995
1645747200000,2022-02-25 00:00:00,XRA/USD,0.013075,0.014009,0.0121,0.01258,2184.6350943119646,173659.38746518
1645660800000,2022-02-24 00:00:00,XRA/USD,0.014843,0.0154,0.013,0.014374,1770.3149827899992,123160.91434465001
1645574400000,2022-02-23 00:00:00,XRA/USD,0.01412,0.016108,0.011634,0.014,68248.94333127025,4874924.52366216
1645488000000,2022-02-22 00:00:00,XRA/USD,0.014126,0.0142,0.014,0.014106,2993.102756317295,212186.4991009
1645401600000,2022-02-21 00:00:00,XRA/USD,0.01383,0.014191,0.013735,0.01411,3057.2873167586913,216675.21734647
1645315200000,2022-02-20 00:00:00,XRA/USD,0.013859,0.013958,0.01373,0.013833,2537.7566103402655,183456.70572835
1645228800000,2022-02-19 00:00:00,XRA/USD,0.014305,0.014406,0.013731,0.013888,2611.801835607507,188061.7681169
