https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CCD
1649808000000,2022-04-13 00:00:00,CCD/USD,0.04105,0.04541,0.04081,0.04388,655792.9710852165,14945145.19337321
1649721600000,2022-04-12 00:00:00,CCD/USD,0.04263,0.04263,0.04096,0.04106,582523.3309289003,14187124.47464443
1649635200000,2022-04-11 00:00:00,CCD/USD,0.04532,0.04541,0.04236,0.04263,504630.27150249266,11837444.79245819
1649548800000,2022-04-10 00:00:00,CCD/USD,0.046,0.04602,0.04524,0.04528,475480.33948226797,10500890.88962606
1649462400000,2022-04-09 00:00:00,CCD/USD,0.04568,0.04608,0.04568,0.046,361272.27267121035,7853745.05806979
1649376000000,2022-04-08 00:00:00,CCD/USD,0.05441,0.05441,0.04508,0.04568,798481.0967631481,17479883.90462233
1649289600000,2022-04-07 00:00:00,CCD/USD,0.05667,0.05697,0.0544,0.05445,900871.6951493764,16544934.71348717
1649203200000,2022-04-06 00:00:00,CCD/USD,0.06412,0.06422,0.05631,0.05667,792527.18353722,13984951.18294018
1649116800000,2022-04-05 00:00:00,CCD/USD,0.05873,0.08,0.0586,0.06417,1280797.0388270225,19959436.47852614
1649030400000,2022-04-04 00:00:00,CCD/USD,0.0563,0.05872,0.05581,0.05863,854515.6126315887,14574716.23113745
1648944000000,2022-04-03 00:00:00,CCD/USD,0.05378,0.058,0.05344,0.05631,794035.304316783,14101141.96975285
1648857600000,2022-04-02 00:00:00,CCD/USD,0.05244,0.054099,0.05235,0.05377,711490.4198467768,13232107.49203602
1648771200000,2022-04-01 00:00:00,CCD/USD,0.05213,0.05247,0.05,0.05244,722993.9867867145,13787070.68624551
1648684800000,2022-03-31 00:00:00,CCD/USD,0.04546,0.053329,0.04546,0.0521,693801.1624512414,13316720.96835396
1648598400000,2022-03-30 00:00:00,CCD/USD,0.04267,0.04547,0.041791,0.04547,687622.8362559916,15122560.72698464
1648512000000,2022-03-29 00:00:00,CCD/USD,0.04269,0.04383,0.04113,0.04264,649117.6706591139,15223209.91226815
