https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNG
1652918400000,2022-05-19 00:00:00,PNG/USD,0.075503,0.075503,0.073553,0.073553,405.77004854492174,5516.70290192
1652832000000,2022-05-18 00:00:00,PNG/USD,0.080684,0.080684,0.075503,0.076206,878.457050991819,11527.4000865
1652745600000,2022-05-17 00:00:00,PNG/USD,0.077116,0.08296,0.076,0.081424,1930.122073787302,23704.58432142
1652659200000,2022-05-16 00:00:00,PNG/USD,0.077248,0.077248,0.073428,0.076353,1093.350210685088,14319.67585668
1652572800000,2022-05-15 00:00:00,PNG/USD,0.069882,0.077642,0.069308,0.077248,1324.3270723624332,17143.83637586
1652486400000,2022-05-14 00:00:00,PNG/USD,0.070615,0.070838,0.065573,0.069882,1681.378000026638,24060.24441239
1652400000000,2022-05-13 00:00:00,PNG/USD,0.06688,0.074865,0.06688,0.070615,1675.0511604265855,23720.89726583
1652313600000,2022-05-12 00:00:00,PNG/USD,0.039087,0.067772,0.039087,0.067548,3766.121313855506,55754.74201835
1652227200000,2022-05-11 00:00:00,PNG/USD,0.09582,0.096018,0.063722,0.063722,841.7535283945737,13209.778858079999
1652140800000,2022-05-10 00:00:00,PNG/USD,0.094456,0.099257,0.090402,0.093764,3317.6390955842858,35382.8665115
1652054400000,2022-05-09 00:00:00,PNG/USD,0.10919,0.11106,0.094456,0.094456,2399.431601974531,25402.63828634
1651968000000,2022-05-08 00:00:00,PNG/USD,0.12132,0.12132,0.10919,0.11106,2203.9987434938985,19845.11744547
1651881600000,2022-05-07 00:00:00,PNG/USD,0.11676,0.12253,0.11669,0.12253,1344.794214628985,10975.22414616
1651708800000,2022-05-05 00:00:00,PNG/USD,0.12465,0.1272,0.11676,0.11785,2452.322718413043,20808.84784398
1651622400000,2022-05-04 00:00:00,PNG/USD,0.12274,0.12465,0.12258,0.12465,435.791416074435,3496.1204659
1651536000000,2022-05-03 00:00:00,PNG/USD,0.12153,0.12274,0.12153,0.12274,16.651271010782,135.6629543
1651449600000,2022-05-02 00:00:00,PNG/USD,0.12049,0.12269,0.12049,0.12269,712.0940058445628,5804.01015441
1651363200000,2022-05-01 00:00:00,PNG/USD,0.12657,0.12784,0.11519,0.11929,875.6028517993723,7340.11947187
1651276800000,2022-04-30 00:00:00,PNG/USD,0.14354,0.14449,0.12657,0.12784,2318.5416110422207,18136.27668212
1651190400000,2022-04-29 00:00:00,PNG/USD,0.1522,0.1522,0.14354,0.14354,1296.357458136166,9031.3324379
1651104000000,2022-04-28 00:00:00,PNG/USD,0.15891,0.15891,0.15079,0.15229,1141.6408371400144,7496.49246267
1650931200000,2022-04-26 00:00:00,PNG/USD,0.16524,0.16524,0.15743,0.15891,1261.8237909751892,7940.49330423
1650844800000,2022-04-25 00:00:00,PNG/USD,0.16112,0.16543,0.15235,0.1638,4576.833219674898,27941.59474771
1650758400000,2022-04-24 00:00:00,PNG/USD,0.16361,0.16361,0.16112,0.16273,467.57595436360094,2873.32363033
1650585600000,2022-04-22 00:00:00,PNG/USD,0.17066,0.17066,0.164,0.164,1478.8278381829998,9017.24291575
1650499200000,2022-04-21 00:00:00,PNG/USD,0.17824,0.17824,0.16897,0.16897,1197.8588670458003,7089.18072466
1650412800000,2022-04-20 00:00:00,PNG/USD,0.17511,0.17824,0.1739,0.17824,501.30285018236805,2812.5159907
1650326400000,2022-04-19 00:00:00,PNG/USD,0.17535,0.17686,0.17535,0.17686,119.27585317602,674.408307
1650240000000,2022-04-18 00:00:00,PNG/USD,0.18897,0.18897,0.1739,0.175,2449.7217453222497,13998.40997327
1650153600000,2022-04-17 00:00:00,PNG/USD,0.18742,0.18897,0.1871,0.18897,33.6407001578133,178.02137989
1650067200000,2022-04-16 00:00:00,PNG/USD,0.19324,0.19324,0.18333,0.189,3153.26995601814,16683.96802126
1649980800000,2022-04-15 00:00:00,PNG/USD,0.1945,0.19517,0.19324,0.19324,61.251187194509995,316.96950525
1649894400000,2022-04-14 00:00:00,PNG/USD,0.17632,0.2443,0.17632,0.1945,35781.420935912654,183966.1744777
1649808000000,2022-04-13 00:00:00,PNG/USD,0.16883,0.17807,0.16841,0.17807,2648.043244930618,14870.79937626
1649721600000,2022-04-12 00:00:00,PNG/USD,0.16028,0.17007,0.16028,0.17007,2278.369041566825,13396.65456322
1649635200000,2022-04-11 00:00:00,PNG/USD,0.19188,0.19188,0.15874,0.16028,5949.085022621185,37116.82694423
1649548800000,2022-04-10 00:00:00,PNG/USD,0.19532,0.19532,0.18998,0.18998,1072.9190028386452,5647.53659774
1649462400000,2022-04-09 00:00:00,PNG/USD,0.19717,0.19717,0.19717,0.19717,2.7188648154424,13.78944472
1649376000000,2022-04-08 00:00:00,PNG/USD,0.21181,0.21181,0.19532,0.19532,3854.206304202322,19732.77853882
1649289600000,2022-04-07 00:00:00,PNG/USD,0.21181,0.21181,0.21181,0.21181,10.4670432287916,49.41713436
1649203200000,2022-04-06 00:00:00,PNG/USD,0.22516,0.22516,0.21181,0.21181,1592.8217597557784,7520.04985485
1649116800000,2022-04-05 00:00:00,PNG/USD,0.22478,0.22741,0.22478,0.22517,484.23868227928824,2150.54706346
1649030400000,2022-04-04 00:00:00,PNG/USD,0.22918,0.22918,0.22304,0.22702,843.2190052144156,3714.29391778
