https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICE
1658102400000,2022-07-18 00:00:00,ICE/USD,0.30784,0.34591,0.2996,0.33739,2806.938059385664,8319.56507124
1658016000000,2022-07-17 00:00:00,ICE/USD,0.3069,0.3169,0.28309,0.30839,1419.7828243020651,4603.85493791
1657929600000,2022-07-16 00:00:00,ICE/USD,0.29693,0.31065,0.2677,0.29704,5737.798282686731,19316.58457678
1657843200000,2022-07-15 00:00:00,ICE/USD,0.27812,0.31614,0.2654,0.31069,12905.95114459489,41539.64126491
1657756800000,2022-07-14 00:00:00,ICE/USD,0.26115,0.28283,0.24576,0.26902,1545.2301521623413,5743.92295057
1657670400000,2022-07-13 00:00:00,ICE/USD,0.26855,0.2739,0.24565,0.26119,9927.693442400041,38009.46989701
1657584000000,2022-07-12 00:00:00,ICE/USD,0.28745,0.2881,0.26102,0.26544,1263.1237037602175,4758.60346504
1657497600000,2022-07-11 00:00:00,ICE/USD,0.29869,0.30958,0.27325,0.28802,1266.5644316744088,4397.48778444
1657411200000,2022-07-10 00:00:00,ICE/USD,0.31014,0.31015,0.29554,0.30952,3841.1781790811497,12410.11301073
1657324800000,2022-07-09 00:00:00,ICE/USD,0.30088,0.31107,0.2955,0.31014,1397.9690779393297,4507.54200664
1657238400000,2022-07-08 00:00:00,ICE/USD,0.30277,0.31542,0.29136,0.30084,2430.300728272452,8078.3829553000005
1657152000000,2022-07-07 00:00:00,ICE/USD,0.29175,0.31166,0.27666,0.30281,2052.976723614181,6779.75206768
1657065600000,2022-07-06 00:00:00,ICE/USD,0.29354,0.29359,0.27677,0.29175,1149.69670580877,3940.69136524
1656979200000,2022-07-05 00:00:00,ICE/USD,0.29768,0.29769,0.26385,0.29354,1857.6534097246374,6328.45067018
1656892800000,2022-07-04 00:00:00,ICE/USD,0.27226,0.29769,0.26491,0.29768,1196.7675413870425,4020.31557843
1656806400000,2022-07-03 00:00:00,ICE/USD,0.26692,0.28196,0.265,0.27949,1614.2133332576475,5775.56740226
1656720000000,2022-07-02 00:00:00,ICE/USD,0.29646,0.30301,0.2606,0.26688,3576.131934054989,13399.77493276
1656633600000,2022-07-01 00:00:00,ICE/USD,0.28075,0.32371,0.26848,0.29518,1316.8451535806773,4461.15981293
1656547200000,2022-06-30 00:00:00,ICE/USD,0.3119,0.31537,0.25777,0.2684,5077.313227919285,18916.964336510002
1656460800000,2022-06-29 00:00:00,ICE/USD,0.31356,0.31356,0.28465,0.31194,3091.2032976720534,9909.60857111
1656374400000,2022-06-28 00:00:00,ICE/USD,0.31944,0.32372,0.29835,0.3136,1403.662512838208,4475.96464553
1656288000000,2022-06-27 00:00:00,ICE/USD,0.33166,0.36,0.3062,0.31946,2643.488098499833,8274.86414105
1656201600000,2022-06-26 00:00:00,ICE/USD,0.32881,0.35048,0.3075,0.33167,2790.8423891183343,8414.5156002
1656115200000,2022-06-25 00:00:00,ICE/USD,0.3205,0.36,0.2929,0.31929,1300.688917026015,4073.6913684300002
