https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTM
1649721600000,2022-04-12 00:00:00,FTM/USD,1.122,1.1884,1.1144,1.1624,386058.9911043819,332122.32545112
1649635200000,2022-04-11 00:00:00,FTM/USD,1.2556,1.2605,1.1038,1.1194,810390.0474652188,723950.37293659
1649548800000,2022-04-10 00:00:00,FTM/USD,1.3021,1.3251,1.2545,1.2556,282392.43280565355,224906.36572607
1649462400000,2022-04-09 00:00:00,FTM/USD,1.2469,1.3021,1.2451,1.3014,306386.08927366807,235428.0692129
1649376000000,2022-04-08 00:00:00,FTM/USD,1.343,1.3758,1.2368,1.2486,282205.474110589,226017.51890965
1649289600000,2022-04-07 00:00:00,FTM/USD,1.3084,1.3796,1.2829,1.3514,453356.3584624976,335471.62828363
1649203200000,2022-04-06 00:00:00,FTM/USD,1.4441,1.4577,1.2992,1.3075,2135970.6791693633,1633629.58253871
1649116800000,2022-04-05 00:00:00,FTM/USD,1.5499,1.5806,1.4433,1.4477,387345.42580242304,267559.18063302
1649030400000,2022-04-04 00:00:00,FTM/USD,1.6265,1.6447,1.4801,1.5511,804726.589584833,518810.25696914
1648944000000,2022-04-03 00:00:00,FTM/USD,1.5369,1.649,1.52,1.6266,610412.1634639634,375268.75904584
1648857600000,2022-04-02 00:00:00,FTM/USD,1.5912,1.6813,1.5276,1.5325,1239871.4241528022,809051.50026284
1648771200000,2022-04-01 00:00:00,FTM/USD,1.4308,1.6065,1.4154,1.5902,1741554.7426571155,1095179.68976048
1648684800000,2022-03-31 00:00:00,FTM/USD,1.409,1.5326,1.405,1.4304,1346665.133085904,941460.52368981
1648598400000,2022-03-30 00:00:00,FTM/USD,1.4148,1.4535,1.3681,1.4081,337491.1647268972,239678.40687941
1648512000000,2022-03-29 00:00:00,FTM/USD,1.3985,1.4811,1.386,1.4163,420197.3085158378,296686.65432171
1648425600000,2022-03-28 00:00:00,FTM/USD,1.4367,1.4867,1.3807,1.3979,790638.753264488,565590.35214571
1648339200000,2022-03-27 00:00:00,FTM/USD,1.3986,1.4337,1.3503,1.4297,383272.78156293964,268079.16455406003
1648252800000,2022-03-26 00:00:00,FTM/USD,1.3517,1.41,1.3371,1.3984,271773.66317195515,194346.15501426999
1648166400000,2022-03-25 00:00:00,FTM/USD,1.3158,1.432,1.3023,1.3491,713899.2371277305,529167.02774274
1648080000000,2022-03-24 00:00:00,FTM/USD,1.3073,1.3458,1.2947,1.3173,641573.8892718187,487037.03732773
1647993600000,2022-03-23 00:00:00,FTM/USD,1.2722,1.3141,1.2571,1.3062,294624.4171973699,225558.42688514
1647907200000,2022-03-22 00:00:00,FTM/USD,1.2583,1.3277,1.2504,1.2727,392567.7551403884,308452.70302537
1647820800000,2022-03-21 00:00:00,FTM/USD,1.2533,1.3046,1.2023,1.2584,434357.789584195,345166.71136697
1647734400000,2022-03-20 00:00:00,FTM/USD,1.3172,1.3424,1.2479,1.2514,248750.63721335292,198777.87854671
1647648000000,2022-03-19 00:00:00,FTM/USD,1.2462,1.3432,1.2438,1.3161,509292.9568516529,386971.32197527
1647561600000,2022-03-18 00:00:00,FTM/USD,1.2056,1.2792,1.1744,1.2455,386918.0240405803,310652.76920159
1647475200000,2022-03-17 00:00:00,FTM/USD,1.2748,1.2748,1.1971,1.2053,370764.03900749783,307611.41542147
1647388800000,2022-03-16 00:00:00,FTM/USD,1.2015,1.2816,1.139,1.2717,790568.7619263794,621662.9408873
1647302400000,2022-03-15 00:00:00,FTM/USD,1.0858,1.2437,1.0401,1.202,679597.5841889657,565389.00514889
1647216000000,2022-03-14 00:00:00,FTM/USD,1.1155,1.1236,1.0367,1.0853,764980.1738400382,704855.96041651
1647129600000,2022-03-13 00:00:00,FTM/USD,1.1839,1.2057,1.1131,1.1155,269893.39212879917,241948.35690614
1647043200000,2022-03-12 00:00:00,FTM/USD,1.1993,1.2739,1.1845,1.1845,304123.8958241224,256752.97241378
1646956800000,2022-03-11 00:00:00,FTM/USD,1.2387,1.2673,1.1452,1.2013,844552.5427898439,703032.16747677
1646870400000,2022-03-10 00:00:00,FTM/USD,1.3725,1.3737,1.2242,1.2397,891872.6940399684,719426.2273453
1646784000000,2022-03-09 00:00:00,FTM/USD,1.3252,1.4354,1.3252,1.3687,647061.579281929,472756.32299403
1646697600000,2022-03-08 00:00:00,FTM/USD,1.317,1.3877,1.3049,1.3263,551480.7227804145,415803.90769842
1646611200000,2022-03-07 00:00:00,FTM/USD,1.4109,1.47,1.2915,1.3212,1590094.9104719758,1203523.24437782
1646524800000,2022-03-06 00:00:00,FTM/USD,1.6874,1.7116,1.3898,1.4122,2538088.0465463726,1797258.21168841
1646438400000,2022-03-05 00:00:00,FTM/USD,1.6635,1.7042,1.6115,1.6908,968785.325501179,572974.52419043
1646352000000,2022-03-04 00:00:00,FTM/USD,1.8729,1.8798,1.64,1.6612,2646628.9706462845,1593203.08851811
1646265600000,2022-03-03 00:00:00,FTM/USD,2.0067,2.0067,1.8153,1.8684,2102243.3926178985,1125157.02880427
1646179200000,2022-03-02 00:00:00,FTM/USD,1.8252,2.0767,1.7714,2.0114,1710328.8209851563,850317.6001716
1646092800000,2022-03-01 00:00:00,FTM/USD,1.785,1.9482,1.785,1.829,1181495.5743631416,645978.99090385
1646006400000,2022-02-28 00:00:00,FTM/USD,1.5826,1.7955,1.5461,1.7828,886966.9263069013,497513.42063434
1645920000000,2022-02-27 00:00:00,FTM/USD,1.7722,1.7937,1.5694,1.5836,789040.0587054563,498257.1727112
1645833600000,2022-02-26 00:00:00,FTM/USD,1.7227,1.8261,1.6628,1.7704,373911.86798048834,211201.9136808
1645747200000,2022-02-25 00:00:00,FTM/USD,1.492,1.7248,1.47,1.7237,641486.4648867288,372156.67743037
1645660800000,2022-02-24 00:00:00,FTM/USD,1.5705,1.586,1.3007,1.4896,1128246.701994058,757415.8847973
1645574400000,2022-02-23 00:00:00,FTM/USD,1.6181,1.7318,1.5776,1.5776,609787.9976054644,386528.90314748
1645488000000,2022-02-22 00:00:00,FTM/USD,1.5438,1.6179,1.4786,1.6153,724242.5722005175,448364.12567357
1645401600000,2022-02-21 00:00:00,FTM/USD,1.7275,1.811,1.5317,1.5397,685500.2223694363,445216.74506036
1645315200000,2022-02-20 00:00:00,FTM/USD,1.8756,1.8781,1.6787,1.7244,1071842.9763943325,621574.44699277
1645228800000,2022-02-19 00:00:00,FTM/USD,1.8653,1.9117,1.8107,1.8781,496329.2442093098,264272.00053741003
1645142400000,2022-02-18 00:00:00,FTM/USD,1.8939,1.9703,1.8398,1.8675,971830.0800264883,520390.93977322
1645056000000,2022-02-17 00:00:00,FTM/USD,2.0709,2.1471,1.8788,1.9018,2682801.0487083043,1410664.13329914
1644969600000,2022-02-16 00:00:00,FTM/USD,2.0895,2.1157,2.0072,2.0689,568919.7571841986,274986.59054773
1644883200000,2022-02-15 00:00:00,FTM/USD,1.9294,2.1034,1.9175,2.0891,487987.22849568137,233587.30003144
1644796800000,2022-02-14 00:00:00,FTM/USD,1.8938,1.9654,1.8186,1.9288,944729.5364355838,489801.70906034
1644710400000,2022-02-13 00:00:00,FTM/USD,1.9504,1.989,1.8902,1.893,399997.0225082062,211303.23428854
1644624000000,2022-02-12 00:00:00,FTM/USD,1.9391,1.9958,1.8819,1.9521,513231.44106607686,262912.47429234
1644537600000,2022-02-11 00:00:00,FTM/USD,2.1006,2.1769,1.9135,1.9421,632047.0136591436,325445.14374087
1644451200000,2022-02-10 00:00:00,FTM/USD,2.258,2.2672,2.0935,2.109,527748.2624006416,250236.25528717
1644364800000,2022-02-09 00:00:00,FTM/USD,2.2017,2.2916,2.138,2.2532,439842.00633758644,195207.70741061
1644278400000,2022-02-08 00:00:00,FTM/USD,2.3186,2.4018,2.1614,2.2041,709690.4146636162,321986.48639518
1644192000000,2022-02-07 00:00:00,FTM/USD,2.1698,2.3838,2.1202,2.318,1211953.028008181,522844.27437799
1644105600000,2022-02-06 00:00:00,FTM/USD,2.0929,2.173,2.0461,2.173,3192771.133499283,1469291.82397574
1644019200000,2022-02-05 00:00:00,FTM/USD,2.12,2.2,2.0696,2.0918,591566.182994155,282802.45864526
1643932800000,2022-02-04 00:00:00,FTM/USD,1.9586,2.1289,1.9302,2.1264,754382.6046570855,354769.84793881
1643846400000,2022-02-03 00:00:00,FTM/USD,1.9207,1.967,1.8654,1.9634,587154.785716369,299050.00800467
1643760000000,2022-02-02 00:00:00,FTM/USD,2.0718,2.111,1.91,1.9214,686272.5967884647,357173.20536508
1643673600000,2022-02-01 00:00:00,FTM/USD,2.0505,2.1511,2.0256,2.0714,480173.7140929578,231811.19730277
1643587200000,2022-01-31 00:00:00,FTM/USD,2.03,2.0964,1.9118,2.0481,3417056.0400627623,1668402.9295751
1643500800000,2022-01-30 00:00:00,FTM/USD,2.0976,2.1637,2.0072,2.0302,333909.27914165444,164471.12557465
1643414400000,2022-01-29 00:00:00,FTM/USD,2.1238,2.1922,2.0776,2.0996,321734.35019701574,153236.02124072
1643328000000,2022-01-28 00:00:00,FTM/USD,2.077,2.1592,1.9867,2.1236,578226.4351150676,272285.94608922
1643241600000,2022-01-27 00:00:00,FTM/USD,2.2407,2.276,1.996,2.0771,9078787.335224567,4370895.64066466
1643155200000,2022-01-26 00:00:00,FTM/USD,2.3838,2.5889,2.1808,2.2428,1330570.4362929247,593263.08020908
1643068800000,2022-01-25 00:00:00,FTM/USD,2.2402,2.4729,2.1635,2.3834,1761617.4621501332,739119.51923728
1642982400000,2022-01-24 00:00:00,FTM/USD,2.2781,2.3231,1.906,2.2523,6469506.002617297,2872399.77028695
1642896000000,2022-01-23 00:00:00,FTM/USD,1.969,2.3641,1.9522,2.2816,6491840.939381085,2845301.95449732
1642809600000,2022-01-22 00:00:00,FTM/USD,2.2772,2.3879,1.7775,1.97,7326990.403735088,3719284.46890106
1642723200000,2022-01-21 00:00:00,FTM/USD,2.6899,2.7771,2.1383,2.2778,2987890.3271106575,1311743.93147364
1642636800000,2022-01-20 00:00:00,FTM/USD,2.7723,3.039,2.6767,2.6937,1384197.2806402948,513864.67707625
1642550400000,2022-01-19 00:00:00,FTM/USD,2.954,3.0489,2.761,2.7721,4662604.93528493,1681975.73510513
1642464000000,2022-01-18 00:00:00,FTM/USD,2.9368,3.0143,2.7121,2.9603,5197602.381968562,1755768.8011244
1642377600000,2022-01-17 00:00:00,FTM/USD,3.3111,3.3783,2.8845,2.9232,4527151.040883163,1548696.98990256
1642291200000,2022-01-16 00:00:00,FTM/USD,3.0191,3.3177,2.9396,3.3105,2653390.200285463,801507.38567753
1642204800000,2022-01-15 00:00:00,FTM/USD,2.9686,3.0387,2.8372,3.0062,4211686.242154259,1401000.01402244
1642118400000,2022-01-14 00:00:00,FTM/USD,3.0115,3.0615,2.8119,2.9624,5690237.182189422,1920820.00478984
1642032000000,2022-01-13 00:00:00,FTM/USD,2.9399,3.1488,2.7928,3.0124,5930200.587191872,1968596.6628574799
1641945600000,2022-01-12 00:00:00,FTM/USD,2.5958,3.0191,2.5958,2.9364,6254585.921927463,2130018.3632773
1641859200000,2022-01-11 00:00:00,FTM/USD,2.2321,2.5981,2.1917,2.5884,6257546.5291756485,2417534.58861677
1641772800000,2022-01-10 00:00:00,FTM/USD,2.3896,2.5602,2.1076,2.2271,5030930.890289101,2258960.48237129
1641686400000,2022-01-09 00:00:00,FTM/USD,2.2859,2.5203,2.2377,2.4001,4928039.702228918,2053264.32324858
1641600000000,2022-01-08 00:00:00,FTM/USD,2.6098,2.6872,2.1796,2.284,4105735.834701291,1797607.63340687
