https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1652745600000,2022-05-17 00:00:00,DOT/USD,10.621,11.317,10.43,11.045,1893005.376499442,171390.2559076
1652659200000,2022-05-16 00:00:00,DOT/USD,11.802,11.802,10.381,10.619,2054458.820947586,193470.08390127
1652572800000,2022-05-15 00:00:00,DOT/USD,11.304,11.848,10.579,11.786,2696898.146544713,228822.17432078
1652486400000,2022-05-14 00:00:00,DOT/USD,10.451,11.567,9.7772,11.304,4555739.9505023835,403020.16547261
1652400000000,2022-05-13 00:00:00,DOT/USD,8.6999,11.788,8.581,10.469,7193909.723232312,687163.02638574
1652313600000,2022-05-12 00:00:00,DOT/USD,9.0912,9.5237,7.1878,8.7133,5522624.271632116,633815.46275603
1652227200000,2022-05-11 00:00:00,DOT/USD,11.379,11.643,8.0576,9.0695,8360702.425230304,921848.21933186
1652140800000,2022-05-10 00:00:00,DOT/USD,10.643,12.442,10.344,11.345,7853501.423318593,692243.40443531
1652054400000,2022-05-09 00:00:00,DOT/USD,13.265,13.487,10.526,10.603,7077883.3320185235,667535.91738362
1651968000000,2022-05-08 00:00:00,DOT/USD,13.754,13.866,13.043,13.256,1763428.1094194897,133028.67451867
1651881600000,2022-05-07 00:00:00,DOT/USD,14.34,14.377,13.393,13.754,1634157.4238646745,118813.24879051
1651795200000,2022-05-06 00:00:00,DOT/USD,14.59,14.66,13.829,14.326,2044959.1118141501,142744.59806046
1651708800000,2022-05-05 00:00:00,DOT/USD,16.347,16.451,14.031,14.583,3449678.5197678776,236554.79117931
1651622400000,2022-05-04 00:00:00,DOT/USD,14.731,16.343,14.672,16.342,2255886.7083357084,138042.26583868
1651536000000,2022-05-03 00:00:00,DOT/USD,14.974,15.237,14.517,14.733,1727267.0485696448,117237.97248148
1651449600000,2022-05-02 00:00:00,DOT/USD,15.362,15.589,14.577,14.963,3183334.936731983,212747.10530855999
1651363200000,2022-05-01 00:00:00,DOT/USD,14.499,15.53,14.498,15.356,1942828.6816505955,126519.19000069
1651276800000,2022-04-30 00:00:00,DOT/USD,16.198,16.438,14.185,14.513,4101694.4969130787,282622.09721719
1651190400000,2022-04-29 00:00:00,DOT/USD,16.994,17.067,16.001,16.195,1788496.9733158208,110435.13265303
1651104000000,2022-04-28 00:00:00,DOT/USD,16.944,17.446,16.759,16.996,1870642.0535022756,110063.66518606
1651017600000,2022-04-27 00:00:00,DOT/USD,16.685,17.267,16.482,16.949,1845159.7780474536,108865.40669346
1650931200000,2022-04-26 00:00:00,DOT/USD,18.124,18.33,16.356,16.679,4244830.1237285845,254501.47633123
1650844800000,2022-04-25 00:00:00,DOT/USD,18.181,18.25,17.138,18.11,3091495.035451922,170706.51769475
1650758400000,2022-04-24 00:00:00,DOT/USD,18.706,19.162,18.054,18.164,1716470.404398582,94498.48075306
1650672000000,2022-04-23 00:00:00,DOT/USD,18.283,19.258,17.969,18.703,2372752.2814854193,126864.79610145
1650585600000,2022-04-22 00:00:00,DOT/USD,18.184,18.536,18.072,18.284,2612574.685030723,142888.57389142
1650499200000,2022-04-21 00:00:00,DOT/USD,19.077,19.679,18.012,18.184,3719706.6569127534,204559.31901192
1650412800000,2022-04-20 00:00:00,DOT/USD,18.889,19.522,18.566,19.106,3954293.5707901106,206966.06148802
1650326400000,2022-04-19 00:00:00,DOT/USD,18.172,18.96,18.067,18.901,1309773.142644385,69296.49979601
1650240000000,2022-04-18 00:00:00,DOT/USD,17.748,18.375,17.112,18.171,3086056.62215908,169834.16554725
1650153600000,2022-04-17 00:00:00,DOT/USD,18.614,18.815,17.681,17.749,2500209.699885686,140864.82054683001
1650067200000,2022-04-16 00:00:00,DOT/USD,18.356,18.691,18.192,18.623,766158.5548258902,41140.44755549
1649980800000,2022-04-15 00:00:00,DOT/USD,17.916,18.434,17.805,18.361,1091039.9373885891,59421.59672069
1649894400000,2022-04-14 00:00:00,DOT/USD,18.181,18.487,17.47,17.924,1657111.6108337597,92452.10950869
1649808000000,2022-04-13 00:00:00,DOT/USD,17.78,18.286,17.408,18.2,1634952.04173028,89832.5297654
1649721600000,2022-04-12 00:00:00,DOT/USD,17.224,18.039,17.177,17.781,1666736.0170936047,93736.91114637
1649635200000,2022-04-11 00:00:00,DOT/USD,19.232,19.299,17.005,17.199,3466065.4244522154,201527.14834887
1649548800000,2022-04-10 00:00:00,DOT/USD,19.764,20.247,19.166,19.227,1871192.2065262476,97321.06966902
1649462400000,2022-04-09 00:00:00,DOT/USD,19.436,19.832,19.29,19.759,1490532.018491083,75435.59990339
1649376000000,2022-04-08 00:00:00,DOT/USD,20.385,20.569,19.116,19.428,2228609.703493883,114711.22624531
