https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZMT
1648080000000,2022-03-24 00:00:00,ZMT/USD,2.8179,2.9176,2.7845,2.9038,68138.60209149084,23465.32202338
1647993600000,2022-03-23 00:00:00,ZMT/USD,2.8782,2.8898,2.761,2.818,64714.02461333474,22964.52257393
1647907200000,2022-03-22 00:00:00,ZMT/USD,2.7834,2.9176,2.7169,2.8782,115415.49570920531,40099.88732861
1647820800000,2022-03-21 00:00:00,ZMT/USD,2.8573,2.8807,2.7358,2.7826,99265.64916740044,35673.70414986
1647734400000,2022-03-20 00:00:00,ZMT/USD,2.9033,2.9176,2.855,2.8573,48284.09308406827,16898.50316175
1647648000000,2022-03-19 00:00:00,ZMT/USD,2.8265,2.938,2.8127,2.9051,131842.43686201758,45383.09760835
1647561600000,2022-03-18 00:00:00,ZMT/USD,2.8353,2.8448,2.7673,2.8267,52395.68263026044,18535.9898929
1647475200000,2022-03-17 00:00:00,ZMT/USD,2.8212,2.8775,2.7936,2.838,86578.13697018947,30506.74311846
1647388800000,2022-03-16 00:00:00,ZMT/USD,2.7885,2.8378,2.7001,2.8202,80722.9244975545,28623.1205225
1647302400000,2022-03-15 00:00:00,ZMT/USD,2.7824,2.8102,2.731,2.7885,84401.93529608198,30267.86275635
1647216000000,2022-03-14 00:00:00,ZMT/USD,2.7677,2.8054,2.702,2.8054,65285.032436451045,23271.20283612
1647129600000,2022-03-13 00:00:00,ZMT/USD,2.7818,2.8379,2.7466,2.7677,65220.956790169585,23565.03840379
1647043200000,2022-03-12 00:00:00,ZMT/USD,2.7658,2.7989,2.7521,2.7818,33824.460156385714,12159.19913595
1646956800000,2022-03-11 00:00:00,ZMT/USD,2.764,2.7988,2.7001,2.7658,34029.55265343976,12303.6924772
1646870400000,2022-03-10 00:00:00,ZMT/USD,2.8332,2.838,2.7415,2.7837,69553.17570020819,24985.87337005
1646784000000,2022-03-09 00:00:00,ZMT/USD,2.794,2.8518,2.7615,2.8333,118025.74085040308,41656.6339076
1646697600000,2022-03-08 00:00:00,ZMT/USD,2.7855,2.7996,2.7169,2.794,70615.97701964564,25274.15068706
1646611200000,2022-03-07 00:00:00,ZMT/USD,2.8316,2.8316,2.7358,2.7987,53279.49376177832,19037.22934283
1646524800000,2022-03-06 00:00:00,ZMT/USD,2.8373,2.8744,2.7202,2.8316,64004.87134623851,22603.78278932
1646438400000,2022-03-05 00:00:00,ZMT/USD,2.8282,2.855,2.7548,2.8373,71286.25337335543,25124.67958036
1646352000000,2022-03-04 00:00:00,ZMT/USD,2.931,2.9555,2.7,2.8065,157366.0050158815,56071.97755777
1646265600000,2022-03-03 00:00:00,ZMT/USD,2.9808,3.0155,2.8917,2.9557,61288.90803446188,20735.83517761
1646179200000,2022-03-02 00:00:00,ZMT/USD,3.0039,3.0571,2.8917,3.0042,176836.81450369055,58863.196359659996
1646092800000,2022-03-01 00:00:00,ZMT/USD,2.8886,3.1261,2.8127,2.9796,580799.1819696132,194925.21881112
1646006400000,2022-02-28 00:00:00,ZMT/USD,2.8059,2.9207,2.725,2.9052,305393.68005917897,105119.67508577
1645920000000,2022-02-27 00:00:00,ZMT/USD,2.9362,2.9584,2.72,2.8068,86656.13012090568,30873.6390626
1645833600000,2022-02-26 00:00:00,ZMT/USD,2.8547,3.0,2.8314,2.9074,122587.7362153502,42164.04217354
1645747200000,2022-02-25 00:00:00,ZMT/USD,2.8,2.8577,2.5883,2.8547,123299.76317779918,43191.84614068
1645660800000,2022-02-24 00:00:00,ZMT/USD,2.826,2.8576,2.5097,2.8,276775.180318588,98848.27868521
1645574400000,2022-02-23 00:00:00,ZMT/USD,2.8134,2.9584,2.7936,2.826,85527.78987977047,30264.61071471
1645488000000,2022-02-22 00:00:00,ZMT/USD,2.7933,2.8184,2.7,2.8134,75028.34775910348,26668.21204205
1645401600000,2022-02-21 00:00:00,ZMT/USD,2.7988,3.1485,2.711,2.7933,329855.1935983564,118087.99398502
1645315200000,2022-02-20 00:00:00,ZMT/USD,2.938,2.9583,2.7244,2.8184,216169.87712778716,76699.50224517
1645228800000,2022-02-19 00:00:00,ZMT/USD,2.9789,3.0002,2.85,2.938,119135.76243058854,40549.95317583
1645142400000,2022-02-18 00:00:00,ZMT/USD,2.9835,3.0415,2.941,2.9951,56381.060255571174,18824.43332629
1645056000000,2022-02-17 00:00:00,ZMT/USD,3.0803,3.095,2.973,2.9835,53586.94730225674,17961.10182747
1644969600000,2022-02-16 00:00:00,ZMT/USD,3.1267,3.1485,3.0354,3.0803,48567.10872337059,15767.00604596
1644883200000,2022-02-15 00:00:00,ZMT/USD,3.0139,3.1283,2.9786,3.1267,122142.80668588022,39064.44708027
1644796800000,2022-02-14 00:00:00,ZMT/USD,2.9589,3.127,2.8718,3.0139,113914.87726703916,37796.50196325
1644710400000,2022-02-13 00:00:00,ZMT/USD,2.9826,3.118,2.8602,2.9589,221577.2422417031,74885.00532012
