https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1646092800000,2022-03-01 00:00:00,SOL/USD,99.775,102.1,94.3,98.603,7107664.379861125,72083.65242296
1646006400000,2022-02-28 00:00:00,SOL/USD,85.603,102.78,84.241,99.707,10208042.432841126,102380.39889718
1645920000000,2022-02-27 00:00:00,SOL/USD,90.36,92.273,84.142,85.585,5285239.510720382,61754.2736545
1645833600000,2022-02-26 00:00:00,SOL/USD,92.886,95.245,89.289,90.31,4271676.712968423,47300.1518433
1645747200000,2022-02-25 00:00:00,SOL/USD,89.745,95.134,86.986,92.814,8201763.951331258,88367.74572081
1645660800000,2022-02-24 00:00:00,SOL/USD,84.65,93.734,75.621,89.499,18071948.93199542,201923.47324546
1645574400000,2022-02-23 00:00:00,SOL/USD,86.5,93.507,84.453,84.587,8586123.416693399,101506.41844129
1645488000000,2022-02-22 00:00:00,SOL/USD,83.119,87.518,81.16,86.489,5899150.036292726,68206.94003044
1645401600000,2022-02-21 00:00:00,SOL/USD,90.77,96.215,82.855,83.007,9185303.91560891,110656.97971989
1645315200000,2022-02-20 00:00:00,SOL/USD,91.394,93.984,85.573,90.792,5614979.04243081,61844.42508625
1645228800000,2022-02-19 00:00:00,SOL/USD,89.911,92.801,88.718,91.348,2602094.253228316,28485.50874927
1645142400000,2022-02-18 00:00:00,SOL/USD,93.621,96.421,89.45,90.059,4462332.0257704025,49548.98484072
1645056000000,2022-02-17 00:00:00,SOL/USD,101.88,102.82,92.371,93.716,4777018.565885642,50973.35103809
1644969600000,2022-02-16 00:00:00,SOL/USD,105.66,105.71,98.362,101.8,5274312.306927366,51810.53346687
1644883200000,2022-02-15 00:00:00,SOL/USD,96.61,105.79,96.534,105.72,7981898.142127826,75500.36078441
1644796800000,2022-02-14 00:00:00,SOL/USD,92.969,97.922,90.834,96.415,4408476.1941954475,45723.96612763
1644710400000,2022-02-13 00:00:00,SOL/USD,95.97,97.432,91.445,92.929,3790741.2446724493,40791.80067226
1644624000000,2022-02-12 00:00:00,SOL/USD,96.588,99.84,92.822,96.047,5628193.18911817,58598.32362404
1644537600000,2022-02-11 00:00:00,SOL/USD,106.27,108.2,95.238,96.608,5670157.023567666,58692.41702103
1644451200000,2022-02-10 00:00:00,SOL/USD,114.14,115.01,105.74,106.19,7990912.599792307,75251.08390425
1644364800000,2022-02-09 00:00:00,SOL/USD,113.74,117.2,109.5,114.16,5013132.96881387,43913.21801694
1644278400000,2022-02-08 00:00:00,SOL/USD,117.65,120.36,109.73,113.39,8139327.149274824,71781.70164278
1644192000000,2022-02-07 00:00:00,SOL/USD,115.59,122.03,112.89,117.54,11486062.465814922,97720.45657491
1644105600000,2022-02-06 00:00:00,SOL/USD,114.14,116.19,111.55,115.41,6566102.678927587,56893.70660192
1644019200000,2022-02-05 00:00:00,SOL/USD,112.7,118.63,110.38,113.94,11321690.271878427,99365.37012356
1643932800000,2022-02-04 00:00:00,SOL/USD,101.88,112.95,100.42,112.61,19513746.66521819,173286.09062444
1643846400000,2022-02-03 00:00:00,SOL/USD,101.93,103.15,94.151,101.98,13983230.499779522,137117.38085683
1643760000000,2022-02-02 00:00:00,SOL/USD,110.14,112.4,97.092,101.86,22368306.6620955,219598.53389059
1643673600000,2022-02-01 00:00:00,SOL/USD,99.579,113.58,99.133,110.12,25907263.90981277,235263.92943891
1643587200000,2022-01-31 00:00:00,SOL/USD,93.332,101.42,89.311,99.535,13530189.59726396,135933.98902159
1643500800000,2022-01-30 00:00:00,SOL/USD,96.198,97.666,91.472,93.4,5130087.5653028805,54925.9910632
1643414400000,2022-01-29 00:00:00,SOL/USD,91.415,98.872,90.63,96.234,11413519.816061983,118601.73967685
