https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SRM
1647129600000,2022-03-13 00:00:00,SRM/USD,1.8443,1.8629,1.7588,1.7768,2184.522443101272,1229.47008279
1647043200000,2022-03-12 00:00:00,SRM/USD,1.8545,1.8792,1.8411,1.8587,3944.778911198489,2122.33222747
1646956800000,2022-03-11 00:00:00,SRM/USD,1.8782,1.8782,1.8094,1.8439,20337.44687383108,11029.58233843
1646870400000,2022-03-10 00:00:00,SRM/USD,1.9313,1.9366,1.8213,1.8918,21236.070914498916,11225.32557062
1646784000000,2022-03-09 00:00:00,SRM/USD,1.8104,1.9283,1.8104,1.9283,14867.594966842496,7710.20845659
1646697600000,2022-03-08 00:00:00,SRM/USD,1.7954,1.8412,1.779,1.7923,19051.798721455194,10629.804564779999
1646611200000,2022-03-07 00:00:00,SRM/USD,1.812,1.8747,1.7446,1.7916,16002.930108164366,8932.20032829
1646524800000,2022-03-06 00:00:00,SRM/USD,1.8565,1.8762,1.8137,1.8413,9866.272044182637,5358.31860326
1646438400000,2022-03-05 00:00:00,SRM/USD,1.8535,1.883,1.8069,1.877,5153.68639153871,2745.70399123
1646352000000,2022-03-04 00:00:00,SRM/USD,1.9579,1.9579,1.8179,1.8421,7568.307866177774,4108.52172313
1646265600000,2022-03-03 00:00:00,SRM/USD,2.0767,2.0818,1.9515,1.975,2395.48307248225,1212.90282151
1646179200000,2022-03-02 00:00:00,SRM/USD,2.0548,2.1238,2.0437,2.079,14010.377952581011,6738.99853419
1646092800000,2022-03-01 00:00:00,SRM/USD,2.1104,2.1219,2.0425,2.0939,23409.011615273856,11179.62252986
1646006400000,2022-02-28 00:00:00,SRM/USD,1.9163,2.108,1.9042,2.0913,16703.149244580407,7986.96946616
1645920000000,2022-02-27 00:00:00,SRM/USD,1.9805,2.0379,1.8926,1.9064,12038.40145491908,6314.73009595
1645833600000,2022-02-26 00:00:00,SRM/USD,1.9676,2.0079,1.9373,1.9462,17980.622943096896,9238.836164370001
1645747200000,2022-02-25 00:00:00,SRM/USD,1.8404,1.939,1.8257,1.939,25156.31476653337,12973.86011683
1645660800000,2022-02-24 00:00:00,SRM/USD,1.8662,1.8792,1.6627,1.853,60723.096559371545,32770.15464618
1645574400000,2022-02-23 00:00:00,SRM/USD,1.953,2.0176,1.8718,1.8718,26955.466629331688,14400.826279160001
1645488000000,2022-02-22 00:00:00,SRM/USD,1.9,1.9798,1.8522,1.9523,22043.95385551458,11291.273808079999
1645401600000,2022-02-21 00:00:00,SRM/USD,2.0639,2.1358,1.9049,1.9092,26555.631531244344,13909.29788982
1645315200000,2022-02-20 00:00:00,SRM/USD,2.1291,2.1322,2.0255,2.0562,9078.957540620539,4415.40586549
1645228800000,2022-02-19 00:00:00,SRM/USD,2.1563,2.1593,2.0957,2.1485,3591.06872879387,1671.43063942
1645142400000,2022-02-18 00:00:00,SRM/USD,2.2109,2.243,2.1356,2.1531,11447.679380897633,5316.83590214
1645056000000,2022-02-17 00:00:00,SRM/USD,2.4468,2.4468,2.2047,2.223,8493.9083288865,3820.9214255
1644969600000,2022-02-16 00:00:00,SRM/USD,2.4534,2.4759,2.3673,2.4414,12079.952951974672,4947.96139591
1644883200000,2022-02-15 00:00:00,SRM/USD,2.3061,2.4628,2.3061,2.4628,11671.456115722563,4739.10025813
1644796800000,2022-02-14 00:00:00,SRM/USD,2.2381,2.2896,2.2004,2.2752,6696.66170555424,2943.3288087
1644710400000,2022-02-13 00:00:00,SRM/USD,2.2914,2.2925,2.2171,2.2529,5571.391849187645,2472.98675005
1644624000000,2022-02-12 00:00:00,SRM/USD,2.3185,2.3432,2.2441,2.2782,11313.813063369846,4966.11933253
1644537600000,2022-02-11 00:00:00,SRM/USD,2.4416,2.5195,2.3109,2.3334,16106.020144966747,6902.38285119
1644451200000,2022-02-10 00:00:00,SRM/USD,2.6076,2.6896,2.5033,2.5134,15193.643252646263,6045.05580196
1644364800000,2022-02-09 00:00:00,SRM/USD,2.5283,2.6756,2.502,2.646,8112.05367501438,3065.77992253
1644278400000,2022-02-08 00:00:00,SRM/USD,2.6836,2.6836,2.4647,2.5078,12954.623855890302,5165.73245709
1644192000000,2022-02-07 00:00:00,SRM/USD,2.5542,2.7495,2.5461,2.6879,95523.52619682667,35538.34822606
1644105600000,2022-02-06 00:00:00,SRM/USD,2.5096,2.5376,2.4722,2.4722,3233.796118378714,1308.06412037
1644019200000,2022-02-05 00:00:00,SRM/USD,2.4621,2.5948,2.4494,2.4934,23457.893009586853,9407.99430881
1643932800000,2022-02-04 00:00:00,SRM/USD,2.2668,2.4371,2.2376,2.4371,17045.27608284716,6994.08152429
1643846400000,2022-02-03 00:00:00,SRM/USD,2.2653,2.2693,2.1659,2.2344,33019.447795175016,14777.76933189
1643760000000,2022-02-02 00:00:00,SRM/USD,2.4162,2.4544,2.2549,2.2594,29187.649105120792,12918.31862668
1643673600000,2022-02-01 00:00:00,SRM/USD,2.3282,2.4018,2.3026,2.3573,17934.19467518327,7607.9390299
1643587200000,2022-01-31 00:00:00,SRM/USD,2.3074,2.3074,2.1897,2.2968,139918.7442388745,60918.9934861
1643500800000,2022-01-30 00:00:00,SRM/USD,2.2568,2.3612,2.2256,2.3158,148058.68262272337,63934.14052281
1643414400000,2022-01-29 00:00:00,SRM/USD,2.1993,2.2932,2.1993,2.2521,74825.20293439287,33224.63608827
1643328000000,2022-01-28 00:00:00,SRM/USD,2.1196,2.2121,2.0928,2.1928,180427.82412574484,82281.93365822
1643241600000,2022-01-27 00:00:00,SRM/USD,2.1141,2.1548,2.0382,2.1209,205445.69296922468,96867.22286257
1643155200000,2022-01-26 00:00:00,SRM/USD,2.1022,2.2741,2.0812,2.1169,178674.3724763859,84403.78500467
1643068800000,2022-01-25 00:00:00,SRM/USD,2.1136,2.1497,2.0519,2.0993,126305.96715933098,60165.7538986
1642982400000,2022-01-24 00:00:00,SRM/USD,2.2437,2.2437,1.9307,2.1148,104222.12981232141,49282.26300942
1642896000000,2022-01-23 00:00:00,SRM/USD,2.2049,2.2945,2.15,2.26,173517.13872933478,76777.49501298
1642809600000,2022-01-22 00:00:00,SRM/USD,2.4491,2.4965,2.0501,2.2051,272060.36332891585,123377.78936507
1642723200000,2022-01-21 00:00:00,SRM/USD,2.7692,2.7814,2.3554,2.4449,253061.27955644712,103505.77919606
1642636800000,2022-01-20 00:00:00,SRM/USD,2.8946,3.0168,2.7492,2.7633,60526.939198540524,21903.86103519
1642550400000,2022-01-19 00:00:00,SRM/USD,2.9951,2.9951,2.8597,2.8912,123291.05610211146,42643.55841938
1642464000000,2022-01-18 00:00:00,SRM/USD,3.0078,3.0292,2.8951,2.9942,162224.3188244217,54179.5200135
1642377600000,2022-01-17 00:00:00,SRM/USD,3.1709,3.1709,2.9552,3.0056,118301.3798991961,39360.32070109
1642291200000,2022-01-16 00:00:00,SRM/USD,3.2177,3.2222,3.1494,3.1603,67816.7432924094,21458.95746999
1642204800000,2022-01-15 00:00:00,SRM/USD,3.1767,3.2852,3.139,3.2382,84179.72460659026,25995.83861608
1642118400000,2022-01-14 00:00:00,SRM/USD,3.0934,3.1884,3.0328,3.1635,96515.76398163034,30509.17148147
1642032000000,2022-01-13 00:00:00,SRM/USD,3.1664,3.2588,3.0695,3.0843,110938.08905410353,35968.64411831
1641945600000,2022-01-12 00:00:00,SRM/USD,3.0358,3.2147,3.0242,3.1777,61462.65520231875,19341.86839611
1641859200000,2022-01-11 00:00:00,SRM/USD,2.8992,3.0737,2.8935,3.0228,103935.11922256334,34383.72344269
1641772800000,2022-01-10 00:00:00,SRM/USD,3.0327,3.0494,2.7991,2.9033,100769.3357300417,34708.55086627
1641686400000,2022-01-09 00:00:00,SRM/USD,2.9564,3.0843,2.9546,3.0374,72982.59853663002,24027.983978610002
1641600000000,2022-01-08 00:00:00,SRM/USD,3.1012,3.1686,2.8994,2.9926,139417.99671558198,46587.58160649
1641513600000,2022-01-07 00:00:00,SRM/USD,3.259,3.4884,3.0,3.0965,242335.2550214576,78261.02212868
1641427200000,2022-01-06 00:00:00,SRM/USD,3.3896,3.4533,3.1765,3.2541,228822.1464707877,70318.10530432
1641340800000,2022-01-05 00:00:00,SRM/USD,3.613,3.9028,3.2531,3.4101,178878.16985821235,52455.40302578
1641254400000,2022-01-04 00:00:00,SRM/USD,3.6527,3.7022,3.5209,3.6096,119175.34699751576,33016.21980206
1641168000000,2022-01-03 00:00:00,SRM/USD,3.7856,3.7915,3.5615,3.6732,104717.58856426028,28508.54529137
1641081600000,2022-01-02 00:00:00,SRM/USD,3.6586,3.8692,3.5975,3.8007,104590.35157442217,27518.70749452
1640995200000,2022-01-01 00:00:00,SRM/USD,3.4332,3.6684,3.4332,3.6683,64198.90796375772,17500.99718228
1640908800000,2021-12-31 00:00:00,SRM/USD,3.4971,3.5981,3.3302,3.4103,109908.31432294694,32228.34188281
1640822400000,2021-12-30 00:00:00,SRM/USD,3.4241,3.8,3.3371,3.48,245271.90050024042,70480.43117823
1640736000000,2021-12-29 00:00:00,SRM/USD,3.6425,3.6725,3.3663,3.3991,203382.0572511844,59834.09056844
1640649600000,2021-12-28 00:00:00,SRM/USD,4.0492,4.0492,3.6407,3.6407,352802.3283519922,96905.08098772
1640563200000,2021-12-27 00:00:00,SRM/USD,4.0533,4.2521,4.0064,4.0659,156498.1049488809,38490.39694751
1640476800000,2021-12-26 00:00:00,SRM/USD,4.1143,4.2118,3.8985,4.0288,449796.6247911014,111645.30996602
1640390400000,2021-12-25 00:00:00,SRM/USD,4.0211,4.1431,3.9867,4.1119,516268.56461784226,125554.74710422
1640304000000,2021-12-24 00:00:00,SRM/USD,3.8923,4.1982,3.8539,4.0492,1727596.6508599883,426651.35109651
1640217600000,2021-12-23 00:00:00,SRM/USD,3.6701,4.0769,3.5961,4.0769,786096.1062374152,192817.11747588
1640131200000,2021-12-22 00:00:00,SRM/USD,3.534,3.8373,3.52,3.6765,1027597.8125550803,279504.36898003
1640044800000,2021-12-21 00:00:00,SRM/USD,3.345,3.5526,3.3219,3.5524,413589.104373669,116425.26302603
1639958400000,2021-12-20 00:00:00,SRM/USD,3.3815,3.4229,3.1931,3.3373,784160.9745043027,234968.67962254
