https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SAN
1648166400000,2022-03-25 00:00:00,SAN/USD,0.22105,0.22222,0.21874,0.21874,881.2815087804053,4028.8996469800004
1648080000000,2022-03-24 00:00:00,SAN/USD,0.217,0.22299,0.21521,0.21521,733.0438609802426,3406.17936425
1647993600000,2022-03-23 00:00:00,SAN/USD,0.22656,0.22656,0.21541,0.22474,1692.5359238417375,7531.08447024
1647907200000,2022-03-22 00:00:00,SAN/USD,0.226,0.22656,0.217,0.22022,593.7898786213394,2696.34855427
1647820800000,2022-03-21 00:00:00,SAN/USD,0.2251,0.22984,0.21541,0.22698,1836.3094708223537,8090.18182581
1647734400000,2022-03-20 00:00:00,SAN/USD,0.19771,0.33,0.19771,0.21836,57424.53640717989,262981.02402995003
1647648000000,2022-03-19 00:00:00,SAN/USD,0.19772,0.20298,0.19771,0.19772,462.48463804216317,2339.0888025599997
1647561600000,2022-03-18 00:00:00,SAN/USD,0.17962,0.20112,0.17962,0.19795,3189.47937388999,16112.5505122
1647475200000,2022-03-17 00:00:00,SAN/USD,0.18497,0.19463,0.17962,0.18378,5187.00670618342,28223.99992482
1647388800000,2022-03-16 00:00:00,SAN/USD,0.1817,0.1817,0.17717,0.17902,197.65191550699402,1104.0772847
1647302400000,2022-03-15 00:00:00,SAN/USD,0.17618,0.18499,0.17617,0.18171,438.1669136628855,2411.35278005
1647216000000,2022-03-14 00:00:00,SAN/USD,0.18717,0.18821,0.17617,0.17618,950.9753307634742,5397.7485001899995
1647129600000,2022-03-13 00:00:00,SAN/USD,0.18885,0.18885,0.17811,0.17811,13.276330934403601,74.54006476
1647043200000,2022-03-12 00:00:00,SAN/USD,0.18504,0.18504,0.17811,0.17811,278.62467565440954,1564.34043936
1646956800000,2022-03-11 00:00:00,SAN/USD,0.18641,0.19358,0.1801,0.18011,2637.772139080089,14645.33973172
1646870400000,2022-03-10 00:00:00,SAN/USD,0.195,0.195,0.18641,0.19277,989.6829640400852,5134.00925476
1646784000000,2022-03-09 00:00:00,SAN/USD,0.19862,0.20296,0.18765,0.19048,811.7847460406896,4261.78468102
1646697600000,2022-03-08 00:00:00,SAN/USD,0.19465,0.206,0.18639,0.18639,1797.2471431165682,9642.4011112
1646611200000,2022-03-07 00:00:00,SAN/USD,0.19466,0.20811,0.19464,0.19584,448.58529811169274,2290.57035392
1646524800000,2022-03-06 00:00:00,SAN/USD,0.19884,0.20055,0.19465,0.19465,258.685493258054,1328.97761756
1646438400000,2022-03-05 00:00:00,SAN/USD,0.19466,0.19884,0.19464,0.19884,273.41629983660357,1375.05682879
