https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZIL
1654387200000,2022-06-05 00:00:00,ZIL/USD,0.050575,0.050575,0.049555,0.050169,23181.297258879804,462064.16828878
1654300800000,2022-06-04 00:00:00,ZIL/USD,0.048555,0.050289,0.048555,0.050165,15204.121762183582,303082.26377322
1654214400000,2022-06-03 00:00:00,ZIL/USD,0.051293,0.052697,0.048904,0.050036,24680.932714204188,493263.5045608
1654128000000,2022-06-02 00:00:00,ZIL/USD,0.04945,0.052071,0.049238,0.051442,13461.281392568902,261678.81094376
1654041600000,2022-06-01 00:00:00,ZIL/USD,0.05434,0.056149,0.048812,0.04922,116613.23033295294,2369224.50899945
1653955200000,2022-05-31 00:00:00,ZIL/USD,0.055635,0.059502,0.052486,0.055385,198294.8180789021,3580298.24102017
1653868800000,2022-05-30 00:00:00,ZIL/USD,0.049066,0.055504,0.04813,0.055503,38894.99786899903,700772.89279857
1653782400000,2022-05-29 00:00:00,ZIL/USD,0.047136,0.048464,0.047136,0.04843,11344.50651098483,234245.4369396
1653696000000,2022-05-28 00:00:00,ZIL/USD,0.048108,0.048108,0.046073,0.047927,8823.558453016214,184104.12612966
1653609600000,2022-05-27 00:00:00,ZIL/USD,0.048207,0.049003,0.045764,0.04682,40396.44341628852,862803.14857515
1653523200000,2022-05-26 00:00:00,ZIL/USD,0.051426,0.052632,0.045111,0.048559,126162.272930163,2598123.37424912
1653436800000,2022-05-25 00:00:00,ZIL/USD,0.052245,0.052245,0.050261,0.051673,24752.27474185479,479017.56704381
1653350400000,2022-05-24 00:00:00,ZIL/USD,0.052963,0.053618,0.049133,0.052545,42384.19525679079,806626.61065355
1653264000000,2022-05-23 00:00:00,ZIL/USD,0.057486,0.0579,0.051462,0.05216,203284.24778322136,3897320.70136544
1653177600000,2022-05-22 00:00:00,ZIL/USD,0.051616,0.062583,0.051363,0.057691,157772.16103756116,2734779.44631851
1653091200000,2022-05-21 00:00:00,ZIL/USD,0.05078,0.053047,0.049692,0.052131,19486.519078871504,373799.06540967
1653004800000,2022-05-20 00:00:00,ZIL/USD,0.051536,0.05374,0.048841,0.050758,30304.240814183784,597033.78411647
1652918400000,2022-05-19 00:00:00,ZIL/USD,0.047804,0.050794,0.046207,0.048848,41081.20161342156,841000.68812278
1652832000000,2022-05-18 00:00:00,ZIL/USD,0.053662,0.05521,0.048197,0.048245,30831.488637385,639060.80707607
1652745600000,2022-05-17 00:00:00,ZIL/USD,0.050621,0.053627,0.04962,0.05301,31211.29584370438,588781.28360129
1652659200000,2022-05-16 00:00:00,ZIL/USD,0.05339,0.05339,0.049031,0.049681,46367.2657064334,933299.76663983
1652572800000,2022-05-15 00:00:00,ZIL/USD,0.052781,0.054995,0.049,0.054995,97524.32438192955,1773330.74610291
1652486400000,2022-05-14 00:00:00,ZIL/USD,0.050702,0.054486,0.046151,0.052775,88180.55038487329,1670877.31662479
1652400000000,2022-05-13 00:00:00,ZIL/USD,0.046846,0.056723,0.046531,0.05041,124134.0014831491,2462487.63108806
1652313600000,2022-05-12 00:00:00,ZIL/USD,0.05276,0.14199,0.0396,0.045481,208555.35952913866,4585549.12005318
1652227200000,2022-05-11 00:00:00,ZIL/USD,0.069721,0.071437,0.049009,0.052718,216483.45892194807,4106442.94020919
1652140800000,2022-05-10 00:00:00,ZIL/USD,0.062941,0.07682,0.060386,0.06865,103431.81687834646,1506654.2881041
1652054400000,2022-05-09 00:00:00,ZIL/USD,0.07727,0.079537,0.06213,0.062446,147561.3066590311,2363022.55803464
1651968000000,2022-05-08 00:00:00,ZIL/USD,0.076683,0.08063,0.074079,0.077151,78897.89354026884,1022642.52621831
1651881600000,2022-05-07 00:00:00,ZIL/USD,0.082185,0.08353,0.074508,0.076833,55867.716328305396,727131.78358655
1651795200000,2022-05-06 00:00:00,ZIL/USD,0.080071,0.084936,0.071271,0.081086,210340.04253478706,2594036.4863822
1651708800000,2022-05-05 00:00:00,ZIL/USD,0.093863,0.098931,0.076323,0.078927,601196.19723684,7617117.04786499
1651622400000,2022-05-04 00:00:00,ZIL/USD,0.06794,0.094911,0.067446,0.093745,498112.975518875,5313488.45825244
1651536000000,2022-05-03 00:00:00,ZIL/USD,0.070478,0.072881,0.066762,0.067354,79180.11318366873,1175581.45297486
1651449600000,2022-05-02 00:00:00,ZIL/USD,0.073571,0.074981,0.067283,0.07012,81664.58454851467,1164640.39572896
1651363200000,2022-05-01 00:00:00,ZIL/USD,0.07194,0.074588,0.068657,0.073298,99402.85959347767,1356146.95617176
1651276800000,2022-04-30 00:00:00,ZIL/USD,0.083751,0.087992,0.069272,0.07194,135043.96110383584,1877174.88328935
1651190400000,2022-04-29 00:00:00,ZIL/USD,0.091316,0.09271,0.082107,0.08361,51790.965775955396,619435.06489601
1651104000000,2022-04-28 00:00:00,ZIL/USD,0.09386,0.09587,0.089427,0.09091,65069.92531656533,715762.02086201
1651017600000,2022-04-27 00:00:00,ZIL/USD,0.09251,0.09691,0.09062,0.094013,51739.52393272808,550344.3559159699
1650931200000,2022-04-26 00:00:00,ZIL/USD,0.1029,0.10566,0.090316,0.09246,116944.97276681372,1264816.92371635
1650844800000,2022-04-25 00:00:00,ZIL/USD,0.10645,0.10645,0.09581,0.10394,117399.12968773517,1129489.41396705
1650758400000,2022-04-24 00:00:00,ZIL/USD,0.11115,0.11395,0.10467,0.10657,249357.7617649353,2339849.50516032
1650672000000,2022-04-23 00:00:00,ZIL/USD,0.11274,0.11319,0.10772,0.11208,149662.62823623786,1335319.6666331
1650585600000,2022-04-22 00:00:00,ZIL/USD,0.1155,0.11775,0.11027,0.11276,92083.69796083178,816634.42675445
1650499200000,2022-04-21 00:00:00,ZIL/USD,0.12741,0.135,0.11287,0.11489,291991.5679800505,2541488.10148882
1650412800000,2022-04-20 00:00:00,ZIL/USD,0.11099,0.12928,0.1105,0.12653,169574.35729434565,1340190.9214759
1650326400000,2022-04-19 00:00:00,ZIL/USD,0.10804,0.11461,0.10804,0.1115,27037.000724606678,242484.31143145
1650240000000,2022-04-18 00:00:00,ZIL/USD,0.10856,0.10856,0.10159,0.1078,64062.42560209169,594271.10948137
1650153600000,2022-04-17 00:00:00,ZIL/USD,0.11008,0.11555,0.10888,0.10933,40955.33919445391,374602.93784372
