https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1651795200000,2022-05-06 00:00:00,TSD/USD,1.0003,1.0016,0.99993,1.0007,548.0736299627529,547.69024679
1651708800000,2022-05-05 00:00:00,TSD/USD,0.99997,1.0017,0.9998,1.0003,543.739634878573,543.57656191
1651622400000,2022-05-04 00:00:00,TSD/USD,1.0007,1.0013,0.99971,1.0004,691.1157254158641,690.83938966
1651536000000,2022-05-03 00:00:00,TSD/USD,1.0005,1.0012,0.99991,1.0007,5152.234937537136,5148.63089591
1651449600000,2022-05-02 00:00:00,TSD/USD,0.99984,1.0012,0.99984,1.0005,943.607374953525,943.13580705
1651363200000,2022-05-01 00:00:00,TSD/USD,1.0004,1.0013,0.99989,1.0005,921.1887512735399,920.72838708
1651276800000,2022-04-30 00:00:00,TSD/USD,1.0005,1.0011,0.99967,1.0005,19704.899407590823,19695.05188165
1651190400000,2022-04-29 00:00:00,TSD/USD,1.0004,1.001,1.0003,1.0005,443.602863516465,443.38117293
1651104000000,2022-04-28 00:00:00,TSD/USD,1.0006,1.001,0.99973,1.0003,6266.024917432119,6264.14567373
1651017600000,2022-04-27 00:00:00,TSD/USD,1.0006,1.0007,1.0002,1.0003,375.801148762669,375.68844223
1650931200000,2022-04-26 00:00:00,TSD/USD,1.0006,1.0007,0.99964,1.0005,666.1640940792449,665.83117849
1650844800000,2022-04-25 00:00:00,TSD/USD,1.0004,1.001,0.9997,1.0007,100638.13065168688,100567.73323842
1650758400000,2022-04-24 00:00:00,TSD/USD,1.0005,1.0006,0.99985,1.0003,1264.357397141104,1263.97820368
1650672000000,2022-04-23 00:00:00,TSD/USD,1.0005,1.0007,0.99979,1.0004,2987.066137945692,2985.87178923
1650585600000,2022-04-22 00:00:00,TSD/USD,1.0004,1.0006,1.0002,1.0003,328.494914228593,328.39639531
1650499200000,2022-04-21 00:00:00,TSD/USD,1.001,1.001,0.99957,1.0004,879.666702760708,879.31497677
1650412800000,2022-04-20 00:00:00,TSD/USD,1.0006,1.0012,0.99934,0.9997,55797.21499461529,55813.95918237
1650326400000,2022-04-19 00:00:00,TSD/USD,0.9996,1.001,0.9996,1.0004,6826.21372178122,6823.48432805
1650240000000,2022-04-18 00:00:00,TSD/USD,1.0004,1.0007,1.0,1.0004,2859.7120929762036,2858.56866551
1650153600000,2022-04-17 00:00:00,TSD/USD,1.0007,1.0011,0.99973,1.0004,512.4515759209,512.2466772500001
1650067200000,2022-04-16 00:00:00,TSD/USD,1.0003,1.0007,1.0002,1.0004,6810.661012705027,6807.93783757
1649980800000,2022-04-15 00:00:00,TSD/USD,1.0003,1.0008,0.99971,1.0006,13976.120661060228,13967.740017049999
1649894400000,2022-04-14 00:00:00,TSD/USD,1.0002,1.0003,1.0002,1.0003,5.777881924723999,5.77614908
1649808000000,2022-04-13 00:00:00,TSD/USD,1.0006,1.001,1.0002,1.0003,179.485720727348,179.43189116
1649721600000,2022-04-12 00:00:00,TSD/USD,1.0005,1.0008,1.0003,1.0004,168.474999174448,168.40763612
1649635200000,2022-04-11 00:00:00,TSD/USD,1.0006,1.0008,1.0001,1.0005,12249.68260253106,12243.56082212
1649548800000,2022-04-10 00:00:00,TSD/USD,1.0001,1.0007,1.0,1.0002,14229.421931913319,14226.57661659
1649462400000,2022-04-09 00:00:00,TSD/USD,1.0,1.0,0.99995,0.99995,13.097489002804501,13.098143910000001
1649376000000,2022-04-08 00:00:00,TSD/USD,1.0,1.0005,0.99912,0.9999,2675.882398588641,2676.15001359
1649289600000,2022-04-07 00:00:00,TSD/USD,1.0002,1.0008,1.0,1.0001,1144.7065573298119,1144.59209812
1649203200000,2022-04-06 00:00:00,TSD/USD,0.99932,1.0006,0.99898,1.0001,2179.5733289193377,2179.35539338
1649116800000,2022-04-05 00:00:00,TSD/USD,0.9999,1.0007,0.99906,1.0,1117.24125607,1117.24125607
1649030400000,2022-04-04 00:00:00,TSD/USD,0.99972,1.0004,0.9995,0.9999,5985.126228739878,5985.72480122
1648944000000,2022-04-03 00:00:00,TSD/USD,1.0001,1.0006,0.99892,0.99982,502.751024723484,502.8415362
1648857600000,2022-04-02 00:00:00,TSD/USD,1.0,1.001,0.99944,0.99989,51369.94932182983,51375.6006379
1648771200000,2022-04-01 00:00:00,TSD/USD,1.0,1.0004,1.0,1.0,5312.55158875,5312.55158875
1648684800000,2022-03-31 00:00:00,TSD/USD,0.99985,1.0005,0.99916,0.99992,21723.053083264676,21724.79106655
1648598400000,2022-03-30 00:00:00,TSD/USD,0.99989,1.0003,0.99959,0.99985,2972.9889935686774,2973.4350088200003
1648512000000,2022-03-29 00:00:00,TSD/USD,0.99927,1.0005,0.99872,0.9997,1510.205459013017,1510.65865661
1648425600000,2022-03-28 00:00:00,TSD/USD,0.99914,1.0003,0.99906,0.99933,20123.771633497927,20137.26360011
1648339200000,2022-03-27 00:00:00,TSD/USD,0.99991,1.0002,0.99913,0.99987,4881.244971149985,4881.8796155
1648252800000,2022-03-26 00:00:00,TSD/USD,0.99999,1.0,0.99936,0.9999,58.878980143137,58.88486863
