https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUT
1651104000000,2022-04-28 00:00:00,EUT/USD,1.0549,1.0552,1.04753816,1.05053666,1000943.1043516274,952792.17038616
1651017600000,2022-04-27 00:00:00,EUT/USD,1.0645,1.0668,1.0517,1.0549,1374655.5408176864,1303114.55191742
1650931200000,2022-04-26 00:00:00,EUT/USD,1.07080138,1.0732265,1.0626,1.06455459,801434.6170518786,752835.62212801
1650844800000,2022-04-25 00:00:00,EUT/USD,1.07916111,1.08009895,1.0686,1.07061923,1727078.8764032265,1613158.84117197
1650758400000,2022-04-24 00:00:00,EUT/USD,1.08015292,1.0827,1.077,1.0785,1135883.7070789605,1053206.96066663
1650672000000,2022-04-23 00:00:00,EUT/USD,1.0808,1.0814,1.0782,1.08036891,854065.6355928205,790531.48205905
1650585600000,2022-04-22 00:00:00,EUT/USD,1.08339563,1.08472811,1.07674486,1.08036891,511514.0742384136,473462.4159431
1650499200000,2022-04-21 00:00:00,EUT/USD,1.08400143,1.0928,1.08087176,1.0831356,544353.0884321224,502571.50483478
1650412800000,2022-04-20 00:00:00,EUT/USD,1.07866248,1.086,1.07764297,1.08393634,395091.04752642853,364496.54186004
1650326400000,2022-04-19 00:00:00,EUT/USD,1.07758816,1.0818,1.0751,1.07860851,242983.46031213264,225274.93345304
1650240000000,2022-04-18 00:00:00,EUT/USD,1.0814,1.0814,1.0752,1.07736177,261097.01106310048,242348.50199214
1650153600000,2022-04-17 00:00:00,EUT/USD,1.0802589,1.08175298,1.07957057,1.0809,119910.34084181358,110935.64699955
1650067200000,2022-04-16 00:00:00,EUT/USD,1.08069147,1.0814,1.07989121,1.08032378,44071.35984316075,40794.58460422
1649980800000,2022-04-15 00:00:00,EUT/USD,1.08181503,1.0819,1.07890727,1.0808,81596.47277403619,75496.36637124
1649894400000,2022-04-14 00:00:00,EUT/USD,1.0896,1.0923,1.0761,1.0819,333127.28076816385,307909.4932694
1649808000000,2022-04-13 00:00:00,EUT/USD,1.0820982,1.08996427,1.07937826,1.0896,346213.36074470595,317743.53959683
1649721600000,2022-04-12 00:00:00,EUT/USD,1.0872,1.08899833,1.0805,1.08198993,338993.7837292772,313305.85833574
1649635200000,2022-04-11 00:00:00,EUT/USD,1.0875,1.0938,1.08609927,1.08725592,368613.12398491584,339030.68928327
1649548800000,2022-04-10 00:00:00,EUT/USD,1.08611483,1.0906,1.0851,1.0875,678049.4594314125,623493.755799
1649462400000,2022-04-09 00:00:00,EUT/USD,1.08648461,1.08733292,1.0851,1.0860822,114927.1591331311,105818.10394566
1649376000000,2022-04-08 00:00:00,EUT/USD,1.0854,1.0876587,1.0812,1.08658249,210200.0660613301,193450.62891758
1649289600000,2022-04-07 00:00:00,EUT/USD,1.0889,1.0922,1.0848,1.08529591,324854.49178149767,299323.42763689003
1649203200000,2022-04-06 00:00:00,EUT/USD,1.08983302,1.0922,1.08540131,1.0884,889273.5027698588,817046.58468381
1649116800000,2022-04-05 00:00:00,EUT/USD,1.09671118,1.09779428,1.0886,1.08993118,1047784.3555422815,961330.7470865101
1649030400000,2022-04-04 00:00:00,EUT/USD,1.10223455,1.10379548,1.0947,1.0963,140413.87309426823,128079.78937724
1648944000000,2022-04-03 00:00:00,EUT/USD,1.10309975,1.10388419,1.1009,1.1013,128767.08715289239,116922.80682184
1648857600000,2022-04-02 00:00:00,EUT/USD,1.1035,1.10425984,1.1018,1.10261362,102376.53259890218,92848.96426266
1648771200000,2022-04-01 00:00:00,EUT/USD,1.1062,1.1069,1.10032327,1.1034975,292641.113247147,265194.17873366
1648684800000,2022-03-31 00:00:00,EUT/USD,1.1144,1.11709828,1.1049,1.1059,383101.4730357531,346416.01685121
1648598400000,2022-03-30 00:00:00,EUT/USD,1.10679665,1.11588994,1.1053,1.1139,286235.96567150555,256967.3809781
1648512000000,2022-03-29 00:00:00,EUT/USD,1.09689785,1.11106906,1.0949,1.10689648,196272.27084036157,177317.63935175
1648425600000,2022-03-28 00:00:00,EUT/USD,1.09679758,1.0986,1.0912,1.09709578,333785.58993918105,304244.71228864
1648339200000,2022-03-27 00:00:00,EUT/USD,1.09809435,1.0987,1.0942,1.09629239,903253.144764383,823916.27726649
1648252800000,2022-03-26 00:00:00,EUT/USD,1.0972,1.0994,1.0961,1.09789664,200665.7140285983,182772.86469207
1648166400000,2022-03-25 00:00:00,EUT/USD,1.09848969,1.10159708,1.0958,1.09640288,122352.0472873482,111594.05864325
1648080000000,2022-03-24 00:00:00,EUT/USD,1.09820515,1.0999989,1.09460394,1.0984,159421.65499066698,145139.88983127
1647993600000,2022-03-23 00:00:00,EUT/USD,1.0997,1.10239687,1.095,1.0994,90098.83012292122,81952.72887295
1647907200000,2022-03-22 00:00:00,EUT/USD,1.10019283,1.10239541,1.0936,1.0997,200776.90830507572,182574.25507418
1647820800000,2022-03-21 00:00:00,EUT/USD,1.10239846,1.1055,1.09831098,1.10009366,104029.005132492,94563.77117244
