https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1654473600000,2022-06-06 00:00:00,GNO/USD,191.12,201.32,191.12,197.22,2550.6821067072,12.93318176
1654387200000,2022-06-05 00:00:00,GNO/USD,189.65,195.44,186.03,191.31,1978.0083091671002,10.33928341
1654300800000,2022-06-04 00:00:00,GNO/USD,187.74,190.88,185.75,189.91,2877.3579977303,15.15116633
1654214400000,2022-06-03 00:00:00,GNO/USD,194.18,195.12,184.61,187.96,3525.8176916576003,18.75834056
1654128000000,2022-06-02 00:00:00,GNO/USD,193.65,195.05,188.91,194.03,2169.4140350474,11.18081758
1654041600000,2022-06-01 00:00:00,GNO/USD,204.0,205.95,188.42,193.75,1374.2590043750001,7.0929497
1653955200000,2022-05-31 00:00:00,GNO/USD,209.4,211.26,203.21,203.82,5362.0365370481995,26.307705509999998
1653868800000,2022-05-30 00:00:00,GNO/USD,193.1,211.05,191.69,209.11,2615.6879753356,12.50866996
1653782400000,2022-05-29 00:00:00,GNO/USD,189.71,193.18,186.53,193.18,2587.2061595952,13.39272264
1653696000000,2022-05-28 00:00:00,GNO/USD,183.8,190.71,181.95,189.94,2954.2028032566,15.55334739
1653609600000,2022-05-27 00:00:00,GNO/USD,192.49,194.79,182.01,183.71,21551.329522753,117.3116843
1653523200000,2022-05-26 00:00:00,GNO/USD,205.89,208.17,187.7,192.07,30255.4919931177,157.52325711
1653436800000,2022-05-25 00:00:00,GNO/USD,211.67,215.4,205.16,205.7,4131.653910405999,20.08582358
1653350400000,2022-05-24 00:00:00,GNO/USD,210.46,212.83,204.54,211.34,2972.8384584814003,14.06661521
1653264000000,2022-05-23 00:00:00,GNO/USD,216.94,225.94,210.54,210.77,5323.5275557387,25.25752031
1653177600000,2022-05-22 00:00:00,GNO/USD,210.25,217.51,208.32,217.23,4855.383695331,22.3513497
1653091200000,2022-05-21 00:00:00,GNO/USD,209.72,213.91,206.85,210.09,2311.930825038,11.0044782
