https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CRV
1655164800000,2022-06-14 00:00:00,CRV/USD,0.72179,0.74538,0.63888,0.73304,16828.767164260746,22957.5018611
1655078400000,2022-06-13 00:00:00,CRV/USD,0.86162,0.87074,0.62879,0.7143,47050.1937815345,65868.95391507
1654992000000,2022-06-12 00:00:00,CRV/USD,0.90922,0.95264,0.84418,0.86293,10859.05165424245,12583.93108855
1654905600000,2022-06-11 00:00:00,CRV/USD,1.0282,1.0601,0.88713,0.91057,24176.52785861237,26550.98219644
1654819200000,2022-06-10 00:00:00,CRV/USD,1.147,1.1674,1.0173,1.0267,27116.469663687833,26411.28826696
1654732800000,2022-06-09 00:00:00,CRV/USD,1.1572,1.181,1.1321,1.149,2883.3791913472196,2509.46839978
1654646400000,2022-06-08 00:00:00,CRV/USD,1.1925,1.2138,1.1402,1.1601,3237.620830305669,2790.8118526900003
1654560000000,2022-06-07 00:00:00,CRV/USD,1.2876,1.2876,1.1593,1.1896,16402.685619165968,13788.40418558
1654473600000,2022-06-06 00:00:00,CRV/USD,1.2117,1.325,1.21,1.2875,22458.31755089713,17443.35343759
1654387200000,2022-06-05 00:00:00,CRV/USD,1.1777,1.2448,1.1534,1.2089,1925.7266776380714,1592.9577943900001
1654300800000,2022-06-04 00:00:00,CRV/USD,1.1721,1.1899,1.1491,1.1774,2263.858497760314,1922.76074211
1654214400000,2022-06-03 00:00:00,CRV/USD,1.2582,1.2701,1.163,1.1748,8182.163033059488,6964.72849256
1654128000000,2022-06-02 00:00:00,CRV/USD,1.2679,1.2679,1.205,1.2552,26228.754845210737,20896.07619918
1654041600000,2022-06-01 00:00:00,CRV/USD,1.3838,1.4316,1.2366,1.2673,33810.27837466458,26678.98553986
1653955200000,2022-05-31 00:00:00,CRV/USD,1.3857,1.4576,1.3225,1.3808,34852.053888040304,25240.47935113
1653868800000,2022-05-30 00:00:00,CRV/USD,1.2574,1.3958,1.235,1.3891,31748.264299398088,22855.27629357
1653782400000,2022-05-29 00:00:00,CRV/USD,1.2199,1.2632,1.1791,1.2538,8850.704739725526,7059.10411527
1653696000000,2022-05-28 00:00:00,CRV/USD,1.1734,1.2962,1.1698,1.22,34409.7944781084,28204.74957222
1653609600000,2022-05-27 00:00:00,CRV/USD,1.2166,1.2197,1.1111,1.1705,20900.705332915055,17856.21984871
1653523200000,2022-05-26 00:00:00,CRV/USD,1.2319,1.2599,1.0889,1.2069,39793.56997810662,32971.7209198
1653436800000,2022-05-25 00:00:00,CRV/USD,1.2571,1.2821,1.2097,1.2306,13251.530492404554,10768.34917309
1653350400000,2022-05-24 00:00:00,CRV/USD,1.2964,1.3031,1.1906,1.2547,73383.63433720816,58486.99636344
1653264000000,2022-05-23 00:00:00,CRV/USD,1.2692,1.4169,1.2512,1.2959,131114.82264881104,101176.65147682
1653177600000,2022-05-22 00:00:00,CRV/USD,1.213,1.2885,1.1904,1.2769,99832.72990498376,78183.67131724
1653091200000,2022-05-21 00:00:00,CRV/USD,1.1276,1.2379,1.107,1.2123,113647.06513007071,93745.00134461
1653004800000,2022-05-20 00:00:00,CRV/USD,1.0783,1.1838,1.0636,1.1287,202183.04045624353,179129.12240298
1652918400000,2022-05-19 00:00:00,CRV/USD,1.2298,1.2705,0.99595,1.0819,555537.2860885909,513483.02623957
1652832000000,2022-05-18 00:00:00,CRV/USD,1.395,1.4202,1.206,1.2258,135275.0185468006,110356.51700669
1652745600000,2022-05-17 00:00:00,CRV/USD,1.3598,1.462,1.2933,1.3905,162715.24717792988,117019.23565475
1652659200000,2022-05-16 00:00:00,CRV/USD,1.5108,1.5108,1.3125,1.3637,193915.188784333,142197.83587617
1652572800000,2022-05-15 00:00:00,CRV/USD,1.4148,1.5151,1.3669,1.5072,169120.79232427556,112208.59363341
1652486400000,2022-05-14 00:00:00,CRV/USD,1.3279,1.4284,1.2492,1.4147,412917.9617972614,291876.69597601
1652400000000,2022-05-13 00:00:00,CRV/USD,1.3059,1.5996,1.2829,1.3142,356834.9463560193,271522.55848122
1652313600000,2022-05-12 00:00:00,CRV/USD,1.5073,1.5896,1.1,1.3094,1055089.8051870323,805781.12508556
1652227200000,2022-05-11 00:00:00,CRV/USD,1.9772,2.0277,1.3924,1.5048,353176.50315061223,234699.9622213
1652140800000,2022-05-10 00:00:00,CRV/USD,1.9123,2.1506,1.8665,1.9843,143346.41655842937,72240.29459176
1652054400000,2022-05-09 00:00:00,CRV/USD,2.355,2.3843,1.9125,1.9128,245101.40593390368,128137.49787427
1651968000000,2022-05-08 00:00:00,CRV/USD,2.2251,2.4532,2.1815,2.3504,99546.08778883747,42352.82836489
1651881600000,2022-05-07 00:00:00,CRV/USD,2.2921,2.3691,2.1785,2.229,91752.08959114924,41162.89349087
1651795200000,2022-05-06 00:00:00,CRV/USD,2.4632,2.5106,2.1944,2.2967,121233.68998214611,52786.03647936
1651708800000,2022-05-05 00:00:00,CRV/USD,2.5986,2.6627,2.2779,2.4599,265978.53775085567,108125.75216507
1651622400000,2022-05-04 00:00:00,CRV/USD,2.1549,2.6428,2.1464,2.5967,354712.43945721287,136601.2398264
1651536000000,2022-05-03 00:00:00,CRV/USD,2.0947,2.2145,2.0392,2.1579,150498.74415903876,69743.1503587
1651449600000,2022-05-02 00:00:00,CRV/USD,2.0671,2.1383,1.9896,2.1004,159561.78201003073,75967.33098935
1651363200000,2022-05-01 00:00:00,CRV/USD,1.9938,2.0862,1.9515,2.0683,71916.87721154004,34771.00866003
1651276800000,2022-04-30 00:00:00,CRV/USD,2.2321,2.2493,1.9855,1.9974,104551.98649583853,52344.04050057
1651190400000,2022-04-29 00:00:00,CRV/USD,2.3942,2.4268,2.2011,2.2325,104213.39869675705,46680.13379474
1651104000000,2022-04-28 00:00:00,CRV/USD,2.4849,2.5393,2.3773,2.3984,113948.70595708619,47510.30101613
1651017600000,2022-04-27 00:00:00,CRV/USD,2.3658,2.5425,2.3608,2.4892,65010.47030300357,26117.01362004
1650931200000,2022-04-26 00:00:00,CRV/USD,2.7454,2.7756,2.3512,2.3678,164109.66120970994,69308.92018317
1650844800000,2022-04-25 00:00:00,CRV/USD,2.7068,2.7683,2.4908,2.7445,202056.28527542087,73622.25734211
1650758400000,2022-04-24 00:00:00,CRV/USD,2.6802,2.7661,2.5951,2.6992,137257.6779528511,50851.24405485
1650672000000,2022-04-23 00:00:00,CRV/USD,2.4796,2.7384,2.4665,2.663,269167.75889379904,101076.89030935
1650585600000,2022-04-22 00:00:00,CRV/USD,2.1947,2.588,2.1858,2.4815,453583.865952451,182786.16399454
1650499200000,2022-04-21 00:00:00,CRV/USD,2.3305,2.4071,2.1783,2.1975,73576.42921516582,33481.87905127
1650412800000,2022-04-20 00:00:00,CRV/USD,2.3084,2.4165,2.2665,2.3289,82839.66591137554,35570.29752732
1650326400000,2022-04-19 00:00:00,CRV/USD,2.1859,2.3441,2.1604,2.313,68107.92090061429,29445.70726356
1650240000000,2022-04-18 00:00:00,CRV/USD,2.1887,2.1908,2.056,2.1843,78439.94659385335,35910.79366106
1650153600000,2022-04-17 00:00:00,CRV/USD,2.2355,2.3434,2.1969,2.199,55604.2080071796,25286.1337004
1650067200000,2022-04-16 00:00:00,CRV/USD,2.2253,2.2574,2.1917,2.2379,12582.651867283937,5622.52641641
1649980800000,2022-04-15 00:00:00,CRV/USD,2.2286,2.2692,2.1885,2.2269,4910.7090591579545,2205.17717866
1649894400000,2022-04-14 00:00:00,CRV/USD,2.2974,2.3254,2.2033,2.2308,16061.29042429626,7199.78950345
1649808000000,2022-04-13 00:00:00,CRV/USD,2.2236,2.3117,2.1818,2.2979,28964.965279853368,12604.97205268
1649721600000,2022-04-12 00:00:00,CRV/USD,2.1724,2.2813,2.1549,2.2206,47810.075911782435,21530.25124371
1649635200000,2022-04-11 00:00:00,CRV/USD,2.4066,2.4467,2.1459,2.1629,57029.87514520564,26367.31940691
1649548800000,2022-04-10 00:00:00,CRV/USD,2.4746,2.5147,2.4,2.4,32452.766914464,13521.98621436
1649462400000,2022-04-09 00:00:00,CRV/USD,2.3406,2.4794,2.3117,2.4764,29089.933235204957,11746.86368729
1649376000000,2022-04-08 00:00:00,CRV/USD,2.5389,2.5785,2.3228,2.3413,62252.541595607065,26588.87865528
1649289600000,2022-04-07 00:00:00,CRV/USD,2.4993,2.5671,2.4422,2.5399,40037.75031665677,15763.51443626
1649203200000,2022-04-06 00:00:00,CRV/USD,2.7988,2.8052,2.4871,2.4978,115805.10620335436,46362.84178211
