https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CLO
1651536000000,2022-05-03 00:00:00,CLO/USD,0.0056979,0.0057552,0.0056598,0.0056598,30650.116335043,5415406.25729584
1651449600000,2022-05-02 00:00:00,CLO/USD,0.0057177,0.0058387,0.0056829,0.0057062,35157.10318049762,6161211.17039319
1651363200000,2022-05-01 00:00:00,CLO/USD,0.0058452,0.0058696,0.0056077,0.0057167,26612.978812700047,4655304.42610248
1651276800000,2022-04-30 00:00:00,CLO/USD,0.0060186,0.0060196,0.0058,0.0058462,29264.050995627014,5005653.41514608
1651190400000,2022-04-29 00:00:00,CLO/USD,0.0061368,0.0062363,0.0058811,0.0060204,50392.05494441491,8370217.08597683
1651104000000,2022-04-28 00:00:00,CLO/USD,0.0061248,0.0061992,0.0060514,0.0061318,39789.536453616725,6489046.6834562
1651017600000,2022-04-27 00:00:00,CLO/USD,0.0062115,0.0063607,0.0061243,0.0061323,43134.37159401679,7033963.04714655
1650931200000,2022-04-26 00:00:00,CLO/USD,0.0064585,0.0065425,0.0062,0.0062161,40588.870242657,6529635.98440453
1650844800000,2022-04-25 00:00:00,CLO/USD,0.0067927,0.0067929,0.0063512,0.00646,67118.57821536246,10389872.7887558
1650758400000,2022-04-24 00:00:00,CLO/USD,0.0067902,0.00685,0.00676,0.0067918,34963.240547650654,5147860.73613043
1650672000000,2022-04-23 00:00:00,CLO/USD,0.007012,0.0070209,0.0066189,0.0067916,71363.4540898064,10507605.58481159
1650585600000,2022-04-22 00:00:00,CLO/USD,0.0070796,0.0070989,0.007,0.0070126,39642.65475348406,5653060.88376409
1650499200000,2022-04-21 00:00:00,CLO/USD,0.007076,0.0071818,0.0070453,0.0070737,41117.61744774413,5812745.4440737
1650412800000,2022-04-20 00:00:00,CLO/USD,0.00718,0.0071834,0.0070578,0.0070772,34860.17290417453,4925701.25249739
1650326400000,2022-04-19 00:00:00,CLO/USD,0.0070869,0.0072,0.007,0.00718,34737.34136863401,4838069.82850056
1650240000000,2022-04-18 00:00:00,CLO/USD,0.0072228,0.0072228,0.007,0.0071062,34387.58990631233,4839096.83182465
1650153600000,2022-04-17 00:00:00,CLO/USD,0.0074194,0.0077121,0.0072228,0.0072231,43073.89560617344,5963353.07640396
1650067200000,2022-04-16 00:00:00,CLO/USD,0.0070305,0.0076,0.0069931,0.007422,89899.37459478065,12112553.8392321
1649980800000,2022-04-15 00:00:00,CLO/USD,0.0067164,0.0071583,0.0067038,0.0070326,82845.04038034962,11780143.95534363
1649894400000,2022-04-14 00:00:00,CLO/USD,0.0068251,0.0068453,0.0066973,0.0067056,26449.056555981595,3944323.63337831
1649808000000,2022-04-13 00:00:00,CLO/USD,0.0067789,0.0068453,0.0067463,0.0068226,24208.020820985064,3548210.48002009
1649721600000,2022-04-12 00:00:00,CLO/USD,0.0067574,0.0069247,0.0066201,0.0067768,45835.90429634097,6763650.14407109
1649635200000,2022-04-11 00:00:00,CLO/USD,0.0071092,0.0071092,0.0067566,0.0067566,20906.065366860883,3094169.45902686
1649548800000,2022-04-10 00:00:00,CLO/USD,0.0069878,0.0071441,0.0069562,0.0071127,36396.41887215992,5117103.05118449
1649462400000,2022-04-09 00:00:00,CLO/USD,0.0069601,0.0070182,0.0069562,0.0069964,25377.948777203368,3627286.71562566
1649376000000,2022-04-08 00:00:00,CLO/USD,0.0070246,0.0070816,0.00696,0.0069616,40879.8039370437,5872185.12081184
