https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BMI
1645833600000,2022-02-26 00:00:00,BMI/USD,0.09119,0.09495,0.09119,0.09428,119.8071782235772,1270.75920899
1645747200000,2022-02-25 00:00:00,BMI/USD,0.071272,0.0901,0.070004,0.0901,186.45489942902702,2069.42174727
1645660800000,2022-02-24 00:00:00,BMI/USD,0.090001,0.09001,0.07517,0.08469,726.1151119693164,8573.79988156
1645488000000,2022-02-22 00:00:00,BMI/USD,0.09299,0.095459,0.09187,0.095459,93.50831132724628,979.56516753
1645401600000,2022-02-21 00:00:00,BMI/USD,0.09817,0.09915,0.0943,0.0943,1529.180239649932,16216.12131124
1645315200000,2022-02-20 00:00:00,BMI/USD,0.098,0.09809,0.09576,0.09576,534.4828813489536,5581.48372336
1645228800000,2022-02-19 00:00:00,BMI/USD,0.105,0.10668,0.10066,0.10335,3043.462748254227,29448.11560962
1645142400000,2022-02-18 00:00:00,BMI/USD,0.10567,0.11073,0.10567,0.11073,14.0918297178204,127.26297948
1645056000000,2022-02-17 00:00:00,BMI/USD,0.12236,0.12236,0.10645,0.10927,1749.9192903283063,16014.636133689999
1644969600000,2022-02-16 00:00:00,BMI/USD,0.1214,0.13,0.11618,0.11618,676.9290226646987,5826.55381877
1644883200000,2022-02-15 00:00:00,BMI/USD,0.11998,0.12285,0.11998,0.12285,13.3840758186135,108.94648611
1644796800000,2022-02-14 00:00:00,BMI/USD,0.11521,0.124,0.11521,0.11524,59.88630392588319,519.6659486799999
1644710400000,2022-02-13 00:00:00,BMI/USD,0.12084,0.12565,0.11532,0.124,128.03834391412,1032.56728963
1644624000000,2022-02-12 00:00:00,BMI/USD,0.11945,0.1195,0.11945,0.1195,2.5122353083949998,21.02288961
1644537600000,2022-02-11 00:00:00,BMI/USD,0.14956,0.15068,0.11523,0.11523,679.0850864017449,5893.30110563
1644451200000,2022-02-10 00:00:00,BMI/USD,0.15596,0.15766,0.1554,0.15593,383.43611765014754,2459.02724075
1644364800000,2022-02-09 00:00:00,BMI/USD,0.1512,0.15835,0.15078,0.15598,875.7719004853412,5614.64226494
1644278400000,2022-02-08 00:00:00,BMI/USD,0.15074,0.15345,0.14984,0.15182,1844.3719086967956,12148.41199247
1644192000000,2022-02-07 00:00:00,BMI/USD,0.14902,0.1697,0.14902,0.15137,1498.352403137682,9898.60872787
