https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAT
1655164800000,2022-06-14 00:00:00,DAT/USD,0.024097,0.024097,0.0231,0.0231,462.0,20000.0
1655078400000,2022-06-13 00:00:00,DAT/USD,0.028054,0.028054,0.023014,0.024798,701.7864393113225,28300.12256276
1654992000000,2022-06-12 00:00:00,DAT/USD,0.03012,0.03012,0.028223,0.0283,2427.59226478321,85780.6453987
1654905600000,2022-06-11 00:00:00,DAT/USD,0.03012,0.03012,0.03012,0.03012,3887.5630752488773,129069.15920481
1654819200000,2022-06-10 00:00:00,DAT/USD,0.030146,0.030146,0.030146,0.030146,19.25485312,638.72
1654732800000,2022-06-09 00:00:00,DAT/USD,0.0358,0.0358,0.0358,0.0358,5.37,150.0
1654560000000,2022-06-07 00:00:00,DAT/USD,0.035,0.035,0.030128,0.030128,35.012622512,1162.1290000000001
1654300800000,2022-06-04 00:00:00,DAT/USD,0.032987,0.0348,0.032987,0.0348,340.584193428,9786.90211
1654214400000,2022-06-03 00:00:00,DAT/USD,0.0325,0.033037,0.030178,0.032987,1148.3654793160001,34812.668
1654128000000,2022-06-02 00:00:00,DAT/USD,0.030148,0.034,0.030148,0.034,278.72322888400004,8197.742026
1654041600000,2022-06-01 00:00:00,DAT/USD,0.0345,0.0345,0.0324,0.0324,103.67999999999999,3200.0
1653955200000,2022-05-31 00:00:00,DAT/USD,0.0338,0.0345,0.0338,0.0345,20.148000000000003,584.0
1653868800000,2022-05-30 00:00:00,DAT/USD,0.033544,0.035,0.033544,0.035,1303.2167562953002,37234.76446558
1653782400000,2022-05-29 00:00:00,DAT/USD,0.032501,0.032501,0.0314,0.0321,184.24349268741898,5739.67266939
1653696000000,2022-05-28 00:00:00,DAT/USD,0.0306,0.032501,0.0306,0.0325,1114.15689608275,34281.7506487
1653609600000,2022-05-27 00:00:00,DAT/USD,0.032,0.0333,0.03012,0.03012,31.436244000000002,1043.7
1653523200000,2022-05-26 00:00:00,DAT/USD,0.035491,0.035491,0.0353,0.0353,247.11059,7000.3
1653436800000,2022-05-25 00:00:00,DAT/USD,0.0351,0.035491,0.03412,0.0351,267.32863053,7616.2003
1653350400000,2022-05-24 00:00:00,DAT/USD,0.032195,0.0341,0.032195,0.0341,66.0950944665,1938.272565
1653264000000,2022-05-23 00:00:00,DAT/USD,0.0353,0.0353,0.0345,0.0345,70.91669898849,2055.55649242
1653177600000,2022-05-22 00:00:00,DAT/USD,0.037,0.037,0.0347,0.0349,61.870366810952994,1772.78987997
1653091200000,2022-05-21 00:00:00,DAT/USD,0.03673,0.037,0.03673,0.037,192.12251353608,5192.50036584
1653004800000,2022-05-20 00:00:00,DAT/USD,0.0353,0.0371,0.03302,0.036683,10872.449185679592,296389.31346072
1652918400000,2022-05-19 00:00:00,DAT/USD,0.0309,0.041725,0.030018,0.0342,1293.823307671236,37831.09086758
1652832000000,2022-05-18 00:00:00,DAT/USD,0.0321,0.0321,0.030642,0.030642,35.21533565952,1149.25056
