https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1655251200000,2022-06-15 00:00:00,GTX/USD,4.4488,4.4488,4.0088,4.3938,2653.2545675399997,603.8633
1655164800000,2022-06-14 00:00:00,GTX/USD,4.2284,4.4759,4.0534,4.4488,4818.911242800001,1083.1935
1655078400000,2022-06-13 00:00:00,GTX/USD,4.8622,4.8794,4.1168,4.2446,8024.6136739,1890.5465
1654992000000,2022-06-12 00:00:00,GTX/USD,5.2926,5.3092,4.8655,4.8699,6880.627980636796,1412.88896705
1654905600000,2022-06-11 00:00:00,GTX/USD,5.3663,5.4026,5.2402,5.2861,1050.497741428315,198.72831415
1654819200000,2022-06-10 00:00:00,GTX/USD,5.4668,5.5181,5.3663,5.3663,866.2388785999999,161.422
1654732800000,2022-06-09 00:00:00,GTX/USD,5.5146,5.5326,5.4842,5.502,956.7834948,173.8974
1654646400000,2022-06-08 00:00:00,GTX/USD,5.4785,5.6639,5.3965,5.5144,2227.80546832,403.9978
1654560000000,2022-06-07 00:00:00,GTX/USD,5.485,5.5202,5.3245,5.4785,1763.2431723000002,321.8478
1654473600000,2022-06-06 00:00:00,GTX/USD,5.4021,5.5489,5.4017,5.4849,905.9782303200001,165.17680000000001
1654387200000,2022-06-05 00:00:00,GTX/USD,5.3996,5.4092,5.3799,5.4054,572.71348134,105.9521
1654300800000,2022-06-04 00:00:00,GTX/USD,5.3695,5.4053,5.3439,5.3997,630.21680601,116.7133
1654214400000,2022-06-03 00:00:00,GTX/USD,5.4525,5.4759,5.332,5.3659,1043.9444304400001,194.5516
1654128000000,2022-06-02 00:00:00,GTX/USD,5.3936,5.4822,5.3588,5.4527,2749.9220221,504.323
1654041600000,2022-06-01 00:00:00,GTX/USD,5.6593,5.6593,5.4011,5.4237,1129.24633983,208.20589999999999
1653955200000,2022-05-31 00:00:00,GTX/USD,5.6959,5.7322,5.5535,5.6593,1516.0857230400002,267.8928
1653868800000,2022-05-30 00:00:00,GTX/USD,5.4131,5.7004,5.362,5.696,1703.0152137708799,298.98441253
1653782400000,2022-05-29 00:00:00,GTX/USD,5.3288,5.4267,5.3061,5.4126,1133.3914036200001,209.3987
1653696000000,2022-05-28 00:00:00,GTX/USD,5.2231,5.3481,5.2229,5.3286,2454.25404804,460.5814
1653609600000,2022-05-27 00:00:00,GTX/USD,5.4599,5.4695,5.1869,5.223,7663.960693200001,1467.3484
1653523200000,2022-05-26 00:00:00,GTX/USD,5.6042,5.7007,5.352,5.4741,3724.5163300800004,680.3888000000001
1653436800000,2022-05-25 00:00:00,GTX/USD,5.6393,5.6905,5.5132,5.5913,5693.04880001,1018.1976999999999
1653350400000,2022-05-24 00:00:00,GTX/USD,5.6672,5.7384,5.4289,5.6393,7883.973062500394,1398.04108001
1653264000000,2022-05-23 00:00:00,GTX/USD,5.7329,5.8633,5.6671,5.6672,3770.0214921600004,665.2353
1653177600000,2022-05-22 00:00:00,GTX/USD,5.7607,5.8224,5.7345,5.7467,4858.385194976074,845.42175422
1653091200000,2022-05-21 00:00:00,GTX/USD,5.6456,5.7606,5.6024,5.7516,5776.3290042,1004.2995
1653004800000,2022-05-20 00:00:00,GTX/USD,5.5946,5.6969,5.5265,5.6545,6145.34620717813,1086.80629714
1652918400000,2022-05-19 00:00:00,GTX/USD,5.495,5.6567,5.4445,5.592,9339.863964937198,1670.21887785
1652832000000,2022-05-18 00:00:00,GTX/USD,5.7544,5.7554,5.4709,5.4949,4318.5100467600005,785.9124
1652745600000,2022-05-17 00:00:00,GTX/USD,5.4312,5.7546,5.4312,5.7544,4672.119353280001,811.9212
1652659200000,2022-05-16 00:00:00,GTX/USD,5.5688,5.5688,5.3749,5.4313,11896.239718632123,2190.31165994
1652572800000,2022-05-15 00:00:00,GTX/USD,5.5536,5.6051,5.4269,5.5689,13015.93212993,2337.2537
1652486400000,2022-05-14 00:00:00,GTX/USD,5.5736,5.6239,5.3058,5.5474,10153.633108659998,1830.3409
1652400000000,2022-05-13 00:00:00,GTX/USD,5.3768,5.7919,5.3687,5.5525,11943.184300500001,2150.9562
1652313600000,2022-05-12 00:00:00,GTX/USD,4.9931,5.521,4.7465,5.3768,28455.9105042887,5292.35056247
1652227200000,2022-05-11 00:00:00,GTX/USD,5.8333,5.9964,4.7703,4.9929,16822.056702851925,3369.19559832
1652140800000,2022-05-10 00:00:00,GTX/USD,5.6836,6.0304,5.51,5.8336,14563.924248959998,2496.5586
1652054400000,2022-05-09 00:00:00,GTX/USD,6.1334,6.1415,5.6088,5.6836,11885.36187644,2091.1679
1651968000000,2022-05-08 00:00:00,GTX/USD,6.3109,6.3109,6.1334,6.1334,7330.16250148,1195.1222
1651881600000,2022-05-07 00:00:00,GTX/USD,6.3551,6.4025,6.3047,6.3109,4535.65960725,718.7025
