https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DVF
1654992000000,2022-06-12 00:00:00,DVF/USD,1.9914,1.993,1.9844,1.9844,1466.52387931566,739.02634515
1654905600000,2022-06-11 00:00:00,DVF/USD,2.0066,2.0066,1.9681,1.9917,40259.720895750004,20213.7475
1654819200000,2022-06-10 00:00:00,DVF/USD,2.081,2.081,2.0088,2.0088,57129.936590664,28439.83303
1654732800000,2022-06-09 00:00:00,DVF/USD,2.087,2.087,2.0839,2.0839,81.8305852,39.268
1654646400000,2022-06-08 00:00:00,DVF/USD,2.0832,2.0853,2.0815,2.0853,249.31611161100003,119.55887
1654560000000,2022-06-07 00:00:00,DVF/USD,2.119,2.119,2.0801,2.0801,44520.717488370195,21403.162102
1654473600000,2022-06-06 00:00:00,DVF/USD,2.161,2.161,2.1142,2.1195,42618.365616519,20107.745042
1654387200000,2022-06-05 00:00:00,DVF/USD,2.1642,2.1642,2.1642,2.1642,324.1149204,149.762
1654300800000,2022-06-04 00:00:00,DVF/USD,2.1573,2.159,2.1573,2.159,1053.609272,488.00800000000004
1654214400000,2022-06-03 00:00:00,DVF/USD,2.2007,2.2007,2.1487,2.1487,43534.940391234595,20261.060358
1654128000000,2022-06-02 00:00:00,DVF/USD,2.1954,2.1983,2.1954,2.1983,87.42896301100001,39.77117
1654041600000,2022-06-01 00:00:00,DVF/USD,2.1954,2.1954,2.1954,2.1954,22.772225579999997,10.3727
1653955200000,2022-05-31 00:00:00,DVF/USD,2.1954,2.1954,2.1954,2.1954,74.59749659999999,33.979
1653868800000,2022-05-30 00:00:00,DVF/USD,2.1954,2.1954,2.1954,2.1954,131.99425373999998,60.1231
1653782400000,2022-05-29 00:00:00,DVF/USD,2.1971,2.1972,2.1954,2.1954,279.22919382,127.1883
1653696000000,2022-05-28 00:00:00,DVF/USD,2.1957,2.1971,2.1954,2.1954,546.8103197219999,249.07093
1653609600000,2022-05-27 00:00:00,DVF/USD,2.1427,2.4165,2.0611,2.1964,153505.43134112,69889.5608
1653523200000,2022-05-26 00:00:00,DVF/USD,2.0309,2.0392,2.0309,2.0392,5346.3831246400005,2621.8042
1653436800000,2022-05-25 00:00:00,DVF/USD,2.0336,2.0336,2.0315,2.0315,2031.4999999999998,1000.0
1653350400000,2022-05-24 00:00:00,DVF/USD,2.0351,2.0351,2.0336,2.0336,429.42067008,211.1628
1653264000000,2022-05-23 00:00:00,DVF/USD,2.0336,2.0359,2.0336,2.0359,205.97241017999997,101.1702
1653177600000,2022-05-22 00:00:00,DVF/USD,2.0319,2.0369,2.0319,2.0328,1096.419829274616,539.36433947
1653091200000,2022-05-21 00:00:00,DVF/USD,2.0292,2.0292,2.0292,2.0292,405.84,200.0
1653004800000,2022-05-20 00:00:00,DVF/USD,2.0682,2.0682,2.0407,2.0407,10427.358157725,5109.69675
1652918400000,2022-05-19 00:00:00,DVF/USD,2.0955,2.0955,1.9963,2.0695,61839.4574900845,29881.351770999998
1652832000000,2022-05-18 00:00:00,DVF/USD,2.4029,2.4029,1.8291,2.0905,283418.09174086765,135574.30841467
1652745600000,2022-05-17 00:00:00,DVF/USD,2.5088,2.5088,2.4125,2.4125,34880.616012375,14458.28643
1652659200000,2022-05-16 00:00:00,DVF/USD,2.5949,2.5949,2.4713,2.5047,32132.048797332,12828.70156
1652572800000,2022-05-15 00:00:00,DVF/USD,2.5506,2.5989,2.528,2.5989,9401.634919676999,3617.54393
1652486400000,2022-05-14 00:00:00,DVF/USD,2.5147,2.5484,2.4906,2.5484,18791.426068585482,7373.81340001
