https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ODE
1643414400000,2022-01-29 00:00:00,ODE/USD,0.00145,0.00147,0.00145,0.00145,265.21048099999996,182903.78
1643328000000,2022-01-28 00:00:00,ODE/USD,0.00153,0.00153,0.00142,0.0014201,978.5509163628586,689071.83745008
1643241600000,2022-01-27 00:00:00,ODE/USD,0.00159,0.00162,0.00144,0.00151,452.72873089335,299820.351585
1643155200000,2022-01-26 00:00:00,ODE/USD,0.0016,0.00179,0.0015101,0.00157,627.2253528288607,399506.59415851
1643068800000,2022-01-25 00:00:00,ODE/USD,0.00157,0.00196,0.00151,0.0016,6705.863161739473,4191164.47608717
1642982400000,2022-01-24 00:00:00,ODE/USD,0.00169,0.00208,0.00157,0.00157,1562.7358800124152,995373.17198243
1642896000000,2022-01-23 00:00:00,ODE/USD,0.00159,0.00208,0.00143,0.00168,4175.407484320666,2485361.59780992
1642809600000,2022-01-22 00:00:00,ODE/USD,0.00175,0.0018301,0.00157,0.00158,812.9671381810692,514536.16340574
1642723200000,2022-01-21 00:00:00,ODE/USD,0.00196,0.00208,0.001734,0.001734,840.6216971311281,484787.59926824
1642636800000,2022-01-20 00:00:00,ODE/USD,0.00206,0.00208,0.0018,0.0018576,865.2344518740423,465780.82034563
1642550400000,2022-01-19 00:00:00,ODE/USD,0.0020682,0.00207,0.0016902,0.00206,3553.043083267681,1724778.19576101
1642464000000,2022-01-18 00:00:00,ODE/USD,0.00206,0.0020699,0.0019105,0.0020699,3713.428397537746,1794013.42941096
1642377600000,2022-01-17 00:00:00,ODE/USD,0.00197,0.0020699,0.00194,0.0020299,3212.8108645146003,1582743.41815587
1642291200000,2022-01-16 00:00:00,ODE/USD,0.0020699,0.00207,0.001901,0.0019402,2698.9477542247096,1391066.77364432
1642204800000,2022-01-15 00:00:00,ODE/USD,0.00214,0.00214,0.00194,0.00206,5607.027379669864,2721857.95129605
1642118400000,2022-01-14 00:00:00,ODE/USD,0.00224,0.00253,0.00203,0.00214,6898.86649680405,3223769.39102993
1642032000000,2022-01-13 00:00:00,ODE/USD,0.00192,0.0024332,0.0018219,0.00225,9479.951311117928,4213311.69383019
1641945600000,2022-01-12 00:00:00,ODE/USD,0.00195,0.00238,0.00191,0.001911,2019.2745808853406,1056658.59805617
1641859200000,2022-01-11 00:00:00,ODE/USD,0.00219,0.0023699,0.0019123,0.0019123,338.11297422308223,176809.58752449
1641772800000,2022-01-10 00:00:00,ODE/USD,0.0018857,0.00216,0.0018857,0.002121,1194.6140746437607,563231.52977075
1641686400000,2022-01-09 00:00:00,ODE/USD,0.0020312,0.0020314,0.00184,0.0019,2271.8275958636327,1195698.73466507
1641600000000,2022-01-08 00:00:00,ODE/USD,0.00211,0.00212,0.0020101,0.0020253,23.2220898,11466.0
1641513600000,2022-01-07 00:00:00,ODE/USD,0.00198,0.00217,0.00198,0.00209,621.4930357559604,297365.08887845
1641427200000,2022-01-06 00:00:00,ODE/USD,0.00218,0.00218,0.00198,0.0020457,802.0715958665816,392076.8420915
1641340800000,2022-01-05 00:00:00,ODE/USD,0.0021203,0.0023999,0.0020022,0.0021399,706.9655012925276,330373.14888197
1641254400000,2022-01-04 00:00:00,ODE/USD,0.0021499,0.0023999,0.0020038,0.0021301,1298.1452385557893,609429.24677517
1641168000000,2022-01-03 00:00:00,ODE/USD,0.0024713,0.0024713,0.00195,0.0021103,4914.80418285063,2328959.95017326
1640995200000,2022-01-01 00:00:00,ODE/USD,0.0025047,0.0025047,0.00229,0.00249,556.5561846,223516.54
1640908800000,2021-12-31 00:00:00,ODE/USD,0.0025,0.0026113,0.0025,0.00258,418.6421785628543,162264.41029568
1640822400000,2021-12-30 00:00:00,ODE/USD,0.0025,0.0025,0.00236,0.00236,477.92596000000003,202511.0
1640736000000,2021-12-29 00:00:00,ODE/USD,0.0025812,0.0025812,0.00235,0.00239,677.77065076933,283586.046347
1640649600000,2021-12-28 00:00:00,ODE/USD,0.0026109,0.0026917,0.00231,0.00241,745.0778871764466,309160.94903586997
1640563200000,2021-12-27 00:00:00,ODE/USD,0.0026158,0.002699,0.0026158,0.002699,717.279525390014,265757.512186
1640476800000,2021-12-26 00:00:00,ODE/USD,0.00262,0.00262,0.00262,0.00262,120.9888596500118,46178.95406489
1640390400000,2021-12-25 00:00:00,ODE/USD,0.00252,0.00263,0.00252,0.0025601,1036.061718609877,404695.80040228
1640304000000,2021-12-24 00:00:00,ODE/USD,0.002462,0.00253,0.0023,0.00253,2318.5717075351126,916431.50495459
1640217600000,2021-12-23 00:00:00,ODE/USD,0.002538,0.00255,0.00248,0.00252,464.18742623365563,184201.35961653
1640131200000,2021-12-22 00:00:00,ODE/USD,0.00251,0.0027,0.0024305,0.00254,1412.7490635625416,556200.41872541
1640044800000,2021-12-21 00:00:00,ODE/USD,0.0025406,0.00259,0.00228,0.00249,1737.0255649275007,697600.62848494
1639958400000,2021-12-20 00:00:00,ODE/USD,0.00232,0.0024451,0.00224,0.0024451,705.8927267899996,288696.87407059
1639872000000,2021-12-19 00:00:00,ODE/USD,0.00228,0.0023499,0.00228,0.00234,772.8124322426977,330261.72318064
1639785600000,2021-12-18 00:00:00,ODE/USD,0.0024099,0.0026308,0.00223,0.00223,293.26538434726706,131509.1409629
1639699200000,2021-12-17 00:00:00,ODE/USD,0.00237,0.00273,0.00218,0.00231,1132.1784388384237,490120.53629369
1639612800000,2021-12-16 00:00:00,ODE/USD,0.00236,0.00289,0.00233,0.00239,3669.52223810314,1535364.95318123
1639526400000,2021-12-15 00:00:00,ODE/USD,0.00254,0.002669,0.0020296,0.0025,1953.051073161875,781220.42926475
1639440000000,2021-12-14 00:00:00,ODE/USD,0.002571,0.00261,0.002,0.0023303,7515.890334360131,3225288.73293573
1639353600000,2021-12-13 00:00:00,ODE/USD,0.00297,0.00297,0.002571,0.002571,2427.4604866647815,944169.7731096
1639267200000,2021-12-12 00:00:00,ODE/USD,0.0029689,0.003,0.00289,0.00289,1148.097167453954,397265.45586642
1639180800000,2021-12-11 00:00:00,ODE/USD,0.00296,0.00307,0.00289,0.0029741,1116.5162742890338,375413.15836354997
1639094400000,2021-12-10 00:00:00,ODE/USD,0.00284,0.00325,0.00273,0.00294,4037.288487322099,1373227.3766401699
1639008000000,2021-12-09 00:00:00,ODE/USD,0.00322,0.00325,0.002774,0.002774,2420.8064592692917,872677.16628309
1638921600000,2021-12-08 00:00:00,ODE/USD,0.00387,0.00388,0.0024,0.00333,9292.173627615382,2790442.53081543
1638835200000,2021-12-07 00:00:00,ODE/USD,0.002491,0.00389,0.002325,0.00388,19621.58772790992,5057110.23915204
1638748800000,2021-12-06 00:00:00,ODE/USD,0.002205,0.00268,0.002205,0.00249,482.3127718311906,193699.90836594
