https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume APE
1648771200000,2022-04-01 00:00:00,APE/USD,12.73,13.582,12.252,12.827,336555.0907488952,26238.02063997
1648684800000,2022-03-31 00:00:00,APE/USD,14.215,14.368,12.525,12.707,691515.4710786452,54420.04179418
1648598400000,2022-03-30 00:00:00,APE/USD,13.582,14.547,13.042,14.24,892561.5508416768,62679.88418832
1648512000000,2022-03-29 00:00:00,APE/USD,14.039,14.551,13.352,13.588,658803.7486820885,48484.23231396
1648425600000,2022-03-28 00:00:00,APE/USD,14.262,15.538,13.894,14.016,864096.86158627,61650.74640313
1648339200000,2022-03-27 00:00:00,APE/USD,13.841,14.358,13.283,14.271,434454.81859178917,30443.19379103
1648252800000,2022-03-26 00:00:00,APE/USD,12.401,14.25,12.372,13.845,617878.792914008,44628.29851311
1648166400000,2022-03-25 00:00:00,APE/USD,12.882,13.667,12.269,12.385,812725.223034458,65621.7378308
1648080000000,2022-03-24 00:00:00,APE/USD,13.33,14.444,12.743,12.92,1285143.661135387,99469.32361729
1647993600000,2022-03-23 00:00:00,APE/USD,12.228,13.514,11.52,13.31,1524307.5074514947,114523.47914737
1647907200000,2022-03-22 00:00:00,APE/USD,10.542,12.549,10.242,12.2,2733349.7026951117,224045.05759796
1647820800000,2022-03-21 00:00:00,APE/USD,9.6571,10.994,9.6,10.536,1347937.0215285688,127936.31563483
1647734400000,2022-03-20 00:00:00,APE/USD,11.691,11.944,9.628,9.6571,1708602.1475591583,176927.04306253
1647648000000,2022-03-19 00:00:00,APE/USD,13.048,14.684,11.495,11.712,1405133.6113884652,119973.83977019
1647561600000,2022-03-18 00:00:00,APE/USD,8.5771,17.874,8.5771,13.077,2474685.9379613847,189239.57619954
1647475200000,2022-03-17 00:00:00,APE/USD,8.25,8.9209,7.3281,8.5771,1001534.6887405419,116768.45189406
