https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume JST
1656806400000,2022-07-03 00:00:00,JST/USD,0.02792,0.02848,0.027071,0.028427,1410.496923868363,49618.21239907
1656720000000,2022-07-02 00:00:00,JST/USD,0.027028,0.028709,0.026636,0.027875,1857.0658648917715,66621.19694679
1656633600000,2022-07-01 00:00:00,JST/USD,0.027304,0.027946,0.026595,0.026993,2192.7330516481866,81233.39575624
1656547200000,2022-06-30 00:00:00,JST/USD,0.028586,0.029103,0.025932,0.027289,2398.4072925013193,87889.1601928
1656460800000,2022-06-29 00:00:00,JST/USD,0.02986,0.030521,0.028025,0.028637,2925.3275398090204,102152.02499595
1656374400000,2022-06-28 00:00:00,JST/USD,0.031003,0.03278,0.02981,0.029983,5015.141455986942,167266.16602698
1656288000000,2022-06-27 00:00:00,JST/USD,0.030694,0.0338,0.029736,0.03093,12690.074044841695,410283.67425935
1656201600000,2022-06-26 00:00:00,JST/USD,0.029821,0.031215,0.029351,0.030961,5817.616401208496,187901.43733111
1656115200000,2022-06-25 00:00:00,JST/USD,0.03007,0.030172,0.028556,0.0298,4896.3024026692,164305.449754
1656028800000,2022-06-24 00:00:00,JST/USD,0.029114,0.030267,0.028735,0.03007,5338.730839636732,177543.42665902
1655942400000,2022-06-23 00:00:00,JST/USD,0.028089,0.029087,0.027724,0.029051,5455.567395240473,187792.75740045
1655856000000,2022-06-22 00:00:00,JST/USD,0.029419,0.029455,0.027859,0.028063,7767.679600212277,276794.34131106
1655769600000,2022-06-21 00:00:00,JST/USD,0.028656,0.030542,0.028309,0.029426,7218.9732266511155,245326.35175189
1655683200000,2022-06-20 00:00:00,JST/USD,0.027172,0.028991,0.027117,0.028726,7461.711753076926,259754.63876199
1655596800000,2022-06-19 00:00:00,JST/USD,0.02614,0.027254,0.025211,0.027174,18605.94139662303,684696.45236708
1655510400000,2022-06-18 00:00:00,JST/USD,0.026927,0.028115,0.024796,0.026183,22449.112168727806,857392.6658033
1655424000000,2022-06-17 00:00:00,JST/USD,0.026037,0.027423,0.025927,0.026949,10789.739870500285,400376.26147539
1655337600000,2022-06-16 00:00:00,JST/USD,0.028829,0.029115,0.025589,0.02602,7882.503699828542,302940.18831009
1655251200000,2022-06-15 00:00:00,JST/USD,0.027739,0.028851,0.024378,0.028851,14485.91537179422,502094.04775551
1655164800000,2022-06-14 00:00:00,JST/USD,0.029464,0.02982,0.02574,0.027799,14367.081780509161,516820.09354686
1655078400000,2022-06-13 00:00:00,JST/USD,0.03595,0.03622,0.028816,0.02946,16394.625173837125,556504.58838551
1654992000000,2022-06-12 00:00:00,JST/USD,0.03686,0.04074,0.035981,0.035981,25907.09578478266,720021.56095669
1654905600000,2022-06-11 00:00:00,JST/USD,0.039089,0.03974,0.03666,0.03685,26018.600808457457,706067.8645443
1654819200000,2022-06-10 00:00:00,JST/USD,0.04144,0.042477,0.039,0.03911,18200.61692676732,465369.90352256
1654732800000,2022-06-09 00:00:00,JST/USD,0.04174,0.042095,0.041157,0.04143,23421.88999757233,565336.47109757
1654646400000,2022-06-08 00:00:00,JST/USD,0.04223,0.04255,0.04131,0.04176,15661.965173828876,375047.05876027
1654560000000,2022-06-07 00:00:00,JST/USD,0.04349,0.04349,0.04091,0.04222,24000.461377874537,568461.89904961
1654473600000,2022-06-06 00:00:00,JST/USD,0.042611,0.0447,0.04239,0.043462,22554.60434255943,518949.98717407
1654387200000,2022-06-05 00:00:00,JST/USD,0.04202,0.042899,0.041136,0.042578,22262.44246650922,522862.56908519
