https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1652659200000,2022-05-16 00:00:00,FCL/USD,0.044691,0.048524,0.040411,0.04593,12840.07088107456,279557.38909372
1652572800000,2022-05-15 00:00:00,FCL/USD,0.03835,0.046366,0.037721,0.044671,14330.7264635723,320806.03665851
1652486400000,2022-05-14 00:00:00,FCL/USD,0.041081,0.041696,0.036699,0.037851,3361.112518386306,88798.51307459
1652400000000,2022-05-13 00:00:00,FCL/USD,0.03676,0.043363,0.035455,0.041101,15561.678711651994,378620.44017547
1652313600000,2022-05-12 00:00:00,FCL/USD,0.047411,0.0488,0.035285,0.03635,22335.789546926466,614464.63677927
1652227200000,2022-05-11 00:00:00,FCL/USD,0.060129,0.061319,0.04741,0.04832,33970.42458096706,703030.31003657
1652140800000,2022-05-10 00:00:00,FCL/USD,0.060251,0.063777,0.059398,0.060239,4572.8897908134995,75912.44527322
1652054400000,2022-05-09 00:00:00,FCL/USD,0.070408,0.070408,0.059967,0.060321,6260.03733533726,103778.73933352
1651968000000,2022-05-08 00:00:00,FCL/USD,0.077799,0.080768,0.069011,0.069021,3726.8881150086763,53996.43753363
1651881600000,2022-05-07 00:00:00,FCL/USD,0.06988,0.081333,0.067331,0.076101,3431.160385032918,45086.92901582
1651795200000,2022-05-06 00:00:00,FCL/USD,0.069319,0.07089,0.066391,0.06962,3198.726659313953,45945.51363565
1651708800000,2022-05-05 00:00:00,FCL/USD,0.07847,0.08,0.068391,0.068651,3603.8920926612423,52495.84263392
1651622400000,2022-05-04 00:00:00,FCL/USD,0.07041,0.08,0.067148,0.079309,12763.458366675535,160933.29088344998
1651536000000,2022-05-03 00:00:00,FCL/USD,0.07567,0.076528,0.069155,0.070479,505.6470759462915,7174.43601564
1651449600000,2022-05-02 00:00:00,FCL/USD,0.080246,0.083484,0.07369,0.07509,9036.004107629493,120335.65198601001
1651363200000,2022-05-01 00:00:00,FCL/USD,0.097028,0.09903,0.073701,0.082106,24588.827941097705,299476.62705646
1651276800000,2022-04-30 00:00:00,FCL/USD,0.10658,0.11309,0.093557,0.099554,19573.495908944675,196611.84793122
1651190400000,2022-04-29 00:00:00,FCL/USD,0.11602,0.11602,0.10461,0.10669,12638.825697597793,118463.07711686
1651104000000,2022-04-28 00:00:00,FCL/USD,0.1042,0.11477,0.1042,0.1139,14848.972441746877,130368.50256143
1651017600000,2022-04-27 00:00:00,FCL/USD,0.10882,0.11234,0.099748,0.10675,13696.488844329095,128304.34514594
1650931200000,2022-04-26 00:00:00,FCL/USD,0.11016,0.11959,0.10768,0.10912,17882.21768499003,163876.62834485
1650844800000,2022-04-25 00:00:00,FCL/USD,0.10656,0.10857,0.09949,0.10825,12256.902926225253,113227.74065797
1650758400000,2022-04-24 00:00:00,FCL/USD,0.12024,0.12199,0.10554,0.10677,3463.184006982179,32435.92776044
1650672000000,2022-04-23 00:00:00,FCL/USD,0.10232,0.13126,0.097804,0.12145,21535.595684190026,177320.67257464
1650585600000,2022-04-22 00:00:00,FCL/USD,0.094294,0.1054,0.094294,0.1022,8889.047451177838,86976.98093129
1650499200000,2022-04-21 00:00:00,FCL/USD,0.099709,0.10614,0.09601,0.09876,10645.09888353895,107787.55451133
1650412800000,2022-04-20 00:00:00,FCL/USD,0.10523,0.10652,0.0986,0.09864,8606.654983105243,87253.19325938
1650326400000,2022-04-19 00:00:00,FCL/USD,0.09756,0.10692,0.093079,0.10499,15002.272631440843,142892.3957657
1650240000000,2022-04-18 00:00:00,FCL/USD,0.10276,0.10575,0.091304,0.09737,11204.383336477249,115070.17907443
1650153600000,2022-04-17 00:00:00,FCL/USD,0.11035,0.11052,0.1021,0.1028,6041.046629821076,58765.04503717
1650067200000,2022-04-16 00:00:00,FCL/USD,0.11757,0.13118,0.10642,0.10787,9999.337389249577,92698.03827987
1649980800000,2022-04-15 00:00:00,FCL/USD,0.0988,0.11827,0.095633,0.11608,9388.585303930366,80880.30068858
1649894400000,2022-04-14 00:00:00,FCL/USD,0.10037,0.10493,0.096026,0.097791,21238.621090432458,217183.80106996
1649808000000,2022-04-13 00:00:00,FCL/USD,0.095789,0.10012,0.090666,0.099934,15786.104638505965,157965.30348536
1649721600000,2022-04-12 00:00:00,FCL/USD,0.098296,0.098298,0.09338,0.09567,9834.873552110845,102799.9744132
1649635200000,2022-04-11 00:00:00,FCL/USD,0.13293,0.13649,0.093062,0.0964,113637.48017125647,1178812.03497154
1649548800000,2022-04-10 00:00:00,FCL/USD,0.11116,0.13858,0.11004,0.13403,54124.30187310081,403822.29256958
