https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTT
1653004800000,2022-05-20 00:00:00,FTT/USD,31.065,31.065,29.329,29.748,28493.04223347828,957.81370961
1652918400000,2022-05-19 00:00:00,FTT/USD,29.959,31.28,29.676,30.896,7164.44068931312,231.88893997
1652832000000,2022-05-18 00:00:00,FTT/USD,31.28,31.28,29.959,29.959,32381.82887543792,1080.87148688
1652745600000,2022-05-17 00:00:00,FTT/USD,32.028,32.494,31.758,32.154,26451.569594313,822.6525345
1652659200000,2022-05-16 00:00:00,FTT/USD,31.99,32.134,31.237,32.134,11698.14233510928,364.04251992
1652572800000,2022-05-15 00:00:00,FTT/USD,31.715,32.701,31.129,32.571,20594.704653992696,632.3018837
1652486400000,2022-05-14 00:00:00,FTT/USD,31.055,31.53,29.909,31.418,18247.0364892802,580.7828789
1652400000000,2022-05-13 00:00:00,FTT/USD,30.248,32.452,30.248,30.695,11866.680630173601,386.59979248
1652313600000,2022-05-12 00:00:00,FTT/USD,30.795,30.915,26.4,29.199,165821.3724679198,5679.00861221
1652227200000,2022-05-11 00:00:00,FTT/USD,33.211,33.478,26.768,28.652,59973.38277569392,2093.16566996
1652140800000,2022-05-10 00:00:00,FTT/USD,30.309,35.048,29.635,32.462,45164.14340113987,1391.29269303
1652054400000,2022-05-09 00:00:00,FTT/USD,33.632,33.632,30.571,30.735,174636.1709638389,5681.99677774
1651968000000,2022-05-08 00:00:00,FTT/USD,34.098,34.158,33.991,33.991,155.54286154794002,4.57600134
1651881600000,2022-05-07 00:00:00,FTT/USD,35.0,35.0,34.641,34.641,1905.2549999999999,55.0
1651795200000,2022-05-06 00:00:00,FTT/USD,36.292,36.292,35.536,35.536,2216.4493049707203,62.37194127
1651708800000,2022-05-05 00:00:00,FTT/USD,39.528,39.566,35.999,35.999,15994.01504182299,444.29053701
1651622400000,2022-05-04 00:00:00,FTT/USD,38.725,39.641,38.46,39.641,50064.4760134603,1262.9468483
1651536000000,2022-05-03 00:00:00,FTT/USD,39.153,39.153,38.028,38.028,2177.8171905582,57.26878065
1651449600000,2022-05-02 00:00:00,FTT/USD,39.241,39.812,38.832,39.174,2648.53958215812,67.60962838
1651363200000,2022-05-01 00:00:00,FTT/USD,38.092,38.494,38.092,38.193,882.72274826808,23.11216056
1651276800000,2022-04-30 00:00:00,FTT/USD,38.896,39.233,37.996,38.057,1828.8200918956602,48.05476238
1651190400000,2022-04-29 00:00:00,FTT/USD,39.975,39.975,38.681,38.681,1332.39134711187,34.44562827
1651104000000,2022-04-28 00:00:00,FTT/USD,40.457,40.706,39.679,40.682,1379.03640108636,33.89794998
1650931200000,2022-04-26 00:00:00,FTT/USD,41.366,41.366,38.928,39.187,5516.09660468969,140.76343187
1650844800000,2022-04-25 00:00:00,FTT/USD,40.453,41.859,39.84,41.859,5708.474188921889,136.37387870999999
1650758400000,2022-04-24 00:00:00,FTT/USD,41.142,41.142,40.761,40.761,2884.3979528699997,70.76366999999999
1650672000000,2022-04-23 00:00:00,FTT/USD,41.053,41.114,41.053,41.114,1745.2610777058399,42.44931356
1650585600000,2022-04-22 00:00:00,FTT/USD,41.761,41.761,41.053,41.383,6700.338799125901,161.9104173
1650499200000,2022-04-21 00:00:00,FTT/USD,43.334,45.832,41.835,41.835,31865.4851813283,761.69439898
1650412800000,2022-04-20 00:00:00,FTT/USD,43.614,43.969,42.469,43.009,8046.56874315489,187.09034721
1650326400000,2022-04-19 00:00:00,FTT/USD,43.412,43.615,43.098,43.482,2195.07898577676,50.48247518
1650240000000,2022-04-18 00:00:00,FTT/USD,44.307,44.307,40.318,43.412,17314.68685335256,398.84563838
1650153600000,2022-04-17 00:00:00,FTT/USD,43.541,47.985,43.541,44.989,44458.99534067165,988.21923894
1650067200000,2022-04-16 00:00:00,FTT/USD,42.929,42.961,42.794,42.794,1857.6873786666201,43.409996230000004
1649980800000,2022-04-15 00:00:00,FTT/USD,42.279,42.427,42.279,42.392,176.26006597976001,4.15786153
1649894400000,2022-04-14 00:00:00,FTT/USD,42.943,42.943,41.659,41.659,3090.99791671524,74.19760236
1649808000000,2022-04-13 00:00:00,FTT/USD,41.675,41.675,41.675,41.675,52.518834999999996,1.2602
1649721600000,2022-04-12 00:00:00,FTT/USD,42.261,42.261,42.261,42.261,1352.3845249108201,32.00076962
1649635200000,2022-04-11 00:00:00,FTT/USD,44.749,44.749,41.579,41.579,56171.15704483517,1350.95016823
1649548800000,2022-04-10 00:00:00,FTT/USD,45.98,45.98,45.93,45.93,498.51783389279996,10.853860959999999
1649462400000,2022-04-09 00:00:00,FTT/USD,44.937,44.937,44.937,44.937,1749.1274914158,38.9239934
1649376000000,2022-04-08 00:00:00,FTT/USD,45.795,45.814,45.795,45.814,426.78183802480004,9.3155332
1649289600000,2022-04-07 00:00:00,FTT/USD,45.0,45.74,45.0,45.74,1725.8689984,37.73216
1649203200000,2022-04-06 00:00:00,FTT/USD,48.494,48.494,45.205,45.205,27595.26382033475,610.44715895
1649116800000,2022-04-05 00:00:00,FTT/USD,48.908,49.182,48.494,48.494,1511.89970848908,31.17704682
1649030400000,2022-04-04 00:00:00,FTT/USD,50.139,50.139,49.317,49.317,10773.54786162342,218.45505326
1648944000000,2022-04-03 00:00:00,FTT/USD,50.32,51.165,50.32,50.961,6843.819099838921,134.29522772
1648857600000,2022-04-02 00:00:00,FTT/USD,50.365,51.165,49.578,49.578,5103.88961161068,102.94666206
1648771200000,2022-04-01 00:00:00,FTT/USD,49.025,50.765,47.959,50.365,30925.974669438798,614.03702312
1648684800000,2022-03-31 00:00:00,FTT/USD,50.774,50.774,48.684,49.045,18547.0823812894,378.16459132
1648598400000,2022-03-30 00:00:00,FTT/USD,50.645,52.085,50.645,51.116,10786.2287546624,211.0147264
1648512000000,2022-03-29 00:00:00,FTT/USD,50.535,50.943,50.535,50.943,3244.75342354962,63.69380334
1648425600000,2022-03-28 00:00:00,FTT/USD,51.701,53.207,51.336,51.336,65603.21253049151,1277.91827432
1648339200000,2022-03-27 00:00:00,FTT/USD,50.018,51.672,50.018,51.672,17629.4518568028,341.17997865
1648252800000,2022-03-26 00:00:00,FTT/USD,50.393,50.393,50.393,50.393,4182.619,83.0
1648166400000,2022-03-25 00:00:00,FTT/USD,49.71,51.3,49.369,49.476,32526.05845168008,657.41083458
1648080000000,2022-03-24 00:00:00,FTT/USD,46.903,49.353,46.759,49.353,25940.788310998443,525.61725348
1647993600000,2022-03-23 00:00:00,FTT/USD,45.297,45.297,45.171,45.171,225.44529857829002,4.990929990000001
1647907200000,2022-03-22 00:00:00,FTT/USD,44.794,46.531,44.794,45.297,12177.02305211112,268.82625896
1647820800000,2022-03-21 00:00:00,FTT/USD,44.559,44.559,44.458,44.458,3124.70667517094,70.28446343
1647734400000,2022-03-20 00:00:00,FTT/USD,44.228,44.228,43.835,43.835,2807.7887617098,64.05358188
1647648000000,2022-03-19 00:00:00,FTT/USD,44.716,45.038,44.566,44.566,3745.6320048950206,84.04685197
1647561600000,2022-03-18 00:00:00,FTT/USD,43.536,45.038,43.536,45.038,10789.339059087959,239.56079442
1647475200000,2022-03-17 00:00:00,FTT/USD,42.785,43.003,42.671,42.671,1190.9988621380999,27.9112011
1647388800000,2022-03-16 00:00:00,FTT/USD,42.041,42.785,41.416,42.785,5736.3962903581505,134.07493959
1647302400000,2022-03-15 00:00:00,FTT/USD,40.539,40.539,40.539,40.539,159.9696344364,3.9460676
1647216000000,2022-03-14 00:00:00,FTT/USD,41.24,41.24,41.24,41.24,157.9519849372,3.83006753
1647129600000,2022-03-13 00:00:00,FTT/USD,41.418,41.418,40.383,40.383,511.13872582542,12.65727474
1647043200000,2022-03-12 00:00:00,FTT/USD,41.309,41.309,41.309,41.309,123.92699999999999,3.0
1646956800000,2022-03-11 00:00:00,FTT/USD,39.988,40.955,39.934,40.953,10272.07947833001,250.82605617
1646870400000,2022-03-10 00:00:00,FTT/USD,42.429,42.429,40.306,40.364,10258.181819074398,254.1418546
1646784000000,2022-03-09 00:00:00,FTT/USD,41.078,43.354,41.078,43.136,11317.18007226752,262.36044307
1646697600000,2022-03-08 00:00:00,FTT/USD,40.197,41.224,40.197,40.327,16751.51181328527,415.39196601
1646611200000,2022-03-07 00:00:00,FTT/USD,39.755,40.825,38.76,39.742,18049.12694651674,454.15748947000003
1646524800000,2022-03-06 00:00:00,FTT/USD,40.876,40.904,40.737,40.737,2735.530287,67.151
1646438400000,2022-03-05 00:00:00,FTT/USD,40.008,40.862,39.854,40.862,8117.576905201,198.6583355
1646352000000,2022-03-04 00:00:00,FTT/USD,43.67,43.856,40.402,40.402,11714.86419453134,289.95753167
1646265600000,2022-03-03 00:00:00,FTT/USD,45.697,45.697,44.186,44.749,5374.18832900734,120.09627766
1646179200000,2022-03-02 00:00:00,FTT/USD,46.84,47.409,45.902,45.928,20647.55925244152,449.56364859
1646092800000,2022-03-01 00:00:00,FTT/USD,46.336,47.678,45.506,46.274,44634.83303604942,964.57693383
1646006400000,2022-02-28 00:00:00,FTT/USD,42.157,46.39,42.157,46.166,38156.830291888735,826.51367439
1645920000000,2022-02-27 00:00:00,FTT/USD,42.647,44.28,41.389,41.389,20181.762317621142,487.61174026
1645833600000,2022-02-26 00:00:00,FTT/USD,44.07,44.101,43.326,43.359,13048.315022649871,300.93671493
1645747200000,2022-02-25 00:00:00,FTT/USD,41.393,43.4,41.356,43.072,39690.1368252864,921.4834887
1645660800000,2022-02-24 00:00:00,FTT/USD,40.535,42.211,37.571,41.513,67030.9181231342,1614.69703763
1645574400000,2022-02-23 00:00:00,FTT/USD,41.664,43.4,40.895,40.895,28550.909190033155,698.15158797
1645488000000,2022-02-22 00:00:00,FTT/USD,39.6,41.546,39.5,40.908,15871.112005514642,387.97086158
1645401600000,2022-02-21 00:00:00,FTT/USD,41.415,41.748,40.0,40.0,10390.072832000002,259.7518208
1645315200000,2022-02-20 00:00:00,FTT/USD,42.217,42.217,40.5,40.604,17570.414643477838,432.72620046
1645228800000,2022-02-19 00:00:00,FTT/USD,42.5,42.5,42.0,42.0,6116.495188440001,145.63083782
1645142400000,2022-02-18 00:00:00,FTT/USD,43.702,43.828,42.848,42.848,10011.49624211776,233.65142462
1645056000000,2022-02-17 00:00:00,FTT/USD,46.229,46.229,43.702,43.702,14045.72202624714,321.39769407
1644969600000,2022-02-16 00:00:00,FTT/USD,46.906,46.906,46.075,46.488,5693.3955617916,122.47021945
1644883200000,2022-02-15 00:00:00,FTT/USD,45.735,47.323,45.735,47.323,8605.52240503398,181.84651026
1644796800000,2022-02-14 00:00:00,FTT/USD,44.358,44.639,43.483,44.639,14101.94924791254,315.91095786
1644710400000,2022-02-13 00:00:00,FTT/USD,44.744,45.438,43.964,44.703,16827.11838347193,376.42033831
1644624000000,2022-02-12 00:00:00,FTT/USD,43.193,44.583,43.0,44.266,17267.80044005854,390.09172819
1644537600000,2022-02-11 00:00:00,FTT/USD,44.5,44.963,43.085,43.085,25790.421260354102,598.59397146
1644451200000,2022-02-10 00:00:00,FTT/USD,47.937,48.299,44.5,44.887,36979.13838468473,823.82735279
