https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KSM
1653868800000,2022-05-30 00:00:00,KSM/USD,71.794,77.955,71.12,77.955,49463.77393628655,634.51701541
1653782400000,2022-05-29 00:00:00,KSM/USD,67.507,72.66,65.442,71.912,27907.585336908003,388.0796715
1653696000000,2022-05-28 00:00:00,KSM/USD,66.491,69.051,65.281,67.598,44416.548879620896,657.06897955
1653609600000,2022-05-27 00:00:00,KSM/USD,69.871,71.299,64.808,66.334,216395.27869893427,3262.20759639
1653523200000,2022-05-26 00:00:00,KSM/USD,79.342,81.017,69.291,69.697,113154.96024915106,1623.52698465
1653436800000,2022-05-25 00:00:00,KSM/USD,81.87,86.488,78.797,79.325,32285.774032781752,407.00629099
1653350400000,2022-05-24 00:00:00,KSM/USD,82.64,86.076,75.783,81.819,34821.74017864692,425.59479068
1653264000000,2022-05-23 00:00:00,KSM/USD,80.194,89.078,78.405,82.48,37587.225330680805,455.71320721
1653177600000,2022-05-22 00:00:00,KSM/USD,80.287,82.163,78.341,80.297,20603.21967387334,256.58766422
1653091200000,2022-05-21 00:00:00,KSM/USD,75.468,80.365,73.405,80.087,21786.405341169982,272.03422954
1653004800000,2022-05-20 00:00:00,KSM/USD,80.431,81.527,73.367,75.32,36822.4814088796,488.88052853
1652918400000,2022-05-19 00:00:00,KSM/USD,76.229,82.362,71.2,80.478,76559.57979685794,951.31066623
1652832000000,2022-05-18 00:00:00,KSM/USD,81.949,83.691,71.986,76.128,81341.38069052735,1068.48177662
1652745600000,2022-05-17 00:00:00,KSM/USD,73.506,87.818,73.082,82.096,163206.06948445298,1987.99051701
1652659200000,2022-05-16 00:00:00,KSM/USD,80.773,85.315,68.806,73.616,209520.02281972146,2846.1207185900003
1652572800000,2022-05-15 00:00:00,KSM/USD,74.41,86.198,68.843,79.985,155945.8042797997,1949.68812002
1652486400000,2022-05-14 00:00:00,KSM/USD,74.28,78.112,66.415,74.651,78868.40584795638,1056.49496789
1652400000000,2022-05-13 00:00:00,KSM/USD,69.284,83.494,67.634,73.988,93323.35422575667,1261.33094861
1652313600000,2022-05-12 00:00:00,KSM/USD,73.544,76.735,62.989,69.231,285612.5681931051,4125.50112223
1652227200000,2022-05-11 00:00:00,KSM/USD,92.878,95.53,71.58,73.071,289548.9539657634,3962.57002047
1652140800000,2022-05-10 00:00:00,KSM/USD,94.75,104.51,89.32,92.83,90688.97925096759,976.93611172
1652054400000,2022-05-09 00:00:00,KSM/USD,112.29,115.45,94.12,94.15,111132.59315988551,1180.37804737
1651968000000,2022-05-08 00:00:00,KSM/USD,118.15,118.57,111.63,112.23,18833.4618780222,167.81129714
1651881600000,2022-05-07 00:00:00,KSM/USD,126.62,127.25,115.89,117.87,32082.554753439603,272.18592308
1651795200000,2022-05-06 00:00:00,KSM/USD,127.57,130.65,121.21,126.45,62368.0186987395,493.22276551
1651708800000,2022-05-05 00:00:00,KSM/USD,140.73,144.42,125.8,127.49,36544.6815110982,286.64743518
1651622400000,2022-05-04 00:00:00,KSM/USD,127.93,142.93,127.27,140.3,37732.976804884005,268.94495228
1651536000000,2022-05-03 00:00:00,KSM/USD,130.85,134.84,126.23,127.59,15725.377560533101,123.24929509
1651449600000,2022-05-02 00:00:00,KSM/USD,132.6,135.49,126.44,130.93,25649.5689738727,195.90291739
1651363200000,2022-05-01 00:00:00,KSM/USD,131.79,137.03,128.92,132.55,26065.093426432504,196.64348115
1651276800000,2022-04-30 00:00:00,KSM/USD,145.33,149.07,126.32,131.58,36274.9488130584,275.68740548
1651190400000,2022-04-29 00:00:00,KSM/USD,158.05,159.44,145.14,145.22,31468.758649017003,216.69713985
1651104000000,2022-04-28 00:00:00,KSM/USD,157.97,161.37,154.84,157.95,28442.1918836835,180.07085713
1651017600000,2022-04-27 00:00:00,KSM/USD,154.84,163.48,154.84,158.28,28651.754288268003,181.0194231
1650931200000,2022-04-26 00:00:00,KSM/USD,164.55,166.56,152.67,154.97,47284.4681686359,305.12014047
1650844800000,2022-04-25 00:00:00,KSM/USD,159.5,164.41,149.35,164.41,34859.0694716496,212.02523856
1650758400000,2022-04-24 00:00:00,KSM/USD,162.45,163.62,157.45,159.5,12170.576715495,76.30455621
1650672000000,2022-04-23 00:00:00,KSM/USD,164.63,167.18,159.33,162.28,13757.799983308001,84.7781611
1650585600000,2022-04-22 00:00:00,KSM/USD,168.31,173.51,162.75,164.74,43006.0427439932,261.05404118
1650499200000,2022-04-21 00:00:00,KSM/USD,180.77,184.97,165.23,168.76,36794.9117523864,218.03100114
1650412800000,2022-04-20 00:00:00,KSM/USD,176.5,185.95,173.89,180.53,53210.2886027433,294.74485461
1650326400000,2022-04-19 00:00:00,KSM/USD,167.2,178.6,163.6,176.66,27082.688060137603,153.30401936
