https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUS
1639612800000,2021-12-16 00:00:00,EUS/USD,1.128,1.14,1.128,1.14,35093.2765435104,30783.57591536
1639526400000,2021-12-15 00:00:00,EUS/USD,1.1261,1.128,1.1261,1.128,11286.91036488,10006.12621
1639440000000,2021-12-14 00:00:00,EUS/USD,1.1261,1.1261,1.1261,1.1261,12.590841804612,11.18092692
1639353600000,2021-12-13 00:00:00,EUS/USD,1.126,1.1261,1.126,1.1261,2611.9463564273833,2319.46217603
1639180800000,2021-12-11 00:00:00,EUS/USD,1.128,1.128,1.128,1.128,11.28,10.0
1638835200000,2021-12-07 00:00:00,EUS/USD,1.128,1.128,1.126,1.126,17.243789402679997,15.31420018
1638748800000,2021-12-06 00:00:00,EUS/USD,1.126,1.126,1.126,1.126,1103.4799999999998,980.0
1638662400000,2021-12-05 00:00:00,EUS/USD,1.125,1.13,1.125,1.126,6079.740813161519,5399.41457652
1638576000000,2021-12-04 00:00:00,EUS/USD,1.128,1.128,1.125,1.125,5602.5,4980.0
1638489600000,2021-12-03 00:00:00,EUS/USD,1.13,1.132,1.128,1.128,3006.3472954742397,2665.20150308
1638403200000,2021-12-02 00:00:00,EUS/USD,1.128,1.14,1.128,1.128,73081.863579456,64788.886152
1638316800000,2021-12-01 00:00:00,EUS/USD,1.1116,1.126,1.1116,1.126,52.244464259619996,46.39828087
1638144000000,2021-11-29 00:00:00,EUS/USD,1.126,1.126,1.126,1.126,561.8739999999999,499.0
1638057600000,2021-11-28 00:00:00,EUS/USD,1.128,1.128,1.128,1.128,16.919999999999998,15.0
1637971200000,2021-11-27 00:00:00,EUS/USD,1.1176,1.128,1.1175,1.128,22707.029578555677,20130.34537106
1637884800000,2021-11-26 00:00:00,EUS/USD,1.1181,1.1181,1.1175,1.1175,5047.188749999999,4516.5
1637712000000,2021-11-24 00:00:00,EUS/USD,1.122,1.124,1.12,1.12,3594.756704,3209.6041999999998
1637625600000,2021-11-23 00:00:00,EUS/USD,1.1325,1.1325,1.1111,1.122,1475.93196225618,1315.44738169
1637539200000,2021-11-22 00:00:00,EUS/USD,1.1325,1.1325,1.1325,1.1325,16964.850000000002,14980.0
1637452800000,2021-11-21 00:00:00,EUS/USD,1.14,1.14,1.1325,1.1325,13759.875,12150.0
1637280000000,2021-11-19 00:00:00,EUS/USD,1.14,1.14,1.14,1.14,7086.1374,6215.91
1637193600000,2021-11-18 00:00:00,EUS/USD,1.144,1.144,1.14,1.14,740.5895999999999,649.64
1637020800000,2021-11-16 00:00:00,EUS/USD,1.1475,1.1475,1.144,1.144,8093.301681607999,7074.564407
1636934400000,2021-11-15 00:00:00,EUS/USD,1.1475,1.1475,1.1475,1.1475,2250.144225,1960.91
1636848000000,2021-11-14 00:00:00,EUS/USD,1.148,1.148,1.1475,1.1475,12385.713375000001,10793.650000000001
1636761600000,2021-11-13 00:00:00,EUS/USD,1.156,1.156,1.148,1.148,10319.372,8989.0
1636588800000,2021-11-11 00:00:00,EUS/USD,1.156,1.156,1.156,1.156,215.016,186.0
1636416000000,2021-11-09 00:00:00,EUS/USD,1.156,1.16,1.156,1.158,4869.86814652602,4205.41290719
1636329600000,2021-11-08 00:00:00,EUS/USD,1.15,1.156,1.15,1.156,9847.902369721158,8518.94668661
1636243200000,2021-11-07 00:00:00,EUS/USD,1.1475,1.1475,1.1475,1.1475,2295.5967,2000.52
1635984000000,2021-11-04 00:00:00,EUS/USD,1.148,1.148,1.1475,1.1475,114.52050000000001,99.80000000000001
1635897600000,2021-11-03 00:00:00,EUS/USD,1.148,1.148,1.148,1.148,9.280202399999999,8.0838
1635638400000,2021-10-31 00:00:00,EUS/USD,1.15,1.15,1.1475,1.1475,4110.8958,3582.48
1635465600000,2021-10-29 00:00:00,EUS/USD,1.152,1.155,1.15,1.15,8337.444783899999,7249.951986
1635120000000,2021-10-25 00:00:00,EUS/USD,1.15,1.15,1.15,1.15,172.5,150.0
1635033600000,2021-10-24 00:00:00,EUS/USD,1.16,1.16,1.1475,1.1475,30039.254999999997,26178.0
1634947200000,2021-10-23 00:00:00,EUS/USD,1.174,1.174,1.162,1.162,48757.52,41960.0
1634860800000,2021-10-22 00:00:00,EUS/USD,1.174,1.1775,1.174,1.1775,3850.425,3270.0
1634774400000,2021-10-21 00:00:00,EUS/USD,1.18,1.18,1.17,1.172,14727.056625528,12565.747974
1634688000000,2021-10-20 00:00:00,EUS/USD,1.178,1.182,1.178,1.182,4476.6553645962595,3787.35648443
1634342400000,2021-10-16 00:00:00,EUS/USD,1.1761,1.1761,1.1761,1.1761,166.7754879913,141.803833
1634169600000,2021-10-14 00:00:00,EUS/USD,1.172,1.172,1.168,1.168,24437.188934399997,20922.250799999998
1634083200000,2021-10-13 00:00:00,EUS/USD,1.166,1.261,1.166,1.261,53752.3298834804,42626.74851981
1633996800000,2021-10-12 00:00:00,EUS/USD,1.16,1.168,1.16,1.164,18337.387492286278,15753.769323269998
1633824000000,2021-10-10 00:00:00,EUS/USD,1.158,1.158,1.158,1.158,231.6,200.0
1633737600000,2021-10-09 00:00:00,EUS/USD,1.158,1.16,1.158,1.16,3988.7932614728,3438.6148805800003
1633651200000,2021-10-08 00:00:00,EUS/USD,1.156,1.156,1.156,1.156,5.576979811999999,4.824377
1633564800000,2021-10-07 00:00:00,EUS/USD,1.16,1.168,1.156,1.156,22909.14362784088,19817.59829398
1633478400000,2021-10-06 00:00:00,EUS/USD,1.16,1.16,1.158,1.158,3453.20232,2982.04
1633219200000,2021-10-03 00:00:00,EUS/USD,1.164,1.168,1.16,1.16,21138.589820950398,18222.922259439998
1633132800000,2021-10-02 00:00:00,EUS/USD,1.1625,1.1625,1.1625,1.1625,11858.220750000002,10200.62
1633046400000,2021-10-01 00:00:00,EUS/USD,1.1625,1.1625,1.1625,1.1625,5.8125,5.0
1632960000000,2021-09-30 00:00:00,EUS/USD,1.164,1.164,1.1625,1.1625,1187.737875,1021.71
1632787200000,2021-09-28 00:00:00,EUS/USD,1.165,1.165,1.165,1.165,1199.9999994700001,1030.042918
1632441600000,2021-09-24 00:00:00,EUS/USD,1.166,1.168,1.164,1.164,2735.3999999999996,2350.0
1632355200000,2021-09-23 00:00:00,EUS/USD,1.166,1.166,1.164,1.164,4061.196,3489.0
1632268800000,2021-09-22 00:00:00,EUS/USD,1.168,1.168,1.166,1.166,165.406428,141.858
1632182400000,2021-09-21 00:00:00,EUS/USD,1.15,1.168,1.14,1.168,12516.294865165279,10716.00587771
1632096000000,2021-09-20 00:00:00,EUS/USD,1.166,1.166,1.166,1.166,1008.39417320334,864.83205249
1631836800000,2021-09-17 00:00:00,EUS/USD,1.174,1.174,1.168,1.168,25065.28,21460.0
