https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1654473600000,2022-06-06 00:00:00,MKR/USD,1177.2,1233.8,1177.2,1213.7,25987.347192401,21.41167273
1654387200000,2022-06-05 00:00:00,MKR/USD,1174.5,1205.7,1147.7,1180.5,11843.85854211,10.03291702
1654300800000,2022-06-04 00:00:00,MKR/USD,1148.0,1193.4,1121.0,1173.1,35173.209322029,29.98312959
1654214400000,2022-06-03 00:00:00,MKR/USD,1207.3,1211.2,1124.0,1143.2,18368.638573176,16.06773843
1654128000000,2022-06-02 00:00:00,MKR/USD,1208.7,1236.7,1173.6,1203.7,19658.934494118,16.33208814
1654041600000,2022-06-01 00:00:00,MKR/USD,1322.2,1335.9,1171.3,1208.3,38312.563122966996,31.70782349
1653955200000,2022-05-31 00:00:00,MKR/USD,1372.8,1380.0,1296.2,1321.6,116916.06962448,88.46554905
1653868800000,2022-05-30 00:00:00,MKR/USD,1195.9,1381.4,1188.1,1369.6,131095.542137344,95.71812364
1653782400000,2022-05-29 00:00:00,MKR/USD,1213.8,1224.8,1171.2,1194.8,35903.394953708,30.04971121
1653696000000,2022-05-28 00:00:00,MKR/USD,1118.6,1235.4,1112.2,1212.6,56546.24846415,46.63223525
1653609600000,2022-05-27 00:00:00,MKR/USD,1148.8,1207.4,1100.8,1116.5,30268.030459974998,27.10974515
1653523200000,2022-05-26 00:00:00,MKR/USD,1262.0,1289.8,1122.5,1150.2,63045.61136262,54.8127381
1653436800000,2022-05-25 00:00:00,MKR/USD,1291.8,1320.1,1251.5,1260.3,29092.819329885,23.08404295
1653350400000,2022-05-24 00:00:00,MKR/USD,1302.2,1325.8,1241.2,1294.3,57716.06380638699,44.59249309
1653264000000,2022-05-23 00:00:00,MKR/USD,1433.4,1449.3,1290.6,1303.4,56366.824095904005,43.24599056
1653177600000,2022-05-22 00:00:00,MKR/USD,1399.6,1437.7,1383.6,1434.9,9831.492994290002,6.8516921
1653091200000,2022-05-21 00:00:00,MKR/USD,1393.0,1427.6,1361.1,1397.8,9244.919875544,6.61390748
1653004800000,2022-05-20 00:00:00,MKR/USD,1432.7,1465.8,1369.2,1395.7,25654.458352225,18.38106925
1652918400000,2022-05-19 00:00:00,MKR/USD,1433.2,1455.5,1374.4,1436.0,62970.34123616,43.85121256
1652832000000,2022-05-18 00:00:00,MKR/USD,1574.9,1600.1,1418.5,1433.9,58496.2215071,40.795189
1652745600000,2022-05-17 00:00:00,MKR/USD,1528.2,1698.0,1488.1,1579.8,500096.303949492,316.55671854
1652659200000,2022-05-16 00:00:00,MKR/USD,1573.6,1595.8,1453.9,1529.7,123392.86521446101,80.66474813
1652572800000,2022-05-15 00:00:00,MKR/USD,1571.6,1653.2,1467.7,1574.8,258737.67861809596,164.29875452
1652486400000,2022-05-14 00:00:00,MKR/USD,1387.4,1626.6,1365.8,1566.4,302935.901679664,193.39626001
1652400000000,2022-05-13 00:00:00,MKR/USD,1341.2,1762.0,1333.8,1386.9,272791.902619071,196.69183259
1652313600000,2022-05-12 00:00:00,MKR/USD,1126.8,1363.4,968.58,1340.9,584804.57263272,436.1284008
1652227200000,2022-05-11 00:00:00,MKR/USD,1223.7,2270.8,1086.8,1125.4,1164446.90552214,1034.6960241
1652140800000,2022-05-10 00:00:00,MKR/USD,1054.3,1256.3,1024.5,1225.2,443429.939375352,361.92453426
1652054400000,2022-05-09 00:00:00,MKR/USD,1195.1,1218.2,1030.7,1044.4,421725.40858358407,403.79682936
