https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1649894400000,2022-04-14 00:00:00,BAL/USD,15.714,16.037,14.797,15.341,28996.6447431665,1890.1404565
1649808000000,2022-04-13 00:00:00,BAL/USD,15.113,15.924,14.69,15.742,46500.762337017,2953.9297635
1649721600000,2022-04-12 00:00:00,BAL/USD,15.1,15.857,14.464,15.109,44156.67776163951,2922.54138339
1649635200000,2022-04-11 00:00:00,BAL/USD,17.003,17.473,14.805,15.115,85304.12127456705,5643.67325667
1649548800000,2022-04-10 00:00:00,BAL/USD,18.33,18.33,16.964,16.964,41001.994369473075,2417.00037547
1649462400000,2022-04-09 00:00:00,BAL/USD,20.231,21.368,18.185,18.416,225269.29200889423,12232.25955739
1649376000000,2022-04-08 00:00:00,BAL/USD,19.441,21.807,19.441,20.263,248074.73588669716,12242.74470151
1649289600000,2022-04-07 00:00:00,BAL/USD,19.119,19.918,17.312,19.407,216272.39162632576,11144.04037854
1649203200000,2022-04-06 00:00:00,BAL/USD,16.426,19.735,15.219,19.142,343773.1456178566,17959.10279061
1649116800000,2022-04-05 00:00:00,BAL/USD,16.1,17.248,15.977,16.446,110202.5522400048,6700.8726888
1649030400000,2022-04-04 00:00:00,BAL/USD,16.188,16.489,15.314,16.07,90390.0675484117,5624.77084931
1648944000000,2022-04-03 00:00:00,BAL/USD,15.517,16.394,15.298,16.188,42258.86172002004,2610.50541883
1648857600000,2022-04-02 00:00:00,BAL/USD,16.356,16.66,15.466,15.484,59873.80132395424,3866.81744536
1648771200000,2022-04-01 00:00:00,BAL/USD,15.628,16.428,15.017,16.355,116711.89330150196,7136.15978609
1648684800000,2022-03-31 00:00:00,BAL/USD,16.536,16.675,15.282,15.592,195302.2074501604,12525.79575745
1648598400000,2022-03-30 00:00:00,BAL/USD,14.586,17.502,14.183,16.619,225958.5005487893,13596.3957247
1648512000000,2022-03-29 00:00:00,BAL/USD,13.804,15.203,13.804,14.623,98258.09471444547,6719.42109789
1648425600000,2022-03-28 00:00:00,BAL/USD,13.935,14.578,13.668,13.826,103921.29152142002,7516.36709977
1648339200000,2022-03-27 00:00:00,BAL/USD,12.88,14.094,12.878,13.962,170345.76051001158,12200.67042759
1648252800000,2022-03-26 00:00:00,BAL/USD,12.587,12.9,12.522,12.86,40096.8151728506,3117.94830271
1648166400000,2022-03-25 00:00:00,BAL/USD,12.902,13.229,12.492,12.572,59531.71094691883,4735.26176797
1648080000000,2022-03-24 00:00:00,BAL/USD,12.799,13.103,12.619,12.868,39064.218640403924,3035.76458194
1647993600000,2022-03-23 00:00:00,BAL/USD,11.953,12.818,11.75,12.818,100697.38650822343,7855.93591108
1647907200000,2022-03-22 00:00:00,BAL/USD,11.94,12.422,11.827,11.953,16167.81161335353,1352.61537801
1647820800000,2022-03-21 00:00:00,BAL/USD,11.763,12.27,11.602,11.958,45321.83903768106,3790.08521807
1647734400000,2022-03-20 00:00:00,BAL/USD,12.46,12.515,11.561,11.744,29418.66604818144,2504.99540601
1647648000000,2022-03-19 00:00:00,BAL/USD,11.881,12.829,11.832,12.443,97488.94939901574,7834.84283525
1647561600000,2022-03-18 00:00:00,BAL/USD,11.455,11.963,11.235,11.866,48096.12797895297,4053.2722045299997
1647475200000,2022-03-17 00:00:00,BAL/USD,11.523,11.715,11.377,11.46,6380.6401926432,556.77488592
1647388800000,2022-03-16 00:00:00,BAL/USD,11.181,11.69,10.996,11.531,38338.03856617319,3324.78003349
1647302400000,2022-03-15 00:00:00,BAL/USD,11.043,11.273,10.698,11.178,7836.943171357982,701.10423791
1647216000000,2022-03-14 00:00:00,BAL/USD,10.564,11.052,10.499,11.03,5002.046234365999,453.49467219999997
1647129600000,2022-03-13 00:00:00,BAL/USD,10.831,11.053,10.513,10.584,6285.64801113648,593.88208722
1647043200000,2022-03-12 00:00:00,BAL/USD,10.923,11.138,10.851,10.851,6447.442235741851,594.17954435
1646956800000,2022-03-11 00:00:00,BAL/USD,11.329,11.572,10.924,10.933,17906.29970777323,1637.8212483099999
1646870400000,2022-03-10 00:00:00,BAL/USD,11.932,11.978,10.926,11.336,17975.7757132876,1585.72474535
1646784000000,2022-03-09 00:00:00,BAL/USD,11.374,12.282,11.348,11.958,16604.59306263336,1388.57610492
1646697600000,2022-03-08 00:00:00,BAL/USD,11.034,11.605,10.98,11.359,14553.622471116001,1281.241524
1646611200000,2022-03-07 00:00:00,BAL/USD,11.163,11.601,10.774,11.026,12314.934045002581,1116.89951433
1646524800000,2022-03-06 00:00:00,BAL/USD,11.693,11.809,11.129,11.132,17695.82854934312,1589.63605366
1646438400000,2022-03-05 00:00:00,BAL/USD,11.332,11.782,11.177,11.693,1334.8449905579798,114.15761486
1646352000000,2022-03-04 00:00:00,BAL/USD,12.385,12.41,11.286,11.373,9944.41759716099,874.38825263
1646265600000,2022-03-03 00:00:00,BAL/USD,13.035,13.155,12.284,12.386,5398.566107947539,435.86033489
1646179200000,2022-03-02 00:00:00,BAL/USD,13.294,13.434,12.915,13.046,9793.067770811158,750.6567354599999
1646092800000,2022-03-01 00:00:00,BAL/USD,13.097,13.757,12.967,13.323,6311.75829258312,473.74902744
1646006400000,2022-02-28 00:00:00,BAL/USD,11.611,13.116,11.323,13.116,21676.40790956664,1652.66909954
1645920000000,2022-02-27 00:00:00,BAL/USD,12.339,12.656,11.524,11.629,35492.08851692802,3052.03272138
1645833600000,2022-02-26 00:00:00,BAL/USD,12.335,12.708,12.185,12.403,6416.61282968243,517.34361281
1645747200000,2022-02-25 00:00:00,BAL/USD,11.912,12.511,11.593,12.331,13365.459108017169,1083.89093407
1645660800000,2022-02-24 00:00:00,BAL/USD,11.848,12.12,10.54,11.886,24291.864412326,2043.737541
1645574400000,2022-02-23 00:00:00,BAL/USD,12.479,12.903,11.853,11.853,20978.88165158607,1769.92167819
1645488000000,2022-02-22 00:00:00,BAL/USD,11.822,12.613,11.606,12.498,15213.716949754558,1217.29212272
1645401600000,2022-02-21 00:00:00,BAL/USD,12.509,13.165,11.79,11.79,40722.292265184,3453.9688096
1645315200000,2022-02-20 00:00:00,BAL/USD,13.08,13.08,12.351,12.49,25341.808500082097,2028.9678542899999
1645228800000,2022-02-19 00:00:00,BAL/USD,13.087,13.352,12.76,13.099,8461.80274204829,645.98845271
1645142400000,2022-02-18 00:00:00,BAL/USD,13.612,14.037,13.073,13.116,35731.81481556504,2724.29207194
