https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BNT
1652400000000,2022-05-13 00:00:00,BNT/USD,1.3779,1.4938,1.3668,1.4256,1623.687832529136,1138.9504998099999
1652313600000,2022-05-12 00:00:00,BNT/USD,1.4401,1.4469,1.2469,1.3301,2578.795411573818,1938.79814418
1652227200000,2022-05-11 00:00:00,BNT/USD,1.6477,1.7255,1.3751,1.4141,2678.501342164556,1894.1385631599999
1652140800000,2022-05-10 00:00:00,BNT/USD,1.5706,1.7202,1.5522,1.5883,1666.478465534134,1049.22147298
1652054400000,2022-05-09 00:00:00,BNT/USD,1.7808,1.7884,1.5522,1.5872,3877.148742201856,2442.76004423
1651968000000,2022-05-08 00:00:00,BNT/USD,1.8613,1.8613,1.7987,1.7987,856.290099269684,476.06054332
1651881600000,2022-05-07 00:00:00,BNT/USD,1.92,1.9264,1.8421,1.8421,585.421804590441,317.80131621
1651795200000,2022-05-06 00:00:00,BNT/USD,1.944,1.9446,1.9015,1.9203,144.285028072803,75.13671201
1651708800000,2022-05-05 00:00:00,BNT/USD,2.1142,2.1156,1.9134,1.9134,2282.237057036898,1192.76526447
1651622400000,2022-05-04 00:00:00,BNT/USD,1.9774,2.1133,1.9774,2.1103,717.865504113102,340.17225234
1651536000000,2022-05-03 00:00:00,BNT/USD,1.9992,2.1736,1.9626,1.9755,622.9431606965401,315.33442708
1651449600000,2022-05-02 00:00:00,BNT/USD,2.014,2.0967,1.7699,2.0104,33969.39343126404,16896.83318308
1651363200000,2022-05-01 00:00:00,BNT/USD,1.9778,2.0327,1.9659,2.0126,16765.39407567728,8330.2166728
1651276800000,2022-04-30 00:00:00,BNT/USD,2.067,2.0784,1.952,1.9757,1220.335283548672,617.67236096
1651190400000,2022-04-29 00:00:00,BNT/USD,2.1542,2.201,2.0474,2.0687,1558.296262820083,753.2731970899999
1651104000000,2022-04-28 00:00:00,BNT/USD,2.124,2.2685,2.1205,2.201,5852.07393496196,2658.82504996
1651017600000,2022-04-27 00:00:00,BNT/USD,2.0211,2.1655,2.0211,2.1139,1493.499770943115,706.51391785
1650931200000,2022-04-26 00:00:00,BNT/USD,2.2138,2.2482,2.0826,2.1085,2837.152982516455,1345.57883923
1650844800000,2022-04-25 00:00:00,BNT/USD,2.1728,2.2968,2.0817,2.221,14822.962541810532,6674.00384593
1650758400000,2022-04-24 00:00:00,BNT/USD,2.1952,2.2166,2.1811,2.1989,580.176268858945,263.84841005
1650672000000,2022-04-23 00:00:00,BNT/USD,2.2134,2.2243,2.2115,2.2161,851.788724128986,384.36384826
1650585600000,2022-04-22 00:00:00,BNT/USD,2.2283,2.2608,2.2013,2.2206,698.2875481672261,314.45895171
1650499200000,2022-04-21 00:00:00,BNT/USD,2.297,2.347,2.1992,2.2295,682.35828548979,306.05888562
1650412800000,2022-04-20 00:00:00,BNT/USD,2.2802,2.3352,2.2679,2.2874,1061.951082398534,464.26120591
1650326400000,2022-04-19 00:00:00,BNT/USD,2.3009,2.3215,2.2485,2.3013,703.5971892821459,305.73901242
1650240000000,2022-04-18 00:00:00,BNT/USD,2.2293,2.4106,2.2,2.2919,8947.59048597856,3904.0056224
1650153600000,2022-04-17 00:00:00,BNT/USD,2.2783,2.315,2.267,2.2734,884.5717790396161,389.09641024
1650067200000,2022-04-16 00:00:00,BNT/USD,2.2988,2.3195,2.2554,2.2894,5490.8151322652,2398.364258
