https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1648080000000,2022-03-24 00:00:00,UNI/USD,9.9964,10.785,9.968,10.774,613889.354598758,56978.77803961
1647993600000,2022-03-23 00:00:00,UNI/USD,9.753,10.245,9.6542,10.007,414942.52242288576,41465.22658368
1647907200000,2022-03-22 00:00:00,UNI/USD,9.3459,10.148,9.2739,9.7502,585473.4133104542,60047.32347136
1647820800000,2022-03-21 00:00:00,UNI/USD,9.3101,9.615,9.1793,9.342,389456.30719164584,41688.75050221
1647734400000,2022-03-20 00:00:00,UNI/USD,9.73,9.7838,9.143,9.325,290288.31825269724,31130.11455793
1647648000000,2022-03-19 00:00:00,UNI/USD,9.6446,9.9514,9.5587,9.734,1027382.5556009888,105545.77312523
1647561600000,2022-03-18 00:00:00,UNI/USD,9.2215,9.766,9.0139,9.6324,484149.1279624663,50262.56467365
1647475200000,2022-03-17 00:00:00,UNI/USD,9.115,9.4045,9.0319,9.231,349266.67149194726,37836.27683804
1647388800000,2022-03-16 00:00:00,UNI/USD,8.723,9.2357,8.5452,9.105,448326.74426544644,49239.62045749
1647302400000,2022-03-15 00:00:00,UNI/USD,8.509,8.7942,8.152,8.723,752616.7099273524,86279.57238649
1647216000000,2022-03-14 00:00:00,UNI/USD,8.1876,8.585,8.109,8.4965,523127.65600390494,61569.78238144
1647129600000,2022-03-13 00:00:00,UNI/USD,8.4701,8.7441,8.1279,8.1989,585410.888712535,71401.14999726
1647043200000,2022-03-12 00:00:00,UNI/USD,8.502,8.871,8.4505,8.4601,175588.9215390711,20754.94634095
1646956800000,2022-03-11 00:00:00,UNI/USD,8.677,9.0522,8.3729,8.5149,526246.9317181753,61803.06659129
1646870400000,2022-03-10 00:00:00,UNI/USD,9.2171,9.292,8.516,8.682,346036.35026194656,39856.755386079996
1646784000000,2022-03-09 00:00:00,UNI/USD,8.8165,9.4581,8.754,9.2103,343073.7626567638,37248.92377629
1646697600000,2022-03-08 00:00:00,UNI/USD,8.303,8.8739,8.2491,8.8249,371205.1151527349,42063.37920574
1646611200000,2022-03-07 00:00:00,UNI/USD,8.482,8.7922,8.1172,8.318,667656.2349014151,80266.43843489
1646524800000,2022-03-06 00:00:00,UNI/USD,9.0124,9.079,8.453,8.4706,556510.5635545846,65699.07250426
1646438400000,2022-03-05 00:00:00,UNI/USD,8.8172,9.1478,8.6961,9.0243,292862.6107848593,32452.66788392
1646352000000,2022-03-04 00:00:00,UNI/USD,9.5539,9.5759,8.6633,8.8013,193983.22082275714,22040.29186856
1646265600000,2022-03-03 00:00:00,UNI/USD,10.035,10.121,9.4363,9.5588,229057.7571615594,23963.0243505
