https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OXY
1646611200000,2022-03-07 00:00:00,OXY/USD,0.32358,0.32358,0.29315,0.29748,16069.812121021494,54019.80678036
1646524800000,2022-03-06 00:00:00,OXY/USD,0.3323,0.3349,0.3232,0.32365,13964.186362811964,43145.9489041
1646438400000,2022-03-05 00:00:00,OXY/USD,0.34887,0.35365,0.33029,0.33249,4595.644648339295,13821.90336052
1646352000000,2022-03-04 00:00:00,OXY/USD,0.36803,0.36828,0.34421,0.34895,7139.444180018296,20459.79131686
1646265600000,2022-03-03 00:00:00,OXY/USD,0.36726,0.37851,0.36222,0.36628,11065.674395447573,30210.97082955
1646179200000,2022-03-02 00:00:00,OXY/USD,0.3911,0.39448,0.36054,0.36726,5779.3330658201785,15736.35317165
1646092800000,2022-03-01 00:00:00,OXY/USD,0.37427,0.40353,0.37427,0.39099,10292.127358159845,26323.24959247
1646006400000,2022-02-28 00:00:00,OXY/USD,0.35243,0.37782,0.32363,0.37391,8853.283616974004,23677.57914197
1645920000000,2022-02-27 00:00:00,OXY/USD,0.38289,0.38503,0.34998,0.35265,1148.9355539445269,3258.0052571799997
1645833600000,2022-02-26 00:00:00,OXY/USD,0.41062,0.41834,0.37693,0.38318,4047.8320150658533,10563.78729335
1645747200000,2022-02-25 00:00:00,OXY/USD,0.39305,0.41584,0.39245,0.40839,6097.151216930027,14929.72701812
1645660800000,2022-02-24 00:00:00,OXY/USD,0.40726,0.41042,0.35675,0.39536,13743.926150083416,34763.06695185
1645574400000,2022-02-23 00:00:00,OXY/USD,0.43665,0.45174,0.4073,0.40957,6440.465050730586,15724.94335701
1645488000000,2022-02-22 00:00:00,OXY/USD,0.43577,0.43848,0.42011,0.43819,9028.468437597268,20604.00382847
1645401600000,2022-02-21 00:00:00,OXY/USD,0.435,0.4899,0.43438,0.4365,11450.502735378435,26232.537767190002
1645315200000,2022-02-20 00:00:00,OXY/USD,0.48621,0.48786,0.43245,0.43499,6141.525947541863,14118.77502366
1645228800000,2022-02-19 00:00:00,OXY/USD,0.49829,0.50475,0.47084,0.4852,4420.778423139469,9111.24984159
1645142400000,2022-02-18 00:00:00,OXY/USD,0.53569,0.54704,0.4968,0.49892,4063.4689723997294,8144.5301298800005
1645056000000,2022-02-17 00:00:00,OXY/USD,0.58085,0.58632,0.53326,0.5368,5818.784397824905,10839.76229103
1644969600000,2022-02-16 00:00:00,OXY/USD,0.5991,0.59992,0.56877,0.58084,2016.5767693346913,3471.82833368
1644883200000,2022-02-15 00:00:00,OXY/USD,0.56792,0.60025,0.56549,0.59985,2030.0263496482141,3384.22330524
1644796800000,2022-02-14 00:00:00,OXY/USD,0.53868,0.56931,0.53378,0.56733,3556.4863643977083,6268.8142076
1644710400000,2022-02-13 00:00:00,OXY/USD,0.54351,0.56317,0.52983,0.53931,3689.0724025521185,6840.35601519
1644624000000,2022-02-12 00:00:00,OXY/USD,0.58834,0.60378,0.53797,0.54364,15393.78715350765,28316.14147875
1644537600000,2022-02-11 00:00:00,OXY/USD,0.72857,0.73432,0.57844,0.58659,18697.033613919157,31874.10902661
1644451200000,2022-02-10 00:00:00,OXY/USD,0.70015,0.81504,0.68488,0.72885,29720.249675423303,40776.90838365
1644364800000,2022-02-09 00:00:00,OXY/USD,0.66182,0.70061,0.65101,0.70026,2608.1371106242186,3724.52676238
1644278400000,2022-02-08 00:00:00,OXY/USD,0.69013,0.7203,0.64999,0.66158,5256.9854897409905,7946.10703126
1644192000000,2022-02-07 00:00:00,OXY/USD,0.69767,0.71102,0.68045,0.68866,27890.330673529763,40499.42013988
1644105600000,2022-02-06 00:00:00,OXY/USD,0.72881,0.73294,0.67456,0.69658,4314.29244769733,6193.53476657
