https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume YFI
1654041600000,2022-06-01 00:00:00,YFI/USD,8073.1,8203.3,7328.0,7527.2,119072.89234252,15.81901535
1653955200000,2022-05-31 00:00:00,YFI/USD,8369.6,8527.0,7874.6,8067.1,98218.848191033,12.17523623
1653868800000,2022-05-30 00:00:00,YFI/USD,7460.6,8467.9,7385.7,8383.7,117630.114456387,14.03081151
1653782400000,2022-05-29 00:00:00,YFI/USD,7636.3,7666.7,7371.8,7446.2,45981.968287972,6.17522606
1653696000000,2022-05-28 00:00:00,YFI/USD,7379.8,7730.2,7340.5,7645.9,63814.033730333,8.34617687
1653609600000,2022-05-27 00:00:00,YFI/USD,7763.8,8006.0,7334.3,7359.3,207084.812057838,28.13919966
1653523200000,2022-05-26 00:00:00,YFI/USD,8460.4,8895.0,7670.5,7744.4,224347.22280750397,28.96896116
1653436800000,2022-05-25 00:00:00,YFI/USD,9085.1,10283.0,7831.0,8474.5,682856.330085175,80.57777215
1653350400000,2022-05-24 00:00:00,YFI/USD,8944.4,9314.6,8765.9,9098.9,137655.46716351298,15.12880317
1653264000000,2022-05-23 00:00:00,YFI/USD,9466.1,9804.7,8864.5,8939.6,100468.01597862,11.23853595
1653177600000,2022-05-22 00:00:00,YFI/USD,9294.5,9688.2,9128.9,9496.1,98668.15399070001,10.390387
1653091200000,2022-05-21 00:00:00,YFI/USD,9140.7,9422.8,8911.7,9266.8,98870.270815356,10.66930017
1653004800000,2022-05-20 00:00:00,YFI/USD,9534.9,9902.7,9010.8,9157.0,64189.45824863,7.00987859
1652918400000,2022-05-19 00:00:00,YFI/USD,9097.6,9767.0,8888.0,9518.5,174464.783437765,18.32902069
1652832000000,2022-05-18 00:00:00,YFI/USD,9996.3,10249.0,9065.0,9065.0,175567.10916465,19.36757961
1652745600000,2022-05-17 00:00:00,YFI/USD,9755.9,10511.0,9669.1,10006.0,244101.75793082002,24.39553847
1652659200000,2022-05-16 00:00:00,YFI/USD,10580.0,10580.0,9641.2,9743.0,202858.37642766998,20.82093569
1652572800000,2022-05-15 00:00:00,YFI/USD,10236.0,10673.0,9821.2,10602.0,159628.07090628,15.05641114
1652486400000,2022-05-14 00:00:00,YFI/USD,9966.2,10378.0,9554.0,10239.0,132027.59489295,12.89457905
1652400000000,2022-05-13 00:00:00,YFI/USD,9915.3,11143.0,9731.1,9952.8,146787.18569143198,14.74833069
1652313600000,2022-05-12 00:00:00,YFI/USD,11331.0,12017.0,9468.5,9912.6,820060.5354417181,82.72910593
1652227200000,2022-05-11 00:00:00,YFI/USD,13711.0,14815.0,11243.0,11365.0,759959.952434,66.8684516
1652140800000,2022-05-10 00:00:00,YFI/USD,12508.0,14783.0,12244.0,13728.0,446824.75959264004,32.54842363
1652054400000,2022-05-09 00:00:00,YFI/USD,15634.0,15805.0,12363.0,12363.0,532778.04268377,43.09455979
1651968000000,2022-05-08 00:00:00,YFI/USD,16440.0,16486.0,15482.0,15609.0,110324.3308332,7.0679948
1651881600000,2022-05-07 00:00:00,YFI/USD,16749.0,16944.0,16157.0,16385.0,44897.9125461,2.74018386
1651795200000,2022-05-06 00:00:00,YFI/USD,16834.0,17274.0,16452.0,16743.0,85925.16406817999,5.13200526
1651708800000,2022-05-05 00:00:00,YFI/USD,18364.0,18457.0,16543.0,16863.0,123629.39971766999,7.33140009
1651622400000,2022-05-04 00:00:00,YFI/USD,17460.0,18533.0,17326.0,18336.0,284714.59709279996,15.52762855
1651536000000,2022-05-03 00:00:00,YFI/USD,17144.0,17841.0,17067.0,17490.0,117356.1308865,6.70989885
1651449600000,2022-05-02 00:00:00,YFI/USD,17040.0,17387.0,16646.0,17147.0,78863.75847973999,4.5992744199999995
1651363200000,2022-05-01 00:00:00,YFI/USD,16644.0,17411.0,16351.0,17069.0,167931.41780298,9.838386419999999
1651276800000,2022-04-30 00:00:00,YFI/USD,16964.0,17238.0,15845.0,16656.0,482178.4839768,28.94923655
1651190400000,2022-04-29 00:00:00,YFI/USD,17905.0,18118.0,16380.0,16941.0,200595.29502744,11.84081784
1651104000000,2022-04-28 00:00:00,YFI/USD,17731.0,18234.0,17640.0,17884.0,105583.28950927999,5.90378492
1651017600000,2022-04-27 00:00:00,YFI/USD,17482.0,17978.0,17341.0,17743.0,161751.51958955,9.11635685
1650931200000,2022-04-26 00:00:00,YFI/USD,18719.0,19117.0,17260.0,17491.0,173046.58896878,9.89346458
1650844800000,2022-04-25 00:00:00,YFI/USD,18262.0,18759.0,17502.0,18710.0,225815.8791101,12.06926131
1650758400000,2022-04-24 00:00:00,YFI/USD,18364.0,18838.0,18262.0,18262.0,72768.22177712001,3.98467976
1650672000000,2022-04-23 00:00:00,YFI/USD,18673.0,18764.0,18271.0,18350.0,75979.46739050001,4.14057043
1650585600000,2022-04-22 00:00:00,YFI/USD,18780.0,19146.0,18469.0,18680.0,103328.605866,5.53150995
1650499200000,2022-04-21 00:00:00,YFI/USD,19167.0,20270.0,18606.0,18802.0,205287.41968014,10.91838207
1650412800000,2022-04-20 00:00:00,YFI/USD,19421.0,19478.0,18880.0,19176.0,94890.78801456,4.94841406
1650326400000,2022-04-19 00:00:00,YFI/USD,19148.0,19593.0,18898.0,19443.0,55722.03997983,2.86591781
1650240000000,2022-04-18 00:00:00,YFI/USD,18721.0,19175.0,18008.0,19132.0,128279.66855928,6.70497954
1650153600000,2022-04-17 00:00:00,YFI/USD,19121.0,19421.0,18573.0,18736.0,109714.5573344,5.8558154
1650067200000,2022-04-16 00:00:00,YFI/USD,19127.0,19359.0,18785.0,19114.0,83391.25896354,4.3628366100000004
1649980800000,2022-04-15 00:00:00,YFI/USD,18848.0,19294.0,18770.0,19111.0,100045.01115291,5.23494381
