https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DGB
1651881600000,2022-05-07 00:00:00,DGB/USD,0.018698,0.018721,0.017,0.017516,1492.8245616926963,85226.33944352
1651795200000,2022-05-06 00:00:00,DGB/USD,0.018614,0.018886,0.017253,0.01867,1053.2199915145397,56412.425897940004
1651708800000,2022-05-05 00:00:00,DGB/USD,0.021298,0.021509,0.018101,0.018629,4218.703372492564,226458.92814926
1651622400000,2022-05-04 00:00:00,DGB/USD,0.019105,0.021234,0.018938,0.021234,8736.09206549477,411419.98989803
1651536000000,2022-05-03 00:00:00,DGB/USD,0.018967,0.019889,0.018415,0.018943,6361.509827705715,335823.77805552
1651449600000,2022-05-02 00:00:00,DGB/USD,0.019466,0.019867,0.018259,0.018982,6199.747446844282,326611.91902035
1651363200000,2022-05-01 00:00:00,DGB/USD,0.018424,0.019816,0.01823,0.019422,6305.765689826129,324671.28461673
1651276800000,2022-04-30 00:00:00,DGB/USD,0.020243,0.021103,0.01789,0.018444,6060.5644368632275,328592.73676335
1651190400000,2022-04-29 00:00:00,DGB/USD,0.021449,0.021818,0.019748,0.020248,4506.796176221995,222579.81905482
1651104000000,2022-04-28 00:00:00,DGB/USD,0.022187,0.022968,0.021281,0.021571,1339.5270078631747,62098.51225549
1651017600000,2022-04-27 00:00:00,DGB/USD,0.021232,0.022436,0.021078,0.022229,4468.769484618723,201033.31164779
1650931200000,2022-04-26 00:00:00,DGB/USD,0.023764,0.02416,0.021039,0.021351,1488.782391487573,69728.93033055
1650844800000,2022-04-25 00:00:00,DGB/USD,0.02331,0.023893,0.021541,0.023827,3773.7825974035227,158382.61625062
1650758400000,2022-04-24 00:00:00,DGB/USD,0.023758,0.024505,0.023192,0.023235,1057.9336873988505,45531.8996083
1650672000000,2022-04-23 00:00:00,DGB/USD,0.024462,0.024888,0.023631,0.023828,1045.882401488767,43892.99989461
1650585600000,2022-04-22 00:00:00,DGB/USD,0.024479,0.02582,0.024207,0.024486,1285.4886832931913,52498.92523455
1650499200000,2022-04-21 00:00:00,DGB/USD,0.026164,0.027164,0.024,0.024432,3762.5231112491524,153999.79990378
1650412800000,2022-04-20 00:00:00,DGB/USD,0.025586,0.027096,0.025106,0.026342,4606.513834481169,174873.35185184
1650326400000,2022-04-19 00:00:00,DGB/USD,0.024602,0.025923,0.024172,0.025772,1700.2661628567942,65973.38828406
1650240000000,2022-04-18 00:00:00,DGB/USD,0.023214,0.02481,0.022241,0.024592,3264.8233167049852,132759.56883153
