https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1654992000000,2022-06-12 00:00:00,WAX/USD,0.10201,0.10201,0.09111,0.09111,1672.29331376817,18354.662647
1654905600000,2022-06-11 00:00:00,WAX/USD,0.11,0.11,0.10202,0.10202,61.212,600.0
1654819200000,2022-06-10 00:00:00,WAX/USD,0.12275,0.12275,0.10775,0.12073,807.0313645155767,6684.59674079
1654732800000,2022-06-09 00:00:00,WAX/USD,0.1248,0.1248,0.12275,0.12275,245.416261916455,1999.31781602
1654646400000,2022-06-08 00:00:00,WAX/USD,0.12771,0.12814,0.1248,0.1248,523.0430846459519,4191.0503577399995
1654560000000,2022-06-07 00:00:00,WAX/USD,0.13198,0.13198,0.12275,0.12899,1437.1995567602194,11141.94555206
1654473600000,2022-06-06 00:00:00,WAX/USD,0.13113,0.13641,0.13113,0.1333,573.6723961841301,4303.6188761
1654387200000,2022-06-05 00:00:00,WAX/USD,0.12984,0.13113,0.12439,0.13113,888.7306272526746,6777.4775204200005
1654300800000,2022-06-04 00:00:00,WAX/USD,0.13112,0.132,0.12771,0.12984,619.4136414413761,4770.5918164
1654214400000,2022-06-03 00:00:00,WAX/USD,0.13552,0.14192,0.12236,0.13243,4392.203756202763,33166.22937554
1654128000000,2022-06-02 00:00:00,WAX/USD,0.12195,0.16192,0.12195,0.13552,11303.453126445973,83408.00713139
1654041600000,2022-06-01 00:00:00,WAX/USD,0.12317,0.12941,0.11645,0.11645,1458.875974243,12527.91734
1653955200000,2022-05-31 00:00:00,WAX/USD,0.12236,0.15703,0.11646,0.12195,3328.8526057178838,27296.86433553
1653868800000,2022-05-30 00:00:00,WAX/USD,0.11722,0.12236,0.11722,0.12236,700.1972124296799,5722.435538
1653782400000,2022-05-29 00:00:00,WAX/USD,0.1049,0.11722,0.09888,0.11722,534.5576647559662,4560.29401771
1653696000000,2022-05-28 00:00:00,WAX/USD,0.12277,0.12317,0.10171,0.10171,411.68810064895166,4047.66591927
1653609600000,2022-05-27 00:00:00,WAX/USD,0.11021,0.11383,0.11021,0.11383,20.264204767819802,178.02165306
1653523200000,2022-05-26 00:00:00,WAX/USD,0.12899,0.13026,0.11021,0.11021,940.2059184000001,8531.04
1653436800000,2022-05-25 00:00:00,WAX/USD,0.13026,0.13113,0.12398,0.12899,7518.127078263838,58284.57305422
1653350400000,2022-05-24 00:00:00,WAX/USD,0.13374,0.13374,0.1248,0.13156,3192.674267675521,24267.81900027
1653264000000,2022-05-23 00:00:00,WAX/USD,0.15702,0.15702,0.13,0.13242,496.35112225855386,3748.30933589
1653177600000,2022-05-22 00:00:00,WAX/USD,0.12471,0.15702,0.12471,0.15702,2209.023132357027,14068.41887885
1653091200000,2022-05-21 00:00:00,WAX/USD,0.08533,0.08533,0.08533,0.08533,17.031868,199.6
1653004800000,2022-05-20 00:00:00,WAX/USD,0.08226,0.08433,0.08226,0.08433,103.3261758,1225.26
1652918400000,2022-05-19 00:00:00,WAX/USD,0.13135,0.13135,0.07779,0.12718,2257.2823029259557,17748.72073381
1652832000000,2022-05-18 00:00:00,WAX/USD,0.093075,0.13828,0.093075,0.094672,1575.7274166138552,16644.070227879998
1652659200000,2022-05-16 00:00:00,WAX/USD,0.1262,0.1262,0.1262,0.1262,25.240000000000002,200.0
1652572800000,2022-05-15 00:00:00,WAX/USD,0.12826,0.12826,0.09743,0.12,911.3552664696,7594.6272205800005
1652486400000,2022-05-14 00:00:00,WAX/USD,0.11492,0.12826,0.10232,0.10232,5185.723817436906,50681.42902108
1652400000000,2022-05-13 00:00:00,WAX/USD,0.092355,0.12902,0.092355,0.12826,914.2395910361363,7128.01801837
1652313600000,2022-05-12 00:00:00,WAX/USD,0.10165,0.12902,0.081,0.089,2537.14236271629,28507.21755861
1652227200000,2022-05-11 00:00:00,WAX/USD,0.13188,0.13554,0.103,0.13113,5388.843136840463,41095.42543156
1652140800000,2022-05-10 00:00:00,WAX/USD,0.1375,0.16899,0.13188,0.161,584.66106151831,3631.43516471
1652054400000,2022-05-09 00:00:00,WAX/USD,0.17875,0.17921,0.13199,0.1383,10117.301260663504,73154.74519641
1651968000000,2022-05-08 00:00:00,WAX/USD,0.18699,0.187,0.17655,0.17743,6006.001548552282,33849.97772954
1651881600000,2022-05-07 00:00:00,WAX/USD,0.19512,0.19604,0.18604,0.18838,2265.846019854955,12028.06040904
1651795200000,2022-05-06 00:00:00,WAX/USD,0.20155,0.20155,0.18799,0.19511,4914.633581425185,25189.0399335
1651708800000,2022-05-05 00:00:00,WAX/USD,0.22719,0.22948,0.20003,0.20154,4804.455836982758,23838.72103296
1651622400000,2022-05-04 00:00:00,WAX/USD,0.20975,0.22719,0.20767,0.22719,2849.9532444695633,12544.36042286
1651536000000,2022-05-03 00:00:00,WAX/USD,0.21612,0.22325,0.20975,0.20975,2800.6171469664023,13352.16756599
1651449600000,2022-05-02 00:00:00,WAX/USD,0.22159,0.22325,0.21239,0.21612,5949.438774765274,27528.40447328
1651363200000,2022-05-01 00:00:00,WAX/USD,0.21612,0.22214,0.20663,0.22159,6175.937623310434,27871.01233499
1651276800000,2022-04-30 00:00:00,WAX/USD,0.23647,0.23765,0.21398,0.21612,3956.4143508750285,18306.56279324
1651190400000,2022-04-29 00:00:00,WAX/USD,0.25044,0.25107,0.23647,0.23647,1610.732999841208,6811.57440623
1651104000000,2022-04-28 00:00:00,WAX/USD,0.24982,0.25359,0.2461,0.25044,3219.632196983372,12855.90239971
1651017600000,2022-04-27 00:00:00,WAX/USD,0.24549,0.2517,0.24305,0.24796,15382.331820965843,62035.53726797
1650931200000,2022-04-26 00:00:00,WAX/USD,0.26924,0.26924,0.24549,0.24549,11457.5137289048,46672.01812255
1650844800000,2022-04-25 00:00:00,WAX/USD,0.27195,0.27195,0.25296,0.26924,4550.389033022122,16900.86552155
1650758400000,2022-04-24 00:00:00,WAX/USD,0.28021,0.28658,0.26992,0.27195,2462.0798791173484,9053.42849464
1650672000000,2022-04-23 00:00:00,WAX/USD,0.27262,0.28658,0.27195,0.27812,3008.495685088694,10817.25760495
1650585600000,2022-04-22 00:00:00,WAX/USD,0.26992,0.28021,0.26724,0.27059,1991.728338892284,7360.68716099
1650499200000,2022-04-21 00:00:00,WAX/USD,0.27059,0.28873,0.26791,0.27195,3165.775939201082,11641.02202317
1650412800000,2022-04-20 00:00:00,WAX/USD,0.27467,0.27605,0.26858,0.27262,964.980103196611,3539.65264176
1650326400000,2022-04-19 00:00:00,WAX/USD,0.26657,0.27467,0.26657,0.27263,898.7357232617716,3296.54008459
1650240000000,2022-04-18 00:00:00,WAX/USD,0.26459,0.26657,0.25359,0.26657,2865.5208314280458,10749.5998478
1650153600000,2022-04-17 00:00:00,WAX/USD,0.27195,0.27536,0.26459,0.26459,1961.51906417475,7413.42856561
1650067200000,2022-04-16 00:00:00,WAX/USD,0.27605,0.27812,0.27127,0.27399,1218.3485331044096,4446.68978103
1649980800000,2022-04-15 00:00:00,WAX/USD,0.27812,0.27812,0.2461,0.27812,24180.19053916717,86941.57392193
1649894400000,2022-04-14 00:00:00,WAX/USD,0.28945,0.29091,0.27743,0.28021,1254.222873122004,4476.01039621
1649808000000,2022-04-13 00:00:00,WAX/USD,0.27467,0.29018,0.27467,0.2873,3846.195921484501,13387.38573437
1649721600000,2022-04-12 00:00:00,WAX/USD,0.26591,0.27951,0.26131,0.27467,3514.9669974167136,12797.05463799
1649635200000,2022-04-11 00:00:00,WAX/USD,0.2931,0.2931,0.26459,0.26591,4501.530093998087,16928.77324658
