https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZCN
1652832000000,2022-05-18 00:00:00,ZCN/USD,0.27767,0.27929,0.21334,0.22182,27386.17899411668,123461.2703729
1652745600000,2022-05-17 00:00:00,ZCN/USD,0.30075,0.30218,0.25744,0.27821,2917.30032798885,10485.96501919
1652659200000,2022-05-16 00:00:00,ZCN/USD,0.31832,0.32007,0.28163,0.30114,38568.61063904993,128075.34913678
1652572800000,2022-05-15 00:00:00,ZCN/USD,0.18546,0.3302,0.18273,0.31864,106470.42572593148,334140.17614214
1652486400000,2022-05-14 00:00:00,ZCN/USD,0.23278,0.23704,0.18283,0.18575,7031.093697001467,37852.45597309
1652400000000,2022-05-13 00:00:00,ZCN/USD,0.22006,0.25279,0.21808,0.23318,1603.7664090221226,6877.80431007
1652313600000,2022-05-12 00:00:00,ZCN/USD,0.26379,0.26863,0.21,0.22006,90993.4842081842,413493.97531666
1652227200000,2022-05-11 00:00:00,ZCN/USD,0.32501,0.3578,0.26151,0.26379,68898.02234239988,261185.11824709
1652140800000,2022-05-10 00:00:00,ZCN/USD,0.30994,0.3393,0.26234,0.32547,96006.76580252514,294978.84844233
1652054400000,2022-05-09 00:00:00,ZCN/USD,0.34043,0.35314,0.31017,0.31074,3315.4868666158195,10669.64943881
1651968000000,2022-05-08 00:00:00,ZCN/USD,0.34891,0.34974,0.33488,0.34017,3410.494010806399,10025.85181176
1651881600000,2022-05-07 00:00:00,ZCN/USD,0.36088,0.36275,0.34723,0.34915,3708.4119450848257,10621.25718197
1651795200000,2022-05-06 00:00:00,ZCN/USD,0.37995,0.39163,0.34999,0.36209,38773.1712732514,107081.58544354
1651708800000,2022-05-05 00:00:00,ZCN/USD,0.3915,0.39708,0.36989,0.37988,14949.33761134899,39352.78933176
1651622400000,2022-05-04 00:00:00,ZCN/USD,0.39954,0.41259,0.37811,0.39108,27945.066438398713,71456.13797279
1651536000000,2022-05-03 00:00:00,ZCN/USD,0.39414,0.42545,0.39255,0.40012,21399.060899251894,53481.6077658
1651449600000,2022-05-02 00:00:00,ZCN/USD,0.40103,0.40327,0.38993,0.39424,16992.468859117875,43101.83862398
1651363200000,2022-05-01 00:00:00,ZCN/USD,0.44885,0.45846,0.40103,0.40156,24079.192360767862,59964.12083068
1651276800000,2022-04-30 00:00:00,ZCN/USD,0.43,0.45871,0.42371,0.44925,38180.72270684498,84987.69662069
1651190400000,2022-04-29 00:00:00,ZCN/USD,0.45652,0.45844,0.42512,0.43078,45722.225060888384,106138.22614998
1651104000000,2022-04-28 00:00:00,ZCN/USD,0.43402,0.50944,0.41802,0.45471,16376.753486254247,36015.81994294
1651017600000,2022-04-27 00:00:00,ZCN/USD,0.40238,0.42698,0.39277,0.41801,29485.700754120408,70538.26643889
1650931200000,2022-04-26 00:00:00,ZCN/USD,0.41914,0.42776,0.40007,0.40497,13122.668010317606,32404.04970817
1650844800000,2022-04-25 00:00:00,ZCN/USD,0.39882,0.42242,0.39027,0.41887,31391.975555037763,74944.43515897
1650758400000,2022-04-24 00:00:00,ZCN/USD,0.42,0.42,0.39275,0.39275,4456.03318936875,11345.724225
1650672000000,2022-04-23 00:00:00,ZCN/USD,0.45562,0.46457,0.41103,0.42,33022.566924837,78625.15934485
1650585600000,2022-04-22 00:00:00,ZCN/USD,0.45767,0.46715,0.431,0.4529,5945.036812308734,13126.59927646
1650499200000,2022-04-21 00:00:00,ZCN/USD,0.47574,0.48564,0.45727,0.45809,16488.552318557475,35994.13285284
1650412800000,2022-04-20 00:00:00,ZCN/USD,0.49183,0.49539,0.473,0.47507,1954.10845393692,4113.30636314
1650326400000,2022-04-19 00:00:00,ZCN/USD,0.48288,0.5012,0.47097,0.49436,2390.2373799694305,4835.01371464
1650240000000,2022-04-18 00:00:00,ZCN/USD,0.48671,0.48671,0.46047,0.48227,2060.5126508939225,4272.52918675
1650153600000,2022-04-17 00:00:00,ZCN/USD,0.49883,0.50072,0.48524,0.48748,1491.4656100118882,3059.5421556
1650067200000,2022-04-16 00:00:00,ZCN/USD,0.4961,0.4997,0.4924,0.49871,1267.8962094447504,2542.35168624
1649980800000,2022-04-15 00:00:00,ZCN/USD,0.4981,0.50164,0.48917,0.49907,10329.78619986536,20698.07081144
1649894400000,2022-04-14 00:00:00,ZCN/USD,0.51087,0.52509,0.48939,0.4987,26965.828995331234,54072.24582982
1649808000000,2022-04-13 00:00:00,ZCN/USD,0.49648,0.51461,0.48877,0.51137,1174.3481018340995,2296.47437635
1649721600000,2022-04-12 00:00:00,ZCN/USD,0.48647,0.50506,0.48424,0.49696,1450.5008692619424,2918.74772469
1649635200000,2022-04-11 00:00:00,ZCN/USD,0.55326,0.55401,0.48423,0.48609,8546.057365465582,17581.22439356
1649548800000,2022-04-10 00:00:00,ZCN/USD,0.53036,0.56962,0.5263,0.55393,1791.0608605149118,3233.37039069
1649462400000,2022-04-09 00:00:00,ZCN/USD,0.53644,0.54278,0.52387,0.53083,2008.25928805629,3783.24376553
1649376000000,2022-04-08 00:00:00,ZCN/USD,0.5346,0.57018,0.53413,0.53959,1881.9932118257689,3487.82077471
1649289600000,2022-04-07 00:00:00,ZCN/USD,0.55226,0.5615,0.53344,0.53607,6528.863144765354,12179.12426505
1649203200000,2022-04-06 00:00:00,ZCN/USD,0.60635,0.61249,0.55214,0.55602,16991.19554684561,30558.60499055
1649116800000,2022-04-05 00:00:00,ZCN/USD,0.60561,0.624,0.60451,0.60635,12001.692127957533,19793.34069095
1649030400000,2022-04-04 00:00:00,ZCN/USD,0.60678,0.61442,0.58292,0.60643,33096.33259097188,54575.68489516
1648944000000,2022-04-03 00:00:00,ZCN/USD,0.61352,0.62285,0.58247,0.60333,24955.713058087622,41363.28884373
1648857600000,2022-04-02 00:00:00,ZCN/USD,0.56034,0.61924,0.5598,0.61286,20771.68966793497,33893.04191485
1648771200000,2022-04-01 00:00:00,ZCN/USD,0.53061,0.56571,0.49697,0.56147,57878.80893639725,103084.41935704
1648684800000,2022-03-31 00:00:00,ZCN/USD,0.52407,0.56241,0.52391,0.52983,32267.921502801248,60902.40549384
1648598400000,2022-03-30 00:00:00,ZCN/USD,0.49728,0.55128,0.49072,0.52952,3733.4158588837167,7050.56628434
1648512000000,2022-03-29 00:00:00,ZCN/USD,0.48241,0.50667,0.47484,0.49712,3954.126262465683,7954.06795636
1648425600000,2022-03-28 00:00:00,ZCN/USD,0.47554,0.51,0.47554,0.48141,2169.3196097974287,4506.17895307
1648339200000,2022-03-27 00:00:00,ZCN/USD,0.45289,0.49309,0.44578,0.47534,4245.887865638128,8932.31763714
1648252800000,2022-03-26 00:00:00,ZCN/USD,0.45299,0.46676,0.44206,0.44737,2289.7579107352485,5118.26432424
1648166400000,2022-03-25 00:00:00,ZCN/USD,0.45351,0.47438,0.43352,0.45269,3513.7671259835915,7761.9720470600005
1648080000000,2022-03-24 00:00:00,ZCN/USD,0.45218,0.47721,0.43961,0.4535,14143.707837480675,31187.88938805
1647993600000,2022-03-23 00:00:00,ZCN/USD,0.4256,0.4574,0.4193,0.44628,10975.996255912427,24594.4166351
1647907200000,2022-03-22 00:00:00,ZCN/USD,0.40049,0.44838,0.39638,0.42541,33387.32593898371,78482.70125052
1647820800000,2022-03-21 00:00:00,ZCN/USD,0.41621,0.41934,0.39929,0.40036,1913.265451462817,4778.86265227
1647734400000,2022-03-20 00:00:00,ZCN/USD,0.39041,0.43742,0.38985,0.41407,66881.03909689675,161521.09328591
1647648000000,2022-03-19 00:00:00,ZCN/USD,0.39166,0.40146,0.37788,0.3872,2226.038764633024,5749.06705742
1647561600000,2022-03-18 00:00:00,ZCN/USD,0.37124,0.40457,0.36101,0.39165,2819.879913954495,7199.9997803
1647475200000,2022-03-17 00:00:00,ZCN/USD,0.30196,0.40347,0.28356,0.37137,108538.78922690653,292265.90523442
1647388800000,2022-03-16 00:00:00,ZCN/USD,0.29757,0.325,0.29175,0.30397,97200.10384636525,319768.73983079003
1647302400000,2022-03-15 00:00:00,ZCN/USD,0.29614,0.312,0.28193,0.29802,64596.93222038301,216753.6817005
1647216000000,2022-03-14 00:00:00,ZCN/USD,0.29157,0.3077,0.28403,0.29632,1756.0792070955965,5926.29322049
1647129600000,2022-03-13 00:00:00,ZCN/USD,0.30545,0.31188,0.28827,0.30255,27223.583512456265,89980.44459579
1647043200000,2022-03-12 00:00:00,ZCN/USD,0.29162,0.30882,0.29005,0.30323,20668.18727866615,68160.10051336
1646956800000,2022-03-11 00:00:00,ZCN/USD,0.28635,0.32447,0.28152,0.29167,47309.856133096335,162203.36727499
1646870400000,2022-03-10 00:00:00,ZCN/USD,0.30743,0.30781,0.28348,0.28638,15991.253756168615,55839.28261809
1646784000000,2022-03-09 00:00:00,ZCN/USD,0.31085,0.32463,0.29691,0.30772,33634.630965835546,109302.71339476
1646697600000,2022-03-08 00:00:00,ZCN/USD,0.29229,0.327,0.28083,0.30545,56895.37640508213,186267.39697195
1646611200000,2022-03-07 00:00:00,ZCN/USD,0.3001,0.3043,0.2885,0.29272,11546.28832787235,39444.82210943
1646524800000,2022-03-06 00:00:00,ZCN/USD,0.30783,0.3134,0.28895,0.2986,1461.86932573544,4895.7445604
1646438400000,2022-03-05 00:00:00,ZCN/USD,0.3117,0.31664,0.30064,0.30783,8779.817250488148,28521.64262901
1646352000000,2022-03-04 00:00:00,ZCN/USD,0.31375,0.32944,0.30285,0.31123,12729.644302154149,40901.08377134
1646265600000,2022-03-03 00:00:00,ZCN/USD,0.32355,0.33246,0.30837,0.31446,2841.424040335696,9035.88386547
1646179200000,2022-03-02 00:00:00,ZCN/USD,0.32371,0.33332,0.31075,0.33315,1880.4265331880254,5644.38401077
1646092800000,2022-03-01 00:00:00,ZCN/USD,0.30859,0.33,0.30255,0.32404,30442.133998187048,93945.60547521
1646006400000,2022-02-28 00:00:00,ZCN/USD,0.28062,0.30902,0.27992,0.30255,40843.724362191875,134998.26264152
1645920000000,2022-02-27 00:00:00,ZCN/USD,0.32593,0.32616,0.28059,0.28446,118800.80349404959,417636.23530215
1645833600000,2022-02-26 00:00:00,ZCN/USD,0.32079,0.32713,0.31466,0.32584,1777.1274371438137,5453.98796079
1645747200000,2022-02-25 00:00:00,ZCN/USD,0.29849,0.3361,0.292,0.32152,60303.676485394346,187558.08809839
1645660800000,2022-02-24 00:00:00,ZCN/USD,0.34794,0.34794,0.26298,0.30053,65449.853353980805,217781.43065245
1645574400000,2022-02-23 00:00:00,ZCN/USD,0.34576,0.36711,0.3344,0.34798,76266.02306609307,219167.83454823
1645488000000,2022-02-22 00:00:00,ZCN/USD,0.3647,0.3647,0.31793,0.34576,83828.0147203013,242445.66959828002
1645401600000,2022-02-21 00:00:00,ZCN/USD,0.35008,0.38,0.34316,0.36508,44093.804928078906,120778.47301435
1645315200000,2022-02-20 00:00:00,ZCN/USD,0.35859,0.36281,0.33301,0.35075,38124.33097882109,108693.74477212
1645228800000,2022-02-19 00:00:00,ZCN/USD,0.37354,0.37732,0.35328,0.35701,24455.965480770967,68502.18615941
1645142400000,2022-02-18 00:00:00,ZCN/USD,0.36928,0.40932,0.36199,0.37363,123980.23804581973,331826.2399856
1645056000000,2022-02-17 00:00:00,ZCN/USD,0.38957,0.39999,0.36926,0.37935,55739.38725158886,146933.93238853
1644969600000,2022-02-16 00:00:00,ZCN/USD,0.37577,0.39349,0.33667,0.39208,27585.9843428316,70358.05025207
1644883200000,2022-02-15 00:00:00,ZCN/USD,0.36368,0.39999,0.35271,0.36122,29668.39067641971,82133.85381878
1644796800000,2022-02-14 00:00:00,ZCN/USD,0.37287,0.38547,0.35849,0.36354,34752.06326943942,95593.50627012001
1644710400000,2022-02-13 00:00:00,ZCN/USD,0.39415,0.39647,0.3555,0.37327,220801.2637843273,591532.30579561
1644624000000,2022-02-12 00:00:00,ZCN/USD,0.3613,0.39674,0.36097,0.39427,60908.74379674303,154484.85504031
1644537600000,2022-02-11 00:00:00,ZCN/USD,0.37994,0.39816,0.35823,0.36144,1872.759639118147,5181.38457038
1644451200000,2022-02-10 00:00:00,ZCN/USD,0.41194,0.41405,0.37904,0.38078,55018.23068310752,144488.23647016
1644364800000,2022-02-09 00:00:00,ZCN/USD,0.41185,0.42154,0.40492,0.40857,39394.559379448394,96420.58736434
1644278400000,2022-02-08 00:00:00,ZCN/USD,0.39112,0.42553,0.38288,0.41185,22842.024685708802,55461.9999653
1644192000000,2022-02-07 00:00:00,ZCN/USD,0.37674,0.40319,0.37633,0.39034,3591.4059711847726,9200.7121258
1644105600000,2022-02-06 00:00:00,ZCN/USD,0.38754,0.4,0.36574,0.38914,9086.698841683947,23350.71912855
1644019200000,2022-02-05 00:00:00,ZCN/USD,0.37293,0.40319,0.37277,0.38736,10505.121167599098,27119.78822697
1643932800000,2022-02-04 00:00:00,ZCN/USD,0.31404,0.387,0.31027,0.37292,102024.01877637014,273581.5155432
1643846400000,2022-02-03 00:00:00,ZCN/USD,0.30032,0.31606,0.29985,0.3144,35062.009772405065,111520.38731681
1643760000000,2022-02-02 00:00:00,ZCN/USD,0.29372,0.30538,0.28411,0.30084,32571.652727832017,108269.02249645
1643673600000,2022-02-01 00:00:00,ZCN/USD,0.29715,0.30746,0.28278,0.29412,75029.01599169671,255096.61359886
1643587200000,2022-01-31 00:00:00,ZCN/USD,0.26437,0.33978,0.25796,0.29768,90381.2646757531,303618.86816633
1643500800000,2022-01-30 00:00:00,ZCN/USD,0.27615,0.28519,0.25672,0.26436,38138.356719871495,144266.74504415
1643414400000,2022-01-29 00:00:00,ZCN/USD,0.27997,0.28383,0.26946,0.27776,45408.86808171392,163482.387967
1643328000000,2022-01-28 00:00:00,ZCN/USD,0.27365,0.29067,0.26812,0.2799,1668.806568879543,5962.15280057
1643241600000,2022-01-27 00:00:00,ZCN/USD,0.26398,0.285,0.23962,0.26763,42593.65756062161,159151.28184666
1643155200000,2022-01-26 00:00:00,ZCN/USD,0.29251,0.3,0.26021,0.2648,9869.088718235671,37269.97250089
1643068800000,2022-01-25 00:00:00,ZCN/USD,0.275,0.30802,0.2589,0.29246,68174.0194892823,233105.44857171
1642982400000,2022-01-24 00:00:00,ZCN/USD,0.27549,0.27936,0.23,0.27196,37564.84737100974,138126.36921242
1642896000000,2022-01-23 00:00:00,ZCN/USD,0.26811,0.30774,0.25355,0.27549,19419.462904581942,70490.62726263
1642809600000,2022-01-22 00:00:00,ZCN/USD,0.27437,0.28359,0.23644,0.27458,121000.72922116403,440675.68366656
1642723200000,2022-01-21 00:00:00,ZCN/USD,0.30803,0.31372,0.25905,0.27437,48024.47703676826,175035.4522607
1642636800000,2022-01-20 00:00:00,ZCN/USD,0.31204,0.3378,0.29892,0.30994,130115.6487924282,419809.15271481
1642550400000,2022-01-19 00:00:00,ZCN/USD,0.36733,0.36733,0.3,0.31214,28664.5780338989,91832.44068014
1642464000000,2022-01-18 00:00:00,ZCN/USD,0.36961,0.37213,0.3506,0.36734,57528.705162504,156608.87777673
1642377600000,2022-01-17 00:00:00,ZCN/USD,0.38875,0.39406,0.3641,0.37157,8221.655815892478,22126.80199126
1642291200000,2022-01-16 00:00:00,ZCN/USD,0.38732,0.40053,0.37883,0.38808,11054.062661507158,28483.97923497
1642204800000,2022-01-15 00:00:00,ZCN/USD,0.38084,0.39587,0.37705,0.38963,23946.750169531486,61460.23193679
1642118400000,2022-01-14 00:00:00,ZCN/USD,0.37737,0.3935,0.36964,0.38084,9484.906746849716,24905.22725252
1642032000000,2022-01-13 00:00:00,ZCN/USD,0.37549,0.40242,0.37,0.38236,54728.04168409747,143132.23580944
1641945600000,2022-01-12 00:00:00,ZCN/USD,0.41231,0.4467,0.3601,0.37532,81802.2993684284,217953.47801457
1641859200000,2022-01-11 00:00:00,ZCN/USD,0.37056,0.41776,0.36963,0.41209,22001.609102718936,53390.30091174
1641772800000,2022-01-10 00:00:00,ZCN/USD,0.39943,0.40719,0.35335,0.36795,3758.911540595607,10215.82155346
1641686400000,2022-01-09 00:00:00,ZCN/USD,0.37369,0.42161,0.37187,0.40105,8126.800164848158,20263.80791634
1641600000000,2022-01-08 00:00:00,ZCN/USD,0.3776,0.38442,0.35623,0.3768,3929.9570099488324,10429.82221324
1641513600000,2022-01-07 00:00:00,ZCN/USD,0.45214,0.45404,0.35934,0.3776,34175.138290563904,90506.19250679
1641427200000,2022-01-06 00:00:00,ZCN/USD,0.37918,0.46901,0.37356,0.45212,39906.5662986331,88265.4301925
1641340800000,2022-01-05 00:00:00,ZCN/USD,0.39188,0.39773,0.37433,0.37881,2527.8902442487915,6673.24052757
1641254400000,2022-01-04 00:00:00,ZCN/USD,0.37898,0.39924,0.37898,0.39292,1536.4561862045923,3910.35372647
1641168000000,2022-01-03 00:00:00,ZCN/USD,0.40967,0.41734,0.36203,0.37617,5657.784522342026,15040.49903592
1641081600000,2022-01-02 00:00:00,ZCN/USD,0.37496,0.40973,0.35251,0.39766,1973.9446632821835,4963.90047599
1640995200000,2022-01-01 00:00:00,ZCN/USD,0.38689,0.40442,0.372,0.372,49131.319303093325,132073.43898681
