https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNX
1650931200000,2022-04-26 00:00:00,SNX/USD,6.1673,6.7813,5.3825,5.4092,268592.4621907911,49654.74787229
1650844800000,2022-04-25 00:00:00,SNX/USD,5.8918,6.2346,5.3109,6.176,174942.19630212546,28326.13282094
1650758400000,2022-04-24 00:00:00,SNX/USD,5.813,6.1959,5.62,5.881,77504.9405162561,13178.8710281
1650672000000,2022-04-23 00:00:00,SNX/USD,5.4779,5.8829,5.3806,5.834,65550.52850469129,11235.94934945
1650585600000,2022-04-22 00:00:00,SNX/USD,5.8617,6.0299,5.423,5.475,53259.40249327425,9727.74474763
1650499200000,2022-04-21 00:00:00,SNX/USD,6.6039,6.9096,5.8689,5.8689,97701.25165191891,16647.2851219
1650412800000,2022-04-20 00:00:00,SNX/USD,6.1828,7.17,5.9762,6.6129,225863.88203059763,34155.04272416
1650326400000,2022-04-19 00:00:00,SNX/USD,5.1784,6.2663,5.072,6.1488,97369.09639052601,15835.46324332
1650240000000,2022-04-18 00:00:00,SNX/USD,4.997,5.1851,4.7637,5.174,40796.991239017785,7885.00023947
1650153600000,2022-04-17 00:00:00,SNX/USD,5.2272,5.3304,4.9899,5.0122,57191.71159044596,11410.50069639
1650067200000,2022-04-16 00:00:00,SNX/USD,5.3665,5.5513,5.1937,5.2211,16209.991479236061,3104.70810351
1649980800000,2022-04-15 00:00:00,SNX/USD,5.191,5.7712,5.1783,5.3715,59908.86988293059,11153.09874019
1649894400000,2022-04-14 00:00:00,SNX/USD,5.162,5.6,5.1204,5.2058,108761.64588035441,20892.39807145
1649808000000,2022-04-13 00:00:00,SNX/USD,4.9544,5.1975,4.8419,5.1591,55025.42019783086,10665.70142037
1649721600000,2022-04-12 00:00:00,SNX/USD,4.5073,5.0804,4.4693,4.9571,96070.90197808956,19380.46478346
1649635200000,2022-04-11 00:00:00,SNX/USD,5.089,5.1373,4.4535,4.4896,29064.94038664019,6473.83739902
1649548800000,2022-04-10 00:00:00,SNX/USD,5.4184,5.4295,5.0897,5.0897,17315.02952744842,3401.97448326
1649462400000,2022-04-09 00:00:00,SNX/USD,5.2222,5.4188,5.1513,5.4188,21320.487078267117,3934.54031857
1649376000000,2022-04-08 00:00:00,SNX/USD,5.6733,5.7903,5.1724,5.217,47862.22759253751,9174.28169303
1649289600000,2022-04-07 00:00:00,SNX/USD,5.3851,5.8607,5.2833,5.6764,50946.38642173561,8975.12268722
1649203200000,2022-04-06 00:00:00,SNX/USD,6.118,6.1311,5.3751,5.3908,100388.42265311569,18622.17530851
1649116800000,2022-04-05 00:00:00,SNX/USD,6.9638,7.001,6.1037,6.1313,79528.48641155582,12970.90118108
1649030400000,2022-04-04 00:00:00,SNX/USD,7.3076,7.4,6.681,6.9594,87134.23781051299,12520.36638367
1648944000000,2022-04-03 00:00:00,SNX/USD,7.219,7.4659,7.0347,7.318,159836.37117962746,21841.53746647
1648857600000,2022-04-02 00:00:00,SNX/USD,7.7295,7.7966,7.079,7.2145,164739.51873239467,22834.50256184
1648771200000,2022-04-01 00:00:00,SNX/USD,6.823,8.1609,6.6449,7.7101,311030.8329274402,40340.70024091
1648684800000,2022-03-31 00:00:00,SNX/USD,6.6296,7.2323,6.568,6.8212,306128.3580389504,44878.95942634
1648598400000,2022-03-30 00:00:00,SNX/USD,5.7029,6.7,5.675,6.6388,317350.54508282064,47802.39577677
1648512000000,2022-03-29 00:00:00,SNX/USD,5.3676,5.935,5.3541,5.7171,106129.33165412168,18563.49052039
1648425600000,2022-03-28 00:00:00,SNX/USD,5.4029,5.756,5.253,5.335,119065.3272635156,22317.77455736
