https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAS
1655683200000,2022-06-20 00:00:00,PAS/USD,0.001314,0.0013772,0.0012578,0.0013549,211.18002943213108,155863.92311767
1655510400000,2022-06-18 00:00:00,PAS/USD,0.001345,0.0014055,0.0013272,0.0013272,364.15222854988536,274376.30240347
1655424000000,2022-06-17 00:00:00,PAS/USD,0.0012891,0.0015563,0.0012891,0.001345,10629.254722353307,7902791.61513257
1655337600000,2022-06-16 00:00:00,PAS/USD,0.0013064,0.0013064,0.0013064,0.0013064,13.064000000000002,10000.0
1655251200000,2022-06-15 00:00:00,PAS/USD,0.0013063,0.0013063,0.0012698,0.0012698,53.589052253863144,42202.7502393
1655078400000,2022-06-13 00:00:00,PAS/USD,0.001278,0.001278,0.001278,0.001278,22.727308570452,17783.496533999998
1654992000000,2022-06-12 00:00:00,PAS/USD,0.0013053,0.0013334,0.0012577,0.0012577,317.7591627,252651.0
1654819200000,2022-06-10 00:00:00,PAS/USD,0.0013507,0.0013615,0.0012616,0.0012616,977.1593252313834,774539.731477
1654732800000,2022-06-09 00:00:00,PAS/USD,0.0012701,0.0020605,0.0012701,0.0013507,2955.3586984517206,2188020.06252441
1654387200000,2022-06-05 00:00:00,PAS/USD,0.0012577,0.0012577,0.0012577,0.0012577,1.9972276,1588.0
1654300800000,2022-06-04 00:00:00,PAS/USD,0.00126,0.00126,0.00126,0.00126,11.10543407316,8813.836566
1654214400000,2022-06-03 00:00:00,PAS/USD,0.0013015,0.0013015,0.0012577,0.0012577,6963.13028,5536400.0
1654128000000,2022-06-02 00:00:00,PAS/USD,0.00132,0.00133,0.0013109,0.00132,55.6091009938464,42128.10681352
1654041600000,2022-06-01 00:00:00,PAS/USD,0.0013634,0.00137,0.00136,0.00137,1487.8422808134749,1086016.2633675
1653955200000,2022-05-31 00:00:00,PAS/USD,0.0013899,0.0014098,0.0013701,0.0014098,38.263488707530655,27141.0758317
1653868800000,2022-05-30 00:00:00,PAS/USD,0.0013301,0.00141,0.00133,0.00134,2389.0317834811285,1782859.53991129
1653609600000,2022-05-27 00:00:00,PAS/USD,0.0013401,0.0013401,0.00134,0.00134,173.71152373248003,129635.46547200001
1653436800000,2022-05-25 00:00:00,PAS/USD,0.0013401,0.0013401,0.0013401,0.0013401,220.6376557239591,164642.680191
1653350400000,2022-05-24 00:00:00,PAS/USD,0.00134,0.00134,0.00134,0.00134,22091.6951464636,16486339.66154
1653264000000,2022-05-23 00:00:00,PAS/USD,0.00134,0.0013401,0.00134,0.00134,4608.709539046,3439335.4769
1653177600000,2022-05-22 00:00:00,PAS/USD,0.00135,0.00136,0.0013401,0.0013401,20978.266677020798,15654254.665339
1653091200000,2022-05-21 00:00:00,PAS/USD,0.00135,0.00136,0.00135,0.00135,35669.829616713,26422096.01238
1653004800000,2022-05-20 00:00:00,PAS/USD,0.00136,0.00136,0.00135,0.00135,27111.463962070506,20082565.897830002
1652918400000,2022-05-19 00:00:00,PAS/USD,0.00138,0.00141,0.00135,0.00135,15139.251905826337,11214260.67098247
1652832000000,2022-05-18 00:00:00,PAS/USD,0.0013399,0.00141,0.0013397,0.00136,12103.854475084378,8899892.99638557
1652745600000,2022-05-17 00:00:00,PAS/USD,0.00131,0.0013399,0.0013,0.0013399,12088.26868426606,9021769.2994
1652659200000,2022-05-16 00:00:00,PAS/USD,0.00133,0.00133,0.0013,0.00133,18354.582001431132,13800437.595061
1652572800000,2022-05-15 00:00:00,PAS/USD,0.0013,0.0013301,0.0012901,0.00133,21522.57812816251,16182389.570047
1652486400000,2022-05-14 00:00:00,PAS/USD,0.0012804,0.00133,0.0012804,0.00133,17709.54751450979,13315449.25902992
1652400000000,2022-05-13 00:00:00,PAS/USD,0.0013599,0.0013599,0.0013,0.00132,25227.27343249357,19111570.7821921
1652313600000,2022-05-12 00:00:00,PAS/USD,0.00128,0.00136,0.0012701,0.0013,3454.0513271875,2656962.559375
1652227200000,2022-05-11 00:00:00,PAS/USD,0.00132,0.00132,0.00131,0.00131,75.98,58000.0
1652140800000,2022-05-10 00:00:00,PAS/USD,0.00138,0.00138,0.00135,0.00136,14404.9509756232,10591875.71737
1652054400000,2022-05-09 00:00:00,PAS/USD,0.0013999,0.0014,0.00137,0.00138,6398.86998013272,4636862.304444
1651968000000,2022-05-08 00:00:00,PAS/USD,0.0014,0.0014,0.0014,0.0014,23098.6602,16499043.0
1651881600000,2022-05-07 00:00:00,PAS/USD,0.00141,0.00144,0.0014,0.0014,23098.6602,16499043.0
1651795200000,2022-05-06 00:00:00,PAS/USD,0.00147,0.00147,0.00141,0.00141,10268.69685510243,7282763.727023
1651708800000,2022-05-05 00:00:00,PAS/USD,0.00141,0.00147,0.00141,0.00147,5883.2118569931,4002184.93673
1651622400000,2022-05-04 00:00:00,PAS/USD,0.0015,0.0015,0.00149,0.0015,19673.306779012502,13115537.852675
1651536000000,2022-05-03 00:00:00,PAS/USD,0.0015,0.0015,0.00148,0.00148,753.3052,508990.0
1651363200000,2022-05-01 00:00:00,PAS/USD,0.0015,0.00152,0.0015,0.00152,492.04277792039994,323712.35389499995
1651276800000,2022-04-30 00:00:00,PAS/USD,0.00152,0.00152,0.00152,0.00152,5.8471516712,3846.81031
1651190400000,2022-04-29 00:00:00,PAS/USD,0.0015,0.00151,0.0015,0.0015,22500.182089914826,15000121.39327655
1651104000000,2022-04-28 00:00:00,PAS/USD,0.0015,0.0015,0.0015,0.0015,7623.1994952765,5082132.996851
1651017600000,2022-04-27 00:00:00,PAS/USD,0.00152,0.00152,0.00147,0.00147,4538.8521327134995,3087654.51205
1650931200000,2022-04-26 00:00:00,PAS/USD,0.0015,0.00152,0.00146,0.0015,14594.949223624575,9729966.14908305
1650758400000,2022-04-24 00:00:00,PAS/USD,0.0015,0.0015,0.0015,0.0015,19502.652410215498,13001768.273477
1650672000000,2022-04-23 00:00:00,PAS/USD,0.00152,0.00155,0.00149,0.0015,15900.297135582134,10600198.09038809
1650585600000,2022-04-22 00:00:00,PAS/USD,0.00164,0.00164,0.00155,0.00155,2540.6015564657496,1639097.778365
1650499200000,2022-04-21 00:00:00,PAS/USD,0.00165,0.00165,0.00164,0.00164,2122.7976210808797,1294388.7933419999
1650412800000,2022-04-20 00:00:00,PAS/USD,0.00169,0.00169,0.00164,0.00164,1060.39810773412,646584.212033
1650326400000,2022-04-19 00:00:00,PAS/USD,0.0017001,0.00171,0.00168,0.00168,101.997679581168,60712.9045126
1650240000000,2022-04-18 00:00:00,PAS/USD,0.001728,0.001728,0.0017099,0.00171,3696.0432164654626,2161428.78155875
1650153600000,2022-04-17 00:00:00,PAS/USD,0.0018253,0.0018253,0.0017186,0.00174,16291.018077787838,9362654.06769416
1650067200000,2022-04-16 00:00:00,PAS/USD,0.0020886,0.0020886,0.00207,0.00207,3283.2387899996393,1586105.695652
1649980800000,2022-04-15 00:00:00,PAS/USD,0.0020886,0.0020886,0.0020886,0.0020886,11.847579608938199,5672.498137
1649894400000,2022-04-14 00:00:00,PAS/USD,0.0020886,0.0020886,0.0020886,0.0020886,218.2399026,104491.0
1649721600000,2022-04-12 00:00:00,PAS/USD,0.0020991,0.0020991,0.0020886,0.0020886,218.93750785850764,104825.00615651999
1649635200000,2022-04-11 00:00:00,PAS/USD,0.0021141,0.0021141,0.0020991,0.0020991,140.18028295728521,66781.13618088
1649548800000,2022-04-10 00:00:00,PAS/USD,0.0021012,0.0021012,0.0020991,0.0020991,1129.4147052405658,538047.117927
